Sentence_ID,sentence,label,Dialect
1, أموي #سوريا •  بســــــــــم الله الرحـْـْمــــــــــــــن الرحيــــــــيم     فرقة تحرير الشام ابطال اللواء... URL,1,Libya
2, انتخابات الرئاسة ببلاد العرب.. مصر #انتخبوا_العرص الجزائر #انتخبوا_المرحوم سوريا #انتخبوا_الكيماوي العراق #انتخبوا_بنوقريظة,0,Egypt
3,   حرب اكتوبر سوريا ومصر دخلت ع فلسطين بدون تعب لكن خونه عرب سحبو جيوش ورجع جيش اسرائيلي لفلسطين,0,Syria
4, هذا الكلام! الذي أوردتيه وهو حقيقة لا شك، لكنه يرجح أن المؤامرة في سوريا أن لا يسقط بشار! لا أن يسقط؟,0,Modern Standard Arabic
5, #هام #سوريا غاز “الكلور” السام الذي يستخدمه #الأسد مؤخراً، لا يدخل ضمن الأسلحة الكيميائية التي تم الاتفاق على تسليمها htt…,0,Modern Standard Arabic
6, نبذة مختصرة عن عقيدة الأشاعرة ~ العلامة محمد أمان الجامى #مصر #قطر #سوريا #الاخوان #السيسي #الحدادية #الجزائر  URL,2,Egypt
7,#Syria #شام #سوريا | #ريف_دمشق : تجدد القصف من قبل قوات النظام على مدن وبلدات الغوطة ال...: #... URL #FF #news,0,Lebanon
8, عمالقة سوريا ذهبوا بلا رجعه : #خالد_تاجا #حسن_دكاك #سليم_كلاس #توفيق_الزعيم #عبدالرحمن_ال_رشي URL,0,Yemen
9,#الجيش_الحر يستهدف حاجز السلام في خان شيخون بإدلب.#العرب #سوريا,0,Modern Standard Arabic
10,  ماذا فعلت دولة الخزي والعار في العراق اين انتصاراتها وأين هي في بداية الثورة في سوريا,0,Yemen
11, بالفيديو.. كيف يعيش فنانو #سوريا حلمهم المكسور في #دبي؟    URL #syria #dubai #CNNArabic,2,Sudan
12," # سورية حمص_تنزف قدمت#حمص من أبنائها(17,812) شهيدا: (2,047) طفل و(1,861) امرأة فهل تريدون مزيداحتى تلبواالنداء؟ URL",0,Modern Standard Arabic
13, المونتاج الثوري ثورتنا حُسينية .... راياتنا حُسينية #المغرب #الجزائر #مصر #ليبيا #سوريا #اليمن #فلسطين  URL,2,Libya
14,أمة نيوز| بالفيديو.. الجبهة الإسلاميّة تدكّ معاقل الشبّيحة في مدينة حمص بالصواريخ: قصف مُقاتِلو لو... URL #سوريا,0,Lebanon
15, #Syria من غزة الصامدة الى حمص المحاصرة  انا منكم وانتم مني دم واحد والعدو واحد ، نحارب...: من... URL #F…,1,Iraq
16,أناظر في ( سوريا ) ويتقطع عليها قلبي,0,Saudi Arabia
17,   راجع هذه URL ينشر حساب الشبيح على حسابه عاجل سوريا ومن اول المتابعين للشبيح,0,Iraq
18,#سوريا #Syria  #أطفال_سوريا #حمص_المحاصرة #أنقذوا_حمص_قبل_أن_تستباح URL,0,Syria
19,#الزمان: المرصد السوري حرب شوارع في حمص والتقدم في باب هود ووادي السايح لا يخل بالموازين URL #سوريا #Syria,0,Oman
20, الصورة من المسجد الأقصى اليوم وحي على النكاح في سوريا   URL,0,Algeria
21,#Syria الجيش الحر يستهدف مراكز قوات النظام بسيف الدولية في حلب FSA Target Regime Forces in Saif... URL via FaceBook,0,Syria
22, #سوريا كلمة في سبيل الله يا سوريا  للشيخ حفيظ الدوسري URL عبر ,1,Saudi Arabia
23, آلبعض في موته حيآة لغيرة ، كَـ/ هذآ آلكلب❗   #سوريا URL,0,Yemen
24, مجازر الشيعه ضد المسلمين  في سوريا,0,Iraq
25, أموي #سوريا •  #الغرفة_المشتركة_لأهل_الشام   #غزوة_الإعتصام   #حلب #جبهة_الشيخ_نجار   دك معاقل ميليشيات الإسد في... URL,0,Libya
26,   اربعہ في الطائرة الماليزيہ و واحد يجاهد في سوريا - حظي و أعرفہ ᴗ̈,0,Saudi Arabia
