sentID.BTEC,sent,sentiment
5,راهو لهيك، بالضبط قدام المكتب تع معلومات السياح.,neutral
9,جامي سمعت بهاذ العنوان في هاذ الجيهة.,neutral
11,امشي قبالة حتى تشوف صيدلية.,neutral
26,شحال القهوة تع الصباح؟,neutral
27,كيفاش نقدر نعاونك؟,neutral
30,دور على اليسار في الطريق الثالثة.,neutral
50,تحب الكريمة و السكر فالقهوة ديالك؟,neutral
64,تقدر تصرفلي الميتين دولار تاوعي لي راهوم فالشاك؟,neutral
74,ويدا لازم يظهر، عيطلي من فضلك.,neutral
86,وين جايا القهوة؟,neutral
87,راني حاب تريكو تع أطفال.,neutral
91,ايه. معنتها خمسة و ثمانون سنت للبرية العادية، و تزيدلها ثلاثة دولار بالضبط باش تبعثها اكسبرس.,neutral
120,لوكان جيت في بلاصتك نشريها.,positive
129,راني حاب نعرف ويدا يكون عندي مشكل مع الجمارك؟,neutral
130,عندكم صبابط رسمية عراض من القدام؟,neutral
140,لالا. نقترح عليك غرفة فيها زوج بناك لشخص واحد. كاينة واحدة واجدة.,neutral
143,راني حاب برمانونت قوي.,neutral
145,راهي حابة بيرة.,neutral
157,صباح الخير. واش راك؟,positive
158,سامحني لازم نطلب منك بطاقة تعريف.,neutral
169,واش من النوع تع الصوص؟,neutral
170,راهوا شوية بارد. تقدر تسخنو؟,neutral
173,سامحني، هاذ البلاصة محكومة.,neutral
176,مليح، بصح تقدر تعيط لصاحبي؟,neutral
177,صحا. هذا ماكان.,positive
184,شكون هو صاحبك الأنتيم؟,neutral
187,نهار الصحة والرياضة العاشر أكتوبر، هو نهار عطلة باش نشجعو الحياة الصحية.,positive
192,راك حاب نشوف تحت الكابو؟,neutral
206,تقدر تعاوني باش نصيب الحقيبة تاعي؟,neutral
221,تقدر تاخذ كل الترتيبات من قبل؟,neutral
238,راهم تهلاو فيا. صحا.,positive
261,كي توصل تما، اطلب من كاش واحد آخر، من فضلك.,neutral
280,مركز أربعة و عشرون، من فضلك.,neutral
285,هاك اثنان دولار. خلي الباقي عندك.,neutral
315,همبرغر و شيزبرغر، من فضلك.,positive
319,شحال تاخذ باش تدير العملية؟,neutral
320,رانا حابين كل واحد يخلص الماكلة ديالو.,neutral
326,كان فوق واحد الكرسي فالكولواغ.,neutral
333,من فضلك تقدر تبدل هاذ الين لجنيهات.,neutral
346,نسحق قاموس جيب، من فضلك.,positive
360,لزوج أشخاص على الساعة السبعة تع العشية، باسم واتاناب.,neutral
368,الساعة ديالي. ديجيتال سايكو.,neutral
370,رانا حابين نقدمولك المشروب لي تحبو نتا، ممبعد نقدمولك العشا. تقدر تصيب كامل المشروبات الي كاينة في هاذ الرحلة في دليل المعلومات تع المجلة تاعنا.,positive
373,تسكن منا؟,neutral
375,وين جاي المحل تع الهدايا؟,neutral
386,راني في الطريق السريع رقم واحد، قريب من مورو باي.,neutral
391,نسحق منبه، من فضلك.,neutral
398,حقا، إسمي هيروشي ايجيما.,neutral
401,هاذ القطار يحبس في لاك فورست، ياك؟,neutral
408,بزاف يابانيين ياكلو لا بيوفر و الكالامار.,neutral
416,من فضلك، تقدر تاعطيني تذاكر بالدرجة الثانية لشيكاقو؟,neutral
419,رحت لنيويورك.,neutral
423,شحال الرقم تع هاذ الرحلة؟,neutral
442,شخص واحد لنيويورك، من فضلك.,positive
446,ليامات برك.,neutral
447,الثانية على اليسار.,neutral
471,هاذ البطاقة، معليش؟,neutral
488,الإستقبال؟ كاين عيادة قريبة من هنا؟,neutral
493,اذا عشرة دولار يكفو للطاكسي؟,neutral
503,البنة غربية.,negative
512,ايه. اصبر، دوك نجيبلك.,neutral
516,نص قرعة، من فضلك.,neutral
540,ماشي حاجة. حاجة تكون ماشي غالية بزاف.,neutral
548,راك تحوس كاش حاجة مخصصة؟,neutral
551,أربع ليالي.,neutral
553,نسحق تقاشر.,neutral
565,تقدر تدريلنا سومة علاجال كاين بقع؟,neutral
571,واحد الراجل طبعني. ممبعد صبت بلي محفظة النقود ديالي ضاعت.,negative
599,ماشكيتش بلي جبت معايا حوايج لي يكفو لثلاث أسابيع.,negative
612,امالا، رانا حابين نجربوا النبيذ الأبيض.,positive
631,ويدا حوس عليا كاش واحد، قولوهم بلي راني فالقهوة.,neutral
632,راني متأكد بلي درتو فالجيب الدخلاني تع المونطو ديالي.,neutral
641,تقدر تعطيني الإسم و الرقم تع الشخص لي راك حاب تتصل بيه؟,neutral
643,هل شركة الطيران تخلص لي شراء الأغراض الشخصية؟,neutral
650,راني حاب غرفة لي فيها بينواغ.,neutral
652,حاجة ماخرجت من الجهاز؟,neutral
667,كان لازم عليك تدي الرحلة ثمان مئة وعشرون لي راحت عندها خمسة عشر دقيقة. ايه. نقدر نصيبلك رحلة واحدوخرا.,neutral
673,كاش واحد فتح الطرد ديالي.,neutral
679,أوه، ماشي حاجة. مادام راك هنا.,neutral
680,الخطوط الجوية اليابانية، الرحلة رقم واحد، اثنان، ثلاثة.,neutral
681,لازم نشري شامبوان.,neutral
683,تقدر تقولي وقتاش نوصلوا لوسط المدينة؟,neutral
688,وين جاي الجزار القريب من هنا؟,neutral
703,رانا حابين نقعدوا أربع ليالي من الأول أوت.,neutral
708,واسمها هاذ الزهرة؟,neutral
719,الخامس عشر من سبتمبر هو اليوم تاع الإحترام للأشخاص المسنين.,neutral
723,ماكانش صابون في غرفتي.,negative
741,واش نقدر ندي باش نداوي الاحمرار؟,neutral
742,تقدر تبدل الصيغة على حساب واش قتليي دوكا؟,neutral
761,شحال لازم من وقت باش ندير طلب؟,neutral
