sentID.BTEC,sent,sentiment
5,هوذاك هاناك، قبال مكتب المعلومات السياحيه بالضبط.,neutral
9,ماقد سمعتش ابدا بهذا العنوان هانا.,neutral
11,امشي طوالي لوما تبسر صيدليه.,neutral
26,بكم هو الصبوح؟,neutral
27,كيف اقدر اساعدك؟,neutral
30,اخطى يسار عند الركن الثالث.,neutral
50,تشتي كريمه وسكر في القهوة؟,neutral
64,تقدر تصرف لي شيك الميتين الدولار؟,neutral
74,اذا لازم يظهر، لو سمحت اتصل لي.,neutral
86,اين هو الكافيه؟,neutral
87,أشتي سترة أطفالي.,neutral
91,تمام. يكلف خمسه وثمانين سنت للبريد العادي و ثلاثه دولار بالضبط زياده للتوصيل الخاص.,neutral
120,شا اشتري ذيه لو كنت مكانك.,positive
129,هل شا اواجه مشاكل مع الجمارك؟,neutral
130,به معك جزمه رسميه واسعه عند الاصابع؟,neutral
140,لا. ممكن اقترح عليك غرفة مزدوجة ل استخدام فرد بدله؟ عندنا واحدة.,neutral
143,اشتي تجعيد قوي، لو سمحت.,neutral
145,هي تشتي بيره.,neutral
157,صباح الخير. كيف حالك؟,positive
158,أسف مضطر اطلب منك تبرز اي شي يثيت هويتك.,neutral
169,ما هو نوع الصوص؟,neutral
170,هذا بارد شويه. عتحميه؟,neutral
173,أسف، هذه البقعه قدي محجوزه.,neutral
176,أنا بخير. لكن ممكن تتصل لصاحبي؟,neutral
177,شكرا، ذيه كفايه.,positive
184,من هو أعز أصحابك؟,neutral
187,يوم الصحة والرياضه عشره اكتوبر هو اجازه وطنيه عملوها عسب يشجعو الناس يهتمو بصحتهم.,positive
192,تشتيني افحص لك الطبلون؟,neutral
206,عتقدر تساعدني القى شنطتي؟,neutral
221,ممكن تعمل التجهيزات مقدما؟,neutral
238,به احد بيساعدني. شكرا.,positive
261,لوما قدك هناك، اسال احد ثاني، لو سمحت.,neutral
280,أشتي توصيله اربعه وعشرين، لو سمحت.,neutral
285,هولا اثنين دولار. خلي الباقي.,neutral
315,واحد همبرجر و واحد برجر بالجبنه، لو سمحت.,positive
319,كم ب تشل على العمليه؟,neutral
320,احنا الأثنين نشتي ندفع حق وجباتنا.,neutral
326,الموقع كان فوق كرسي في اللوبي.,neutral
333,لو سمحت اصرف لي هولا من ين ل جنيهات.,neutral
346,اشتي قاموس جيب، لو سمحت.,positive
360,لشخصين الساعه سبع. الاسم هو وطنابي.,neutral
368,ساعتي. كانت سايكو رقميه.,neutral
370,عيكون الشرف لنا انه نقدم لك مشروب على حسب اختيارك، بعده ندي الغداء. المنيو حق المشروبات اللي بنقدمها في هذه الرحله موجود بدليل المعلومات في حقنا المجله.,positive
373,أنت بتعيش هانا؟,neutral
375,أين محل الهدايا؟,neutral
386,أنا في الطريق السريع رقم واحد قريب خليج مورو.,neutral
391,ممكن منبه، لو سمحت.,neutral
398,بالمناسبه، انا اسمي هيروشي ايجيما.,neutral
