Sentence_ID,sentence,label,Dialect
1,'طوال حياتي لم المس اي تغير حتى قدمت هذه الحكومة فل نقف بجانها بصوتنا',1,Oman
2,'منتوج رائع  وثمن مناسب ....جميل',1,Modern Standard Arabic
3,'كلنا ابن كيران لمتافق معايا يدير جيم',1,Morocco
4,'وفقك الله لولاية اخرى حقاش مكينش محسن منك',1,Morocco
5,'لأنه و بكل بساطة رئيس الحكومة يعتني بمعاق داخل بيته جعله الله في ميزان حسناته',1,Saudi Arabia
6,'صدق من قال بن كيران أحسن رئيس حكومة مند الاستقلال  تحياتي لك .',1,Morocco
7,"'""حبنا لك لن ينتهي،'",1,Modern Standard Arabic
8,"'""تحية حب وإحترام من الفايسبوك إلى الملك الهمام '",1,Modern Standard Arabic
9,'أقـول: ملكنا واحد،، محمـد ',1,Algeria
10,'مغربنا وطنـــنــا روحــي فــداه...........ومـــن يدس حقوقه يـــــــدق رداه',1,Tunisia
11,'أعشـقـك يا مـلكي أينما تكــــون وحيثما تكـــــــــــون',1,Iraq
12,'حفظك الله لنا و شافاك و عافاك و بارك في عمرك يا حبيب الملايين♥',1,Morocco
13,'شكرا يا محمد السادس...♥',1,Tunisia
14,"'""الصحراء مغربية شاء من شاء و أبى من أبى'",1,Tunisia
15,'أعـشــقك فــي كل مديـنة في كل مكان في الكـــون',1,Algeria
16,'مليون جيم لأعز و أغلى الناس.',1,Tunisia
17,'أتـــرك تـــهــنــئــتــك لـلأميرة الغالية.',1,Tunisia
18,'واحــلم بـــشـمـــس مـــضـــيــئــة فــي غد جــمــيـــــل',1,Algeria
19,'إذا السماء تفخر بوجود النجوم فيها .. فلابد للأرض أن تفخر بوجود محمد السادس عليها',1,Modern Standard Arabic
20,"'عذرا """"فيثاغورث"""" : المملكة المغربية هي المعادلة الأصعب'",1,Algeria
21,"'-عذرا """"نيوتن"""" : مـــــــــــراكــــش هـــي التـي تجـــذبـــنــا'",1,Oman
22,"'عذرا """"ديكارت"""" : أنا مـــــــــغــــــــــربـــــــــي إذاً أنا موجود'",1,Algeria
23,"'عذراً """"دافنشي """": الفـتاة الـمـغـربـيـة أجـمـل من الموناليزا'",1,Algeria
24,"'عذراً"""" أديسون"""" : الـــــــــمـــــــــغــــرب هــو مصباح العالم'",1,Algeria
25,"'عذرا """"ايها الصباح"""" : الـــــــــــمـــــــغــــــــرب هو اشراقتي'",1,Saudi Arabia
26,"'عذراً """"روما"""" : كــــل الـــــــــــطــــرق تؤدي إلى بـــــلـــدي'",1,Oman
27,"'""هل تعلم :أن محمد السادس هو الملك و القائد الوحيد في العالم العربي الذي يتجول أحيانا بدون حراسة ؟'",1,Modern Standard Arabic
28,'هل تعلم :أن محمد السادس القائد والملك الوحيد في العالم الذي لا يحتاج الي مترجم في لقائاته الرسمية والغير رسمية ؟',1,Modern Standard Arabic
29,'هل تعلم :أن محمد السادس يتقن خمس لغات أجنبية نطقا وكتابة ؟',1,Modern Standard Arabic
30,'هل تعلم :أن ملكنا صاحب أقوى اصلاحات في العالم العربي بشهادة الغرب والشرق؟',1,Yemen
31,'هل تعلم :أن محمد السادس هو الأجمل من بين كل الملوك و القادة في العالم؟',1,Saudi Arabia
32,'هل تعلم :أن الملك محمد السادس أحب الملوك والرؤساء الى شعبه ؟',1,Oman
33,'هل تعلم :أن الملك محمد السادس سرق قلوب كل المغاربة ؟',1,Oman
34,'نعم أنا مغربي حر في بلد حر وملكي محمد السادس نصره لله.',1,Morocco
35,"'فيان البحري: """"مسيرة مسيرة"""" أغنية وطنية رائعة احتفالا بالذكرى الـ  للمسيرة الخضراء'",1,Algeria
36,"'راسلتكم عدة مرات دون جواب ، شكر مسبق على حسن اهتمامكم .رمضان كريم""'",1,Iraq
37,"'عواشر مبروكة لجميع المسلمين.""'",1,Libya
38,'أطال الله في عمرك إن شاء الله ولاية ثانية',1,Oman
39,"'تحية نضالية لإعضاء العدالة و التنمية""'",1,Algeria
40,'إنما هي عزيمة وارادة ',1,Iraq
41,"'وفقكم الله لما فيه مصلحة البلاد والعباد""'",1,Modern Standard Arabic
42,'و تقبلوا السيد الرئيس تحياتي الخالصة.',1,Tunisia
43,'الحرية_لمعتقلي_الثلاثاء_الأسود',1,Modern Standard Arabic
44,'أجبه بالأدب ...إن الله معي شكرا ',1,Modern Standard Arabic
45,'وأشكر هذه الحكومة على انفتاحها اكثر على السوق الآسيوية ',1,Oman
46,"'تقبل الله منكم""'",1,Algeria
47,'موت موت يالعدو و الملك عندو شعبو',1,Tunisia
48,' عاش الملك',1,Tunisia
49,"'""أنا حر و باغي نوقف هنا و نقول عاش الملك محمد السادس.'",1,Algeria
50,'واش كاين ما احسن من المغرب ؟؟؟؟ هههههههههههههه',1,Morocco
51,'أقــسـم بـالله العـلي العـظيـم أن أبـقـى وفـيا لـمـلـكـي ولــوطــنـي•',1,Oman
52,'مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي•',1,Algeria
53,"'""إذا أحــبك  مليــون فأنـــا معــهم.. ♥'",1,Morocco
54,'وإذا أحـــبـــك واحـــد فـــهــو أنـــــا .. ♥',1,Syria
55,'وإذا لم يحبك أحد فاعلم أنني مـت .. ♥',1,Modern Standard Arabic
56,'لأنـــنــــا كبـــــرنا فيها ... لــــن ننــكــر خــيرها',1,Algeria
57,'لأنـنا نــعيش فوق ترابها ... سنـــــحترم قائدها',1,Algeria
58,'لأنــنــــا مـغاربة أحـــرار .. ســـنرفض تخـــريبها',1,Algeria
59,'هـي بلدنا .. ليس لنا غيرها .. ولـيس لها غيرنا',1,Oman
60,'ما الحـــب إلا لـوطــني و ما الــوفاء إلا لملـــكــي',1,Tunisia
61,'و ما الــرمــال الذهبية إلا فــي الصحراء المغربيــة',1,Tunisia
62,' الشعارات التي ترددت  في المسيرة: ',1,Modern Standard Arabic
63,'اسمع صوت الشعب : الشعب يقول نعم للدستور',1,Algeria
64,'يا مغربي يا مغربي يا مغربية هدا الدستور مزية ليك و ليا',1,Libya
65,'هذا عهد مجيد بدستور جديد',1,Iraq
66,'العملاء برا برا و المغرب أرضي حرة',1,Algeria
67,'بالروح بالدم نفديك يا ملك',1,Tunisia
68,'الشعب يريد إسقاط الخونة',1,Modern Standard Arabic
69,'أقول لهم موتو بغيظكم أيها المفسدون ♦ فالمغرب بلد الشرفاء و ليس الملحدون',1,Algeria
70,'لقد تجاوزنا . محب لصفحة جلالته على الفايسبوك',1,Modern Standard Arabic
71,'شكرا لكل من ساهم في نشر الصفحة',1,Algeria
72,'مغاااااااربة و نفتخر و إنشاء الله نصل',1,Algeria
73,"'""جهد مشكور سيدي الرئيس '",1,Oman
74,"'الله يعز السيد الوفا و السيد بنكيران ويحرم ليهم الواليدين و ينصرهم على أولاد الحرام""'",1,Morocco
75,'نظافة يدكم يشهد به الخصوم قبل الأصدقاء.',1,Algeria
76,"'""هذا هو كلام المعقول '",1,Tunisia
77,'والله تم والله تم والله اشرف من دافع عن الشعب وربما اكتر من عبد الرحمن اليوسفي تأملوا في المغرب كيف كانت الحقبة قبل ان يمسكها بن كيران كنا والوا لكن الرجل خدم البلاد وقدم الكتير لم ولن نرى رجلا مثله في البلاد والأيام بيننا يا من لم تنصروه وانتم اقلية',1,Sudan
78,'بعد خسارة رئاسة الحكومة و خسارة الامانة العامة للحزب، نعلن رسميا نهاية مرحلة بن كيران السيئة',1,Algeria
79,'الله يرحم اللي زار و خفف',1,Tunisia
80,'تحية احترام للسياسي و المناضل و من يقول الحق و لو كان مرا..تحية خالصة لرجل السياسة بامتياز السيد عبد الاله بنكيران المغربي البسيط في تعبيراته و حتى في مقابلاته الشيء الذي لا يروق لاصحاب البريستيج و البروتوكولات الخاوية و اصحاب البطون الممتلئة بأموال الشعب..ليس المهم ان تبقى أمينا عاما لحزب تغيرت جل معالمه التي كانت في عهدك و عهد من سبقوك..الاهم انك أخيرا سترتاح من تواجدك بمكان لن تكون فيه الكلمة لك و لن تؤخد فيه قرارتك بعين الاعتبار',1,Saudi Arabia
