Sentence_ID,Tokens,NER_Tags
1,وعلى,O
1,الرغم,O
1,من,O
1,ذلك,O
1,،,O
1,لما,O
1,تجمع,O
1,أقاربه,O
1,في,O
1,كومة,O
1,من,O
1,المشاكل,O
1,،,O
1,أظهر,O
1,لهم,O
1,الرحمة,O
1,،,O
1,وقدم,O
1,اللطف,O
1,بدلًا,O
1,من,O
1,العقاب,O
1,.,O
2,بدأت,O
2,الطيور,O
2,،,O
2,حيوانات,O
2,الليل,O
2,،,O
2,في,O
2,زيادة,O
2,نشاطها,O
2,.,O
3,كان,O
3,على,O
3,وشك,O
3,يستلم,O
3,خبر,O
3,طلبه,O
3,،,O
3,وكانوا,O
3,بيستفرون,O
3,وقت,O
3,طويل,O
3,على,O
3,غير,O
3,العادة,O
3,.,O
4,تم,O
4,اتخاذ,O
4,قرار,O
4,ينشئون,O
4,نموذج,O
4,جديد,O
4,لهالسبب,O
4,.,O
5,اشترى,O
5,جون,B-PERS
5,،,O
5,كونه,O
5,رجل,O
5,ثري,O
5,،,O
5,أولًا,O
5,حقل,O
5,قمح,O
5,،,O
5,ثم,O
5,استأجر,O
5,عمالًا,O
5,لإزالة,O
5,الأعشاب,O
5,الضارة,O
5,.,O
6,إذا,O
6,قدر,O
6,يجمع,O
6,الشجاعة,O
6,لمواجهة,O
6,الجحيم,O
6,اللي,O
6,ينتظره,O
6,،,O
6,كان,O
6,يعرف,O
6,إنه,O
6,راح,O
6,يكون,O
6,في,O
6,وضع,O
6,أفضل,O
6,،,O
6,بغض,O
6,النظر,O
6,عن,O
6,صعوبة,O
6,الوضع,O
6,اللي,O
6,راح,O
6,يواجهه,O
6,،,O
6,وهذا,O
6,يقول,O
6,شيء,O
6,.,O
7,كانوا,O
7,دعامته,O
7,،,O
7,وكان,O
7,الصليب,O
7,الذي,O
7,كان,O
7,على,O
7,عاتقه,O
7,ثقيلاً,O
7,.,O
8,كان,O
8,الوضع,O
8,وكأن,O
8,اليوم,O
8,نمى,O
8,ثلاث,O
8,ساعات,O
8,إضافية,O
8,،,O
8,وهاذا,O
8,أعطى,O
8,وقت,O
8,إضافي,O
8,للتعامل,O
8,مع,O
8,الأمور,O
8,.,O
9,المعلم,O
9,يعبر,O
9,عن,O
9,الطبيعة,O
9,الإلهية,O
9,ويفهم,O
9,حكمة,O
9,العصور,O
9,.,O
10,ما,O
10,تبغون,O
10,تسألون,O
10,أي,O
10,شيء,O
10,؟,O
11,تنبأ,O
11,أن,O
11,جون,B-PERS
11,،,O
11,الرجل,O
11,من,O
11,القرية,O
11,،,O
11,يصبح,O
11,معلمًا,O
11,عظيمًا,O
11,.,O
12,الطائر,O
12,يرفّرف,O
12,بجناحيه,O
12,،,O
12,وهو,O
12,يحرّك,O
12,الهواء,O
12,البارد,O
12,من,O
12,حوله,O
12,.,O
13,انفصل,O
13,عن,O
13,شركتنا,O
13,،,O
13,اختار,O
13,طريقًا,O
13,مختلفًا,O
13,،,O
13,وبدأ,O
13,في,O
13,مغامرته,O
13,الخاصة,O
13,.,O
14,من,O
14,هاي,O
14,اللحظة,O
14,،,O
14,طرت,O
14,فكرة,O
14,يديدة,O
14,في,O
14,راسنا,O
14,.,O
15,نمت,O
15,ما,O
15,زرعوه,O
15,إلى,O
15,نباتات,O
15,وأنتجت,O
15,أوراقاً,O
15,خضراء,O
15,جميلة,O
15,.,O
16,الديك,O
16,بصياحه,O
16,الثاقب,O
16,،,O
16,أرسلَ,O
16,الليل,O
16,مسرعًا,O
16,تحت,O
16,الأفق,O
16,،,O
16,وملأ,O
16,الهواء,O
16,شعورٌ,O
16,بالتجديد,O
16,مع,O
16,فتح,O
16,نوافذ,O
16,العالم,O
16,لليوم,O
16,الجديد,O
16,.,O
17,جون,B-PERS
17,،,O
17,اللي,O
17,كان,O
17,يوصل,O
17,الموظف,O
17,الجديد,O
17,حول,O
17,المبنى,O
17,،,O
17,قال,O
17,لهم,O
17,إنهم,O
17,ما,O
17,راح,O
17,يقدرون,O
17,ياخذون,O
17,استراحات,O
17,خلال,O
17,الورديات,O
17,الليلية,O
17,.,O
18,أنا,O
18,وأخي,O
18,،,O
18,نحن,O
18,نحكم,O
18,منزلنا,O
18,معاً,O
18,.,O
19,النبي,O
19,يتحدث,O
19,،,O
19,برسالة,O
19,من,O
19,الله,B-MISC
19,،,O
19,إلى,O
19,الجمهور,O
19,.,O
20,لما,O
20,تولى,O
20,الأمر,O
20,،,O
20,استمر,O
20,المشروع,O
20,لفترة,O
20,مابتنتهي,O
20,.,O
21,مرة,O
21,واحدة,O
21,،,O
21,وصله,O
21,هذا,O
21,العمى,O
21,لسبيل,O
21,التدمير,O
21,الذاتي,O
21,.,O
22,كان,O
22,الحفل,O
22,كان,O
22,شيء,O
22,جميل,O
22,،,O
22,وما,O
22,كان,O
22,موضوعوا,O
22,بس,O
22,الموسيقى,O
22,،,O
22,بل,O
22,كانت,O
22,أداء,O
22,الفنانين,O
22,وطريقة,O
22,قدومهم,O
22,كانت,O
22,اللي,O
22,زرعت,O
22,بذرة,O
22,الإلهام,O
22,فيا,O
22,.,O
23,قبل,O
23,ما,O
23,ينتقل,O
23,،,O
23,كان,O
23,ساكن,O
23,في,O
23,مدينة,O
23,مزدحمة,O
23,.,O
24,نحن,O
24,ما,O
24,نحط,O
24,لحم,O
24,السمك,O
24,مباشرة,O
24,على,O
24,الشواية,O
24,.,O
25,كان,O
25,ينبه,O
25,الناس,O
25,للخطر,O
25,القريب,O
25,،,O
25,وكان,O
25,يرتب,O
25,نوابه,O
25,في,O
25,أماكن,O
25,مهمة,O
25,.,O
26,أمس,O
26,،,O
26,في,O
26,اليوم,O
26,التاسع,O
26,من,O
26,الرحلة,O
26,،,O
26,قررنا,O
26,نسأل,O
26,عن,O
26,أسطورة,O
26,الجبل,O
26,.,O
27,عمومًا,O
27,،,O
27,كان,O
27,عند,O
27,الأمير,O
27,الصغير,O
27,ثلاث,O
27,وثلاثين,O
27,أخت,O
27,وأخ,O
27,،,O
27,بالإضافة,O
27,إلى,O
27,الأخ,O
27,اللي,O
27,نشأ,O
27,معاه,O
27,.,O
28,قرر,O
28,تيمي,B-PERS
28,يرفض,O
28,مقابلة,O
28,ضيوف,O
28,العشاء,O
28,،,O
28,وهالشي,O
28,أثار,O
28,القلق,O
28,بين,O
28,أهالي,O
28,البلدة,O
28,.,O
29,في,O
29,الظلال,O
29,،,O
29,كانت,O
29,مجموعة,O
29,من,O
29,الأفراد,O
29,يحاولون,O
29,تخريب,O
29,السلام,O
29,.,O
30,على,O
30,الرغم,O
30,من,O
30,قوته,O
30,ومرونته,O
30,،,O
30,ما,O
30,قدر,O
30,يمنع,O
30,قريته,O
30,من,O
30,يصير,O
30,مكان,O
30,للمجاعة,O
30,الشديدة,O
30,.,O
31,إذا,O
31,ما,O
31,تم,O
31,التعامل,O
31,مع,O
31,جلد,O
31,النبيذ,O
31,بعناية,O
31,،,O
31,ممكن,O
31,ينفجر,O
31,ويسبب,O
31,في,O
31,هدر,O
31,النبيذ,O
31,.,O
32,خذ,O
32,منشفة,O
32,،,O
32,غالبًا,O
32,ما,O
32,تكون,O
32,مُنقذة,O
32,في,O
32,المواقف,O
32,الصعبة,O
32,.,O
33,الأقسام,O
33,،,O
33,وخاصة,O
33,قسم,O
33,التسويق,O
33,،,O
33,وقسم,O
33,المبيعات,O
33,،,O
33,وقسم,O
33,الإنتاج,O
33,،,O
33,كانوا,O
33,عمود,O
33,النجاح,O
33,للشركة,O
33,.,O
34,ولكن,O
34,هل,O
34,حقًا,O
34,لا,O
34,تستطيع,O
34,عيوني,O
34,رؤية,O
34,الباب,O
34,مفتوحًا,O
34,؟,O
35,ما,O
35,قدرت,O
35,أن,O
35,أضع,O
35,همومي,O
35,المرضية,O
35,جانبا,O
35,.,O
36,لكنه,O
36,ما,O
36,كان,O
36,جاهز,O
36,بعد,O
36,يواجه,O
36,العالم,O
36,.,O
37,كانت,O
37,الشمس,O
37,مشرقة,O
37,،,O
37,والطيور,O
37,تغني,O
37,،,O
37,والناس,O
37,يستمتعون,O
37,بيها,O
37,.,O
38,ولكن,O
38,قبل,O
38,ما,O
38,يسير,O
38,،,O
38,ما,O
38,نسي,O
38,يستوفي,O
38,مستلزمات,O
38,سيرته,O
38,.,O
39,كل,O
39,يوم,O
39,،,O
39,امارس,O
39,مهاراتي,O
39,في,O
39,البيانو,O
39,واعمل,O
39,على,O
39,تحسينها,O
39,لابتعادي,O
39,عن,O
39,التفكير,O
39,بالمشاغل,O
39,.,O
40,بعد,O
40,أيام,O
40,من,O
40,السير,O
40,،,O
40,لقوا,O
40,أخيراً,O
40,الماء,O
40,وتمكنوا,O
40,يرويوا,O
40,عطشهم,O
40,.,O
41,أنت,O
41,،,O
41,يا,O
41,صاحبي,O
41,،,O
41,مثابر,O
41,مثل,O
41,الذبابة,O
41,،,O
41,ما,O
41,توقف,O
41,أبدًا,O
41,عن,O
41,محاولاتك,O
41,.,O
42,قالوا,O
42,إنها,O
42,تقدر,O
42,تلعن,O
42,أي,O
42,واحد,O
42,يعبر,O
42,طريقها,O
42,،,O
42,وتجيب,O
42,الشر,O
42,والحزن,O
42,.,O
43,كان,O
43,سيد,O
43,الأرض,O
43,يراقب,O
43,ماشيته,O
43,بشعور,O
43,من,O
43,الفخر,O
43,.,O
44,وهو,O
44,واصل,O
44,وصف,O
44,الفوضى,O
44,بـ,O
44,لعبة,O
44,إعصار,O
44,"""",O
44,وهو,O
44,يسويها,O
44,.,O
44,"""",O
45,كونه,O
45,إنسان,O
45,فضولي,O
45,،,O
45,ماقدر,O
45,يكتم,O
45,س,O
45,',O
45,من,O
45,وين,O
45,نجي,O
45,؟,O
45,',O
46,كانت,O
46,الخنازير,O
46,تتجول,O
46,بين,O
46,الجبال,O
46,والمراعي,O
46,.,O
47,كشفوا,O
47,عن,O
47,خطتهم,O
47,،,O
47,خطة,O
47,جريئة,O
47,لاحتلال,O
47,السوق,O
47,.,O
48,العمدة,O
48,المحبوب,O
48,،,O
48,عمود,O
48,القوة,O
48,في,O
48,المجتمع,O
48,،,O
48,صابه,O
48,نوبة,O
48,صرع,O
48,.,O
49,اليوم,O
49,كان,O
49,حارًا,O
49,،,O
49,بس,O
49,كان,O
49,منتظر,O
49,تحول,O
49,في,O
49,الطقس,O
49,بحلول,O
49,المساء,O
49,.,O
50,لقيت,O
50,الباب,O
50,للكروم,O
50,مفتوح,O
50,،,O
50,وناوي,O
50,أمر,O
50,منه,O
50,غدا,O
50,.,O
51,أنا,O
51,،,O
51,شخص,O
51,منعزل,O
51,،,O
51,قررت,O
51,إرسال,O
51,أخي,O
51,للبلاد,O
51,الشمالية,O
51,،,O
51,وين,O
51,الأرض,O
51,ما,O
51,وصلها,O
51,يد,O
51,الإنسان,O
51,.,O
52,أمير,O
52,القرية,O
52,الذي,O
52,كان,O
52,يعقد,O
52,اجتماعًا,O
52,كان,O
52,أكثر,O
52,انخراطًا,O
52,في,O
52,عالم,O
52,القرويين,O
52,من,O
52,النبي,O
52,.,O
53,كنت,O
53,،,O
53,بطريقتي,O
53,الخاصة,O
53,،,O
53,ممتلئًا,O
53,بشعور,O
53,عميق,O
53,بالإنجاز,O
53,.,O
54,أدرك,O
54,إنه,O
54,الرحلة,O
54,مو,O
54,بس,O
54,تحدّ,O
54,جسدي,O
54,،,O
54,بل,O
54,كانت,O
54,مصدر,O
54,للطعام,O
54,الروحي,O
54,أيضًا,O
54,.,O
55,الطلب,O
55,على,O
55,المياه,O
55,متساوي,O
55,مع,O
55,الطلب,O
55,على,O
55,الكهرباء,O
55,،,O
55,وحرارة,O
55,الصيف,O
55,زادت,O
55,الاستهلاك,O
55,.,O
56,التلميذ,O
56,،,O
56,متحمس,O
56,للتعلم,O
56,،,O
56,والمعلم,O
56,،,O
56,مستعد,O
56,لنقل,O
56,الحكمة,O
56,،,O
56,كانوا,O
56,يستعدون,O
56,للنقاش,O
56,الفلسفي,O
56,.,O
57,هل,O
57,تقدر,O
57,تصدق,O
57,إن,O
57,إيليا,B-ORG
57,أثبت,O
57,الحدث,O
57,المعجزة,O
57,؟,O
58,واحد,O
58,منهم,O
58,هو,O
58,إعطاء,O
58,مملكة,O
58,القيم,O
58,الطيبة,O
58,لأطفالي,O
58,.,O
59,ما,O
59,صار,O
59,يحط,O
59,مفاتيحه,O
59,على,O
59,الطاولة,O
59,.,O
60,العثة,O
60,،,O
60,لما,O
60,كانت,O
60,تستكشف,O
60,براءتها,O
60,،,O
60,صارت,O
60,النتيجة,O
60,إنها,O
60,كسرت,O
60,وشاح,O
60,الحرير,O
60,المفضل,O
60,عندي,O
60,.,O
61,هو,O
61,الآن,O
61,جاهزٌ,O
61,للتحضير,O
61,للرحلة,O
61,المنشودة,O
61,التي,O
61,كان,O
61,يحلم,O
61,بها,O
61,دائماً,O
61,،,O
61,مع,O
61,توفر,O
61,جميع,O
61,الموارد,O
61,اللازمة,O
61,له,O
61,.,O
62,قرر,O
62,صديقي,O
62,البقاء,O
62,في,O
62,مكان,O
62,واحد,O
62,،,O
62,بس,O
62,اخترت,O
62,أنا,O
62,أروح,O
62,كل,O
62,مكان,O
62,.,O
63,في,O
63,خضم,O
63,هذا,O
63,كله,O
63,،,O
63,كان,O
63,فيه,O
63,حفل,O
63,موسيقي,O
63,يصير,O
63,،,O
63,شيء,O
63,كانوا,O
63,مخططين,O
63,له,O
63,منذ,O
63,أشهر,O
63,،,O
63,حصل,O
63,تقول,O
63,أنه,O
63,راح,O
63,يتذكر,O
63,لسنين,O
63,جاية,O
63,.,O
64,أكون,O
64,ربانيًا,O
64,في,O
64,احترام,O
64,القانون,O
64,ومبادئه,O
64,.,O
65,علم,O
65,بأنه,O
65,راح,O
65,يمتلك,O
65,يوماً,O
65,قارب,O
65,صغير,O
65,ويبحر,O
65,في,O
65,البحار,O
65,الواسعة,O
65,.,O
66,مع,O
66,ذلك,O
66,،,O
66,توجه,O
66,بخطواته,O
66,بعيداً,O
66,عن,O
66,الشركة,O
66,،,O
66,اختار,O
66,اتجاه,O
66,جديد,O
66,،,O
66,وطلع,O
66,نحو,O
66,المجهول,O
66,.,O
67,كان,O
67,عالم,O
67,النبي,O
67,هادئاً,O
67,كما,O
67,كان,O
67,خالٍ,O
67,من,O
67,وجوده,O
67,.,O
68,إنهم,O
68,ما,O
68,يرفضون,O
68,ولا,O
68,يستجيبون,O
68,لهذه,O
68,الأحداث,O
68,،,O
68,لأنهم,O
68,يفهمون,O
68,أنها,O
68,جزء,O
68,من,O
68,الرحلة,O
68,.,O
69,يجب,O
69,أن,O
69,يرفع,O
69,صوته,O
69,وينبه,O
69,البلدة,O
69,.,O
70,كان,O
70,لدي,O
70,منظرٌ,O
70,رائع,O
70,للبحر,O
70,.,O
71,قرر,O
71,يأخذ,O
71,الزمام,O
71,وينظم,O
71,الاجتماع,O
71,الأول,O
71,بنفسه,O
71,.,O
72,لو,O
72,أنت,O
72,سيد,O
72,الفريق,O
72,،,O
72,جاوب,O
72,على,O
72,سؤال,O
72,جين,B-PERS
72,فوراً,O
72,.,O
73,في,O
73,المرتبة,O
73,الثانية,O
73,،,O
73,تم,O
73,تعيين,O
73,ابنهم,O
73,رسميًا,O
73,كوريث,B-PERS
73,.,O
74,الناس,O
74,كانوا,O
74,يقولون,O
74,إنه,O
74,معجزة,O
74,.,O
75,كان,O
75,الصهر,O
75,،,O
75,الذي,O
75,انتقل,O
75,حديثاً,O
75,إلى,O
75,المدينة,O
75,،,O
75,تحت,O
75,مراقبة,O
75,المأمور,O
75,الدقيقة,O
75,.,O
76,وبسبب,O
76,اكتشافها,O
76,،,O
76,أدرك,O
76,الرجلُ,O
76,البريءُ,O
76,كالحَمَل,O
76,الخيرَ,O
76,الكامنَ,O
76,في,O
76,الحفاظِ,O
76,على,O
76,الماضي,O
76,.,O
77,أفعاله,O
77,الصالحة,O
77,كانت,O
77,دائماً,O
77,ملحوظة,O
77,من,O
77,قبل,O
77,الآخرين,O
77,،,O
77,وكثيراً,O
77,ما,O
77,كان,O
77,القرويون,O
77,يمنحونه,O
77,مكافآت,O
77,تقديراً,O
77,لخدماته,O
77,.,O
78,أخذت,O
78,نفسًا,O
78,عميقًا,O
78,،,O
78,شفتهم,O
78,،,O
78,وحقائب,O
78,الظهر,O
78,الخاصة,O
78,بهم,O
78,مليئة,O
78,بدفاتر,O
78,الملاحظات,O
78,الجديدة,O
78,والشعور,O
78,بالترقب,O
78,.,O
79,سمحوا,O
79,لهم,O
79,،,O
79,وهذا,O
79,الشيء,O
79,خلّانهم,O
79,يتسرّعون,O
79,نحو,O
79,النهر,O
79,عبر,O
79,الضفة,B-LOC
79,الحادّة,O
79,.,O
80,هنا,O
80,في,O
80,هالمكان,O
80,الساكن,O
80,،,O
80,كان,O
80,المقعد,O
80,المفضل,O
80,لجورج,B-PERS
80,،,O
80,كل,O
80,مرة,O
80,يجلس,O
80,عليه,O
80,كأنه,O
80,يأخذ,O
80,شكله,O
80,.,O
81,كنت,O
81,أنا,O
81,،,O
81,بقلب,O
81,مثقل,O
81,،,O
81,من,O
81,شارك,O
81,في,O
81,هالقرار,O
81,الصعب,O
81,.,O
82,كان,O
82,عندها,O
82,إذن,O
82,وسبب,O
82,لمواجهة,O
82,الشيطان,B-MISC
82,،,O
82,تمامًا,O
82,كما,O
82,كان,O
82,المعلم,O
82,،,O
82,مدرس,O
82,القانون,O
82,،,O
82,ينصح,O
82,.,O
83,كانوا,O
83,مستعدين,O
83,للتحدي,O
83,الجسدي,O
83,،,O
83,ولكن,O
83,أيضًا,O
83,للرحلة,O
83,التي,O
83,هي,O
83,المصدر,O
83,الأبدي,O
83,للغذاء,O
83,الروحي,O
83,.,O
84,وعندما,O
84,الشمس,O
84,كانت,O
84,آخر,O
84,مرة,O
84,تحمل,O
84,،,O
84,وجدت,O
84,نفسي,O
84,أحب,O
84,أنني,O
84,أكون,O
84,جزء,O
84,من,O
84,هاللحظة,O
84,الأبدية,O
84,مرة,O
84,ثانية,O
84,.,O
85,على,O
85,الرغم,O
85,من,O
85,عماه,O
85,،,O
85,كان,O
85,يعلم,O
85,أنه,O
85,سيشهد,O
85,يومًا,O
85,ما,O
85,تحقق,O
85,النبوءة,O
85,،,O
85,لأنه,O
85,كان,O
85,من,O
85,الضروري,O
85,حدوث,O
85,النبوءة,O
85,.,O
86,كلمة,O
86,الملك,O
86,،,O
86,التي,O
86,كانت,O
86,أساسَ,O
86,فرحهم,O
86,،,O
86,وعدَت,O
86,بوقتٍ,O
86,من,O
86,السلام,O
86,.,O
87,صعدنا,O
87,الجبل,O
