sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	JER	هناك، قدام مكتب استعلامات السياح بالزبط.
9	corpus-6-test-corpus-26-train	JER	عمري ما سمعت هدا العنوان هون.
11	corpus-6-test-corpus-26-train	JER	خليك ماشي دغري لتلاقي صيدلية.
26	corpus-6-test-corpus-26-train	JER	قديش الفطور؟
27	corpus-6-test-corpus-26-train	JER	كيف بقدر أساعدك؟
30	corpus-6-test-corpus-26-train	JER	روح شمال عند الكورنر التالتة.
50	corpus-6-test-corpus-26-train	JER	بتحب السكر و الكريمة مع قهوتك؟
64	corpus-6-test-corpus-26-train	JER	بتقدر تصرفلي شك الميتين دولار تبعي؟
74	corpus-6-test-corpus-26-train	JER	ازا لازم يظهر، احكي معي.
86	corpus-6-test-corpus-26-train	JER	وين الكوفي شوب؟
87	corpus-6-test-corpus-26-train	JER	بدي جرزة أطفال.
91	corpus-6-test-corpus-26-train	JER	طيب. بتكلف خمسة و تمانين سنت للبريد العادي و تلات دولارات بالزبط اضافية للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	JER	لو كنت مكانك بشتريه.
129	corpus-6-test-corpus-26-train	JER	رح ألاقي صعوبات في الجمارك؟
130	corpus-6-test-corpus-26-train	JER	في عندك كندرة رسمي عريضة؟
140	corpus-6-test-corpus-26-train	JER	لأ. تاخد غرفة بتختين لاستعمال واحد؟ في عنا واحدة.
143	corpus-6-test-corpus-26-train	JER	بدي كيرلي صغير، لو سمحت.
145	corpus-6-test-corpus-26-train	JER	بدها بيرة.
157	corpus-6-test-corpus-26-train	JER	صباح الخير. كيف حالك؟
158	corpus-6-test-corpus-26-train	JER	متأسف محتاج اني أشوف بطاقة الهوية.
169	corpus-6-test-corpus-26-train	JER	شو نوع الصوص؟
170	corpus-6-test-corpus-26-train	JER	هدا بارد شوي. بتقدر تسخنه؟
173	corpus-6-test-corpus-26-test	JER	متأسف، هدا المكان محجوز.
176	corpus-6-test-corpus-26-train	JER	أنا منيح. بس بتقدر تكلملي صاحبي؟
177	corpus-6-test-corpus-26-test	JER	شكرا، هيك بكفي.
184	corpus-6-test-corpus-26-train	JER	مين صاحبك المفضل؟
187	corpus-6-test-corpus-26-train	JER	يوم الصحة و الرياضة العالمي في العاشر من اكتوبر هو يوم وطني مخصص للتوعية بصحة الناس.
192	corpus-6-test-corpus-26-train	JER	بدك ياني أفحص تحت غطا السيارة؟
206	corpus-6-test-corpus-26-train	JER	بتقدر تساعدني ألاقي شنتتي؟
221	corpus-6-test-corpus-26-train	JER	بتعمل الترتيبات قبل بوقت؟
238	corpus-6-test-corpus-26-train	JER	عم بساعدوني. شكرا الك.
261	corpus-6-test-corpus-26-train	JER	لما توصل هناك، اسأل حدا تاني، لو سمحت.
280	corpus-6-test-corpus-26-train	JER	بدي التحويلة رقم أربعة و عشرين، لو سمحت.
285	corpus-6-test-corpus-26-train	JER	هي دولارين. خلي الباقي معك.
315	corpus-6-test-corpus-26-train	JER	واحد هامبرغر وواحد برغر مع جبنة، لو سمحت.
319	corpus-6-test-corpus-26-train	JER	قديش بتاخد على العملية؟
320	corpus-6-test-corpus-26-train	JER	كل واحد فينا بدو يدفع عن وجبتو.
326	corpus-6-test-corpus-26-train	JER	الموقع كان على كرسي في اللوبي.
