Sentence_ID,sentence,label,Dialect
1,خصوصا الشركات لأنو رح تكون هدف سهل لمحاولت اختراق سيرفر الشبكة التجارية,3,Syria
2,ألفين مبروك أخي تميم يعني والله بتستاهل فعلاً لأنك رجال معدَّل وأبضاي وزكرت والله ...,0,Jordan
3,يآأاساتر مين هووون بشوووف,3,Lebanon
4,يعني اذا كنت انا صاحب شركة كمان ما رح اخد غير الوجه الحسن,0,Jordan
5,وحتى بالعدوان كانوا شركاء في مجزرة مروحين ...,3,Oman
6,أنو ربي قطة تكون صغيرة و ربيها أنا وتحبني شغلة حلوة مو ...,0,Syria
7,ونضول كنت اشتريت فيا تياب ومكياجات وعملت حفلة كبيرة بلا مناسبة بس نوع من البريستيج والقنفشة,0,Syria
8,والموضوع كله هفة الغاء الدين الاسلامي وبالتدريج من حياة اولادنا ومن حياتنا هاد مو من حق,3,Iraq
9,شو مطولة ستي واشملكم ريحة عطر راششتو على حالها ..,0,Lebanon
10,و بتمنى كون صديقة بيناتكن يا احلى منتدى,0,Jordan
11,هنن أوسخ وأوطى من أنو يحكوا على المرحوم حافظ الاسد,3,Lebanon
12,و عاقبال ما نشوفك ... دكتور ناجح بإذن الله ...,0,Tunisia
13,٢ بالأولى ووحدة بالتالتة .. إلا مادة السنة التانية ماعم تترفع ..,3,Syria
14,ولا عندها مشكلة لو تمت سنة .. قبل العرس ..,0,Libya
15,بختار اشكي لحالي وما أظلمه معي,3,Saudi Arabia
16,قبل كمن سنة ... ولما توافدو اليهود من كل مناطق العالم,3,Palestine
17,والله مبينة الوحدة الوطنية كتير منيح من تعليقات هالناس المعقدين,3,Syria
18,وصرت تسمع كلمة ممنوع الوقفة هون من واحد ما بيسوى فرنك ونص,3,Jordan
19,كيف ... لما بتكون عما تقدم امتحان ووحدة صوبك عما تعلك ...,3,Lebanon
20,واللي مابتعرفه ياسيدي الكريم أو بجوز بتعرف وماذكرته انه مو الصيدلاني اللي عطاه الإبرة !!,3,Oman
21,والمتمرد يحترمه الكبار والصغار ؟؟,3,Yemen
22,كل عام وانتي بالف خير يا عمو والله يجعل ايامك كلها حلوة وناطرين رجعتك مشان الكاتووو و القهوة وعقبال فرحة التخرج .,0,Syria
23,لأن فيها خربان بيت متنل العين بالعن والسن بالسن,3,Syria
24,يعني في مخالفة ١٠٠٠ ليرة ؟,3,Palestine
25,انا بدعو صحبتكم لاحدي المواقع من جميع الانواع اضغط هنا ميمو,0,Sudan
26,ملكة الحب ملاحظه جيده والله كنت بسألهم اليوم ليش مختفين بس الاختبار شغلني ان شاء الله اوفيكم بالاخبار عنهم «:confused:»,0,Oman
27,ويتربى بعز ودلال والديه ان شاء الله ومبرك الك,0,Oman
28,مواضيعك دائما مميزة ..,0,Saudi Arabia
29,انو اللي لابسين البدلات يعني كتير عوكات وفايتين,3,Lebanon
30,في اشخاص بالأصل هنن عندون انفصام وأمراض نفسية بحاولو انو يعملو شي للفت الانظار,3,Lebanon
