sentID.BTEC,sent,sentiment
0,موجود في اخر الكولوار. و نجيبهولك توا. كان تستحق حاجة اخرى، قلي.,neutral
2,تعملوا تبديلات؟,neutral
4,نحبوا طاولة قريبة مالشباك.,neutral
5,اهوكا غادي، بالضبط قدام البيرو متاع الارشادات السياحية.,neutral
9,عمري ما سمعت بالادريسة هاذي هوني.,neutral
11,امشي طول طول حتى لين تشوف صيدلية.,neutral
12,شنوة اجد لون الفصل هذا؟,neutral
14,في الحالة متاعي انا، الكثرية للخدمة، و ساعات للتفرهيد.,neutral
15,بش نقعد نهارين.,neutral
16,نحب برمانونت قوي.,neutral
17,نحب نحجز زوز بيوت بزوز فروشات.,neutral
18,ما نحبوش يتجبد.,negative
19,الكار هاذي تاقف في شارع ستونر؟,neutral
24,عيشك حل فمك بالقدا.,neutral
26,بقداش فطور الصباح؟,neutral
27,كيفاش انجم نعاونك؟,neutral
29,هيا نمشيو ناكلوا قدمة.,neutral
30,دور الدورة الثالثة عاليسار.,neutral
31,ميسالش تنضف الحوايج هاذوما؟,neutral
37,نعطيك نومرو التاليفون و الادريسة هاذوما.,neutral
38,خلصت الماكلة و الوتيل بالمسبق.,neutral
40,نلوج في مشوى باهي و هادي. تنجم توريني وين عالخريطة هاذي؟,neutral
42,الي يكسر حاجة يشريها.,negative
46,تو نقلها تكلمك دوب ما تروح.,neutral
50,تحب كريمة و سكر في قهوتك؟,neutral
51,جروحها خطيرة.,negative
52,نحب بريكية.,neutral
53,الوتيل هذا فيه تجهيزات لكونفرونس؟,neutral
56,ميسالش نعملو تحريشة و برا؟,neutral
57,نكلم فيك مالمطار. نوصل لغادي مع الاربعة.,neutral
62,منين نحول لشيكاغو؟,neutral
63,بقداش جواب مصوقر لفرانسا؟,neutral
64,تنجم تصبلي ها الشاك بميتين دولار متاعي؟,neutral
68,فما فرق كبير كيف تسوق عاليمين.,neutral
69,الممثل هذا طيارة بالحق.,positive
72,وينو الجزء متاع الكتب اللي ميش ادبية؟,neutral
74,لو لازم يضهر، كلمني عيشك.,neutral
78,ممكن تبدللي بقعتي؟,neutral
79,فما قارانطي؟,neutral
83,سامحني، تو نتلهى بالكلب.,neutral
84,اعطيني زوز تساكر متاع قطاطس، للخميس هذا.,neutral
86,ويني القهوة؟,neutral
87,نحب مريول متاع صغار.,neutral
89,تنجم تعاودلي اسمك؟,neutral
90,سي براون موجود؟,neutral
91,باهي. مراسلة عادية بخمسة و ثمانين سنت وزايدة تلاثة دولارات بالضبط للمراسلة اللي من النوع لبخاص.,neutral
92,انجم نكري بطو على نهار؟,neutral
93,في انا شباك انجم نعمل حجز؟,neutral
94,شنوة هاذاكا؟,neutral
96,تقلي كيفاش نمشي للاوبرا يعيشك؟,neutral
97,موش كاينك سكرت شوية البارح، يا عزيزي؟,neutral
98,عيشكم تبعو تعليمات الموضفين متاعنا.,neutral
100,فما حانوت شامل قريب من هنا؟,neutral
102,عبيهولي للفم، عيشك.,neutral
103,فما بيت ارخص؟,neutral
104,نفضل كرهبة اوتوماتيك.,negative
105,باش نقعد في مبيت جامعة هارفارد.,neutral
106,شنية القيمة اليوم؟,neutral
108,مريض بضيق النفس المزمن.,negative
109,عندي تقريبا تلاثة لاف دولار.,neutral
111,باهي، يا سيدي. نحطلك معاه فريت ولا روز. شنوة تحب؟,neutral
112,كيفاش نمشي للبلاصة هاذي؟,neutral
113,شنية نوعها القصة هاذي؟,neutral
115,تلاثة مرات.,neutral
116,انا هو الشباك اللي يبيع التنابر؟,neutral
117,بعد ما هجم علي، هرب في كميونة بيضة.,negative
119,باهي. خلي عندك التيكة هاذي و جيبها معاك كيف تجي بش تهزو.,neutral
120,انا في بلاصتك نشريه.,positive
122,ميتين دولار. فلوس ولا كارطة؟,neutral
125,قداش يلزم وقت عبور هاذي البركة؟,neutral
128,فما ماكلة ما يلزمش ناكلها و انا نشرب في الدواء هذا؟,neutral
129,باش نلقى مشكلة مع الديوانة؟,neutral
130,تبيعو صبابط رسمية يكونو واسعين من شيرة الصوابع؟,neutral
131,من فضلك شوية شراب احمر؟,neutral
133,قلي كيف نوصلو للمتحف.,neutral
134,الكار هاذي تمشي لوتيل الشيراتون؟,neutral
135,قداش يطلعو؟,neutral
136,الدنية سخونة شوية. ميسالش نحل الشباك؟,neutral
138,دوش يزي.,neutral
139,عينيا حمر.,negative
140,لا. تحب بيت فيها زوز فروشات نحسبوها لشخص برك؟ عنا وحدة.,neutral
142,ما انجمش نضمنلك، اما تو نعملو اللي انجمو.,positive
143,نحب برمانونت قوية، عيشك.,neutral
144,البحر كان يترا من بعيد تحتنا.,neutral
145,تحب كعبة بيرا.,neutral
