sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	MUS	اهو هناك، بالضبط جدام امام مكتب المعلومات السياحية.
9	corpus-6-test-corpus-26-train	MUS	انا ماسمعت ابد بالهعنوان.
11	corpus-6-test-corpus-26-train	MUS	روح سيده حتى تشوف الصيدلية.
26	corpus-6-test-corpus-26-train	MUS	بجم سعر الريوق؟
27	corpus-6-test-corpus-26-train	MUS	كيف اقدر اساعدك؟
30	corpus-6-test-corpus-26-train	MUS	سير يسار للتقاطع الثالث.
50	corpus-6-test-corpus-26-train	MUS	تبا نحط لك كريم و سكر بالقهوة؟
64	corpus-6-test-corpus-26-train	MUS	هل تقدر تصرفلي شيك بمائتي دولار؟
74	corpus-6-test-corpus-26-train	MUS	اذا كان مفروض يبين، اتصل فيني لو سمحت.
86	corpus-6-test-corpus-26-train	MUS	وين صاير المقهي؟
87	corpus-6-test-corpus-26-train	MUS	أبغا سترة للأطفال.
91	corpus-6-test-corpus-26-train	MUS	انزين. وتكلف خمسة وثمانين سنتا للبريد العادي وثلاثة دولارات بالضبط إضافية للتسليم الخاص.
120	corpus-6-test-corpus-26-test	MUS	أبا اشتري هذا لو حاب.
129	corpus-6-test-corpus-26-train	MUS	هل واجهت أي صعوبه مع الجمارك؟
130	corpus-6-test-corpus-26-train	MUS	عندك جواتي رسمية واسعة؟
140	corpus-6-test-corpus-26-train	MUS	لا. ممكن أقترح غرفة مزدوجة لاستخدام شخص بدلا من ذلك؟ عندنا واحدة.
143	corpus-6-test-corpus-26-train	MUS	أبا كيرلي قوي، من فضلك.
145	corpus-6-test-corpus-26-train	MUS	هي تبا بيره.
157	corpus-6-test-corpus-26-train	MUS	صباح الخير. كيف حالك؟
158	corpus-6-test-corpus-26-train	MUS	اسف احتاج اشوف اثبات للهوية.
169	corpus-6-test-corpus-26-train	MUS	أي نوع من الصوص؟
170	corpus-6-test-corpus-26-train	MUS	هذا بارد نوعا ما. بتسخنه؟
173	corpus-6-test-corpus-26-test	MUS	اسف، بس هالمكان ماخوذه من قبل.
176	corpus-6-test-corpus-26-train	MUS	أنا بخير. هل تمانع اتصل بصديقي؟
177	corpus-6-test-corpus-26-test	MUS	مشكور، كفيت ووفيت.
184	corpus-6-test-corpus-26-train	MUS	منو صديقك المفضل؟
187	corpus-6-test-corpus-26-train	MUS	يوم الصحة والرياضة عشرة اكتوبر عطلة وطنية عشان تعزيز صحة الشعب.
192	corpus-6-test-corpus-26-train	MUS	هل تبا مني افحص تحت صندوق السيارة؟
206	corpus-6-test-corpus-26-train	MUS	هل تقدر تساعدني اندور شنطة السفر؟
221	corpus-6-test-corpus-26-train	MUS	تبا اتسوي الترتيبات من قبل؟
238	corpus-6-test-corpus-26-train	MUS	فيه شخص بيساعدني، شكرا.
261	corpus-6-test-corpus-26-train	MUS	من توصل هناك، اسال شخص ثاني لو سمحت.
280	corpus-6-test-corpus-26-train	MUS	أبا مد اربع وعشرين، لو سمحت.
285	corpus-6-test-corpus-26-train	MUS	اهني دولارين، احتفظ بالباقي.
315	corpus-6-test-corpus-26-train	MUS	لو سمحت عطني واحد همبرجر وواحد همبرجر مع جبن.
319	corpus-6-test-corpus-26-train	MUS	بجم تاخذ في هالعملية؟
320	corpus-6-test-corpus-26-train	MUS	نحن نبغا ندفع الوجبات مالتنا.
326	corpus-6-test-corpus-26-train	MUS	الموقع كان على الكرسي في بهو الفندق.
333	corpus-6-test-corpus-26-test	MUS	لو سمحت أبا اصرف هاذي الينات الى جنيهات.
346	corpus-6-test-corpus-26-train	MUS	أبا قاموس بحجم المخبى لو سمحت.
360	corpus-6-test-corpus-26-train	MUS	حال شخصين على السبع، الاسم واتاناب.
368	corpus-6-test-corpus-26-train	MUS	ساعتي كانت نوعية سايكو الرقمية.
370	corpus-6-test-corpus-26-train	MUS	يسعدنا نقدملك المشروب الي تختاره، وبعده العشا. وفيه دليل كامل عن المشروبات اللي نقدمها في هالرحلة موجود في دليل المعلومات في مجلتنا.
373	corpus-6-test-corpus-26-test	MUS	هل تعيش بالقرب من اهني؟
375	corpus-6-test-corpus-26-train	MUS	وين يصير محل بيع الهدأيا؟
386	corpus-6-test-corpus-26-test	MUS	انا على الخط السريع واحد بقرب خليج مورو.
391	corpus-6-test-corpus-26-train	MUS	أبا منبه لو سمحت.
398	corpus-6-test-corpus-26-dev	MUS	على فكرة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	MUS	هالقطار يتوقف عند بحيرة فورست صحيح؟
408	corpus-6-test-corpus-26-train	MUS	اكثر اليابانيين ياكلون الاخطبوط والحبار.
416	corpus-6-test-corpus-26-train	MUS	لو سمحت اقدر احجز تذكرتين من الدرجة الثانية لشيكاجو؟
419	corpus-6-test-corpus-26-train	MUS	انا رحت لنيويورك.
423	corpus-6-test-corpus-26-train	MUS	شو هو رقم الرحلة؟
442	corpus-6-test-corpus-26-test	MUS	واحد لنيويورك من فضلك.
446	corpus-6-test-corpus-26-train	MUS	حال جم يوم.
447	corpus-6-test-corpus-26-train	MUS	الثاني الى اليسار.
471	corpus-6-test-corpus-26-dev	MUS	هاذي البطاقه، انزين؟
488	corpus-6-test-corpus-26-train	MUS	هل هذيه مكتب الاستقبال؟ في عياده جريبه مناك؟
493	corpus-6-test-corpus-26-train	MUS	سوف عشرة دولارات يكون كافيا بسيارة أجرة؟
503	corpus-6-test-corpus-26-train	MUS	هاذي الاذواق غريبه.
512	corpus-6-test-corpus-26-train	MUS	نعم. لحظه، بايبلك واحد لك.
516	corpus-6-test-corpus-26-train	MUS	نص غرشه لو سمحت.
540	corpus-6-test-corpus-26-train	MUS	مب صحيح، مجرد شي مب غالي.
548	corpus-6-test-corpus-26-train	MUS	هل ادور عن شي؟
551	corpus-6-test-corpus-26-train	MUS	اربع ليلات.
553	corpus-6-test-corpus-26-train	MUS	أبا بعض الزلاغات.
565	corpus-6-test-corpus-26-train	MUS	تقدر اتخليه ارخص لانه فيه جم بقعه عليه؟
571	corpus-6-test-corpus-26-train	MUS	رجال دعم في ويهي. بعدين لاحظت ان البوك اختفي.
599	corpus-6-test-corpus-26-train	MUS	ما متاكد اذا الملابس الي خذتها بتيزي حق ثلاث أسابيع.
612	corpus-6-test-corpus-26-train	MUS	انزين، نبا انجرب النبيذ الأبيض.
631	corpus-6-test-corpus-26-train	MUS	أي واحد بيسالك عني، قولهم له انا موجود في المقهي.
632	corpus-6-test-corpus-26-train	MUS	انا متاكد كان داخل بوك معطفي الداخلي.
641	corpus-6-test-corpus-26-test	MUS	ممكن احصل على اسم ورقم الشخص الذي تتصل به؟
643	corpus-6-test-corpus-26-train	MUS	هل تدفع شركة الطيران لي لشراء بعض الضروريات الشخصية الأساسية؟
650	corpus-6-test-corpus-26-train	MUS	أبا غرفه مع حمام.
652	corpus-6-test-corpus-26-dev	MUS	ولا شي يطلع من الجهاز؟
667	corpus-6-test-corpus-26-test	MUS	كان المفروض تاخذ الرحلة رقم ثمانية صفر اثنين اللي طارت من خمسة عشر دقيقة. زين. ممكن ارتبلك رحلة اخرى.
673	corpus-6-test-corpus-26-train	MUS	في شخص بطل طردي.
679	corpus-6-test-corpus-26-test	MUS	أوه، لا شيء. أنت اهني على أي حال.
680	corpus-6-test-corpus-26-train	MUS	الخطوط الجوية اليابانية، رحلة رقم واحد اثنين ثلاثة.
681	corpus-6-test-corpus-26-train	MUS	محتاج اشتري شامبو.
683	corpus-6-test-corpus-26-train	MUS	تقدر تخبرني لما نوصل عند المركز المدني؟
688	corpus-6-test-corpus-26-train	MUS	وين اقرب جزار؟
703	corpus-6-test-corpus-26-train	MUS	نبا نبقى مدة اربع ليالي بداية من اول أغسطس.
708	corpus-6-test-corpus-26-train	MUS	شو اسم ذيج الزهره؟
719	corpus-6-test-corpus-26-train	MUS	سبتمبر الخامس عشر هو يوم الاحترام للشيخوخة.
723	corpus-6-test-corpus-26-train	MUS	ماشي صابون في غرفتي.
741	corpus-6-test-corpus-26-dev	MUS	في شيء اقدر اسويه لهالطفح الجلدي؟
742	corpus-6-test-corpus-26-train	MUS	اقدر اغير الصياغة إلى ما قلت للتو؟
761	corpus-6-test-corpus-26-test	MUS	جم من الوقت يبا عشان اخذ الطلب؟
773	corpus-6-test-corpus-26-train	MUS	لو سمحت تقدر ترفع صوتك شوي؟
777	corpus-6-test-corpus-26-train	MUS	جم من الوقت بيأخذ قبل لا يطلع؟
786	corpus-6-test-corpus-26-train	MUS	وين المعلومات الرياضية؟
787	corpus-6-test-corpus-26-train	MUS	هذا الحجم اهني، الأول قال الحجم العادي، بسويه.
793	corpus-6-test-corpus-26-test	MUS	وين بتنتهي الجولة؟ ومتى؟
848	corpus-6-test-corpus-26-train	MUS	وين لازم اغير القطارات عشان أوصل حق ادنبره؟
855	corpus-6-test-corpus-26-train	MUS	أبا اخلي هذا في صندوق امانات.
859	corpus-6-test-corpus-26-train	MUS	وين اقدر اصرف بيزاتي؟
897	corpus-6-test-corpus-26-train	MUS	نقدر نخلي أشياءنا، باستثناء الأشياء الثمينة، في الحافلة؟
902	corpus-6-test-corpus-26-train	MUS	وأتساءل شو دفعنا زيادة على فاتورتي.
917	corpus-6-test-corpus-26-train	MUS	بدفع خمسين دولار.
941	corpus-6-test-corpus-26-train	MUS	الخحين عرفت شو هو الغلط.
957	corpus-6-test-corpus-26-dev	MUS	انا ايكيدا. عندي حجز طاولة ستة ونص مساء. انا اسف بتأخر نصف ساعة.
