sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	BAS	موجود هناك، بالضبط كدام مكتب معلومات السياح.
9	corpus-6-test-corpus-26-train	BAS	ما سامع بهذا العنوان هنا ابد.
11	corpus-6-test-corpus-26-train	BAS	اطلع كبل لحد ما تشوف صيدلية.
26	corpus-6-test-corpus-26-train	BAS	ابيش الريوك؟
27	corpus-6-test-corpus-26-train	BAS	شلون اكدر اساعدك؟
30	corpus-6-test-corpus-26-train	BAS	اخذ يسرة يم ثالث ركن.
50	corpus-6-test-corpus-26-train	BAS	تريد كريمة وشكر بكهوتك؟
64	corpus-6-test-corpus-26-train	BAS	تكدر تصرف صك الميتين دولار مالتي؟
74	corpus-6-test-corpus-26-train	BAS	اذا لازم يبين، خابرني بلا زحمة.
86	corpus-6-test-corpus-26-train	BAS	وين الكهوة؟
87	corpus-6-test-corpus-26-train	BAS	اريد سترة جهال.
91	corpus-6-test-corpus-26-train	BAS	اوكي. البريد العادي يكلف خمسة وثمانين سنت و بس تلث دولارات إضافية زيادة للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	BAS	لو بمكانك جان اشتريت هذا.
129	corpus-6-test-corpus-26-train	BAS	راح اشوف صعوبة ويه الكمارك؟
130	corpus-6-test-corpus-26-train	BAS	عندك احذية رسمية عريضة من منطقة الأصابع؟
140	corpus-6-test-corpus-26-train	BAS	لا. انا اقترح غرفة مزدوجة لاستخدام واحد افضل؟ عدنا وحدة.
143	corpus-6-test-corpus-26-train	BAS	اريد كيرلي ضيق، بلا زحمة.
145	corpus-6-test-corpus-26-train	BAS	هي تريد بيرة.
157	corpus-6-test-corpus-26-train	BAS	صباح الخير. شلونك؟
158	corpus-6-test-corpus-26-train	BAS	اسف راح احتاج اشوف هوية.
169	corpus-6-test-corpus-26-train	BAS	شنو نوع الصوص؟
170	corpus-6-test-corpus-26-train	BAS	هذا شوي بارد. ما تحميه؟
173	corpus-6-test-corpus-26-test	BAS	آسف، هذا المكان محجوز.
176	corpus-6-test-corpus-26-train	BAS	انا زين. بس تكدر تخابر صديقي؟
177	corpus-6-test-corpus-26-test	BAS	اشكرك، هذا هواي.
184	corpus-6-test-corpus-26-train	BAS	منو احسن صديق عندك؟
187	corpus-6-test-corpus-26-train	BAS	يوم الصحة والرياضة العاشر من تشرين الأول عطلة وطنية حتى تتحسن صحة الناس.
192	corpus-6-test-corpus-26-train	BAS	تريدني أجيك جوه البنيد مالت السيارة؟
206	corpus-6-test-corpus-26-train	BAS	تكدر اتساعدني حتى الكى جنطتي؟
221	corpus-6-test-corpus-26-train	BAS	تكدر تسوي ترتيبات مقدماً؟
238	corpus-6-test-corpus-26-train	BAS	اكو حد يساعدني. اشكرك.
261	corpus-6-test-corpus-26-train	BAS	من توصل هناك، اسأل واحد ثاني، بلا زحمة.
280	corpus-6-test-corpus-26-train	BAS	اريد ملحق أربعة وعشرين، بلا زحمة.
285	corpus-6-test-corpus-26-train	BAS	هاي دولارين. اخذ الباقي.
315	corpus-6-test-corpus-26-train	BAS	واحد همبركر و واحد جيزبركر، بلا زحمة.
319	corpus-6-test-corpus-26-train	BAS	شكد تاخذ للعملية؟
320	corpus-6-test-corpus-26-train	BAS	كل واحد منا يريد يدفع لوجباتنا.
326	corpus-6-test-corpus-26-train	BAS	الموقع جان على كرسي بالردهة.
333	corpus-6-test-corpus-26-test	BAS	بلا زحمة صرف هذا الين لجنيهات.
346	corpus-6-test-corpus-26-train	BAS	اريد جيب بكد القاموس، بلا زحمة.
360	corpus-6-test-corpus-26-train	BAS	لشخصين بالسبعة. الاسم واتانايب.
368	corpus-6-test-corpus-26-train	BAS	ساعتي. جانت سيكو ديجتال.
370	corpus-6-test-corpus-26-train	BAS	يكون من دواعي سرورنا نقدملك المشروب من اختيارك، بعده العشه. دليل كامل من المشروبات نقدمها على هاي الرحلة موجود بدليل المعلومات من مجلتنا.
373	corpus-6-test-corpus-26-test	BAS	عايش قريب منا؟
375	corpus-6-test-corpus-26-train	BAS	وين محل الهدايا؟
386	corpus-6-test-corpus-26-test	BAS	انا عالطريق السريع واحد يم مورو بأي.
391	corpus-6-test-corpus-26-train	BAS	اريد ساعة ام الجرس، بلا زحمة.
398	corpus-6-test-corpus-26-dev	BAS	بالمناسبة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	BAS	هذا القطار يوكف بليك فورست، مو؟
408	corpus-6-test-corpus-26-train	BAS	اغلب اليابانيين ياكلون الاخطبوط والحبار.
416	corpus-6-test-corpus-26-train	BAS	اكدر احصل تكتات ثنين الدرجة الثانية لشيكاغو، بلا زحمة؟
419	corpus-6-test-corpus-26-train	BAS	انا رايح لنيو يورك.
423	corpus-6-test-corpus-26-train	BAS	شنو رقم الرحلة؟
442	corpus-6-test-corpus-26-test	BAS	واحد لنيو يورك، بلا زحمة.
446	corpus-6-test-corpus-26-train	BAS	لشكم يوم بس.
447	corpus-6-test-corpus-26-train	BAS	الثاني لليسار.
471	corpus-6-test-corpus-26-dev	BAS	هذا الكرت، اوكي؟
488	corpus-6-test-corpus-26-train	BAS	هو هذا مكتب الاستقبال؟ اكو هناك عيادة قريبة؟
493	corpus-6-test-corpus-26-train	BAS	العشر دولارات كافية للتكسي؟
503	corpus-6-test-corpus-26-train	BAS	هذا طعمه ما ادري شلونه.
512	corpus-6-test-corpus-26-train	BAS	أي. انتظر، راح اجيب واحد الك.
516	corpus-6-test-corpus-26-train	BAS	نص بطل، بلا زحمة.
540	corpus-6-test-corpus-26-train	BAS	مو بالضبط. بس شي مو غالي.
548	corpus-6-test-corpus-26-train	BAS	ادور على شي؟
551	corpus-6-test-corpus-26-train	BAS	اربع ليالي.
553	corpus-6-test-corpus-26-train	BAS	احتاج جواريب.
565	corpus-6-test-corpus-26-train	BAS	تكدر ترخصه بعد لان اكو بكع؟
571	corpus-6-test-corpus-26-train	BAS	رجال دعمني. وراها شفت جوزداني اختفى.
599	corpus-6-test-corpus-26-train	BAS	ما متأكد اذا انا مخلي هدوم كافيه لسفرة تلث أسابيع.
612	corpus-6-test-corpus-26-train	BAS	زين، احنا انريد نجرب خمر ابيض.
631	corpus-6-test-corpus-26-train	BAS	اذا واحد سأل عني، كل الهم انا رايح للكهوة.
632	corpus-6-test-corpus-26-train	BAS	انا متأكد مخليه بالجيب الداخلي مال كوتي.
641	corpus-6-test-corpus-26-test	BAS	اكدر احصل الاسم والرقم للطرف الي راح تخابره؟
643	corpus-6-test-corpus-26-train	BAS	راح تدفع لي شركة الطيران حتى اشتري شوي ضروريات شخصية أساسية؟
650	corpus-6-test-corpus-26-train	BAS	اريد غرفة بيها حمام.
652	corpus-6-test-corpus-26-dev	BAS	ماكو شي طلع من المكينة؟
667	corpus-6-test-corpus-26-test	BAS	جان المفروض تروح بالرحلة ثمانية اثنين صفر، ألي طارت قبل خمصطعش دقيقة. ميخالف. اكدر ارتبلك رحلة ثانية.
673	corpus-6-test-corpus-26-train	BAS	واحد فاتح الطرد مالتي.
679	corpus-6-test-corpus-26-test	BAS	اوو، ماكو شي. انت هنا، على كل حال.
680	corpus-6-test-corpus-26-train	BAS	الخطوط الجوية اليابانية، رحلة رقم واحد اثنين تلاثة.
681	corpus-6-test-corpus-26-train	BAS	احتاج اشتري شامبو.
683	corpus-6-test-corpus-26-train	BAS	تكدر تكلي يمتى راح نوصل لسيفيك سنتر؟
688	corpus-6-test-corpus-26-train	BAS	وين الكصاب الاقرب؟
703	corpus-6-test-corpus-26-train	BAS	احنا نريد نبقى لاربع ليالي من اول آب.
708	corpus-6-test-corpus-26-train	BAS	شنو اسم ذيج الزهرة؟
719	corpus-6-test-corpus-26-train	BAS	خمصطعش أيلول هو يوم احترام الشياب.
723	corpus-6-test-corpus-26-train	BAS	ماكو صابون بغرفتي.
741	corpus-6-test-corpus-26-dev	BAS	ماكو شي اكدر آخذه لهذا الطفح الجلدي؟
742	corpus-6-test-corpus-26-train	BAS	تكدر تغير الصياغة لبس شنو كلت توك؟
761	corpus-6-test-corpus-26-test	BAS	شكد راح يطول للطلب؟
773	corpus-6-test-corpus-26-train	BAS	تكدر تحجي شوي اعلى، بلا زحمة؟
777	corpus-6-test-corpus-26-train	BAS	شكد المدة راح يطول قبل لا يطلع؟
786	corpus-6-test-corpus-26-train	BAS	وين المعلومات الرياضية؟
787	corpus-6-test-corpus-26-train	BAS	هذا القياس هنا، ألي تسمي قياس عادي، راح تسوي.
793	corpus-6-test-corpus-26-test	BAS	وين راح تخلص الجولة، ويمتى؟
848	corpus-6-test-corpus-26-train	BAS	وين لازم اغير القطارات حتى أوصل لادنبرة؟
855	corpus-6-test-corpus-26-train	BAS	اريد اخلي هذا بصندوك تأمين آمن.
859	corpus-6-test-corpus-26-train	BAS	وين اكدر اصرف فلوسي؟
897	corpus-6-test-corpus-26-train	BAS	نكدر نترك اشياءنا، بس ألي الها قيمة، بالباص؟
902	corpus-6-test-corpus-26-train	BAS	انا متعجب على شنو هاي الفلوس الزايدة بالفاتورة.
917	corpus-6-test-corpus-26-train	BAS	راح ادفع خمسين دولار.
941	corpus-6-test-corpus-26-train	BAS	هسه انا اعرف شنو جان الخطأ.
957	corpus-6-test-corpus-26-dev	BAS	انا إيكيدا يحجي. عندي حجز على طاولة الساعة ستة ونص المغرب. بس متأسف راح أوصل نص ساعة متأخر.
1003	corpus-6-test-corpus-26-train	BAS	جم اوكية ريحه اكدر احصل بدون كمرك؟
1007	corpus-6-test-corpus-26-train	BAS	بس سياحة.
1010	corpus-6-test-corpus-26-train	BAS	زين، بلا زحمة وقعهم. شلون تحبه؟
1023	corpus-6-test-corpus-26-test	BAS	بعدك عندك مقاعد لمسرحية الليلة؟
1036	corpus-6-test-corpus-26-train	BAS	اريد واحد جبير.
1037	corpus-6-test-corpus-26-dev	BAS	نمت ويه منبه الستة ونص.
