sentID.BTEC,sent,sentiment
5,هو هنوك، بالضبط قدام مكتب المعلومات السياحيي.,neutral
9,ابد ما كن اسمعتو بهذا العنوان هوني.,neutral
11,امشي كبل الى ان اتشوف صيدليه.,neutral
26,بشقد التغيوقه؟,neutral
27,اشون اطيق اساعدك؟,neutral
30,غوح لليساغ عد ثالث زاويه.,neutral
50,اتغيذ كريمه وشكر بالقهوي مالتك؟,neutral
64,تطيق تصرفلي شيك قيمتو ميتين دولار؟,neutral
74,اذا لازم يبين، رجاءا اتصل بيي.,neutral
86,وين مكان الجيخانه؟,neutral
87,اغيد سترة اطفال.,neutral
91,اوكي. اتكلف خميسي وثمانين سنت للبريد الاعتيادي وثلاث دولارات بالضبط اضافية للتوصيل الخاص.,neutral
120,لو كنتو بمكانك كان اشتغيتونو.,positive
129,هل غاح اواجه اي صعوبات مع الجمارك؟,neutral
130,عندك حذاء رسمي عغيض مكان الاصابع؟,neutral
140,لا، ممكن اقترح عليكم غرفة مزدوجة لاستخدام ويحد امبدالو؟ عدنه ويحدة منها.,neutral
143,اغيد كيرلي قوي، رجاءا.,neutral
145,هيه تغيد بيره.,neutral
157,صباح الخير. اشونك؟,positive
158,اسف انو لازم اشوف شوية اوراق اثبات شخصية.,neutral
169,اي نوع من الصوص؟,neutral
170,هذا شوية بيغد. تطيق تحمينو؟,neutral
173,اسف، هذا المكان محجوز من قبل.,neutral
176,انا مليح. بس تطيق تتصل بصديقي؟,neutral
177,اشكرك، هذا يكفي.,positive
184,منو صديقك المفضل؟,neutral
187,يوم الصحة والرياضة تسعه تشرين الاول هو عطلة وطنيي هدفا تعزز الصحة مال الشعب.,positive
192,تغيدني اجيك تحت الغطا مال السيارة؟,neutral
206,تقدر تساعدني القي جنطة السفر مالتي؟,neutral
221,هل غاح تعمل ترتيبات مسبقا؟,neutral
238,حصلت على مساعدة، اشكرك.,positive
261,لمن تصل هنوك، اسال ويحد اللاخ، رجاءا.,neutral
280,اغيد تمديد اربع وعشين، رجاءا.,neutral
285,هاي دولارين، احتفض بالباقي.,neutral
315,ويحد همبركر ويحد همبركر بالجبن، رجاءا.,positive
319,اشقد تاخد اتعاب العملية؟,neutral
320,نغيد كل ويحد يدفع لوجبتو.,neutral
326,الموقع كان على كغسي بالبهو.,neutral
333,رجاءا غيرلي هذولي الينات الى جنيهات.,neutral
346,اغيد قاموس بحجم الجيب، رجاءا.,positive
360,لشخصين بالسبعة، الاسم هو واتانبي.,neutral
368,ساعتي. هي كانت سايكو رقميي.,neutral
370,غاح يكون من سعادتنه انه نقدملك الشراب اللي تختارو، و وغانو عشا. الدليل الكامل للمشروبات اللي نقدما على هذي الرحلة موجود بدليل المعلومات بمجلتنه.,positive
373,هل تعيش قغيب من هوني؟,neutral
375,وينو محل الهدايا؟,neutral
386,انا على الطريق السريع واحد قريب على خليج مارو.,neutral
391,اغيد منبه، رجاءا.,neutral
398,بالمناسبة، اسمي هو هيروشي ايجيما.,neutral
401,هذا القطار يقف عد بحيرة فوريست، مو تمام؟,neutral
408,معظم اليابانيين ياكلون الاخطبوط والحبار.,neutral
416,ممكن تذكرتين من الدرجة الثانية الى شيكاغو، رجاءا؟,neutral
419,غحتو الى نيويورك.,neutral
423,اشقد رقم الرحلة؟,neutral
442,ويحد لنيويورك، رجاءا.,positive
446,تقريبا لشوية ايام.,neutral
447,الثاني على اليساغ.,neutral
471,هذا الكارت، ماشي؟,neutral
488,هل هذا هو مكتب الاستقبال؟ اكو عيادة قغيبي؟,neutral
493,هل عشغ دولارات غاح تكفي بالتكسي؟,neutral
503,هذا طعمو غريب.,negative
512,اي. انتظر، غاح اجيب ويحد الك.,neutral
516,نص بطل، رجاءا.,neutral
540,مو صحيح بالحقيقية، بس شي ما غالي.,neutral
548,عدوغ على شي؟,neutral
551,اربع ليالي.,neutral
553,اغيد شويه جويغب.,neutral
565,تطيق تعملو اغخص لان علينو شوية بقع؟,neutral
571,غجال انطخ بيي، بعدا لاحظتو انه محفضتي كن اختفت.,negative
599,ما متاكد اذا حطيتو حواس تكفي لرحلة ثلاث اسابيع.,negative
612,خوش، نغيد نجغب خمر ابيض.,positive
631,اذا اي ويحد سال عني، قلولم غاح اكون بالجيخانه.,neutral
632,انا متأكد عندي هيا بالجيب الداخلي لكبوطي.,neutral
641,ممكن احصل على اسم ورقم الجهة اللي عتتصل علينا؟,neutral
643,هل شركة الخطوط الجويي غاح تدفعلي حتى اشتغي شويه حاجات شخصيي ضروريي؟,neutral
650,اغيد غرفة مع حمام.,neutral
652,ولا شي طلع من المكينة؟,neutral
667,انت المفروض تركب بالرحلة ثمانميي وعشين، اللي اقلعت قبل خمسطعش دقيقة. مليح. اطيق ارتبلك رحلة غيغا.,neutral
673,ويحد فرغ الطرود مالتي.,neutral
679,اوه، هذا ولا شي. انت هوني، على كل حال.,neutral
680,الخطوط الجويي اليابانيي، رحلة رقم ميي وثلاثي وعشين.,neutral
681,احتاج اشتغي شامبو.,neutral
683,تطيق تقلي لمن نصل للمركز المدني؟,neutral
688,وين اقغب قصاب؟,neutral
703,نغيد نبقى اربع ليالي من اول يوم بشهغ اب.,neutral
708,اشنو اسم هذيك الوغداي؟,neutral
719,خمسطعش من شهر ايلول هو يوم احترام للشيخوخه.,neutral
723,ماكو صابون بغرفتي.,negative
741,اكو اي شي اطيق اخذو لهذا الطفح الجلدي؟,neutral
742,تطيق تغير الصياغة للشي اللي هسا قلتو؟,neutral
761,اشقد غاح تاخذ وقت حتى تطلب؟,neutral
773,تطيق تحكي شوية اعلى، رجاءا؟,neutral
777,اشقد وقت غاح يتطلب قبل ما يخرج؟,neutral
786,وين معلومات الرياضة؟,neutral
787,هذا الحجم هوني، اللي انت تسمينو حجم منتظم، غاح نعمل.,neutral
793,وين نهاية الجولة وايمتي؟,neutral
848,وين لازم اغير القطارات حتى اصل لادنبره؟,neutral
855,اغيد اخلي هذا بصندوق امانات.,neutral
859,وين اطيق احول فلوسي؟,neutral
897,ممكن نعوف شغلاتنه، عدا القيمي، بالباص؟,neutral
902,عدتسائل علمود اشنو هذا الرسم على فاتورتي.,negative
917,غاح ادفع خمسين دولار.,neutral
941,هسا انا اعغف اشنو كان غلط.,neutral
957,انا اكيدا عيحكي. عندي حجز طاولي بالستي ونص هالمسا. لكن انا اسف غاح اصل متأخر نص ساعه.,negative
1003,كم اونصه معفيي من الضرايب اطيق احصل من العطر؟,neutral
1007,فقط سياحة.,neutral
1010,ماكو مشكلة، رجاءا وقعم. اشون تحبو يكون؟,positive
1023,بعد عدكم مقاعد لعرض الليلي؟,neutral
1036,اغيد ويحد كبيغ.,positive
1037,نمتو خلال المنبه مال ستي ونص.,neutral
1038,انا مصور حر.,neutral
1047,التجار ممكن ايصرفون دولاراتك علمود بقشيش للكازينوز. نغوح؟,neutral
1056,عدنه تقريبا ثلاثين نوع من دهون الحمام.,neutral
1062,غاح اجهز العرض الك الاسبوع اللي يجي.,neutral
1074,شكرا الك، اشقد سعر هذا الزوج من الكفوف؟,positive
1098,لازم اغوح، غاح اخابرك بعدين.,neutral
1100,اغيد شويه حفاضات ام الاستخدام الويحد.,neutral
1122,وين نشأو اسماك الفراشه هذولي؟,neutral
1124,ممكن تحولم الى دولارات، رجاءا؟,neutral
1139,احنه كلش محضوضين. عندم ويحد حجم اربعه بمحل علا موانا.,positive
1146,اكو اي ليموزين؟,neutral
1163,ممكن احص على مخابره ساعه خمسي ونص غدا الصبح حتى اقعد؟,neutral
1165,افضل غرفة هاديي.,neutral
1167,اغيد مزيل مال صبغ الاضيفغ.,neutral
1183,اغيد باتري.,neutral
1193,اكو فرقه لايف او دي جي؟,neutral
1194,اطيق استأجر معدات مال الغطس؟,neutral
1199,اغيد احجز غرفة لاربع ليالي من اثنين وعشرين كانون الاول.,neutral
1212,هل هاذي الجنطه مثاليي لكل الاحوال الجويي؟,neutral
1213,اغيد دونات وحدي، رجاءا.,positive
1218,اغيد استاجر سيارة اتوماتيكي ليومين.,neutral
1224,فوتو رحلة عشرين لسانفراسيسكو.,neutral
1234,بشقد للمطار؟,neutral
1235,هذا مليح. ايمتي هو؟,positive
