Sentence_ID,sentence,Tokens,POS_Tags,Dialect
1,عقب قرار الرئيس الأمريكي ب الانسحاب السريع من سوريا . تم تداول الكثير من السيناريوهات حول تداعيات هذا القرار ، و يبدو أن هذه السيناريوهات س تزداد و تكثر تبعا لتغريدات ترامب اليومية المتغيرة و المتناقضة ، و لأن هذه التغريدات منصبة بالدرجة الأولى على مناطق الإدارة الذاتية في شمال و شرق سوريا .,"['عقب', 'قرار', 'الرئيس', 'الأمريكي', 'ب', 'الانسحاب', 'السريع', 'من', 'سوريا', '.', 'تم', 'تداول', 'الكثير', 'من', 'السيناريوهات', 'حول', 'تداعيات', 'هذا', 'القرار', '،', 'و', 'يبدو', 'أن', 'هذه', 'السيناريوهات', 'س', 'تزداد', 'و', 'تكثر', 'تبعا', 'لتغريدات', 'ترامب', 'اليومية', 'المتغيرة', 'و', 'المتناقضة', '،', 'و', 'لأن', 'هذه', 'التغريدات', 'منصبة', 'بالدرجة', 'الأولى', 'على', 'مناطق', 'الإدارة', 'الذاتية', 'في', 'شمال', 'و', 'شرق', 'سوريا', '.']","['ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADP', 'IDF', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'CCONJ', 'DET', 'NOUN', 'AUX', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'CCONJ', 'CCONJ', 'DET', 'NOUN', 'NOUN', 'IDF', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'IDF', 'PUNCT']",Saudi Arabia
2,س يبقى موقف نا هو من يحدد يقي نا أي السيناريوهات س تجد طريق ها إلي نا .,"['س', 'يبقى', 'موقف', 'نا', 'هو', 'من', 'يحدد', 'يقي', 'نا', 'أي', 'السيناريوهات', 'س', 'تجد', 'طريق', 'ها', 'إلي', 'نا', '.']","['AUX', 'VERB', 'NOUN', 'PRON', 'PRON', 'DET', 'VERB', 'VERB', 'PRON', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'NOUN', 'PRON', 'ADP', 'PRON', 'PUNCT']",Modern Standard Arabic
3,ل طالما كانت لدي نا استراتيجية حل خاصة ب نا ، قبل مجيء التحالف الدولي و بعد ه ، على الرغم من كل مآلات الحرب السورية و على الرغم من كل الاتهامات التي وجهت إلي نا بقيت استراتجيت نا ل الحل ، هي تطوير الحل الديمقراطي ضمن سوريا .,"['ل', 'طالما', 'كانت', 'لدي', 'نا', 'استراتيجية', 'حل', 'خاصة', 'ب', 'نا', '،', 'قبل', 'مجيء', 'التحالف', 'الدولي', 'و', 'بعد', 'ه', '،', 'على', 'الرغم', 'من', 'كل', 'مآلات', 'الحرب', 'السورية', 'و', 'على', 'الرغم', 'من', 'كل', 'الاتهامات', 'التي', 'وجهت', 'إلي', 'نا', 'بقيت', 'استراتجيت', 'نا', 'ل', 'الحل', '،', 'هي', 'تطوير', 'الحل', 'الديمقراطي', 'ضمن', 'سوريا', '.']","['PART', 'CCONJ', 'VERB', 'ADP', 'PRON', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'PRON', 'PUNCT', 'ADP', 'X', 'NOUN', 'ADJ', 'CCONJ', 'ADP', 'PRON', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'CCONJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'DET', 'VERB', 'ADP', 'PRON', 'VERB', 'VERB', 'PRON', 'ADP', 'NOUN', 'PUNCT', 'PRON', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'X', 'PUNCT']",Sudan
4,كما كان الأمر في عام 2011 بقي كما هو في عام 2014 و س يبقى الامر نفس ه في عام 2019 ، الاستراتيجية نفس ها كانت دوما حاضرة ، ليست في سبيل إرضاء أحد أو مغازلة أي جهة كانت ، سورية أو غير سورية ، إنما الإيمان راسخ لدي نا في أن الحل الأمثل ل أزمة هذه البلاد هو نظام ديمقراطي يشمل كل سوريا .,"['كما', 'كان', 'الأمر', 'في', 'عام', '2011', 'بقي', 'كما', 'هو', 'في', 'عام', '2014', 'و', 'س', 'يبقى', 'الامر', 'نفس', 'ه', 'في', 'عام', '2019', '،', 'الاستراتيجية', 'نفس', 'ها', 'كانت', 'دوما', 'حاضرة', '،', 'ليست', 'في', 'سبيل', 'إرضاء', 'أحد', 'أو', 'مغازلة', 'أي', 'جهة', 'كانت', '،', 'سورية', 'أو', 'غير', 'سورية', '،', 'إنما', 'الإيمان', 'راسخ', 'لدي', 'نا', 'في', 'أن', 'الحل', 'الأمثل', 'ل', 'أزمة', 'هذه', 'البلاد', 'هو', 'نظام', 'ديمقراطي', 'يشمل', 'كل', 'سوريا', '.']","['CCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NUM', 'VERB', 'CCONJ', 'PRON', 'ADP', 'NOUN', 'NUM', 'CCONJ', 'AUX', 'VERB', 'NOUN', 'NOUN', 'PRON', 'ADP', 'NOUN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'PRON', 'AUX', 'NOUN', 'ADJ', 'PUNCT', 'AUX', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'NOUN', 'AUX', 'PUNCT', 'ADJ', 'CCONJ', 'NOUN', 'ADJ', 'PUNCT', 'CCONJ', 'NOUN', 'IDF', 'ADP', 'PRON', 'ADP', 'CCONJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'DET', 'NOUN', 'PRON', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'IDF', 'PUNCT']",Modern Standard Arabic
5,يضمن حقوقنا ك ك رد كما يضمن حقوق كل المكونات الاثنية و الدينية الأخرى .,"['يضمن', 'حقوقنا', 'ك', 'ك', 'رد', 'كما', 'يضمن', 'حقوق', 'كل', 'المكونات', 'الاثنية', 'و', 'الدينية', 'الأخرى', '.']","['VERB', 'IDF', 'ADP', 'PRON', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'ADJ', 'PUNCT']",Saudi Arabia
6,في أول اجتماع في قاعدة حميميم كان هذا الطرح حاضرا و كانت حين ها معركة منبج ما زالت على أشد ها . لم تكن المناطق الاخرى قد تحررت بعد و في كل فرصة لاحقة قمنا ب التأكيد على هذا الشيء .,"['في', 'أول', 'اجتماع', 'في', 'قاعدة', 'حميميم', 'كان', 'هذا', 'الطرح', 'حاضرا', 'و', 'كانت', 'حين', 'ها', 'معركة', 'منبج', 'ما', 'زالت', 'على', 'أشد', 'ها', '.', 'لم', 'تكن', 'المناطق', 'الاخرى', 'قد', 'تحررت', 'بعد', 'و', 'في', 'كل', 'فرصة', 'لاحقة', 'قمنا', 'ب', 'التأكيد', 'على', 'هذا', 'الشيء', '.']","['ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'IDF', 'VERB', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'VERB', 'ADP', 'PRON', 'NOUN', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'PRON', 'PUNCT', 'PART', 'VERB', 'NOUN', 'ADJ', 'AUX', 'VERB', 'ADP', 'CCONJ', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",Saudi Arabia
7,كنا أول جهة عقدت منتدى ل الحوار الوطني في سوريا . كان ذلك في مدينة رميلان عام 2016 . تم دعوة المعارضة الداخلية و باقي الاطراف السورية ل مناقشة قضايانا فيما بين نا .,"['كنا', 'أول', 'جهة', 'عقدت', 'منتدى', 'ل', 'الحوار', 'الوطني', 'في', 'سوريا', '.', 'كان', 'ذلك', 'في', 'مدينة', 'رميلان', 'عام', '2016', '.', 'تم', 'دعوة', 'المعارضة', 'الداخلية', 'و', 'باقي', 'الاطراف', 'السورية', 'ل', 'مناقشة', 'قضايانا', 'فيما', 'بين', 'نا', '.']","['', 'ADJ', 'NOUN', 'VERB', 'IDF', 'ADP', 'NOUN', 'ADJ', 'ADP', 'IDF', 'PUNCT', 'AUX', 'DET', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'NUM', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADV', 'CCONJ', 'ADP', 'PRON', 'PUNCT']",Saudi Arabia
8,هذا يستدعي القول أن نا لم نقدم على ذلك ب سبب احتلال عفرين أو ب سبب التهديدات التركية ل باقي المناطق الأخرى و الانسحاب الأمريكي كما يروج ل ه البعض .,"['هذا', 'يستدعي', 'القول', 'أن', 'نا', 'لم', 'نقدم', 'على', 'ذلك', 'ب', 'سبب', 'احتلال', 'عفرين', 'أو', 'ب', 'سبب', 'التهديدات', 'التركية', 'ل', 'باقي', 'المناطق', 'الأخرى', 'و', 'الانسحاب', 'الأمريكي', 'كما', 'يروج', 'ل', 'ه', 'البعض', '.']","['DET', 'VERB', 'NOUN', 'CCONJ', 'PRON', 'PART', 'IDF', 'ADP', 'DET', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADJ', 'CCONJ', 'VERB', 'ADP', 'PRON', 'NOUN', 'PUNCT']",Saudi Arabia
9,نؤمن ب أن ال ك رد و العرب و ال سريان و كل المكونات الاخرى تجمع هم روابط تاريخية وثيقة و لدي هم الكثير ليجتمعوا علي ه بدلا من قتلهم بعض هم البعض و انكار هوية بعض هم البعض ، فخيار العيش المشترك و الوطن المشترك الذي ليس في ه امتياز لقومية على قومية أو هوية على هوية أو ثقافة على ثقافة هو الخيار الذي عملت علي ه الادارة الذاتية الديمقراطية منذ البدء .,"['نؤمن', 'ب', 'أن', 'ال', 'ك', 'رد', 'و', 'العرب', 'و', 'ال', 'سريان', 'و', 'كل', 'المكونات', 'الاخرى', 'تجمع', 'هم', 'روابط', 'تاريخية', 'وثيقة', 'و', 'لدي', 'هم', 'الكثير', 'ليجتمعوا', 'علي', 'ه', 'بدلا', 'من', 'قتلهم', 'بعض', 'هم', 'البعض', 'و', 'انكار', 'هوية', 'بعض', 'هم', 'البعض', '،', 'فخيار', 'العيش', 'المشترك', 'و', 'الوطن', 'المشترك', 'الذي', 'ليس', 'في', 'ه', 'امتياز', 'لقومية', 'على', 'قومية', 'أو', 'هوية', 'على', 'هوية', 'أو', 'ثقافة', 'على', 'ثقافة', 'هو', 'الخيار', 'الذي', 'عملت', 'علي', 'ه', 'الادارة', 'الذاتية', 'الديمقراطية', 'منذ', 'البدء', '.']","['VERB', 'ADP', 'CCONJ', 'PART', 'PRON', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'PART', 'VERB', 'CCONJ', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'PRON', 'NOUN', 'ADJ', 'NOUN', 'CCONJ', 'ADP', 'PRON', 'ADJ', 'VERB', 'ADP', 'PRON', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PRON', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'PRON', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADJ', 'DET', 'VERB', 'ADP', 'PRON', 'IDF', 'ADJ', 'ADP', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PRON', 'NOUN', 'DET', 'VERB', 'ADP', 'PRON', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'NOUN', 'PUNCT']",Saudi Arabia
10,بات واضحا أن استراتيجية التعايش هذه التي اعتمدنا ها قد قضت مضاجع تركيا ، و من أجل ضرب هذا التعايش عملت كل ما ب وسع ها ل ضرب ال ك رد بيد مرتزقة عرب في عفرين و تعمل اليوم على تطوير نزاع عربي - كردي و عربي - عربي كما عملت سابقا على ذلك عن طريق جيش ها الانكشاري و الطابور الخامس .,"['بات', 'واضحا', 'أن', 'استراتيجية', 'التعايش', 'هذه', 'التي', 'اعتمدنا', 'ها', 'قد', 'قضت', 'مضاجع', 'تركيا', '،', 'و', 'من', 'أجل', 'ضرب', 'هذا', 'التعايش', 'عملت', 'كل', 'ما', 'ب', 'وسع', 'ها', 'ل', 'ضرب', 'ال', 'ك', 'رد', 'بيد', 'مرتزقة', 'عرب', 'في', 'عفرين', 'و', 'تعمل', 'اليوم', 'على', 'تطوير', 'نزاع', 'عربي', '-', 'كردي', 'و', 'عربي', '-', 'عربي', 'كما', 'عملت', 'سابقا', 'على', 'ذلك', 'عن', 'طريق', 'جيش', 'ها', 'الانكشاري', 'و', 'الطابور', 'الخامس', '.']","['VERB', 'ADJ', 'CCONJ', 'NOUN', 'NOUN', 'DET', 'DET', 'VERB', 'PRON', 'AUX', 'VERB', 'NOUN', 'IDF', 'PUNCT', 'CCONJ', 'ADP', 'NOUN', 'NOUN', 'DET', 'NOUN', 'VERB', 'NOUN', 'DET', 'ADP', 'NOUN', 'PRON', 'ADP', 'NOUN', 'PART', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'PUNCT', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'ADJ', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'ADP', 'NOUN', 'NOUN', 'PRON', 'ADJ', 'CCONJ', 'NOUN', 'ADJ', 'PUNCT']",Saudi Arabia
