Sentence_ID,sentence,label,Dialect
1,هذا الفندق ينقصه بعض الاشياء داخل الغرف مثلا عدم وضوح القنوات التلفزيونية وجود اعطال في الحمامات ولا تستطيع وضع الملابس داخل الحمام الا على المغسلة وليس به وجبة افطار صباحية اما موقعه فهو جيد وقريب على اماكن التسوق وقريب جدا من المطار,2,Saudi Arabia
2,لطيف ولكن الغرف الفندقية تحتاج صيانة كادر الخدمة يجب ان يكون بالمستوى المطلوب,4,Oman
3,مكان جميل جدا وحسن الخلق والضيافه,5,Oman
4,بحاجة الى اعادة تأهيل للمفروشات,3,Iraq
5,فندق ممتاز ومعاملة راقية جدا,5,Saudi Arabia
6,فندق ممتاز ومعاملة راقية جدا,4,Saudi Arabia
7,رائع وجميل,5,Iraq
8,ممتع ..مسلي .. مريح,5,Jordan
9,انه جميل وراقي 😙😙😙😍😍❤❤,5,Oman
10,مكان جيد وقريب من الخدمات,3,Saudi Arabia
11,مكان بعيد عن مركز المدينه . الخدمه ممتازة الوافاي ممتاز الغرف جميله لكن الافطار مش جيد,4,Yemen
12,هو فندق كبير، وذو غرف كبيرة واسعة، وقريب جدا من مطار رفيق الحريري الدولي، ويمتاز بديكوراته الجميلة وخدمته التي تعد ٤ نجوم، واجمل شيء أن سعره مناسب,4,Oman
13,المكان غير جيد,1,Saudi Arabia
14,فندق جيد,3,Saudi Arabia
15,ممتاز وجميل,5,Jordan
16,هذا المكان كبير وضخم متعدد الدرجات وأسعاره مناسبة ينقصه القليل من التنظيم.,3,Modern Standard Arabic
17,اوتيل وصاﻻت اعراس ونادي رياضي على طريق المطار,4,Qatar
18,جيد,4,Saudi Arabia
19,رائع,5,Iraq
20,واسع و مريح و جميل,4,Sudan
21,فندق سيء المعاملة جدا سيئة التبريد سيء لا انصح أحدا بالإقامة فيه,3,Saudi Arabia
22,لا بأس,2,Modern Standard Arabic
23,هادء جميل جداً,5,Saudi Arabia
24,في غرفة؟,1,Qatar
25,جديد,5,Tunisia
26,ماء الفندق مالح غير عذب .. كذلك خدمة الانترنيت سيئة جدا .. وجبات الفطور سيئه .. وكذلك تعاملهم سيئ غير مؤدب ..,1,Saudi Arabia
27,مميز جدا,5,Saudi Arabia
28,عادي جدا,3,Egypt
29,قريب من المطار,3,Algeria
30,جيد,4,Saudi Arabia
31,لابأس,3,Yemen
32,المكان جيد و لكن الأسعار إلى حد ما مبالغ بها,4,Saudi Arabia
33,مناظر خلابه واكل مميز ولذيذ واسعار مناسبة,4,Yemen
34,طعام لذيذ نظيف كريم و ديكور جميل جدا,5,Saudi Arabia
35,المكان جميل ومنسق والخدمة جيدة,5,Oman
36,مكان هادئ بالرغم من وجوده وسط الفوضى والتلوث البيئي,3,Saudi Arabia
37,القعدة رايقة و الاسعار مناسبة جدا …,3,Egypt
38,مطعم رائع و اسعار جيده.,5,Egypt
39,جلسه حلوه واركيله طيبه,4,Iraq
40,اكثر من رائع,5,Saudi Arabia
41,ممتاز جدا,4,Saudi Arabia
42,مكان راقي يمكن اصطحاب العائله والاطفال فيه,4,Oman
43,مكان رووووووعة,4,Saudi Arabia
