sentID.BTEC	split	lang	sent
0	corpus-6-train	DOH	موجود في نهاية الممر، بجيب لك شوي الحين. اذا احتجت شي ثاني خبرني.
2	corpus-6-train	DOH	تسوي تعديلات؟
4	corpus-6-train	DOH	بغينا طاولة يم الدريشة.
5	corpus-6-test-corpus-26-train	DOH	هو ذاك الصوب، بالضبط جدام استعلامات السياح بالضبط.
9	corpus-6-test-corpus-26-train	DOH	ما قط سمعت بهالعنوان في هالمنطقة من قبل.
11	corpus-6-test-corpus-26-train	DOH	امش سيده لين تشوف صيدلية.
12	corpus-6-train	DOH	شنو اللون اللي هابين فيه هالفترة؟
14	corpus-6-train	DOH	في حالتي انا دايماً حق شغل، نادراً حق استانس.
15	corpus-6-train	DOH	بقعد يومين.
16	corpus-6-train	DOH	بغيت كيرلي ضيق.
17	corpus-6-train	DOH	بغيت احجز غرفتين مزدوجتين.
18	corpus-6-train	DOH	ما أبغيه منزوع.
19	corpus-6-train	DOH	يوقف هالباص في شارع ستونر؟
24	corpus-6-train	DOH	افتح حلجك قد ما تقدر.
26	corpus-6-test-corpus-26-train	DOH	بكم الريوق؟
27	corpus-6-test-corpus-26-train	DOH	شلون اقدر اساعدك؟
29	corpus-6-train	DOH	خل ناخذ شي ناكله.
30	corpus-6-test-corpus-26-train	DOH	خذ ثالث لفة يسار.
31	corpus-6-train	DOH	ممكن تنظف هالثياب؟
37	corpus-6-dev	DOH	عطيتك رقم تلفونه وعنوانه.
38	corpus-6-train	DOH	دفعت مصاريف الوجبات والفندق مقدم.
40	corpus-6-train	DOH	قاعد ادور مطعم مشويات زين وهادي. ممكن تأشر عليهم في الخريطة؟
42	corpus-6-train	DOH	اذا كسرته تشتريه.
46	corpus-6-train	DOH	بقول لها تكلمك اول ما ترجع.
50	corpus-6-test-corpus-26-train	DOH	بغيت سكر وكريمة في القهوة؟
51	corpus-6-train	DOH	هي متعورة واجد.
52	corpus-6-train	DOH	بغيت ولاعة.
53	corpus-6-train	DOH	في تجهيزات للمؤتمرات في هالفندق؟
56	corpus-6-train	DOH	معليه ناكل وجبة خفيفة؟
57	corpus-6-train	DOH	انا اتصل من المطار، بكون عندك على الساعة اربع.
62	corpus-6-train	DOH	وين اقدر احول لشيكاغو؟
63	corpus-6-train	DOH	كم يكلف ارسال رسالة مسجلة لفرنسا؟
64	corpus-6-test-corpus-26-train	DOH	ممكن تصرف لي قيمة جيكي بو ميتين دولار كاش؟
68	corpus-6-train	DOH	وايد فرق لما تسوق على الجهة اليمين.
69	corpus-6-train	DOH	الممثل واجد عجيب.
72	corpus-6-train	DOH	وين قسم الكتب الواقعية؟
74	corpus-6-test-corpus-26-train	DOH	اذا المفروض يصير، اتصل فيني.
78	corpus-6-dev	DOH	ممكن تغير كرسيي؟
79	corpus-6-train	DOH	في ضمان؟
83	corpus-6-train	DOH	مسامحة، بحط بالي على الكلب.
84	corpus-6-train	DOH	"بغيت تذكرتين حق ""كاتس"" هالخميس."
86	corpus-6-test-corpus-26-train	DOH	وين الكوفي شوب؟
87	corpus-6-test-corpus-26-train	DOH	بغيت فانلة يهال.
89	corpus-6-dev	DOH	شسمك مرة ثانية؟
90	corpus-6-train	DOH	سيد براون موجود؟
91	corpus-6-test-corpus-26-train	DOH	اوكي. يكلف خمسة وثمانين سنت بالبريد العادي وثلاث دولارات بالضبط زيادة حق التسليم الخاص.
92	corpus-6-train	DOH	ممكن أأجر طراد حق يوم واحد؟
93	corpus-6-train	DOH	في أي كشك يصير احجز؟
94	corpus-6-train	DOH	شنو ذي؟
96	corpus-6-train	DOH	ممكن تقول لي شلون اروح الأوبرا؟
97	corpus-6-train	DOH	حبيبي مو جنك كنت واجد سكران البارحة؟
98	corpus-6-train	DOH	اتبع تعليمات موظفينا لو سمحت.
100	corpus-6-dev	DOH	في مركز تجاري قريب من هني؟
102	corpus-6-train	DOH	فل، لو سمحت.
103	corpus-6-train	DOH	في غرفة أرخص؟
104	corpus-6-train	DOH	افضل سيارة اوتوماتيك.
105	corpus-6-train	DOH	بسكن في سكن جامعة هارفارد.
106	corpus-6-train	DOH	شنو السعر اليوم؟
108	corpus-6-train	DOH	فيني ربو مزمن.
109	corpus-6-train	DOH	عندي ثلاثة آلاف دولار تقريباً.
111	corpus-6-train	DOH	اوكي. الطبق ايي مع بطاطس او أرز بيلاف. شنو تفضل؟
112	corpus-6-train	DOH	شلون اروح هالمكان؟
113	corpus-6-train	DOH	شنوع القصة؟
115	corpus-6-train	DOH	ثلاث مرات.
116	corpus-6-train	DOH	اي كشك يبيع طوابع؟
117	corpus-6-train	DOH	هاجمني وعقب راح في فان ابيض.
119	corpus-6-train	DOH	اوكي. لو سمحت خل هالبطاقة عندك وطلعها لما تجي تستلمه.
120	corpus-6-test-corpus-26-test	DOH	لو كنت مكانك جان بشتري هذي.
122	corpus-6-train	DOH	ميتين دولار. كاش او كردت كارد؟
125	corpus-6-train	DOH	شكثر تاخذ مدة الرحلة على هالبركة؟
128	corpus-6-train	DOH	في اكل لازم اتجنبه وانا اخذ هالدوا؟
129	corpus-6-test-corpus-26-train	DOH	بتكون في اي صعوبات مع الجمارك؟
130	corpus-6-test-corpus-26-train	DOH	عندك جواتي رسمية حق الرجول العريضة؟
131	corpus-6-train	DOH	بغيت واين احمر؟
133	corpus-6-train	DOH	خبرني لين وصلنا المتحف.
134	corpus-6-dev	DOH	يروح هالباص لفندق الشيراتون؟
135	corpus-6-dev	DOH	كم يصير؟
136	corpus-6-dev	DOH	شوي حر. عادي ابطل الدريشة؟
138	corpus-6-train	DOH	بس شور اوكي.
139	corpus-6-dev	DOH	عيوني حمر.
140	corpus-6-test-corpus-26-train	DOH	لا. بغيت غرفة مزدوجة بس حق استخدام فردي؟ عندنا وحدة.
142	corpus-6-dev	DOH	ماقدر اضمن لك، بس بنحاول.
143	corpus-6-test-corpus-26-train	DOH	ابغي كيرلي ضيق، لو سمحت.
144	corpus-6-train	DOH	تقدر تشوف البحر تحت من بعيد.
145	corpus-6-test-corpus-26-train	DOH	هي تبغي بير.
146	corpus-6-train	DOH	تحتاج عملية.
147	corpus-6-train	DOH	بيض اكثر، لو سمحت.
148	corpus-6-train	DOH	وين محطة الباص حق سنترال بارك؟
149	corpus-6-train	DOH	تكاسي؟
151	corpus-6-train	DOH	تفضل مفتاحك اخوي. غرفة خمسة آلاف وستمية واثنعش.
153	corpus-6-train	DOH	عجبني قميصك.
154	corpus-6-train	DOH	تفضل.
155	corpus-6-train	DOH	وصلنا. هذي فندقك.
156	corpus-6-dev	DOH	متى تبتدي مباراة كرة السلة؟
157	corpus-6-test-corpus-26-train	DOH	صباح الخير. شلونك؟
158	corpus-6-test-corpus-26-train	DOH	مسامحة بس لازم اشوف شي يثبت الهوية.
159	corpus-6-train	DOH	شرايك؟
160	corpus-6-train	DOH	أكيد. بغيت قهوتك مع العشا او بعده؟
161	corpus-6-train	DOH	بسافر على طيارة اثنعش لي طوكيو.
162	corpus-6-train	DOH	بغيت اسوي مكالمة خارجية، لو سمحت.
163	corpus-6-train	DOH	خمس شهور.
168	corpus-6-train	DOH	في اي ايام من الاسبوع يصير؟
169	corpus-6-test-corpus-26-train	DOH	اي نوع صوص؟
170	corpus-6-test-corpus-26-train	DOH	هذي بارد شوي، ممكن تسخنه؟
172	corpus-6-train	DOH	بغيت جل شعر.
173	corpus-6-test-corpus-26-test	DOH	مسامحة هالمكان مأخوذ.
174	corpus-6-train	DOH	ممكن نشوف منيو؟
175	corpus-6-train	DOH	مقاسي ستة.
176	corpus-6-test-corpus-26-train	DOH	انا بخير. بس يصير تكلم رفيجي؟
