sentID.BTEC,sent,sentiment
5,هيو هناك، بالزبط قدام مكتب معلومات السياح .,neutral
9,ما عمري سمعت عن هالعنوان هون.,neutral
11,روح دغري حتى تشوف الصيدلية.,neutral
26,قديش حق هالفطور؟,neutral
27,كيف بقدر اساعدك؟,neutral
30,روح شمال عند الزاوية الثالثة.,neutral
50,بتحب كريما و سكر بقهوتك؟,neutral
64,بتقدر تصرف هاد الشيك تبعي بميتين دولار؟,neutral
74,اذا لازم يظهر، لو سمحت احكي معي.,neutral
86,وين الكوفي شوب؟,neutral
87,بدي بلوفر للأطفال .,neutral
91,ماشي، رح يكلف خمس و ثمانين سينت للبريد العادي، و ثلاثة دولار بالزبط اضافية للتوصيل الخاص.,neutral
120,لو انا مكانك كنت اشتريته.,positive
129,رح يكون عندي مشاكل مع الجمارك؟,neutral
130,عندك احذية رسمية واسعة عند الاصابع؟,neutral
140,لا . بقدر اقترح بدالها استخدام غرفة مزدوجة لاستعمال فرد؟ عنا واحدة.,neutral
143,بدي كيرلي قوي، لو سمحت.,neutral
145,بدي بيرم رفيع، لو سمحت .,neutral
157,بدها بيرة؟,positive
158,اسف اني بحاجة أشوف اثبات هوية .,neutral
169,اي نوع من الصوص؟,neutral
170,هاد بارد شوي. ممكن تسخنو؟,neutral
173,اسف، هاذ المكان محجوز أصلاً .,neutral
176,انا تمام، بس ممكن تحكي مع صاحبي؟,neutral
177,شكرا، بكفي .,positive
184,مين أحسن صاحب الك؟,neutral
187,يوم الصحة والرياضة ب عشرة عشرة هوه عطلة رسمية بهدف تعزيز صحة الشعب .,positive
192,بدك إياني أفحص تحت غطا المحرك؟,neutral
206,بتقدر تساعدني الاقي شنتتي؟,neutral
221,بتقدر تعمل الترتيبات مسبقا؟,neutral
238,فيه حدا عم يساعدني. شكرا الك .,positive
261,بس توصل هناك، اسأل حدا ثاني لو سمحت.,neutral
280,بدي أمدد اربعة و عشرين لو سمحت .,neutral
285,هي ثنين دولار، و خليلك الباقي .,neutral
315,واحد هامبرغر و واحد برغر مع جبنة لو سمحت .,positive
319,قديش تاخد في العملية؟,neutral
320,احنا حابين ندفع حق وجباتنا .,neutral
326,المكان كان على الكرسي باللوبي.,neutral
333,لو سمحت حول هاد الين ل جنيهات.,neutral
346,بدي قاموس جيب، لو سمحت.,positive
360,لشخصين على الساعة سبعة. الاسم هوه واتناب .,neutral
368,ساعتي . كانت سيكو رقمية .,neutral
370,رح يسعدنا انو نخدمكو و نضيفكو عصير من اختياركو، و بعده عشا. دليل كامل من المشروبات اللي بنقدمها على هاي الرحلة رح يكون موجود بدليل المعلومات في مجلتنا.,positive
373,انت ساكن قريب من هون؟,neutral
375,وين محل الهدايا؟,neutral
386,انا على الطريق السريع قريب من خليج مورو .,neutral
391,بدي ساعة منبه لو سمحت .,neutral
398,على فكرة، اسمي هيروشي ايجيما.,neutral
401,القطار وقف عند بحيرة فورست، صح؟,neutral
408,معظم اليابانيين بيوكلو اخطبوط و الحبار .,neutral
416,بقدر اخذ تذكرتين الدرجة الثانية ل شيكاجو، لو سمحت؟,neutral
419,رحت على نيويورك .,neutral
423,شو رقم الرحلة؟,neutral
442,تذكرة ل نيويورك، لو سمحت .,positive
446,كم يوم بس .,neutral
447,الثاني للشمال .,neutral
471,هاي البطاقة، تمام؟,neutral
488,هاي طاولة الاستقبال، في عيادة قريبة؟,neutral
493,العشرة دولار رح يكفو بالتكسي؟,neutral
503,هاذ الطعم غريب .,negative
512,ماشي . استنى، رح اجيبلك وحدة .,neutral
516,نص قنينة، لو سمحت .,neutral
540,لا جد، بس اشي مش غالي.,neutral
548,بتدور على اشي؟,neutral
551,اربع ليالي .,neutral
553,بدي جرابات .,neutral
565,بتقدر ترخص السعر شوي لانو عليه شوية بقع؟,neutral
571,في زلمة صدمني . بعدين لاحظت انو محفظتي اختفت .,negative
599,مش عارف إذا اللبس اللي اخذتو بيكفي ل رحلة ثلاث اسابيع .,negative
612,طيب، احنا حابين نجرب النبيذ الابيض .,positive
631,إذا حدا سأل عني، احكيلهم اني بالقهوة .,neutral
632,أنا متأكد انو كان بالجيبة جوا كبوتي.,neutral
641,بقدر أخذ اسم و رقم الشخص اللي بتتصل عليه؟,neutral
643,شركة الطيران رح تدفعلي حتى أشتري شوية أغراض شخصية؟,neutral
650,بدي غرفة مع حمام .,neutral
652,ما في اشي طلع من الجهاز؟,neutral
667,كان المفروض انك تسافر بطيارة الثمنية و ثلث، و اللي طلعت قبل ربع ساعة . مش مشكلة، رح ارتبلك برحلة ثانية.,neutral
673,في حدا مفضي الطرد تبعي .,neutral
679,ااه، مش مشكلة . هيك هون على كل حال .,neutral
