sentID.BTEC,sent,sentiment
0,هوي بأخر الصالة . رح جبلك شوي هلأ. إذا بدك شي تاني، بس عطيني خبر.,neutral
2,بتعمل تعديلات؟,neutral
4,بدنا طاولة حد الشباك .,neutral
5,صار هونيك، بالظبط قدام مكتب استعلامات السياح.,neutral
9,بعمري ما سمعت بهالعنوان هون .,neutral
11,روح دغري لحتى تشوف صيدلية.,neutral
12,شو هوي أجد لون لهالموسم؟,neutral
14,بحالتي، عادة بيكون شغل، وقليل ليكون كرمال الترفيه.,neutral
15,رح إبقى يومين.,neutral
16,بدي كيرلي ضيق.,neutral
17,حابب إحجز أوضتين بتختين.,neutral
18,ما بدي ياه منزوع.,negative
19,هيدا الباص بيوقف بشارع ستونر؟,neutral
24,عمول معروف فتاح تمك عالواسع.,neutral
26,أدي حق الترويقة؟,neutral
27,كيف فيني ساعدك؟,neutral
29,تعوا ناكل لقمة.,neutral
30,روح شمال عالزاوية التالتة.,neutral
31,بتنضف هالتياب؟,neutral
37,أنا بعطيك رقم تلفونو و عنوانو.,neutral
38,أنا دفعت وجبات الأكل و مصاريف الأوتيل من قبل.,neutral
40,عمفتش على مطعم رايق و حلو للشوي . بتحط عليهن إشارة عهالخريطة؟,neutral
42,إذا كسرته، تشتريه.,negative
46,رح قلا تدقلك شي إنو ترجع.,neutral
50,عبالك كريمة و سكر بقهوتك؟,neutral
51,هيي عنجد منصابة.,negative
52,بدي قداحة.,neutral
53,هالأوتيل عندو تجهيزات لمؤتمر؟,neutral
56,معليش إذا أخدنا وجبة خفيفة؟,neutral
57,عمبتصل من المطار . رح كون هونيك حوالي الأربعة.,neutral
62,وين بنقل على شيكاغو؟,neutral
63,أدي حق رسالة مسجلة لتنبعت على فرنسا؟,neutral
64,فيك تصرفلي الشيك تبعي تبع المتين دولار؟,neutral
68,عنجد كتيرمختلفة السواقة عالميلة اليمين من الشارع.,neutral
69,الممثل عنجد بيعقد.,positive
72,وين القسم تبعك اللي مش خيالي؟,neutral
74,إذا لازم يبين، عمل معروف دقلي.,neutral
78,فيك تغيرلي مقعدي؟,neutral
79,في كقالة؟,neutral
83,بعتذر، رح إهتم بالكلب.,neutral
84,"بدي بطاقتين لل ""بسينات""، لهالخميس.",neutral
86,وين القهوة؟,neutral
87,بدي كنزة للولاد.,neutral
89,إسمك مرة تاني؟,neutral
90,إستاذ براون هون؟,neutral
91,أوك، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.,neutral
92,فيني إستأجر يخت ليوم واحد؟,neutral
93,عأي شباك فيني إحجز؟,neutral
94,شو هيدا؟,neutral
96,فيك تقلي كيف بوصل عالأوبيرا؟,neutral
97,ما كنت مبارح سكران شوي، حبيبي؟,neutral
98,اذا بتريد لحاق التعليمات من فريقنا .,neutral
100,في محل شامل قريب من هون؟,neutral
102,فولا، إذا بتريد.,neutral
103,في أوضة أرخص؟,neutral
104,بفضل سيارة أوتوماتيك.,negative
105,رح إبقى بالفوا ييه تبع جامعة هارفرد.,neutral
106,شو هوي المعدل تبع اليوم؟,neutral
108,عندي ربو مزمن.,negative
109,معي حوالي تلات تلاف دولار.,neutral
111,ماشي، إستاذ. بيجي معو بطاطا مقلية أو رز بالبيلاف. أياهن بتحب؟,neutral
112,كيف بوصل لهالمطرح؟,neutral
113,شو نوع القصة؟,neutral
115,تلات مرات.,neutral
116,أي شباك ببيع طوابع؟,neutral
117,من بعد ما هاجمني، ساق لبعيد بفان أبيض.,negative
119,تمام. عمول معروف خلي هالعلامة و قدما بس بدك تجي تاخدا.,neutral
120,كنت بشتري هيدا إذا أنا كنت محلك.,positive
122,متين دولار . نقدي أو بالبطاقة؟,neutral
125,أدي طول الحمولة فوق هيدي البركة؟,neutral
128,لازم إتجنب أي نوع من الأكل أنا و عمباخد هالدوا؟,neutral
129,رح يكون في شي صعوبات مع الجمارك؟,neutral
130,عندك صبابط رسمي تبع الأصابيع العراض؟,neutral
131,فيي أخد شوية نبيد أحمر؟,neutral
133,قلي بس نوصل عالمتحف .,neutral
134,هالباص بيروح عأوتيل الشيراتون؟,neutral
135,لشو بيصير هيدا؟,neutral
136,في شوية شوب. فيي إفتح الشباك؟,neutral
138,بس دوش تمام .,neutral
139,عينيي مدممين.,negative
140,لاء . بد هيك فيي إقترح أوضة بتختين لإستخدام شخص؟ عنا واحدة.,neutral
142,ما فيي أضمن هيدا، بس رح نعمل جهدنا.,positive
143,بدي كيرلي ضيق، إذا بتريد.,neutral
144,البحر نشاف أقل لتحت بكتير.,neutral
145,بدا بيرة .,neutral
146,لازمك عملية.,negative
147,زيادة بيض، عمول معروف.,positive
148,وين محطة الباص للسنترال بارك؟,neutral
149,عربيات تاكسي؟,neutral
151,هيدا مفتاحك، إستاذ. أوضة ستة و خمسين تنعش.,neutral
153,بحب كنزتك.,positive
154,تفضل.,positive
155,نحنا هون . هيدا هوي الأوتيل تبعك.,neutral
156,أمتين بيبلش ماتش الباسكيت؟,neutral
157,صباحو . كيفك؟,positive
158,للأسف محتاج اشوف أي اثبات شخصية.,neutral
159,شو كان إنطباعك؟,neutral
160,أكيد. بتحب قهوتك مع عشاك أو بعدان؟,neutral
161,أخد الرحلة تنعش لطوكيو .,neutral
162,بدي تلفن لمحل بعيد، عمول معروف.,neutral
163,خمس تشهر.,neutral
168,أي إيام من الجمعة رح يكون؟,neutral
169,أي نوع صوص؟,neutral
170,هيدا شوي بارد. فيك تسخنو؟,neutral
172,بدي شوية جيل للشعر.,neutral
173,بعتذر محتاج أشوف أي بطاقة اثبات هوية.,neutral
174,فينا نشوف قائمة؟,neutral
175,قياسي ستة.,neutral
176,انا منيح. بس فيك تدق لرفيقي؟,neutral
177,يسلمو، بيكفي.,positive
178,أي تاكسي ما رح يوقف إلا إذا نطرتن بمحطة التاكسي.,negative
179,ميزانيتي تحت الخمسين دولار بالليلة .,neutral
180,بتاخد صورة سوا معي؟,neutral
181,أدي حق التاكسي؟,neutral
182,حركة المبيعات بأميركا الشمالية طلعت أكتر من خمسة بالمية؟,neutral
184,مين صاحبك المفضل؟,neutral
186,كنت بتعرف إنو أحد أبطال السومو، نوع من المصارعة اليابانية التقليدية، هوي أميركاني؟,neutral
187,يوم الصحة و الرياضة بعشرة تشرين الأول هوي نهار عطلة عالمي بيهدف لتعزيز صحة البشر.,positive
188,هيدا لوول ستريت؟,neutral
189,حابب إستأجرو من خمسة لعشرة كانون الأول.,neutral
191,تمام. و شو بخصوصك، يا مدام؟,neutral
192,بدك مني نبص تحت غطا السيارة؟,neutral
195,سكر؟,neutral
196,فيي إدفع ببطاقة الماستر؟,neutral
198,هيدا هوي المطرح لأخد الشنتات تبع رحلة ان دبليو تسعمية وسبعة؟,neutral
199,رح إخد هالماركة.,positive
204,أنا كتير مبسوط لأنو قدرت إجي عهالبلد.,positive
205,إسمي و عنواني عليهن.,neutral
206,فيك تساعدني لاقي شنطتي؟,neutral
207,أي نوع من الحجر هيدا؟,negative
208,بحب إلفت الإنتباه إنو حكومتنا عمتكون مش منيحة مع العالم يلي إسمن لاجئين الشخاتير . لاحظت إنو اليابان من قبل كتير مكتظة بالسكان لتخلي هالضيوف اللي مش مدعوين يفوتوا . بس بالميلة التاني، عدة قطاعات من صناعاتنا بحاجة لموارد من اليد العاملة.,neutral
209,من هيدا الجبل، فيك تشوف كل المدينة. بهيدا الفصل، أنواع كتيرة من الزهور بتتفتح. كتير حلوين.,positive
213,لحقني.,positive
217,عمول معروف قلو إنو يامادا اتصل.,neutral
221,فيك تعمل الترتيبات من قبل؟,neutral
224,تمام، عمول معروف عبي هالمعلومات هون. كانت بس شنطة وحدة؟,neutral
225,بتحب، لحمة، دجاج أو سمك؟,neutral
227,ممكن أخد طرقات مختلفة روحة و رجعة؟,neutral
228,في شي سناك بار هون؟,neutral
229,عن اذنك، إستاذ. حابب زور بعض معالم المدينة ببوستن.,neutral
232,عندك قائمة بالياباني؟,neutral
235,خمسة بعد الوحدة.,neutral
238,في حدا بيساعدني. يسلمو.,positive
239,بدي مسكن أوجاع.,negative
240,مين هيي ممثلتك المفضلة؟,positive
241,بدي واحد بيضاوي .,neutral
242,أي نوع موسيقى بيلعبوا هونيك؟,neutral
243,ما بحب هاللون. فرجيني واحد تاني . إذا بتريد.,negative
246,عمول معروف خدني على سوق الصبح.,positive
248,كادر عويناتي مكسور.,negative
250,من الساعة تلاتة.,neutral
252,عظيم. عندي مقعد عالشباك. أه، إذا بتحبي نبدل المقاعد بعدان، يا أنسة.,positive
255,انبسطت بزيارة معالم نيويورك مبارح.,positive
256,أنا مهتم بشنطة الإيد الزرقة بالشباك.,positive
258,اتصل بصاحب البيتبس يصير عندك أي مشكلة.,neutral
259,عطيني شامبو و ظبطو متل ما هوي هلأ، عمول معروف.,neutral
261,بس توصل لهونيك، سأل حدا تاني، عمول معروف.,neutral
263,إذا بتريد قلي أسرع طريق لروح عسان فرانسيسكو.,neutral
267,فيي أخد المفتاح تبع الأوضة تنين خمستعش؟,neutral
268,عن اذنك. فيك تاخدلي صورة؟,neutral
269,بس كتوب رقم اوضتك و مضي هون.,neutral
271,اللون تمام، بس الحجم غلط. معقول فيك تغيرو بساعة؟,neutral
272,ناطرينك بهيدا النهار.,positive
274,عنا بزيادة ليكفينا لكم يوم.,positive
275,ما عمبفهم هيدا.,negative
277,كيف فيي إرجع لوجهتي؟,neutral
278,هيدا معفى من الضرايب؟,neutral
279,ايه، لازم يلعبوا أدوار إضافية لحتى ينكسر التعادل.,neutral
280,بدي مقسم أربعة و عشرين، عمول معروف.,neutral
281,فيك تتهجاه؟,neutral
285,هودي دولارين. خلي الباقي.,neutral
286,أمتين العشا؟,neutral
287,للأسف هيدا كتير بالنسبة إلي.,negative
288,وين بنزل لروح عاليونيون سكوير؟,neutral
290,فيك تسأل بستاند التأجيرهونيك .,neutral
293,مرحبا، جان. فيك تاخد هودي ليلي بينضفوا؟,neutral
296,أنا بفرصة.,positive
298,لاء. عمخطط لزور باريس أنا و راجع عالبيت.,neutral
299,بدك تاخدو معك أو منبعتلك ياه؟,neutral
301,أخر فترة كان في تطوير الزويقة، ما في؟,neutral
302,كانت حوالي الست ساعات هلأ .,neutral
303,رحلة طيران ديلتا واحد واحد تنين. الطلعة متأخرة.,neutral
304,فيك تعطيني غرفة مزدوجة لهالليلة؟,neutral
305,فيك تكتب شهادة بخصوص سرقة شركة التلمين تبعي، عمول معروف؟,neutral
306,متل ما أنا ضعيف بالكاميرا، بفتكر إنو الكاميرا السهلة التصوير يمكن تكون أحلى إلي .,positive
307,هيدي هيي المحطة المظبوطة لنيويورك؟,neutral
308,عطلة سعيدة.,positive
312,عمول معروف عطيني شوية شاش.,neutral
313,بدي بطاطا مشوية مع الكريمة الحامضة، عمول معروف.,positive
314,إيه، كل عشر دقايق.,neutral
315,وحدة هامبرغر و وحدة برغر بالجبنة، عمول معروف.,positive
319,أدي بتاخد في العملية؟,neutral
320,كل حدا فينا بيحب يدفع عن أكلو.,neutral
322,رح امشي بكرا الصبح.,neutral
323,انا رايح لهونيك، كمان . شو رأيك ناخد تاكسي سوا؟,neutral
324,تفضل قعود وعتبر حالك ببيتك. بجبلك شي تشربوا؟ قهوة، شاي أو ماي غازية؟,neutral
325,شي كتير لطيف إنك تقول هيك.,positive
326,الموقع كان عالكرسي بالردهة.,neutral
327,لحم مشوي، عمول معروف .,neutral
329,أمتين بيصير في طاولة متوفرة؟,neutral
331,بعد فيي غير طلبي؟ بدي سمك موسى بدل الصفد الصخري.,negative
333,عمول معروف صرفلي هال ين لجنيهات.,neutral
336,شو هيي استئصال الزايدة الدودية؟,neutral
338,فيك تعطيني الوصل لتفاصيل العلاج الطبي؟,neutral
346,بدي قاموس جيبة، عمول معروف.,positive
349,طيب، ما بعرف.,neutral
350,مبروك، فهمت إنك ترقيت لنايب الرئيس.,positive
351,بعد بكرا عشية.,neutral
352,عايش بجنوب اليابان .,neutral
353,بطاقة روحة رجعة عشيكاغو، عمول معروف.,neutral
355,بتحب شوية بايكون او هام مع البيض تبعك؟,neutral
358,للدراسة.,neutral
359,عمول معروف كون أسرع.,positive
360,لشخصين عالسبعة. الإسم هوي واتنابي.,neutral
364,المكيف مش عميشتغل.,negative
365,متل كل تنين.,neutral
366,عمول معروف روح على ردهة السفر الدولية. منتمنالك رحلة سعيدة.,positive
367,عندك أي رحلات عباريس عاليورو ستار؟,neutral
368,ساعتي. كانت سايكو رقمية.,neutral
369,جبت معي شهادة الحكيم الطبية من اليابان.,neutral
370,من دواعي سرورنا نقدملك مشروب من إختيارك، بيتبعو عشا. كتيب كامل عن المشروبات منقدمو على هالرحلة موجود بدليل المعلومات بالمجلة تبعنا.,positive
373,عايش قريب من هون؟,neutral
374,فيك تبعتا عاليابان؟,neutral
375,وين محل الهدايا؟,neutral
379,فيي إرجعلك مع جواب هالجمعة؟,neutral
380,اوكيه، خليني شوف بالمفقودات. شو نوع الكاميرا؟,neutral
381,أنا كتير بعتذر، عمنحضر الأوضة اللي بدك ياها .,negative
383,أوه، بتفرجي محطات المترو و مواقف الباص. فيني خليا معي؟,neutral
384,أه، اشتقت للكبيس.,negative
386,أنا على أوتوستراد واحد حد خليج مورو.,neutral
389,إيه، عنا. دورة لمدة نص يوم و دورة لمدة يوم كامل.,neutral
390,بوصي بحلق.,positive
391,بدي ساعة منبه، عمول معروف.,neutral
392,بدي إلغي حجزي، عمول معروف.,negative
394,شو هوي نظام الإسترداد؟,neutral
397,الأضوية مش عمتشتغل.,neutral
398,بالمناسبة، إسمي هيروشي ايجيما.,neutral
400,شو فرق التوقيت بين طوكيو و هون؟,neutral
401,هيدا التران بيوقف بلايك فورست، ما هيك؟,neutral
403,أدي بيطلعوا كلن؟,neutral
404,يسلمو، إستاذ.,positive
405,روح دغري و بروم عاليمين عتالت زاوية.,neutral
407,عندي وجع قوي عمبيشك بمعدتي.,negative
408,أغلبية اليابانية بياكلوا أخطبوط و حبار.,neutral
411,شفت هيدا؟,neutral
412,هيدي هدية. فيك تلفا بورقة هدايا كرمالي؟,positive
414,مرحبا، مدام كنت. زمان ما شفناكي.,neutral
416,فيي أخد بطاقتين من الدرجة التانبة عشيكاغو . عمول معروف؟,neutral
417,الشرف إلي .,positive
419,رحت عنيويورك.,neutral
422,حابب غير حجزي للرحلة تنين صفر خمسة بتنين تشرين الاول.,neutral
423,شو هوي رقم الرحلة؟,neutral
