sentID.BTEC,sent,sentiment
5,هو هناك، قدام الاستعلامات السياحية على طول.,neutral
9,عمرى ما سمعت عن العنوان دة هنا.,neutral
11,امشى على طول لحد ما تشوف صيدلية.,neutral
26,بكام الفطار؟,neutral
27,إزاى أقدر أساعدك؟,neutral
30,روح شمال عند الناصية الثالثة.,neutral
50,تحب كريمة وسكر فى القهوة بتاعتك؟,neutral
64,ممكن تدفع الشيك بتاعى اللى بميتين دولار؟,neutral
74,لو المفروض يظهر، كلمنى لو سمحت.,neutral
86,فين الكوفى شوب؟,neutral
87,عاوز بلوفر أطفال.,neutral
91,أوكى. بيكلف خمسة و ثمانين سنت للإيميل العادى و ثلاثة دولار بالظبط زيادة للتوصيل الخاص.,neutral
120,كنت هشترى دة لو كنت مكانك.,positive
129,هلاقى أى صعوبة مع الجمارك؟,neutral
130,عندك شوز رسمية بوش واسع؟,neutral
140,لأ. ممكن أقترح أوضة بسريرين لشخص واحد كحل بديل؟ إحنا عندنا واحدة.,neutral
143,عاوز كيرلى جامد، من فضلك.,neutral
145,هى عاوزة بيرة.,neutral
157,صباح الخير. عامل إيه؟,positive
158,للأسف هحتاج أشوف بطاقة تحقيق شخصية.,neutral
169,إيه نوع الصوص؟,neutral
170,دة بارد شوية. هتسخنه؟,neutral
173,معلش، المكان دة محجوز.,neutral
176,أنا تمام. بس ممكن تكلم صاحبى؟,neutral
177,شكرا، دة كفاية.,positive
184,مين أقرب صديق ليك؟,neutral
187,يوم الصحة والرياضة فى العاشر من أكتوبر هو عيد قومى مصمم لتحسين صحة الناس.,positive
192,عاوزنى أدور تحت الكبوت؟,neutral
206,ممكن تساعدنى ألاقى شنطة السفر بتاعتى؟,neutral
221,ممكن تعمل استعدادات من بدرى؟,neutral
238,فى حد بيساعدنى. شكرا.,positive
261,لما توصل هناك، إسأل حد تانى، لو سمحت.,neutral
280,عاوز اكستنشن أربعة وعشرين، من فضلك.,neutral
285,آدى اتنين دولار. خلى الباقى.,neutral
315,واحد همبرجر وواحد تشيزبرجر، لو سمحت.,positive
319,بتاخد كام في العملية؟,neutral
320,كل حد فينا عاوز يدفع للوجبات بتاعتنا.,neutral
326,الموقع كان على كرسى فى اللوبى.,neutral
333,من فضلك غير الين دول لجنيهات.,neutral
346,عاوز قاموس جيب، لو سمحت.,positive
360,لشخصين الساعة سبعة. الإسم واتانابى.,neutral
368,ساعتى. كانت سيكو رقمية.,neutral
370,هيكون من دواعى سروورنا إننا نقدملك مشروب من اختيارك، وراه عشا. دليل كامل للمشروبات اللى بنقدمها فى الرحلة دى موجود فى دليل معلومات المجلة بتاعتنا.,positive
373,إنت ساكن قريب من هنا؟,neutral
375,فين محل الهدايا؟,neutral
386,أنا على الطريق السريع واحد قريب من خليج مورو.,neutral
391,عاوز منبه، من فضلك.,neutral
398,بالمناسبة، إسمى هيروشى إيجيما.,neutral
401,القطر دة بيقف عند بحيرة فوريست، مش كدة؟,neutral
408,معظم اليابانيين بياكلوا أخطبوط وسبيط.,neutral
416,ممكن آخد تذكرتين درجة تانية لشيكاجو، لو سمحت؟,neutral
419,أنا رحت نيويورك.,neutral
423,إيه رقم الرحلة؟,neutral
442,واحد لنيويورك، من فضلك.,positive
446,لمدة أيام قليلة.,neutral
447,التانى ناحية الشمال.,neutral
471,الكارت دة، أوكى؟,neutral
488,هو دة مكتب الاستقبال؟ فى عيادة قريبة؟,neutral
493,عشرة دولار هتكفى بالتاكسى؟,neutral
503,دة طعمه غريب.,negative
512,أه. استنى، هجيبلك واحد.,neutral
516,نص إزازة، من فضلك.,neutral
540,مش حقيقى. حاجة مش غالية بس.,neutral
548,بتدور على حاجة؟,neutral
551,أربع ليالى.,neutral
553,محتاج شرابات.,neutral
565,ممكن تخليه أرخص علشان فى شوية بقع؟,neutral
571,راجل خبط فيا. بعد كدة لاحظت ان محفظتى اختفت.,negative
599,مش متأكد إذا كنت وضبت هدوم كفاية لرحلة تلات أسابيع.,negative
612,طيب، إحنا عاوزين نجرب نبيذ أبيض.,positive
631,لو أى حد سأل عليا، قولهم إنى هكون فى الكوفى شوب.,neutral
632,أنا متأكد إنه كان معايا فى الجيب اللى جوة البالطو بتاعى.,neutral
641,ممكن آخد اسم ورقم الطرف اللى بتكلمه؟,neutral
643,هى شركة الطيران هتدفع لى علشان أشترى حبة ضروريات شخصية أساسية؟,neutral
650,من فضلك عاوز أوضة بحمام.,neutral
652,مفيش حاجة طلعت من المكنة؟,neutral
667,انت كان المفروض تاخد رحلة تمانية اتنين زيرو، اللى مشيت من خمستاشر دقيقة. تمام. أنا ممكن أرتبلك رحلة تانية.,neutral
673,فى حد فتح الطرد بتاعى.,neutral
679,أوه، ولا يهمك. المهم إنك هنا، على كل حال.,neutral
680,الخطوط الجوية اليابانية، رحلة رقم واحد اتنين تلاتة.,neutral
681,محتاج أشترى شامبو.,neutral
683,ممكن تقوللى لما نوصل لمركز المدينة؟,neutral
688,فين أقرب جزار؟,neutral
703,إحنا عاوزين نقعد أربع ليالى من أول أغسطس.,neutral
708,إيه إسم الوردة دى؟,neutral
719,خمستاشر سبتمبر هو يوم احترام كبار السن.,neutral
723,مفيش صابون فى أوضتى.,negative
741,فى أى حاجة ممكن أخدها للطفح الجلدى؟,neutral
742,ممكن تغير صيغة الكلام للى انت لسة قايله حالا؟,neutral
761,هياخد وقت أد إيه للطلب؟,neutral
773,ممكن تتكلم بصوت أعلى شوية، من فضلك؟,neutral
777,هيكون وقت أد إيه قبل ما يخرج؟,neutral
786,فين المعلومات الرياضية؟,neutral
787,هو المقاس دة، اللى انت بتسميه مقاس عادى، هينفع.,neutral
793,الجولة هتخلص فين، وإمتى؟,neutral
848,المفروض أغير قطورات فين علشان أوصل لإدنبره؟,neutral
855,من فضلك عاوز أحط دة فى صندوق امانات.,neutral
859,أقدر أغير فلوسى فين؟,neutral
897,ممكن نسيب حاجاتنا، ماعدا الحاجات الغالية، فى الأتوبيس؟,neutral
902,أنا مستغرب الرقم اللى على فاتورتى دة بتاع إيه.,negative
917,أنا هدفع خمسين دولار.,neutral
941,دلوقتى عرفت كانت إيه المشكلة.,neutral
