sentID.BTEC,sent,sentiment
5,راه تما، بالضبط قبالت مكتب المعلومات ديال السياحة.,neutral
9,ماسبقليش سمعت بهاد العنوان هنا.,neutral
11,سير نيشان حتا تلقى الصيدلية.,neutral
26,شحال الثمن ديال الفطور؟,neutral
27,كيفاش نقدر نساعدك؟,neutral
30,سيرعلى ليسر في الزاوية الثالثة.,neutral
50,واش تبغي كريم وسكر في القهوة ديالك؟,neutral
64,واش ممكن تصرف الشيك ديالي ديال مئتي دولار؟,neutral
74,الى خصه يبان، اتصل بيا عافاك.,neutral
86,في كاين المقهى؟,neutral
87,بغيت لبيسة ديال الدراري الصغار.,neutral
91,واخا. غادي يكلف خمسة وثمانين سنت للبريد العادي وثلاثة بالضبط ديال الدولار اضافية للتوصيل الخاص.,neutral
120,كون كنت فبلاستك نشري هادا.,positive
129,واش غتكون عندي شي صعوبة مع الديوانة؟,neutral
130,واش عندك أحذية رسمية واسعة من جيهت الصبعين؟,neutral
140,لا. ممكن نقترح عليك عوض هادشي غرفة بجوج فراشات لشخص؟ عندي واحدة.,neutral
143,بغيت برمانونت ضيق، عافاك.,neutral
145,هي باغيا بيرة.,neutral
157,صباح الخير. كيف داير؟,positive
158,متأسف غادي نشوف شي اثبات ديال الهوية.,neutral
169,شمن نوع ديال الصوص؟,neutral
170,هادا بارد شوية. ممكن تسخنو؟,neutral
173,متأسف، هاد البلاصة موخوذة قبل.,neutral
176,أنا بخير. لكن واش ممكن تتصل بصديقي؟,neutral
177,شكرا، هادشي كافي.,positive
184,شكون أحسن صديق ديالك؟,neutral
187,يوم الصحة والرياضة عشرة أكتوبر هو عطلة وطنية كتهدف لتعزيز الصحة ديال الشعب.,positive
192,واش تبغي نتحقق من تحت الغطى ديال الموطور؟,neutral
206,واش ممكن تعاوني نلقي الشانطة ديال السفر ديالي؟,neutral
221,واش تدير الترتيبات مسبقا؟,neutral
238,شي حد كيساعدني. شكرا ليك.,positive
261,ملي توصل لتما، سول شي حد أخور، عافاك.,neutral
280,بغيت التمديد أربعة وعشرين، عافاك.,neutral
285,اتفضل جوج دولار. خلي عندك الباقي.,neutral
315,واحد همبرغر وواحد تشيز برجر، عافاك.,positive
319,شحال التكلفة اللي كتحسب للعملية؟,neutral
320,بغينا نخلصو الوجبات ديالنا.,neutral
326,الموقع كان على كرسي فالبهو ديال الفندق.,neutral
333,عافاك بدلي الين لجنيهات.,neutral
346,بغيت قاموس حجم الجيب، عافاك.,positive
360,لجوج أشخاص في السبعة. الاسم هو واتانابي.,neutral
368,ساعتي. كانت سايكو الرقمية.,neutral
370,غايكون بكل فرح اننا نسربيولك الشراب اللي تختار، متبوع بالعشا. دليل كامل ديال المشروبات اللي كنقدمها فهاد الرحلة محلي في دليل المعلومات فمجلتنا.,positive
373,واش كتعيش قريب من هنا؟,neutral
375,فين كاين محل كيبيع الهدايا؟,neutral
386,أنا فالطريق السريع رقم واحد لقريب من خليج مورو.,neutral
391,بغيت شي منبه، عافاك.,neutral
398,بالمناسبة، سميتي هيروشي إيجيما.,neutral
401,هاد الطران كيوقف فبحيرة فوريست، ياك؟,neutral
408,أغلبية اليابانيين كياكلو الأخطبوط والحبار.,neutral
416,ممكن تعطيني جوج تذكيرات درجة ثانية لشيكاغو، عافاك؟,neutral
419,مشيت لنيويورك.,neutral
423,شنو رقم الرحلة؟,neutral
442,واحد لنيويورك، عافاك.,positive
446,لمدة شي أيام.,neutral
447,الثاني على اليسار.,neutral
471,هاد البطاقة، صافي؟,neutral
488,واش هادا مكتب الاستقبال؟ واش كاين شي عيادة قريبة؟,neutral
493,واش عشرة دولارغتكون كافية بالطاكسي؟,neutral
503,هاد الأذواق غريبة.,negative
512,نعم . انتظر، غادي نجيب واحد ليك.,neutral
516,نص زجاجة، عافاك.,neutral
540,ماشي صحيح. غي حاجة ماشي مكلفة.,neutral
548,واش كتبحث على شي حاجة؟,neutral
551,أربع ليالي.,neutral
553,محتاج لشي تقاشر.,neutral
565,ممكن تخليه أرخص حيت كاين فيه شي بقع؟,neutral
571,شي رجل تصادم فيا. من بعد داكشي لاحظت مشاتلي محفظتي.,negative
599,أنا ماشي متأكد واش حزمت حوايج كافين لرحلة ديال ثلاثة أسابيع.,negative
612,فالواقيع، بغينا نجربو النبيذ الأبيض.,positive
631,الى سول فيا أي حد، قول ليهم غنكون فالمقهى.,neutral
632,أنا متأكد بلي كان عندي فالجيب الداخلي ديال المعطف ديالي.,neutral
641,ممكن تعطيني اسم ورقم الجهة لغادي تتاصل بيها؟,neutral
643,واش تخلصلي شركة الطيران باش نشري شي ضروريات شخصية أساسية؟,neutral
650,بغيت غرفة فيها حمام.,neutral
652,حتى حاجة مخرجات من الجهاز؟,neutral
667,كنتي مفترض تأخذ الرحلة ثمنية جوج صفر، اللي مشات قبل خمسة عشر دقيقة. واخا. يمكنلي نرتب ليك رحلة أخرى.,neutral
673,شي حد فكك الحزمة ديالي.,neutral
679,أوه، والو. كنتي هنا، على أي حال.,neutral
680,الخطوط الجوية اليابانية، رحلة رقم واحد جوج ثلاثة.,neutral
681,محتاج نشري الشامبوان.,neutral
683,واش ممكن تعلمني ملي نوصلو للمركز المدني؟,neutral
688,فين كاين أقرب جزار؟,neutral
703,باغين نبقاو لمدة أربعة ديال الليالي ابتداء من الأول غشت.,neutral
708,شنو اسم ديك الوردة؟,neutral
