sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	ALG	راهو لهيك، بالضبط قدام المكتب تع معلومات السياح.
9	corpus-6-test-corpus-26-train	ALG	جامي سمعت بهاذ العنوان في هاذ الجيهة.
11	corpus-6-test-corpus-26-train	ALG	امشي قبالة حتى تشوف صيدلية.
26	corpus-6-test-corpus-26-train	ALG	شحال القهوة تع الصباح؟
27	corpus-6-test-corpus-26-train	ALG	كيفاش نقدر نعاونك؟
30	corpus-6-test-corpus-26-train	ALG	دور على اليسار في الطريق الثالثة.
50	corpus-6-test-corpus-26-train	ALG	تحب الكريمة و السكر فالقهوة ديالك؟
64	corpus-6-test-corpus-26-train	ALG	تقدر تصرفلي الميتين دولار تاوعي لي راهوم فالشاك؟
74	corpus-6-test-corpus-26-train	ALG	ويدا لازم يظهر، عيطلي من فضلك.
86	corpus-6-test-corpus-26-train	ALG	وين جايا القهوة؟
87	corpus-6-test-corpus-26-train	ALG	راني حاب تريكو تع أطفال.
91	corpus-6-test-corpus-26-train	ALG	ايه. معنتها خمسة و ثمانون سنت للبرية العادية، و تزيدلها ثلاثة دولار بالضبط باش تبعثها اكسبرس.
120	corpus-6-test-corpus-26-test	ALG	لوكان جيت في بلاصتك نشريها.
129	corpus-6-test-corpus-26-train	ALG	راني حاب نعرف ويدا يكون عندي مشكل مع الجمارك؟
130	corpus-6-test-corpus-26-train	ALG	عندكم صبابط رسمية عراض من القدام؟
140	corpus-6-test-corpus-26-train	ALG	لالا. نقترح عليك غرفة فيها زوج بناك لشخص واحد. كاينة واحدة واجدة.
143	corpus-6-test-corpus-26-train	ALG	راني حاب برمانونت قوي.
145	corpus-6-test-corpus-26-train	ALG	راهي حابة بيرة.
157	corpus-6-test-corpus-26-train	ALG	صباح الخير. واش راك؟
158	corpus-6-test-corpus-26-train	ALG	سامحني لازم نطلب منك بطاقة تعريف.
169	corpus-6-test-corpus-26-train	ALG	واش من النوع تع الصوص؟
170	corpus-6-test-corpus-26-train	ALG	راهوا شوية بارد. تقدر تسخنو؟
173	corpus-6-test-corpus-26-test	ALG	سامحني، هاذ البلاصة محكومة.
176	corpus-6-test-corpus-26-train	ALG	مليح، بصح تقدر تعيط لصاحبي؟
177	corpus-6-test-corpus-26-test	ALG	صحا. هذا ماكان.
184	corpus-6-test-corpus-26-train	ALG	شكون هو صاحبك الأنتيم؟
187	corpus-6-test-corpus-26-train	ALG	نهار الصحة والرياضة العاشر أكتوبر، هو نهار عطلة باش نشجعو الحياة الصحية.
192	corpus-6-test-corpus-26-train	ALG	راك حاب نشوف تحت الكابو؟
206	corpus-6-test-corpus-26-train	ALG	تقدر تعاوني باش نصيب الحقيبة تاعي؟
