sentID.BTEC,sent,sentiment
5,موجود هناك، بالضبط مقابيل مكتب المعلومات السياحية.,neutral
9,عمري ما سامع بهيج عنوان بهل المنطقة.,neutral
11,اطلع كبل لحد ما تشوف الصيدلية.,neutral
26,شكد يكلف الريوك؟,neutral
27,شلون اكدر اساعدك؟,neutral
30,اخذ يسره ثالث زوية.,neutral
50,تحب اخليلك كريم وشكر بالكهوة مالتك؟,neutral
64,ممكن تصرفلي الصك مالتي أبو الميتين دولار؟,neutral
74,اذا صار شي، رجاءً اتصل بيه.,neutral
86,وين صايره الكهوة؟,neutral
87,اريد سترة مال أطفال.,neutral
91,ماشي. هاي تكلف خمسة وثمانين سنت للبريد العادي وتلث دولارات بالضبط إضافية للتسليم الخاص.,neutral
120,لو اني بمكانك جان اشتريتها.,positive
129,هل راح اواجه صعوبات ويه الكمارك؟,neutral
130,عندك احذية رسمية ببوز عريض؟,neutral
140,لا. ممكن اقترح غرفة بسريرين لشخص كشي بديل؟ عدنا وحده.,neutral
143,اريد كيرلي قوي، رجاءً.,neutral
145,تريد بيره.,neutral
157,صباح الخير، شلونك؟,positive
158,اسف احتاج اشوف أي هويه تعريفية.,neutral
169,شنو نوع الصوص؟,neutral
170,هذا بارد شويه، ممكن تحميه؟,neutral
173,آسف، هذا المكان محجوز.,neutral
176,أني زين. بس ممكن تنادي صديقي؟,neutral
177,شكراً. هذا كافي.,positive
184,منو افضل صديق عندك؟,neutral
187,يوم الصحة والرياضة المصادف عشرة تشرين الأول هوه عيد وطني يهدف الى تعزيز صحة الناس.,positive
192,تريدني اچيك جوه البنيد مالت السيارة؟,neutral
206,ممكن تساعدني ادور على الجنطة مالتي؟,neutral
221,راح تسوي ترتيبات بشكل مسبق؟,neutral
238,حصلت على مساعده. شكراً.,positive
261,لمن توصل لهنالك، اسألك شخص آخر، رجاءً.,neutral
280,اريد قسم أربعة وعشرين، رجاءً.,neutral
285,هاي دولارين. احتفظ بالباقي.,neutral
315,واحد همبركر وواحد تشيزبيرغر، رجاءً.,positive
319,شكد تأخذ على العملية؟,neutral
320,نريد كل واحد يدفع حساب الوجبه مالته.,neutral
326,المكان جان على كرسي باللوبي.,neutral
333,رجاءً حولي هاي الينات الى جنيهات.,neutral
346,اريد قاموس جيب، رجاءً.,positive
360,لشخصين بالسبعة. الأسم هوه واتانابي.,neutral
368,ساعتي. جانت سايكو ديجيتال.,neutral
370,راح يكون من دواعي سرورنا ان نقدملك الشراب الي تختاره، ووراها العشه. دليل كامل بالمشروبات الي نقدملها بهاي الرحلة موجود بدليل المعلومات بمجلتنا.,positive
373,انته تعيش قريب منا؟,neutral
375,وين محل الهدايا؟,neutral
386,اني على الطريق السريع واحد يم خليج مورو .,neutral
391,اريد ساعة منبه، رجاءً.,neutral
398,بالمناسبة، اني اسمي هيروشي ايجيما.,neutral
401,هذا القطار يوكف عند ليك فورست، مو؟,neutral
408,معظم اليابانيين ياكلون اخطبوط وحبار.,neutral
