Sentence_ID,sentence,label,Dialect
1,البكاء ليس سمت الرجال ..البكاء سلطة الضعفاء لكسب التعاطف ..انا لست ضد بنكيران وانما الرجل الصالح هو الذي يفعل ما يقول ولا يبكي الا عند النصر,0,Saudi Arabia
2,"كلنا بنكيران
ولاية ثانية ان شاء الله
موتوا بحقدكم",1,Tunisia
3,الشركات في الدول المتقدمة تساهم في بناء أوطانها بدفع الضرائب وفي بلدنا العزيز الشركات تطلب من الدولة أن تخدم عليها؟,0,Modern Standard Arabic
4,من ينتقد بن كران هم خصوم معارضة لى خاصها هي سلطة لا تهتم لوضعية مواطن,0,Egypt
5,"هدو صحاب بام توجدو راسهوم بغين اعفاءات ضريبية لهوم هما ويزيدها على فقراء و يزدو ليه فلعشا 
مشى بطروناج شدها حزب البام مشيتو فيها المغاربة",0,Morocco
6,في نظرك الحكومات السابقة كانت احسن اتقوا الله وانظروا إلى المحاسن لا الى المساولا نسيتوا ما مضى مع الاستقلالاين و الاشتراكيين,1,Tunisia
7,رئيس الحكومة يمر بتجربة صعبة للغاية فرغم كل التحديات والصعوبات والمواجهات مع التماسيح والعفاريت فشعبيته في تزايد فالحق يعلى ولا يعلى عليه.,1,Morocco
8,Zakaria Sam هل مستوى االعيش في بلادنا مثل فرنسا يونان اسبانيا لنقوم بسياسة تقشفهم؟؟ادلتكم زاءفة كالعادة  ا,0,Oman
9,احسن حكومة في المغرب ساصوت على العدالة والتنمية اناس شرفاء لم يسرقوا بلدنا النصر حليفهم ان شاء الله,1,Saudi Arabia
10,المنافقين هما البام لي مزال معرفتهم أش كيسواو ينجحوا وعاد تعرفهم على حقيقتهم,0,Morocco
11,أنا أقول العكس البيجيدي اولا والبام ثانيا والفيديرالية ستخلق المفاجئة بفريق قوي في المعارضة,1,Sudan
12,ما يبكي بن كيران ليس نفعه في الحكومة وانما يبكيه من سياخد الحكومة من بعد كل الحزاب غير الشفارة,1,Yemen
13,الا بغيتي تجلس مع صاحبتك في القهوة وتلبس رايبن دير انت البام اولا وأخيرا كاع ، شكون حبسك ؟ انت و ضميرك !؟,1,Morocco
14,البيجيدي اولا متبوعا بالتقدم والاشتراكية ثم االاستقلال ورابعا البام هههه,1,Morocco
15,للعدالة والتنمية و الاغلبية ساحقة باذن الله البام يمثل المستعمر .وليس حزب وطني ههههههه.الله يرحم الحسن الثاني,1,Saudi Arabia
16,كيفما كان الحال بنكيران احسن رئيس الوزراء. او ذاك لغدي يجي معمروا يكون حسن من بنكيران  الا اذا بدلنا الناس انتاعنا بالناس انتاعناه الصين.,1,Tunisia
17,أتحدى أي حزب ان يفعل كما فعل بن كران كلهم يبحثون عن مصالحهم ولماذا أنشؤ حزب الاصالة والمعاصرة لكي يكونو أشواك أمام بن كران,1,Modern Standard Arabic
18,البيجيدي أولا والبام ثالثا...الخواض من دابا ..الشفافية و المصداقية البيجيدي هي التي ستفوز.,1,Morocco
19,انت افتخر بابوك لي طالق واد ديال الفلوس من وزارة الخارجية بحال الى حتى واد من شباب المغرب ما يعرف يقول هاد جوج كلمات,0,Morocco
20,"إن كان أحدهم يأمر بنكيران فلا جدوى من الانتخابات إذا....
كفى من التناقض الدستور الذي نخضع له ينظم الاختصاصات...",0,Modern Standard Arabic
21,من حق الباميين ان يحلموا فلا حق لنا ان نمنعهم من احلامهم  وهم يعرفون انعا ليست وردية على احال الا متمنى الحا..........ق اموت كما قال الاولون,0,Iraq
22,بغيت نعرف غير بنكيران 5 سنين هادي شنو دار زاد دمر الفقير حيت هو لقدر عليه وستمر فسياسة القمع حسبي الله ونعم الوكيل,1,Morocco
23,نصوت لمن يتنازل عن راتبه و تقاعده و كل الإمتيازات  التي توفرها له الدولة، حتى يكون نعم البرلماني و الوزير و يجعل من حكومتنا مثلا يحتدى به بين الدول,1,Algeria
24,كونوا حياديين ...لهاذه الحكومة محاسن رغم كل شيء.,1,Saudi Arabia
