Sentence_ID,sentence,Tokens,POS_Tags,Dialect
M2S30,مام دانجورو كيما البليدة في بارتو,"['مام', 'دانجورو', 'كيما', 'البليدة', 'في', 'بارتو']","['ADV', 'ADJ', 'ADV', 'PROPN', 'ADP', 'ADV']",Tunisia
3100,سلام يا ناس ادعو ربي يسقم احوال ل بلاد قبل و مبعد لو فوتبال,"['سلام', 'يا', 'ناس', 'ادعو', 'ربي', 'يسقم', 'احوال', 'ل', 'بلاد', 'قبل', 'و', 'مبعد', 'لو', 'فوتبال']","['INTJ', 'INTJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'DET', 'NOUN', 'ADP', 'CCONJ', 'ADV', 'DET', 'NOUN']",Tunisia
3015,شعب مريض حتا في لي كمونتير تع الشروق تسبو بعضاكم و تتعايرو ههههههه ربي يهدينا ؤ يهديكم,"['شعب', 'مريض', 'حتا', 'في', 'لي', 'كمونتير', 'تع', 'الشروق', 'تسبو', 'بعضاكم', 'و', 'تتعايرو', 'ههههههه', 'ربي', 'يهدينا', 'ؤ', 'يهديكم']","['NOUN', 'ADJ', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'VERB', 'PRON', 'CCONJ', 'VERB', 'INTJ', 'NOUN', 'VERB', 'CCONJ', 'VERB']",Algeria
4685,قدر الله و ماشاء فعل أعانك الله على بلاؤك,"['قدر', 'الله', 'و', 'ماشاء', 'فعل', 'أعانك', 'الله', 'على', 'بلاؤك']","['VERB', 'PROPN', 'CCONJ', 'VERB', 'VERB', 'VERB', 'PROPN', 'ADP', 'NOUN']",Morocco
2112,فيف بوقرة نشآلله ال عام ال جاي في ريال مدريد,"['فيف', 'بوقرة', 'نشآلله', 'ال', 'عام', 'ال', 'جاي', 'في', 'ريال', 'مدريد']","['INTJ', 'PROPN', 'INTJ', 'DET', 'NOUN', 'DET', 'ADJ', 'ADP', 'PROPN', 'PROPN']",Tunisia
1577,رانا جايين يا ل عديان حاشا ل حرارشا و ل وهارنا,"['رانا', 'جايين', 'يا', 'ل', 'عديان', 'حاشا', 'ل', 'حرارشا', 'و', 'ل', 'وهارنا']","['VERB', 'ADJ', 'INTJ', 'DET', 'NOUN', 'ADV', 'DET', 'ADJ', 'CCONJ', 'DET', 'ADJ']",Tunisia
2690,هادا مابقا حتا لي نوار يتمسخرو ب لي ألجريان عيب والله لول,"['هادا', 'مابقا', 'حتا', 'لي', 'نوار', 'يتمسخرو', 'ب', 'لي', 'ألجريان', 'عيب', 'والله', 'لول']","['PRON', 'ADJ', 'ADV', 'DET', 'ADJ', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'INTJ', 'INTJ']",Morocco
3745,مع بومدين جوسكا ل موت,"['مع', 'بومدين', 'جوسكا', 'ل', 'موت']","['ADP', 'PROPN', 'ADP', 'DET', 'NOUN']",Tunisia
9364,حاجت ربي توجور نقولو مرحبا بها مالقري تكون صعيبة دو تعيش هاد سيتوأسيون مي راح أجوز خاطرش سي هو لي إمد و هو لي يدي ايل لازم لو نشكروه دايمن مي ظربة ال عبد هيا لي تجرح ???? نشالله ربي إكون معى كم غزة !!! سالوتاسيو,"['حاجت', 'ربي', 'توجور', 'نقولو', 'مرحبا', 'بها', 'مالقري', 'تكون', 'صعيبة', 'دو', 'تعيش', 'هاد', 'سيتوأسيون', 'مي', 'راح', 'أجوز', 'خاطرش', 'سي', 'هو', 'لي', 'إمد', 'و', 'هو', 'لي يدي', 'ايل', 'لازم', 'لو', 'نشكروه', 'دايمن', 'مي', 'ظربة', 'ال', 'عبد', 'هيا', 'لي', 'تجرح', '????', 'نشالله', 'ربي', 'إكون', 'معى', 'كم', 'غزة', '!!!', 'سالوتاسيو']","['NOUN', 'NOUN', 'ADV', 'VERB', 'INTJ', 'PRON', 'ADP', 'VERB', 'ADJ', 'ADP', 'VERB', 'DET', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'CCONJ', 'VERB', 'PRON', 'PRON', 'VERB', 'CCONJ', 'PRON', 'VERB', 'PRON', 'VERB', 'PRON', 'VERB', 'ADV', 'CCONJ', 'NOUN', 'DET', 'NOUN', 'PRON', 'PRON', 'VERB', 'PUNCT', 'PRON', 'NOUN', 'VERB', 'ADP', 'PRON', 'PROPN', 'PUNCT', 'NOUN']",Tunisia
3990,فيف بلادي والله يحفض ولاد بلادي و ربي معاكم و نشالله منصورين,"['فيف', 'بلادي', 'والله', 'يحفض', 'ولاد', 'بلادي', 'و', 'ربي', 'معاكم', 'و', 'نشالله', 'منصورين']","['INTJ', 'NOUN', 'INTJ', 'VERB', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'PRON', 'CCONJ', 'INTJ', 'ADJ']",Tunisia
