,Sentence_ID,sentence,Tokens,POS_Tags,Dialect
0,1,رحلةي إلى بلدي خلال إجازة الحج,"['رحلةي', 'إلى', 'بلدي', 'خلال', 'إجازة', 'الحج']","['NOM+NOM', 'PRT', 'NOM+NOM', 'NOM', 'NOM', 'NOM']",Oman
1,2,"لما وصلت إلى السعودية في هذا الفصل كنت عازما على تأجيل الفصل و رجوعي إلى بلدي ؛ ل أن زوجةي كانت على وشك الولادة , و لم يكن معها أحد ,","['لما', 'وصلت', 'إلى', 'السعودية', 'في', 'هذا', 'الفصل', 'كنت', 'عازما', 'على', 'تأجيل', 'الفصل', 'و', 'رجوعي', 'إلى', 'بلدي', '؛', 'ل', 'أن', 'زوجةي', 'كانت', 'على', 'وشك', 'الولادة', ',', 'و', 'لم', 'يكن', 'معها', 'أحد', ',']","['PRT', 'VRB', 'PRT', 'PROP', 'PRT', 'NOM', 'NOM', 'VRB', 'NOM', 'PRT', 'NOM', 'NOM', 'PRT', 'NOM+NOM', 'PRT', 'NOM+NOM', 'PNX', 'PRT', 'PRT', 'NOM+NOM', 'VRB', 'PRT', 'NOM', 'NOM', 'PNX', 'PRT', 'PRT', 'VRB', 'NOM+NOM', 'NOM', 'PNX']",Modern Standard Arabic
2,3,لكنني فوجئت ب خبر محزن و هو ءنه لا يمكن تأجيل الدبلوم ،,"['لكنني', 'فوجئت', 'ب', 'خبر', 'محزن', 'و', 'هو', 'ءنه', 'لا', 'يمكن', 'تأجيل', 'الدبلوم', '،']","['PRT+NOM', 'VRB-PASS', 'PRT', 'NOM', 'NOM', 'PRT', 'NOM', 'PRT+NOM', 'PRT', 'VRB', 'NOM', 'NOM', 'PNX']",Yemen
3,4,"إما أن ءلغيه كله ف أرجع في السنة القادمة ل الكلية , و إما أن أسافر و أرجع سريعا .","['إما', 'أن', 'ءلغيه', 'كله', 'ف', 'أرجع', 'في', 'السنة', 'القادمة', 'ل', 'الكلية', ',', 'و', 'إما', 'أن', 'أسافر', 'و', 'أرجع', 'سريعا', '.']","['PRT', 'PRT', 'VRB+NOM', 'NOM+NOM', 'PRT', 'VRB', 'PRT', 'NOM', 'NOM', 'PRT', 'NOM', 'PNX', 'PRT', 'PRT', 'PRT', 'VRB', 'PRT', 'VRB', 'NOM', 'PNX']",Modern Standard Arabic
4,5,"و أيضا أخبرت ب أن زوجةي مقبولة ب جامعة الأميرة نورة بداية من هذا الفصل ,","['و', 'أيضا', 'أخبرت', 'ب', 'أن', 'زوجةي', 'مقبولة', 'ب', 'جامعة', 'الأميرة', 'نورة', 'بداية', 'من', 'هذا', 'الفصل', ',']","['PRT', 'NOM', 'VRB-PASS', 'PRT', 'PRT', 'NOM+NOM', 'NOM', 'PRT', 'NOM', 'PROP', 'PROP', 'NOM', 'PRT', 'NOM', 'NOM', 'PNX']",Saudi Arabia
5,6,ف فرحت و حزنت في نفس الوقت .,"['ف', 'فرحت', 'و', 'حزنت', 'في', 'نفس', 'الوقت', '.']","['PRT', 'VRB', 'PRT', 'VRB', 'PRT', 'NOM', 'NOM', 'PNX']",Morocco
6,7,"سبب الفرح كان ءنه سوف يتحقق ما كنت أتمنى منذ عشر سنوات , و ذلك أن أذهب يوما ما إلى السعودية ل دراسة العلوم الإسلامية و أن أتزوج و أحضر زوجةي معي ف ندرس معا ,","['سبب', 'الفرح', 'كان', 'ءنه', 'سوف', 'يتحقق', 'ما', 'كنت', 'أتمنى', 'منذ', 'عشر', 'سنوات', ',', 'و', 'ذلك', 'أن', 'أذهب', 'يوما', 'ما', 'إلى', 'السعودية', 'ل', 'دراسة', 'العلوم', 'الإسلامية', 'و', 'أن', 'أتزوج', 'و', 'أحضر', 'زوجةي', 'معي', 'ف', 'ندرس', 'معا', ',']","['NOM', 'NOM', 'VRB', 'PRT+NOM', 'PRT', 'VRB', 'NOM', 'VRB', 'VRB', 'PRT', 'NOM', 'NOM', 'PNX', 'PRT', 'NOM', 'PRT', 'VRB', 'NOM', 'NOM', 'PRT', 'PROP', 'PRT', 'NOM', 'NOM', 'NOM', 'PRT', 'PRT', 'VRB', 'PRT', 'VRB-PASS', 'NOM+NOM', 'NOM+NOM', 'PRT', 'VRB', 'NOM', 'PNX']",Modern Standard Arabic
7,8,"و سبب حزني كان معرفةي ب ءنه من الصعب جدا أن أرجع الآن إلى بلدي و أن زوجةي س تواجه صعوبات الولادة و ءءلامها ب نفسها و لن أكون معا حتى ءساعدها في ما أستطيع مساعدةها , و قد كنت وعدتها قبل مجيءي ءنني س أرجع ب سرعة و أن لا تحزن .","['و', 'سبب', 'حزني', 'كان', 'معرفةي', 'ب', 'ءنه', 'من', 'الصعب', 'جدا', 'أن', 'أرجع', 'الآن', 'إلى', 'بلدي', 'و', 'أن', 'زوجةي', 'س', 'تواجه', 'صعوبات', 'الولادة', 'و', 'ءءلامها', 'ب', 'نفسها', 'و', 'لن', 'أكون', 'معا', 'حتى', 'ءساعدها', 'في', 'ما', 'أستطيع', 'مساعدةها', ',', 'و', 'قد', 'كنت', 'وعدتها', 'قبل', 'مجيءي', 'ءنني', 'س', 'أرجع', 'ب', 'سرعة', 'و', 'أن', 'لا', 'تحزن', '.']","['PRT', 'NOM', 'NOM+NOM', 'VRB', 'NOM+NOM', 'PRT', 'PRT+NOM', 'PRT', 'NOM', 'NOM', 'PRT', 'VRB', 'NOM', 'PRT', 'NOM+NOM', 'PRT', 'PRT', 'NOM+NOM', 'PRT', 'VRB', 'NOM', 'NOM', 'PRT', 'NOM+NOM', 'PRT', 'NOM+NOM', 'PRT', 'PRT', 'VRB', 'NOM', 'PRT', 'VRB+NOM', 'PRT', 'NOM', 'VRB', 'NOM+NOM', 'PNX', 'PRT', 'PRT', 'VRB', 'VRB+NOM', 'NOM', 'NOM+NOM', 'PRT+NOM', 'PRT', 'VRB', 'PRT', 'NOM', 'PRT', 'PRT', 'PRT', 'VRB', 'PNX']",Modern Standard Arabic
8,9,"كنت أشعر كءني خنتها , لكن ماذا أفعل ؟","['كنت', 'أشعر', 'كءني', 'خنتها', ',', 'لكن', 'ماذا', 'أفعل', '؟']","['VRB', 'VRB', 'PRT+NOM', 'VRB+NOM', 'PNX', 'PRT', 'NOM', 'VRB', 'PNX']",Modern Standard Arabic
9,10,قدر الله و ما شاء فعل .,"['قدر', 'الله', 'و', 'ما', 'شاء', 'فعل', '.']","['VRB', 'PROP', 'PRT', 'NOM', 'VRB', 'VRB', 'PNX']",Libya
