sentID.BTEC,sent,sentiment
5,هو هنيك، قدام معلومات السياح بالضبط.,neutral
9,مالي سمعان من قبل بهالعنوان هون.,neutral
11,روح ساوي لبين ما تشوف صيدلية.,neutral
26,بشقد الفطور؟,neutral
27,شلون بقدر أساعدك؟,neutral
30,روح عاليسار عند تالت مفرق.,neutral
50,بتريد كريمة وسكر بقهوتك؟,neutral
64,خرج تصرفلي شيك الميتين دولار تبعي؟,neutral
74,إذا لازم يبين، اتصل فيني إذا سمحت.,neutral
86,وين الكافيه؟,neutral
87,بدي كنزة اطفال.,neutral
91,ماشي. بكلف خمسة وتمانين سنت بالبريد العادي وتلات دولارات بالضبط إضافية للتوصيل الخاص.,neutral
120,كنت بشتري هاد لو كنت محلك.,positive
129,رح ألاقي شي صعوبة بالجمارك؟,neutral
130,عندك حذاء رسمي عريض؟,neutral
140,لا. ممكن أقترح وحدة مزدوجة للاستعمال المفرد بدالها؟ في عنا وحدة.,neutral
143,بدي كيرلي قوي، إذا ممكن.,neutral
145,بدها بيرة.,neutral
157,صباح الخير. شلونك؟,positive
158,للأسف لازم أشوف إثبات هوية.,neutral
169,إينا نوع من الصوص؟,neutral
170,هاد بارد شوي. بدك تسخنو؟,neutral
173,آسف، هاد المحل محجوز.,neutral
176,ماشي حالي. بس خرج تدق لرفيقي؟,neutral
177,شكراً، حاج هيك.,positive
184,مين صديقك المفضل؟,neutral
187,يوم الصحة والرياضة بعشرة تشرين الأول هو عطلة وطنية مصممة للتوعية بصحة الناس.,positive
192,بتريدني أطلع تحت الطبون؟,neutral
206,خرج تساعدني ألاقي شنتايتي؟,neutral
221,بتعمل ترتيبات سلفاً؟,neutral
238,عم أتساعد. شكراً إلك.,positive
261,بس تصير هنيك، سآل غير حدا، إذا ممكن.,neutral
280,بدي التحويلة أربعة وعشرين، إذا سمحت.,neutral
285,هي دولارين. عيف الباقي.,neutral
315,واحد هبمرغر وواحد تشيز برغر، إذا سمحت.,positive
319,شقد بتاخد عالعملية؟,neutral
320,بدنا ندفع كل واحد لحال مشان وجباتنا.,neutral
326,الموقع كان على كرسي بالصالة.,neutral
333,إذا سمحت صروف هي الينات لجنيهات.,neutral
346,بدي قاموس جيب، إذا سمحت.,positive
360,لشخصين عالساعة سبعة. الاسم واتانابي.,neutral
368,ساعتي. كانت سيكو رقمية.,neutral
370,رح يكون من دواعي سرورنا أنو نقدملك المشروب يلي بتختاروا، وبعدو العشا. في دليل كامل عن المشروبات يلي منقدمها بهالطيارة بدليل المعلومات تبع مجلتنا.,positive
373,ساكن بهالمنطقة؟,neutral
375,وين محل الهدايا؟,neutral
386,أنا عالأوتوستراد الأول جنب مورو باي.,neutral
391,بدي ساعة منبه، إذا سمحت.,neutral
398,بالمناسبة، اسمي هيروشي إيجيما.,neutral
401,هاد القطار بوقف عند ليك فوريست، ما؟,neutral
408,معظم اليابانيين بياكلوا أخطبوط وحبار.,neutral
416,ممكن بطاقتين درجة تانية ع شيكاغو، إذا سمحت؟,neutral
419,رحت ع نيويورك.,neutral
423,شقد رقم الرحلة؟,neutral
442,واحد لنيويورك، إذا سمحت.,positive
446,حوالي كم يوم.,neutral
447,التاني عاليسار.,neutral
471,هي البطاقة، تمام؟,neutral
488,هون مكتب الاستقبال؟ في شي عيادة قريبة؟,neutral
493,بكفوا عشر دولارات بالتكسي؟,neutral
503,طعمة هاد غريبة.,negative
512,إي. استنا، رح أجبلك واحد.,neutral
516,نص قنينة، إذا سمحت.,neutral
540,لأ. شغلة بس مو غالية.,neutral
548,عم تدور على شي؟,neutral
551,أربع ليالي.,neutral
553,بدي جرابات.,neutral
565,خرج تحسبو أقل لأنو في شوية وسخ؟,neutral
571,في واحد ضرب فيني. بعدين انتبهت أنو جزداني اختفى.,negative
599,مالي متأكد إذا أخدت لبس بكفي لرحلة تلات أسابيع.,negative
612,أيوا، بدنا نجرب نبيذ أبيض.,positive
631,إذا حدا سأل عني، قلون أني بكون بالكافيه.,neutral
632,متأكد أنو كان معي بالجيب الجواني للمانطو تبعي.,neutral
641,فيني آخد اسم ورقم الجهة يلي عم تتصل فيها؟,neutral
643,رح تدفعلي الخطوط الجوية مشان أشتري غراض شخصية ضرورية؟,neutral
650,بدي غرفة مع حمام.,neutral
652,ما طلع شي من الماكينة؟,neutral
667,كان لازم تطلع بالرحلة تمانة تنين صفر، يلي طارت من خمسطعش دقيقة. طيب. بقدر زبطلك طيارة تانية.,neutral
673,في حدا فتحلي طردي.,neutral
679,آه، هاد ولا شي. أنت هون، عكل حال.,neutral
680,الخطوط الجوية اليابانية، رحلة رقم واحد تنين تلاتة.,neutral
681,بدي أشتري شامبو.,neutral
683,معلش تقلي بس نوصل عالمركز المدني؟,neutral
688,وين أقرب قصاب؟,neutral
703,بدنا نضل أربع أيام من أول آب.,neutral
708,اش اسم هديك الوردة؟,neutral
719,خمسطعش أيلول هو يوم احترام كبار السن.,neutral
723,مافي صابون بغرفتي.,negative
741,في شي خرج آخدو مشان هالطفح؟,neutral
742,معلش تغير الصياغة للي قلتو هلئ؟,neutral
761,شقد رح يطول ليطلب؟,neutral
773,خرج تعلي صوتك شوي، إذا سمحت؟,neutral
777,شقد رح يطول قبل ما يطلع؟,neutral
786,وين المعلومات الرياضية؟,neutral
787,هاد القياس، يلي بتقول عليه قياس عادي، بيمشي.,neutral
793,وين رح تنتهي الجولة، وإيمت؟,neutral
848,وين لازم غير القطار لحتى أوصل ع إدينبيره؟,neutral
855,بدي أحط هاد بصندوق ودائع.,neutral
859,وين بقدر أصرف مصراتي؟,neutral
897,منقدر نترك غراضنا، ما عدا الغالية، بالباص؟,neutral
902,ما عرفان هاد المبلغ ع فاتورتي مشان إيش.,negative
917,بدفع خمسين دولار.,neutral
941,هلئ عرفت اش المشكلة.,neutral
957,آيكيدا معك. عندي حجز طاولة عالستة ونص المسا. بس بعتذر بدي أتأخر نص ساعة.,negative
1003,كم أونصة عطر فيني آخد بدون رسوم جمركية؟,neutral
1007,بس سياحة.,neutral
1010,تمام، وقع عليهون إذا سمحت. شلون بتريدو؟,positive
1023,عندك مقاعد لسا مشان عرض الليلة؟,neutral
1036,بدي واحد كبير.,positive
1037,نمت لبعد منبه الستة ونص.,neutral
1038,أنا مصور مستقل.,neutral
1047,موزعين الورق بيحسنوا يصرفولك دولاراتك فيش كازينو. نروح؟,neutral
1056,عنا حوالي تلاتين نوع زيوت حمام.,neutral
1062,رح يكون عندي اقتراح إلك الأسبوع الجاي.,neutral
1074,شكراً. شقد سعر هالكفوف؟,positive
1098,لازم أروح. بدقلك بعدين.,neutral
1100,بدي فوط استعمال مرة واحدة.,neutral
1122,منين أصلون سمكات الفراشة هدول؟,neutral
1124,بتصرفون لدولارات، إذا سمحت؟,neutral
1139,حظنا كتير حلو. في عندون واحد قياس أربعة بمحل آلا موانا.,positive
1146,في شي ليموزين؟,neutral
1163,خرج حدا يدق يفيقني عالخمسة ونص بكرة الصبح؟,neutral
1165,بفضل غرفة هادية.,neutral
1167,بدي شوية مزيل مناكير.,neutral
1183,بدي بطارية.,neutral
1193,في فرقة موسيقية لايف ولا دي جيه؟,neutral
1194,خرج أستأجر معدات غطس؟,neutral
1199,بدي أحجز غرفة لأربع أيام من تنين وعشرين كانون الأول.,neutral
1212,مناسبة هالشنتاية لكل حالات الجو؟,neutral
1213,بدي دونات، إذا ممكن.,positive
1218,بدي أستأجر سيارة أوتوماتيك يومين.,neutral
1224,روحت الرحلة عشرين لسان فرانسيسكو.,neutral
1234,بشقد عالمطار؟,neutral
1235,تمام. إيمت هو؟,positive
1276,شقد عمر بنتك؟,neutral
1312,خرج تعطيني فكرة عن فنادق رخيصة ونضيفة؟,neutral
1321,منقدر نحجزلك غرفة مريحة بقلعة قديمة قريبة عنادي غولف مشهور.,positive
1329,أنا بنصح بهاد لأنو مصنوع من مكونات طبيعية مية بالمية.,positive
1361,بوقف القطار ببرايتون؟,neutral
1369,خرج تقلي وين بقدر ألأقي تكسي؟,neutral
1375,بطاقتين درجة تانية، إذا سمحت.,neutral
