Sentence_ID,sentence,Tokens,NER_Tags,Dialect
0,Uppsala ) هيّا رابع أكبر مدينة ف سّويد من بعد سطوكهولم ، ݣوتنبورݣ ؤ مالمو .,"['Uppsala', ')', 'هيّا', 'رابع', 'أكبر', 'مدينة', 'ف', 'سّويد', 'من', 'بعد', 'سطوكهولم', '،', 'ݣوتنبورݣ', 'ؤ', 'مالمو', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O']",Morocco
1,ف 2018 كان عدد سّكان ديالها 172 ، 402 .,"['ف', '2018', 'كان', 'عدد', 'سّكان', 'ديالها', '172', '،', '402', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
2,أوپيك ( ب لينݣليزية : OPEC - تاتعني لمنضمة د لبلدان اللي كاتصدّر لپطرول ) ، هي منضمة عالمية تاتجمع بلدان اللي تيعوّل لإقتصاد ديالها بزاف على لپطرول .,"['أوپيك', '(', 'ب', 'لينݣليزية', ':', 'OPEC', '-', 'تاتعني', 'لمنضمة', 'د', 'لبلدان', 'اللي', 'كاتصدّر', 'لپطرول', ')', '،', 'هي', 'منضمة', 'عالمية', 'تاتجمع', 'بلدان', 'اللي', 'تيعوّل', 'لإقتصاد', 'ديالها', 'بزاف', 'على', 'لپطرول', '.']","['B-ORG', 'O', 'O', 'B-MISC', 'O', 'B-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
3,تأسسات هاد لمنضمة نهار 14 شتنبر 1960 ف بغداد و كانو فيها خمسة د لبدان ( لعراق ، إيران ، لكويت ، السعودية و ڤينيزويلا ) .,"['تأسسات', 'هاد', 'لمنضمة', 'نهار', '14', 'شتنبر', '1960', 'ف', 'بغداد', 'و', 'كانو', 'فيها', 'خمسة', 'د', 'لبدان', '(', 'لعراق', '،', 'إيران', '،', 'لكويت', '،', 'السعودية', 'و', 'ڤينيزويلا', ')', '.']","['O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O']",Morocco
4,ف 1965 ، رحلات لمنضمة ، و ولأّ لمقر ديالها ف ڤيينا ، واخا لوطريش ماشي دولة عضو فيها .,"['ف', '1965', '،', 'رحلات', 'لمنضمة', '،', 'و', 'ولأّ', 'لمقر', 'ديالها', 'ف', 'ڤيينا', '،', 'واخا', 'لوطريش', 'ماشي', 'دولة', 'عضو', 'فيها', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']",Morocco
5,لمنضمة فيها دابا 13 د لأعضاء ، و لمجموع ديال لإنتاج ديالهم د لپطرول تيوصل لتقريبا 44 % من لإنتاج د لعالم ، و هو اللي تيخلي لأوپيك تكون منضمة مهمة ، حيت تقدر تبدّل التمن د ليصونص ف لعالم ف أي وقت .,"['لمنضمة', 'فيها', 'دابا', '13', 'د', 'لأعضاء', '،', 'و', 'لمجموع', 'ديال', 'لإنتاج', 'ديالهم', 'د', 'لپطرول', 'تيوصل', 'لتقريبا', '44', '%', 'من', 'لإنتاج', 'د', 'لعالم', '،', 'و', 'هو', 'اللي', 'تيخلي', 'لأوپيك', 'تكون', 'منضمة', 'مهمة', '،', 'حيت', 'تقدر', 'تبدّل', 'التمن', 'د', 'ليصونص', 'ف', 'لعالم', 'ف', 'أي', 'وقت', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
6,تاتقول لأوپيك باللي لغرض علاش تأسسات هو باش تحيد لإحتكار اللي كانت دايراه الشركات د لپطرول ف لعالم ، و باش يوليو لبلدان هوما اللي تيتافقو بيناتهم على كيفاش يديرو أتمنة معقولة و مستاقرة و تاتسلّك كلشي .,"['تاتقول', 'لأوپيك', 'باللي', 'لغرض', 'علاش', 'تأسسات', 'هو', 'باش', 'تحيد', 'لإحتكار', 'اللي', 'كانت', 'دايراه', 'الشركات', 'د', 'لپطرول', 'ف', 'لعالم', '،', 'و', 'باش', 'يوليو', 'لبلدان', 'هوما', 'اللي', 'تيتافقو', 'بيناتهم', 'على', 'كيفاش', 'يديرو', 'أتمنة', 'معقولة', 'و', 'مستاقرة', 'و', 'تاتسلّك', 'كلشي', '.']","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
7,أوپيك فيها دابا 13 دولة اللي أعضاء ، و هوما : الجزائر أنݣولا غينيا ستيوائية لݣابون إيران لعراق لكويت ليبيا نيجيريا جمهورية لكونݣو السعودية لإمارات ڤينيزويلا لأمم لمتحدة السيط ديال لأوپيك أوپولو ( ب الصاموية : Upolu ) هي ݣزيرة تابعة للبلاد دصاموا وكاينة فلغرب تاع لمحيط لمهدن .,"['أوپيك', 'فيها', 'دابا', '13', 'دولة', 'اللي', 'أعضاء', '،', 'و', 'هوما', ':', 'الجزائر', 'أنݣولا', 'غينيا', 'ستيوائية', 'لݣابون', 'إيران', 'لعراق', 'لكويت', 'ليبيا', 'نيجيريا', 'جمهورية', 'لكونݣو', 'السعودية', 'لإمارات', 'ڤينيزويلا', 'لأمم', 'لمتحدة', 'السيط', 'ديال', 'لأوپيك', 'أوپولو', '(', 'ب', 'الصاموية', ':', 'Upolu', ')', 'هي', 'ݣزيرة', 'تابعة', 'للبلاد', 'دصاموا', 'وكاينة', 'فلغرب', 'تاع', 'لمحيط', 'لمهدن', '.']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'O', 'O', 'B-ORG', 'B-LOC', 'O', 'O', 'B-MISC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
8,فيها 75 كيلوميطر فالطول ولميساحة ديالتها واصلة ل1125 كيلوميطر مرباع ، الشي اللي كايخلّيها تكون لݣزيرة التانية فالترتيب من ناحية لوساعة مابين ݣزاير صاموا من مورا ݣزيرة صاڤاي .,"['فيها', '75', 'كيلوميطر', 'فالطول', 'ولميساحة', 'ديالتها', 'واصلة', 'ل1125', 'كيلوميطر', 'مرباع', '،', 'الشي', 'اللي', 'كايخلّيها', 'تكون', 'لݣزيرة', 'التانية', 'فالترتيب', 'من', 'ناحية', 'لوساعة', 'مابين', 'ݣزاير', 'صاموا', 'من', 'مورا', 'ݣزيرة', 'صاڤاي', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O']",Morocco
9,من ناحية السكان ، هي لݣزيرة لمسكونة بزاف وفيها كتر من 145 ألف دلبشري .,"['من', 'ناحية', 'السكان', '،', 'هي', 'لݣزيرة', 'لمسكونة', 'بزاف', 'وفيها', 'كتر', 'من', '145', 'ألف', 'دلبشري', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Algeria
10,جات أوپولو فلجانوب الشرقي ديال صاڤاي .,"['جات', 'أوپولو', 'فلجانوب', 'الشرقي', 'ديال', 'صاڤاي', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O']",Morocco
11,مدينة أپيا كاينة فلوصط ديال الساحل دالشمال ، ولمطار الدولي كاين فلغرب ديالتها .,"['مدينة', 'أپيا', 'كاينة', 'فلوصط', 'ديال', 'الساحل', 'دالشمال', '،', 'ولمطار', 'الدولي', 'كاين', 'فلغرب', 'ديالتها', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Morocco
