sentID.BTEC,sent,sentiment
5,اوني غادي، قدام متاع معلومات السواح بالضبط.,neutral
9,ماعمريش سمعت بيه العنوان هدا هنايا.,neutral
11,برا طول لين تشوف صيدلية.,neutral
26,بقداش الفطور؟,neutral
27,كيف نقدر نساعدك؟,neutral
30,عند تالت تقاطع خود يسار.,neutral
50,تبي حليب و سكر في قهوتك؟,neutral
64,ممكن تصرفلي الشيك متاعي الي بميتين دولار؟,neutral
74,كانا لازم يبان، كلمني لو سمحت.,neutral
86,وين مكان القهوه؟,neutral
87,نبي ماليه متاع صغار.,neutral
91,باه. حتكلفك خمسه و تمانين سنت للبريد العادي و تلاته دولار بالضبط زيادة للتوصيل الخاص.,neutral
120,أني حنشري هادي لو كنت مكانك.,positive
129,زعمه حنلاقي صعوبات مع الجمارك؟,neutral
130,هل عنك كنادر رسميه واسعه من القدام؟,neutral
140,لا. نقدر نقترح عليك دار متاع اتنين لكن لإستخدام فردي؟ عندنا واحدة.,neutral
143,نبي كيرلي ضيق، لو سمحت.,neutral
145,هي تبي بيره.,neutral
157,صباح الخير. كيف حالك؟,positive
158,معليشي نبي نشوف اي بطاقة تعريف ليك.,neutral
169,اي نوع من الصوص؟,neutral
170,هدا شوية مصقع. ممكن تسخنه؟,neutral
173,معليشي، لكن المكان هدا موخود.,neutral
176,أني كويس. لكن لو ممكن تكلم صاحبي؟,neutral
177,صحيت، هكي ساد.,positive
184,مني صاحبك الي زي اوخيك؟,neutral
187,يوم الصحة والرياضه عشرة أكتوبر عطلة رسميه صممت لتشجيع علي صحة الناس.,positive
192,تبيني نشوف تحت الكوفينو؟,neutral
206,ممكن تساعدني ندور علي شنطتي؟,neutral
221,هل بتدير ترتيباتك مسبق؟,neutral
238,في حد ساعدني. صحيت.,positive
261,لما توصل، اسال حد تاني، لو سمحت.,neutral
280,نبي توصلني برقم اربعة و عشرين، لو ممكن.,neutral
285,خود زوز دولار. خلي الباقي عندك.,neutral
315,واحده هامبرجر ووحدة تانيه بالجبنه، من فضلك.,positive
319,بقداش تحسب فيها الخدمه؟,neutral
320,كل واحد فينا يفضل يخلص ماكلته بروحه.,neutral
326,المكان كان علي كرسي في الصاله.,neutral
333,بالله صرفلي الينات الي جنيهات.,neutral
346,نبي قاموس حجم الجيب، من فضلك.,positive
360,لزوز أشخاص الساعه سبعه. الاسم واتانابي.,neutral
368,ساعتي. كانت سيكو رقميه.,neutral
370,حنكونو سعيدين ان نضيفوك مشروب من اختيارك، بعد العشي. قايمة المشاريب الي نقدمو فيها في الطياره تلقاها في المجلة متاعنا جيهة المعلومات.,positive
373,تسكن الجيهة هادي؟,neutral
375,وين دكان الهدايا؟,neutral
386,اني في السريع الي جنب مورو باي.,neutral
391,نبي فياق، لو سمحت.,neutral
398,على فكرة، اسمي هيروشي ايجيما.,neutral
401,القطار هدا يوقف عند بحيرة فورست، و الا؟,neutral
408,أغلب اليابانين ياكلو في الاخطبوط و الحبار.,neutral
