sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	ALX	هو هناك، قدام الاستعلامات السياحية على طول.
9	corpus-6-test-corpus-26-train	ALX	عمرى ما سمعت عن العنوان دة هنا.
11	corpus-6-test-corpus-26-train	ALX	امشى على طول لحد ما تشوف صيدلية.
26	corpus-6-test-corpus-26-train	ALX	بكام الفطار؟
27	corpus-6-test-corpus-26-train	ALX	إزاى أقدر أساعدك؟
30	corpus-6-test-corpus-26-train	ALX	روح شمال عند الناصية الثالثة.
50	corpus-6-test-corpus-26-train	ALX	تحب كريمة وسكر فى القهوة بتاعتك؟
64	corpus-6-test-corpus-26-train	ALX	ممكن تدفع الشيك بتاعى اللى بميتين دولار؟
74	corpus-6-test-corpus-26-train	ALX	لو المفروض يظهر، كلمنى لو سمحت.
86	corpus-6-test-corpus-26-train	ALX	فين الكوفى شوب؟
87	corpus-6-test-corpus-26-train	ALX	عاوز بلوفر أطفال.
91	corpus-6-test-corpus-26-train	ALX	أوكى. بيكلف خمسة و ثمانين سنت للإيميل العادى و ثلاثة دولار بالظبط زيادة للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	ALX	كنت هشترى دة لو كنت مكانك.
129	corpus-6-test-corpus-26-train	ALX	هلاقى أى صعوبة مع الجمارك؟
130	corpus-6-test-corpus-26-train	ALX	عندك شوز رسمية بوش واسع؟
140	corpus-6-test-corpus-26-train	ALX	لأ. ممكن أقترح أوضة بسريرين لشخص واحد كحل بديل؟ إحنا عندنا واحدة.
143	corpus-6-test-corpus-26-train	ALX	عاوز كيرلى جامد، من فضلك.
145	corpus-6-test-corpus-26-train	ALX	هى عاوزة بيرة.
157	corpus-6-test-corpus-26-train	ALX	صباح الخير. عامل إيه؟
158	corpus-6-test-corpus-26-train	ALX	للأسف هحتاج أشوف بطاقة تحقيق شخصية.
169	corpus-6-test-corpus-26-train	ALX	إيه نوع الصوص؟
170	corpus-6-test-corpus-26-train	ALX	دة بارد شوية. هتسخنه؟
173	corpus-6-test-corpus-26-test	ALX	معلش، المكان دة محجوز.
176	corpus-6-test-corpus-26-train	ALX	أنا تمام. بس ممكن تكلم صاحبى؟
177	corpus-6-test-corpus-26-test	ALX	شكرا، دة كفاية.
184	corpus-6-test-corpus-26-train	ALX	مين أقرب صديق ليك؟
187	corpus-6-test-corpus-26-train	ALX	يوم الصحة والرياضة فى العاشر من أكتوبر هو عيد قومى مصمم لتحسين صحة الناس.
192	corpus-6-test-corpus-26-train	ALX	عاوزنى أدور تحت الكبوت؟
206	corpus-6-test-corpus-26-train	ALX	ممكن تساعدنى ألاقى شنطة السفر بتاعتى؟
221	corpus-6-test-corpus-26-train	ALX	ممكن تعمل استعدادات من بدرى؟
238	corpus-6-test-corpus-26-train	ALX	فى حد بيساعدنى. شكرا.
261	corpus-6-test-corpus-26-train	ALX	لما توصل هناك، إسأل حد تانى، لو سمحت.
280	corpus-6-test-corpus-26-train	ALX	عاوز اكستنشن أربعة وعشرين، من فضلك.
285	corpus-6-test-corpus-26-train	ALX	آدى اتنين دولار. خلى الباقى.
315	corpus-6-test-corpus-26-train	ALX	واحد همبرجر وواحد تشيزبرجر، لو سمحت.
319	corpus-6-test-corpus-26-train	ALX	بتاخد كام في العملية؟
320	corpus-6-test-corpus-26-train	ALX	كل حد فينا عاوز يدفع للوجبات بتاعتنا.
326	corpus-6-test-corpus-26-train	ALX	الموقع كان على كرسى فى اللوبى.
333	corpus-6-test-corpus-26-test	ALX	من فضلك غير الين دول لجنيهات.
346	corpus-6-test-corpus-26-train	ALX	عاوز قاموس جيب، لو سمحت.
360	corpus-6-test-corpus-26-train	ALX	لشخصين الساعة سبعة. الإسم واتانابى.
368	corpus-6-test-corpus-26-train	ALX	ساعتى. كانت سيكو رقمية.
370	corpus-6-test-corpus-26-train	ALX	هيكون من دواعى سروورنا إننا نقدملك مشروب من اختيارك، وراه عشا. دليل كامل للمشروبات اللى بنقدمها فى الرحلة دى موجود فى دليل معلومات المجلة بتاعتنا.
373	corpus-6-test-corpus-26-test	ALX	إنت ساكن قريب من هنا؟
375	corpus-6-test-corpus-26-train	ALX	فين محل الهدايا؟
386	corpus-6-test-corpus-26-test	ALX	أنا على الطريق السريع واحد قريب من خليج مورو.
391	corpus-6-test-corpus-26-train	ALX	عاوز منبه، من فضلك.
398	corpus-6-test-corpus-26-dev	ALX	بالمناسبة، إسمى هيروشى إيجيما.
401	corpus-6-test-corpus-26-dev	ALX	القطر دة بيقف عند بحيرة فوريست، مش كدة؟
408	corpus-6-test-corpus-26-train	ALX	معظم اليابانيين بياكلوا أخطبوط وسبيط.
416	corpus-6-test-corpus-26-train	ALX	ممكن آخد تذكرتين درجة تانية لشيكاجو، لو سمحت؟
419	corpus-6-test-corpus-26-train	ALX	أنا رحت نيويورك.
423	corpus-6-test-corpus-26-train	ALX	إيه رقم الرحلة؟
442	corpus-6-test-corpus-26-test	ALX	واحد لنيويورك، من فضلك.
446	corpus-6-test-corpus-26-train	ALX	لمدة أيام قليلة.
447	corpus-6-test-corpus-26-train	ALX	التانى ناحية الشمال.
471	corpus-6-test-corpus-26-dev	ALX	الكارت دة، أوكى؟
488	corpus-6-test-corpus-26-train	ALX	هو دة مكتب الاستقبال؟ فى عيادة قريبة؟
493	corpus-6-test-corpus-26-train	ALX	عشرة دولار هتكفى بالتاكسى؟
503	corpus-6-test-corpus-26-train	ALX	دة طعمه غريب.
512	corpus-6-test-corpus-26-train	ALX	أه. استنى، هجيبلك واحد.
516	corpus-6-test-corpus-26-train	ALX	نص إزازة، من فضلك.
540	corpus-6-test-corpus-26-train	ALX	مش حقيقى. حاجة مش غالية بس.
548	corpus-6-test-corpus-26-train	ALX	بتدور على حاجة؟
551	corpus-6-test-corpus-26-train	ALX	أربع ليالى.
553	corpus-6-test-corpus-26-train	ALX	محتاج شرابات.
565	corpus-6-test-corpus-26-train	ALX	ممكن تخليه أرخص علشان فى شوية بقع؟
571	corpus-6-test-corpus-26-train	ALX	راجل خبط فيا. بعد كدة لاحظت ان محفظتى اختفت.
599	corpus-6-test-corpus-26-train	ALX	مش متأكد إذا كنت وضبت هدوم كفاية لرحلة تلات أسابيع.
612	corpus-6-test-corpus-26-train	ALX	طيب، إحنا عاوزين نجرب نبيذ أبيض.
631	corpus-6-test-corpus-26-train	ALX	لو أى حد سأل عليا، قولهم إنى هكون فى الكوفى شوب.
632	corpus-6-test-corpus-26-train	ALX	أنا متأكد إنه كان معايا فى الجيب اللى جوة البالطو بتاعى.
641	corpus-6-test-corpus-26-test	ALX	ممكن آخد اسم ورقم الطرف اللى بتكلمه؟
643	corpus-6-test-corpus-26-train	ALX	هى شركة الطيران هتدفع لى علشان أشترى حبة ضروريات شخصية أساسية؟
650	corpus-6-test-corpus-26-train	ALX	من فضلك عاوز أوضة بحمام.
652	corpus-6-test-corpus-26-dev	ALX	مفيش حاجة طلعت من المكنة؟
667	corpus-6-test-corpus-26-test	ALX	انت كان المفروض تاخد رحلة تمانية اتنين زيرو، اللى مشيت من خمستاشر دقيقة. تمام. أنا ممكن أرتبلك رحلة تانية.
673	corpus-6-test-corpus-26-train	ALX	فى حد فتح الطرد بتاعى.
679	corpus-6-test-corpus-26-test	ALX	أوه، ولا يهمك. المهم إنك هنا، على كل حال.
680	corpus-6-test-corpus-26-train	ALX	الخطوط الجوية اليابانية، رحلة رقم واحد اتنين تلاتة.
681	corpus-6-test-corpus-26-train	ALX	محتاج أشترى شامبو.
683	corpus-6-test-corpus-26-train	ALX	ممكن تقوللى لما نوصل لمركز المدينة؟
688	corpus-6-test-corpus-26-train	ALX	فين أقرب جزار؟
703	corpus-6-test-corpus-26-train	ALX	إحنا عاوزين نقعد أربع ليالى من أول أغسطس.
708	corpus-6-test-corpus-26-train	ALX	إيه إسم الوردة دى؟
719	corpus-6-test-corpus-26-train	ALX	خمستاشر سبتمبر هو يوم احترام كبار السن.
723	corpus-6-test-corpus-26-train	ALX	مفيش صابون فى أوضتى.
741	corpus-6-test-corpus-26-dev	ALX	فى أى حاجة ممكن أخدها للطفح الجلدى؟
742	corpus-6-test-corpus-26-train	ALX	ممكن تغير صيغة الكلام للى انت لسة قايله حالا؟
761	corpus-6-test-corpus-26-test	ALX	هياخد وقت أد إيه للطلب؟
773	corpus-6-test-corpus-26-train	ALX	ممكن تتكلم بصوت أعلى شوية، من فضلك؟
777	corpus-6-test-corpus-26-train	ALX	هيكون وقت أد إيه قبل ما يخرج؟
786	corpus-6-test-corpus-26-train	ALX	فين المعلومات الرياضية؟
787	corpus-6-test-corpus-26-train	ALX	هو المقاس دة، اللى انت بتسميه مقاس عادى، هينفع.
793	corpus-6-test-corpus-26-test	ALX	الجولة هتخلص فين، وإمتى؟
848	corpus-6-test-corpus-26-train	ALX	المفروض أغير قطورات فين علشان أوصل لإدنبره؟
855	corpus-6-test-corpus-26-train	ALX	من فضلك عاوز أحط دة فى صندوق امانات.
859	corpus-6-test-corpus-26-train	ALX	أقدر أغير فلوسى فين؟
897	corpus-6-test-corpus-26-train	ALX	ممكن نسيب حاجاتنا، ماعدا الحاجات الغالية، فى الأتوبيس؟
902	corpus-6-test-corpus-26-train	ALX	أنا مستغرب الرقم اللى على فاتورتى دة بتاع إيه.
917	corpus-6-test-corpus-26-train	ALX	أنا هدفع خمسين دولار.
941	corpus-6-test-corpus-26-train	ALX	دلوقتى عرفت كانت إيه المشكلة.
957	corpus-6-test-corpus-26-dev	ALX	معاك إيكيدا اللي بيتكلم. عندى حجز ترابيزة الساعة ستة ونص الليلة دى. بس آسف هوصل نص ساعة متأخر.
1003	corpus-6-test-corpus-26-train	ALX	كام مللى برفان أقدر أخدها من غير رسوم جمركية؟
1007	corpus-6-test-corpus-26-train	ALX	مجرد سياحة.
1010	corpus-6-test-corpus-26-train	ALX	دة كويس، لو سمحت تمضيهم. تحبه يكون إزاى؟
1023	corpus-6-test-corpus-26-test	ALX	لسة عندك كراسى لعرض النهاردة؟
1036	corpus-6-test-corpus-26-train	ALX	عاوز واحد كبير.
1037	corpus-6-test-corpus-26-dev	ALX	أنا فضلت نايم لحد ما رن منبه الساعة ستة ونص.
1038	corpus-6-test-corpus-26-train	ALX	أنا مصور حر.
1047	corpus-6-test-corpus-26-train	ALX	الديلرز ممكن يصرفولك دولاراتك علشان بقشيش الكازينو، نمشى؟
1056	corpus-6-test-corpus-26-dev	ALX	عندنا حوالى تلاتين نوع من زيوت الحمام.
1062	corpus-6-test-corpus-26-train	ALX	هجيبلك العرض الأسبوع الجاى.
1074	corpus-6-test-corpus-26-train	ALX	شكرا. بكام الجوانتى دة؟
1098	corpus-6-test-corpus-26-train	ALX	لازم أمشى. هكلمك بعدين.
1100	corpus-6-test-corpus-26-train	ALX	عاوز حفاضات استعمال مرة واحدة.
1122	corpus-6-test-corpus-26-train	ALX	أسماك الفراشة دى نشأت فين؟
1124	corpus-6-test-corpus-26-train	ALX	ممكن تغيرهم لدولارات. لو سمحت؟
1139	corpus-6-test-corpus-26-train	ALX	إحنا محظوظين جدا. عندهم واحد مقاس أربعة فى محل ألا موانا.
1146	corpus-6-test-corpus-26-train	ALX	فى أى ليموزين؟
1163	corpus-6-test-corpus-26-dev	ALX	ممكن مكالمة تصحينى الساعة خمسة ونص بكرة الصبح؟
1165	corpus-6-test-corpus-26-train	ALX	أفضل أوضة هادية.
