sentID.BTEC	split	lang	sent
0	corpus-6-train	CAI	هو في اخر القاعة . أنا حأجيبلك شويه دلوقتي . لو محتاج حاجة تانية، قولي.
2	corpus-6-train	CAI	بتعمل تبديلات؟
4	corpus-6-train	CAI	عايزين ترابيزة جنب الشباك .
5	corpus-6-test-corpus-26-train	CAI	ده قدامك هناك، يادوبك قدام مكتب استعلامات السياحة .
9	corpus-6-test-corpus-26-train	CAI	عمري ما سمعت عن العنوان ده هنا .
11	corpus-6-test-corpus-26-train	CAI	أمشي علطول لحد ما تلقي صيدلية.
12	corpus-6-train	CAI	ايه اجدد لون في الموسم ده؟
14	corpus-6-train	CAI	في الحالة بتاعتي، بيبقى عادة شغل، وقليل جدا ترفيه.
15	corpus-6-train	CAI	هقعد يومين .
16	corpus-6-train	CAI	انا عايز اعمل كيرلي جامد.
17	corpus-6-train	CAI	عايز احجز اوضتين بسريرين .
18	corpus-6-train	CAI	انا مش عايزه منزوع.
19	corpus-6-train	CAI	الأوتوبيس ده حيقف في شارع ستونر؟
24	corpus-6-train	CAI	من فضلك افتح بقك جامد.
26	corpus-6-test-corpus-26-train	CAI	بكام الفطار؟
27	corpus-6-test-corpus-26-train	CAI	ازاي أقدر اساعدك؟
29	corpus-6-train	CAI	خلينا ناكل لقمة.
30	corpus-6-test-corpus-26-train	CAI	احود شمال عند الناصية التالته.
31	corpus-6-train	CAI	ممكن تنضف الهدوم ديه؟
37	corpus-6-dev	CAI	انا اديتك تليفونه و عنوانه.
38	corpus-6-train	CAI	انا دفعت مقدما حساب الفندق و الاكل.
40	corpus-6-train	CAI	بأدور على حاتي كويس ويكون هادي. ممكن توريني مكانهم عالخريطة دي؟
42	corpus-6-train	CAI	اللي تكسره، تشتريته.
46	corpus-6-train	CAI	حأبلغها تكلمك اول ما ترجع.
50	corpus-6-test-corpus-26-train	CAI	تحب كريمة و سكر في قهوتك؟
51	corpus-6-train	CAI	هي متعورة جامد.
52	corpus-6-train	CAI	عاوز ولاعة.
53	corpus-6-train	CAI	فيه في الفندق ده تجهيزات للمؤتمرات؟
56	corpus-6-train	CAI	حيكون كويس لو اخدنا وجبة خفيفة؟
57	corpus-6-train	CAI	انا بأكلمك من المطار . حأكون هناك حوالي اربعه.
62	corpus-6-train	CAI	من فين أقدر أروح لشيكاجو؟
63	corpus-6-train	CAI	بكام أقدر ابعت جواب مسجل لفرنسا؟
64	corpus-6-test-corpus-26-train	CAI	ممكن تصرفلي شيك بميتين دولار؟
68	corpus-6-train	CAI	ده فعلا مختلف ان الواحد يسوق على جنب الشارع اليمين.
69	corpus-6-train	CAI	الممثل ده حقيقي رائع.
72	corpus-6-train	CAI	فين قسم الكتب اللي مش خياليه بتاعك؟
74	corpus-6-test-corpus-26-train	CAI	لو لازم يظهر، لو سمحت كلمني .
78	corpus-6-dev	CAI	ممكن لو سمحت تغير الكرسي بتاعي؟
79	corpus-6-train	CAI	فيه ضمان؟
83	corpus-6-train	CAI	أسف، انا حأخد بالي من الكلب.
84	corpus-6-train	CAI	انا عايز تذكرتين علشان حفلى ال كاتس، الخميس ده.
86	corpus-6-test-corpus-26-train	CAI	فين القهوة؟
87	corpus-6-test-corpus-26-train	CAI	عايز بلوفر اطفال.
89	corpus-6-dev	CAI	اسمك تاني لو سمحت؟
90	corpus-6-train	CAI	استاذ براون موجود؟
91	corpus-6-test-corpus-26-train	CAI	اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.
92	corpus-6-train	CAI	ممكن أأجر مركب ليوم؟
93	corpus-6-train	CAI	ممكن أحجز في أى شباك؟
94	corpus-6-train	CAI	أيه ده؟
96	corpus-6-train	CAI	ممكن تقوللي ازاي أروح الاوبرا؟
97	corpus-6-train	CAI	انت ماكنتش سكران شويه الليله اللي فاتت، حبيبي؟
98	corpus-6-train	CAI	لو سمحت خليك ورا تعليمات الموظفين بتوعنا .
100	corpus-6-dev	CAI	فيه هايبر ماركت قريب من هنا؟
102	corpus-6-train	CAI	فول، لو سمحت.
103	corpus-6-train	CAI	فيه اى اوضه ارخص؟
