Sentence_ID,sentence,Tokens,POS_Tags,Dialect
n01001011,"كتبت كوري شولمان , المساعدة الخاصة ل أوباما في تدوينة نشرت ها يوم الإثنين : "" فيما الكثير من عمليات الانتقال الرقمي غير مسبوقة في الولايات المتحدة , ف إن الانتقال السلمي ل لسلطة سبق ل ه أن حدث "" .","['كتبت', 'كوري', 'شولمان', ',', 'المساعدة', 'الخاصة', 'ل', 'أوباما', 'في', 'تدوينة', 'نشرت', 'ها', 'يوم', 'الإثنين', ':', '""', 'فيما', 'الكثير', 'من', 'عمليات', 'الانتقال', 'الرقمي', 'غير', 'مسبوقة', 'في', 'الولايات', 'المتحدة', ',', 'ف', 'إن', 'الانتقال', 'السلمي', 'ل', 'لسلطة', 'سبق', 'ل', 'ه', 'أن', 'حدث', '""', '.']","['VERB', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'ADP', 'NOUN', 'VERB', 'PRON', 'ADV', 'PROPN', 'PUNCT', 'PUNCT', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'PART', 'ADJ', 'ADP', 'PROPN', 'ADJ', 'PUNCT', 'PART', 'PART', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'VERB', 'ADP', 'PRON', 'ADP', 'VERB', 'PUNCT', 'PUNCT']",Modern Standard Arabic
n01001013,"ب النسبة إلى أولئك الذين يتابعون الانتقال الخاص ب وسائل التواصل الاجتماعي في الكابيتول هيل , س يكون الأمر مختلفاً بعض الشيء .","['ب', 'النسبة', 'إلى', 'أولئك', 'الذين', 'يتابعون', 'الانتقال', 'الخاص', 'ب', 'وسائل', 'التواصل', 'الاجتماعي', 'في', 'الكابيتول', 'هيل', ',', 'س', 'يكون', 'الأمر', 'مختلفاً', 'بعض', 'الشيء', '.']","['ADP', 'NOUN', 'ADP', 'PRON', 'PRON', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PART', 'AUX', 'NOUN', 'ADJ', 'DET', 'NOUN', 'PUNCT']",Oman
n01002017,"لكن بعيداً عن كلام ه السابق ب شأن الحد من الهجرة , أعلن المرشح الجمهوري أن ه ك رئيس س يسمح "" ب أعدادٍ هائلة "" من المهاجرين الشرعيين على أساس "" نظام الجدارة "" .","['لكن', 'بعيداً', 'عن', 'كلام', 'ه', 'السابق', 'ب', 'شأن', 'الحد', 'من', 'الهجرة', ',', 'أعلن', 'المرشح', 'الجمهوري', 'أن', 'ه', 'ك', 'رئيس', 'س', 'يسمح', '""', 'ب', 'أعدادٍ', 'هائلة', '""', 'من', 'المهاجرين', 'الشرعيين', 'على', 'أساس', '""', 'نظام', 'الجدارة', '""', '.']","['ADP', 'ADJ', 'ADP', 'NOUN', 'PRON', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'SCONJ', 'PRON', 'ADP', 'NOUN', 'PART', 'VERB', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT']",Modern Standard Arabic
n01002032,قال ل لحشد الذي تجمع في أحد الملاعب الرياضية الخاصة ب جامعة كارولينا الشمالية .,"['قال', 'ل', 'لحشد', 'الذي', 'تجمع', 'في', 'أحد', 'الملاعب', 'الرياضية', 'الخاصة', 'ب', 'جامعة', 'كارولينا', 'الشمالية', '.']","['VERB', 'ADP', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'PROPN', 'PROPN', 'ADJ', 'PUNCT']",Oman
n01002042,تمول النفقات الجديدة من خلال حساب كلينتون المصرفي الكبير .,"['تمول', 'النفقات', 'الجديدة', 'من', 'خلال', 'حساب', 'كلينتون', 'المصرفي', 'الكبير', '.']","['VERB', 'NOUN', 'ADJ', 'ADP', 'ADP', 'NOUN', 'PROPN', 'ADJ', 'ADJ', 'PUNCT']",Oman
n01002058,"إن ما تقول ه و ما تفعل ه ... في الواقع , إن ه أمرٌ لا يصدق .","['إن', 'ما', 'تقول', 'ه', 'و', 'ما', 'تفعل', 'ه', '...', 'في', 'الواقع', ',', 'إن', 'ه', 'أمرٌ', 'لا', 'يصدق', '.']","['PART', 'PRON', 'VERB', 'PRON', 'CCONJ', 'PRON', 'VERB', 'PRON', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'PART', 'PRON', 'NOUN', 'PART', 'VERB', 'PUNCT']",Modern Standard Arabic
n01003007,الحد الأقصى المسموح ب ه ل لشخص الواحد هو 5000 دولار .,"['الحد', 'الأقصى', 'المسموح', 'ب', 'ه', 'ل', 'لشخص', 'الواحد', 'هو', '5000', 'دولار', '.']","['NOUN', 'ADJ', 'ADJ', 'ADP', 'PRON', 'ADP', 'NOUN', 'ADJ', 'PRON', 'NUM', 'NOUN', 'PUNCT']",Egypt
n01003010,"في أوائل شهر تشرين الأول , استخدم الفريق الانتقالي ذات المكان ل لقاء جماعات الضغط التكنولوجية , ب حضور ممثلين عن شركة "" أوبر "" و جمعية الفيلم الأمريكي و جمعية مستهلكي التكنولوجيا و غير ها .","['في', 'أوائل', 'شهر', 'تشرين', 'الأول', ',', 'استخدم', 'الفريق', 'الانتقالي', 'ذات', 'المكان', 'ل', 'لقاء', 'جماعات', 'الضغط', 'التكنولوجية', ',', 'ب', 'حضور', 'ممثلين', 'عن', 'شركة', '""', 'أوبر', '""', 'و', 'جمعية', 'الفيلم', 'الأمريكي', 'و', 'جمعية', 'مستهلكي', 'التكنولوجيا', 'و', 'غير', 'ها', '.']","['ADP', 'ADJ', 'NOUN', 'PROPN', 'ADJ', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'CCONJ', 'PROPN', 'PROPN', 'ADJ', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'PART', 'PRON', 'PUNCT']",Sudan
n01003012,"كان من المقرر في الأصل أن يقام التجمع في نادي المتروبوليتان في واشنطن في شارع "" إتش "" الذي لا يبعد كثيراً .","['كان', 'من', 'المقرر', 'في', 'الأصل', 'أن', 'يقام', 'التجمع', 'في', 'نادي', 'المتروبوليتان', 'في', 'واشنطن', 'في', 'شارع', '""', 'إتش', '""', 'الذي', 'لا', 'يبعد', 'كثيراً', '.']","['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PRON', 'PART', 'VERB', 'ADV', 'PUNCT']",Modern Standard Arabic
n01003013,ل ربما كان الزي الواجب ارتداؤ ه خانقاً زيادة عن اللزوم .,"['ل', 'ربما', 'كان', 'الزي', 'الواجب', 'ارتداؤ', 'ه', 'خانقاً', 'زيادة', 'عن', 'اللزوم', '.']","['PART', 'ADV', 'AUX', 'NOUN', 'ADJ', 'NOUN', 'PRON', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",Sudan
