sentID.BTEC,sent,sentiment
5,هيو هناك، بالزبط مقابل مكتب المعلومات السياحية.,neutral
9,أنا ما سمعت أبداً عن هاد العنوان في المنطقة هون.,neutral
11,امشي دغري لعند ما تشوف صيدلية.,neutral
26,كم سعر الفطور؟,neutral
27,كيف بقدر أساعدك؟,neutral
30,روح يسار من عند الدخلة التالتة.,neutral
50,بتحب الكريمة والسكر مع قهوتك؟,neutral
64,ممكن تصرفلي الشيك بميتين دولار؟,neutral
74,ازا بده يظهر، لو سمحت كلمني.,neutral
86,وين الكوفي شوب؟,neutral
87,بدي بلوفر أطفال.,neutral
91,طيب. بكلف تمنية وخمسين سنت للبريد العادي وتلاتة دولار بالزبط اضافية للتوصيل الخاص.,neutral
120,أنا كنت راح أشتريه لو كنت محلك.,positive
129,راح يكون عندي أي صعوبة في التعامل مع الجمارك؟,neutral
130,عندك كندرة رسمية واسعة من عند الأصابع؟,neutral
140,لا. ممكن أقترح عليك بدالها غرفة مزدوجة تستخدمها استخدام فردي. عنا وحدة.,neutral
143,أنا بدي اياه كتير مموج، لو سمحت.,neutral
145,بدها خمرة.,neutral
157,صباح الخير. كيف حالك؟,positive
158,أسف راح أحتاج أشوف اثبات هوية.,neutral
169,أي نوع من الصوص؟,neutral
170,هاد بارد شوي. ممكن تسخنه؟,neutral
173,آسف، بس هاد المكان محجوز.,neutral
176,أنا تمام، بس ممكن أحكي مع صاحبي؟,neutral
177,شكراً، هيك بكفي.,positive
184,مين صاحبك المفضل؟,neutral
187,يوم الصحة والرياضة بعشرة أكتوبر بكون عطلة وطنية عملوه عشان يرفعوا مستوى الصحة عند الناس.,positive
192,بدك اياني أشيك تحت غطا الموتور؟,neutral
206,ممكن تساعدني ألاقي شنتة سفري؟,neutral
221,ممكن إتطور الترتيبات؟,neutral
238,حد عم بساعدني، شكراً الك.,positive
261,لما توصل هناك، اسأل حد تاني، لو سمحت.,neutral
280,حابب أمدد يوم، لو سمحت.,neutral
285,هي دولارين. خلي الباقي إلك.,neutral
315,واحد همبرغر وواحد برجر بالجبنة، لو سمحت.,positive
319,كم تاخد عشان العملية؟,neutral
320,احنا كل واحد حابب يدفع على وجبته.,neutral
326,الموقع كان موجود على كرسي باللوبي.,neutral
333,لو سمحت اصرفلي هدول من ين لجنيهات.,neutral
346,بدي قاموس بحجم الجيبة، لو سمحت.,positive
360,لشخصين الساعة سبعة. الاسم واتاناب.,neutral
368,ساعتي. كانت رقمية من سيكو.,neutral
370,راح نكون كتير مبسوطين نقدملك الشراب اللي بتختاره، وبيلحقة العشا. منوفر قائمة كاملة من الشراب على هاي الطيارة موجودة بمجلة المعلومات التوجيهية تبعتنا.,positive
373,انت عايش بالمنطقة هون؟,neutral
375,وين محل الهدايا؟,neutral
386,أنا بالشارع الرئيسي الأول قريب من المارو بايه.,neutral
391,بدي ساعة منبه، لو سمحت.,neutral
398,بالمناسبة، اسمي هيروشي ايجيما.,neutral
401,هاد القطار بوقف عند بحيرة الغابة. مش هيك؟,neutral
408,أغلب اليبانيين بياكلو الأخطبوط والحبار.,neutral
416,ممكن أحجز بطاقتين لتشيكاغو من الدرجة التانية، لو سمحت؟,neutral
419,أنا رحت على نيويورك.,neutral
423,كم رقم رحلة الطيران؟,neutral
442,وحدة لنيويورك، لو سمحت.,positive
446,لحوالي كم يوم.,neutral
447,التاني على الشمال.,neutral
471,هاي البطاقة، طيب؟,neutral
488,هاد مكتب الاستقبال؟ في عيادة قريبة من هون؟,neutral
493,بكفو عشرة دولار للتكسي؟,neutral
503,هاد الطعم غريب.,negative
512,طيب. استنى، راح أجبلك وحدة.,neutral
516,نص عبوة، لو سمحت.,neutral
540,مش هيك. بس اشي مش غالي.,neutral
548,انت بتستنى اشي؟,neutral
551,أربع ليالي.,neutral
553,محتاج شوية جرابات.,neutral
565,بتقدر ترخصلي اياه لأنه هون عليها شوية بقع؟,neutral
571,في رجال ضرب في . وبعدها لاحظت أنه محفظتي انسرقت.,negative
599,أنا مش متأكد اذا عندي ملابس مضبوبة تكفيني لرحلة مدتها ثلاث أسابيع.,negative
612,طيب، احنا حابيين نجرب الخمر الأبيض.,positive
631,اذا أي حد سأل عني، احكيلهم اني راح أكون بالكوفي شوب.,neutral
632,أنا متأكد انه كان بالجيبة جوا كبوتي.,neutral
641,ممكن تعطيني الاسم والرقم للجهة اللي بتتصل فيها؟,neutral
643,راح تدفعلي شركة الطيران عشان أشتري شوية أشياء من الضروريات الشخصية الأساسة؟,neutral
650,بدي غرفة مع حمام.,neutral
652,ما في أي انتاج من الآلة؟,neutral
667,انت كان المفروض تطلع برحلة الطيران رقم ثمانمية وعشرين، اللي أقلعت من خمسطعشر دقيقة. على العموم. أنا بقدر أرتبلك رحلة تانية.,neutral
673,في حد فضالي الطرد البريدي.,neutral
679,أووه، ولا اشي. انت هون، على كل حال.,neutral
680,الخطوط الجوية اليابانية، رحلة الطيران رقم واحد اتنين تلاتة.,neutral
681,أنا لازم أشتري شامبو.,neutral
683,ممكن تحكيلي متى راح نوصل على مركز المدينة؟,neutral
688,وين أقرب لحام؟,neutral
703,احنا حابيين نضل أربع ليالي من واحد أغسطس.,neutral
708,شو اسم هاي الوردة؟,neutral
719,خمسطعش سبتمبر هو يوم احترام المسنين.,neutral
723,ما عندي صابون في الغرفة.,negative
741,في أي اشي ممكن أخده عشان هاد الطفح الجلدي؟,neutral
742,بتقدر تغير الصياغة للي انت حكيته هلأ؟,neutral
761,كم بده وقت عشان ياخد الطلب؟,neutral
773,ممكن تحكي بصوت أعلى شوي، لو سمحت؟,neutral
777,كم راح يكون طولها قبل ما تطلع؟,neutral
786,وين معلومات الرياضة؟,neutral
787,هي المقاس هون، اللي حكيت عنه المقاس العادي، راح أخده.,neutral
793,وين راح تخلص الرحلة، ومتى؟,neutral
848,وين لازم أغير القطار عشان أوصل لادنبرة؟,neutral
855,أنا بدي أحط هاد في صندوق حفظ أمانات.,neutral
859,وين بقدر أصرف فلوسي؟,neutral
897,ممكن نترك أغراضنا، إلا الأشياء الغالية، في الباص؟,neutral
902,أنا مستغرب ليش كل هاد المصروف على فاتورتي.,negative
917,أنا راح أدفع خمسين دولار.,neutral
941,هلأ أنا عرفت شو اللي كان غلط.,neutral
957,انا ايكيدا بيحكي. عندي حجز لطاولة الساعة ستة ونص المساء. بس أنا آسف راح أوصل متأخر نص ساعة.,negative
1003,كم أوقية من العطر ممكن أخد معي بدون رسوم جمركية؟,neutral
1007,بس للسياحة.,neutral
1010,هيك تمام، لو سمحت وقعهم. كيف بتحبه يكون؟,positive
1023,لسا في عندك مقاعد لعرض الليلة؟,neutral
1036,أنا بدي واحد كبير.,positive
1037,أنا نمت بين منبه الساعة ستة ونص.,neutral
1038,أنا مصور حر.,neutral
1047,التجار ممكن يحولوا الدولارات لحيل الكازينو. لازم نروح؟,neutral
1056,عنا حوالي تلاتين نوع من زيوت الحمام.,neutral
1062,راح يكون عندي الاقتراح الك الأسبوع الجاي.,neutral
1074,شكراً الك. كم سعر هاي الكفوف؟,positive
1098,أنا لازم أروح. راح أحكي معك بعدين.,neutral
1100,بدي حفاظات للاستعمال مرة وحدة.,neutral
1122,من وين أصل نشأة سمكة الفراشة؟,neutral
1124,ممكن تحولي اياهم لدولارات، لو سمحت؟,neutral
1139,احنا كتير محظوظين. في عندهم واحد مقاسه أربعة في محل ألا موانا.,positive
1146,في هون ليموزين؟,neutral
1163,ممكن تبعتلي مكالمة تصحيني فيها الساعة خمسة ونص الصبح؟,neutral
1165,أنا بفضل غرفة هادية.,neutral
1167,بدي مزيل للمناكير.,neutral
1183,بدي بطارية.,neutral
1193,في هناك فرقة موسيقية لايف أو دي جيه؟,neutral
1194,بقدر أستأجر معدات الغطس؟,neutral
1199,أنا بدي أحجز غرفة لمدة أربع ليالي من اتنين وعشرين ديسمبر.,neutral
1212,هاي الشنطة بتلائم الجو بكل أحواله؟,neutral
1213,بدي دونت، لو سمحت.,positive
1218,بدي استأجر سيارة أوتوماتيك ليومين.,neutral
1224,أنا راحت على رحلة الطيران عشرين لسان فرانسيسكو.,neutral
1234,كم بكلف للمطار؟,neutral
1235,هيك تمام. متى راح يكون؟,positive
1276,كم عمر بنتك؟,neutral
1312,ممكن تحكيلي عن أوتيلات رخيصة ونظيفة؟,neutral
1321,ممكن نحجزلك غرفة مريحة في قصر قديم قريب من نادي الخليج المشهور.,positive
1329,أنا بنصحك بهاد لأنه مصنوع من مواد طبيعية مية بالمية.,positive
1361,بوقف القطار عند برايتون؟,neutral
1369,بتقدر تحكيلي من وين بلاقي سيارة أجرة؟,neutral
1375,بطاقتين من الدرجة التانية، لو سمحت.,neutral
1384,أنا بدي أبعت فاكس.,neutral
1394,بدي مكواية للسفر.,neutral
1396,بقدر أجبلك أي اشي؟,neutral
1404,يومي؟ أنا خايف من السؤال، بس شو قصدك؟,neutral
1418,بدي واحد بيقدر يمسك الوثائق اللي بحجم الورق عادي بدون ما يتنيهم.,neutral
1433,اه، بس مش كتير قوي.,neutral
1434,أنا عندي حساسية من البسس.,negative
1436,اه، لازم يكون عندك رخصة سواقة، اه، ولازم يكون عندك رخصة تاكسي وتفويض ليموزين.,neutral
1462,تفضل، أستاذ.,positive
1465,مش قادر أبين أنه المي عندي سخنة.,negative
