sentID.BTEC,sent,sentiment
0,هو في اخر القاعة . أنا حأجيبلك شويه دلوقتي . لو محتاج حاجة تانية، قولي.,neutral
2,بتعمل تبديلات؟,neutral
4,عايزين ترابيزة جنب الشباك .,neutral
5,ده قدامك هناك، يادوبك قدام مكتب استعلامات السياحة .,neutral
9,عمري ما سمعت عن العنوان ده هنا .,neutral
11,أمشي علطول لحد ما تلقي صيدلية.,neutral
12,ايه اجدد لون في الموسم ده؟,neutral
14,في الحالة بتاعتي، بيبقى عادة شغل، وقليل جدا ترفيه.,neutral
15,هقعد يومين .,neutral
16,انا عايز اعمل كيرلي جامد.,neutral
17,عايز احجز اوضتين بسريرين .,neutral
18,انا مش عايزه منزوع.,negative
19,الأوتوبيس ده حيقف في شارع ستونر؟,neutral
24,من فضلك افتح بقك جامد.,neutral
26,بكام الفطار؟,neutral
27,ازاي أقدر اساعدك؟,neutral
29,خلينا ناكل لقمة.,neutral
30,احود شمال عند الناصية التالته.,neutral
31,ممكن تنضف الهدوم ديه؟,neutral
37,انا اديتك تليفونه و عنوانه.,neutral
38,انا دفعت مقدما حساب الفندق و الاكل.,neutral
40,بأدور على حاتي كويس ويكون هادي. ممكن توريني مكانهم عالخريطة دي؟,neutral
42,اللي تكسره، تشتريته.,negative
46,حأبلغها تكلمك اول ما ترجع.,neutral
50,تحب كريمة و سكر في قهوتك؟,neutral
51,هي متعورة جامد.,negative
52,عاوز ولاعة.,neutral
53,فيه في الفندق ده تجهيزات للمؤتمرات؟,neutral
56,حيكون كويس لو اخدنا وجبة خفيفة؟,neutral
57,انا بأكلمك من المطار . حأكون هناك حوالي اربعه.,neutral
62,من فين أقدر أروح لشيكاجو؟,neutral
63,بكام أقدر ابعت جواب مسجل لفرنسا؟,neutral
64,ممكن تصرفلي شيك بميتين دولار؟,neutral
68,ده فعلا مختلف ان الواحد يسوق على جنب الشارع اليمين.,neutral
69,الممثل ده حقيقي رائع.,positive
72,فين قسم الكتب اللي مش خياليه بتاعك؟,neutral
74,لو لازم يظهر، لو سمحت كلمني .,neutral
78,ممكن لو سمحت تغير الكرسي بتاعي؟,neutral
79,فيه ضمان؟,neutral
83,أسف، انا حأخد بالي من الكلب.,neutral
84,انا عايز تذكرتين علشان حفلى ال كاتس، الخميس ده.,neutral
86,فين القهوة؟,neutral
87,عايز بلوفر اطفال.,neutral
89,اسمك تاني لو سمحت؟,neutral
90,استاذ براون موجود؟,neutral
91,اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.,neutral
92,ممكن أأجر مركب ليوم؟,neutral
93,ممكن أحجز في أى شباك؟,neutral
94,أيه ده؟,neutral
96,ممكن تقوللي ازاي أروح الاوبرا؟,neutral
97,انت ماكنتش سكران شويه الليله اللي فاتت، حبيبي؟,neutral
98,لو سمحت خليك ورا تعليمات الموظفين بتوعنا .,neutral
100,فيه هايبر ماركت قريب من هنا؟,neutral
102,فول، لو سمحت.,neutral
103,فيه اى اوضه ارخص؟,neutral
104,انا بأفضل العربيات الاوتوماتيك .,negative
105,انا حأفضل في سكن جامعه هارفارد.,neutral
106,كام السعر النهاردة؟,neutral
108,انا تعبان علطول من التنفس .,negative
109,عندي حوالي تلات تلاف دولار.,neutral
111,حاضر يا أستاذ . ده بييجي أما مع بطاطس محمرة أو رز بيلاف . حضرتك تحب ايه؟,neutral
112,ازاى أوصل للمكان ده؟,neutral
113,ايه نوع القصه ديه؟,neutral
115,تلات مرات .,neutral
116,أى شباك بيبيع الطوابع؟,neutral
117,بعد ما هاجمني، هرب في عربية صندوق بيضا.,negative
