sentID.BTEC	split	lang	sent
0	corpus-6-train	RAB	كاين في اللاخر ديال هاد القاعة. انجيب ليك شويا دابا. و إلا حتاجيتي شي حاجا اخرى، قولها ليا.
2	corpus-6-train	RAB	واش كا دير التعديلات؟
4	corpus-6-train	RAB	بغينا ناخدو طابلة حدا الشرجم.
5	corpus-6-test-corpus-26-train	RAB	راه تما، مقابل مكتب استعلامات السياح بالضبط.
9	corpus-6-test-corpus-26-train	RAB	ما عمري سمعت هاد العنوان هنايا.
11	corpus-6-test-corpus-26-train	RAB	سير نيشان حتا تشوف صيدلية.
12	corpus-6-train	RAB	شنو هو اجدد لون هاد الموسم؟
14	corpus-6-train	RAB	في الحالة ديالي، راه غالبا على الخدمة، قليل للمتعة.
15	corpus-6-train	RAB	غادي نبقا يومين.
16	corpus-6-train	RAB	بغيت بيرمانونت مجهد.
17	corpus-6-train	RAB	بغيت نحجز جوج غرف ثنائية.
18	corpus-6-train	RAB	ما بغيتهوش منزوع.
19	corpus-6-train	RAB	واش كا يحبس هاد الطوبيس في شارع ستونر؟
24	corpus-6-train	RAB	حل فمك مزيان عافاك.
26	corpus-6-test-corpus-26-train	RAB	شحال كا يدير الفطور؟
27	corpus-6-test-corpus-26-train	RAB	كيفاش نقدر نعاونك؟
29	corpus-6-train	RAB	يالاه ناخدو شي حاجة ناكلوها.
30	corpus-6-test-corpus-26-train	RAB	مع القنت التالت دور على ليسر.
31	corpus-6-train	RAB	واخا تغسل هاد لحوايج؟
37	corpus-6-dev	RAB	غادي نعطيك رقم التلفون و العنوان ديالو.
38	corpus-6-train	RAB	خلصت الماكلة و الأوطيل مسبقاً.
40	corpus-6-train	RAB	كا نقلب على شي مطعم زوين، وهادئ من نوع الشوا. واخا توريهم في هاد الخريطة؟
42	corpus-6-train	RAB	الا هرسته، خاصك تشريه.
46	corpus-6-train	RAB	غادي نقول ليها تعيط ليك منين ترجع.
50	corpus-6-test-corpus-26-train	RAB	واش تبغي لاكريم و السكر في القهوة ديالك؟
51	corpus-6-train	RAB	راها مضروبة بزاف.
52	corpus-6-train	RAB	بغيت بريكا.
53	corpus-6-train	RAB	واش هاد الأوطيل فيه تجهيزات ديال المؤتمرات؟
56	corpus-6-train	RAB	واش ماشي مشكل ناخدو غير وجبة خفيفة؟
57	corpus-6-train	RAB	كا نعيط من المطار. غادي نكون تما معا الربعة تقريباً.
62	corpus-6-train	RAB	منين نحول لشيكاغو؟
63	corpus-6-train	RAB	بشحال نقدر نصيفط رسالة مسجلة لفرنسا؟
64	corpus-6-test-corpus-26-train	RAB	تقدر تخلص الشيك ديالي ديال ميتين دولار؟
68	corpus-6-train	RAB	السياقة مختالفة بزاف من الجنب ليمن ديال الزنقة.
69	corpus-6-train	RAB	الممثل واعر بزاف.
72	corpus-6-train	RAB	فين هو القسم ديال الكتاب الواقعي؟
74	corpus-6-test-corpus-26-train	RAB	إلا خصو يبان، عيط ليا عفاك.
78	corpus-6-dev	RAB	تقدر تبدل ليا البلاصة عفاك؟
79	corpus-6-train	RAB	واش كاين شي ضمانة؟
83	corpus-6-train	RAB	سمح ليا، غادي نتهلا في الكلب.
84	corpus-6-train	RAB	بغيت جوج وراق ل''كاتس ''، لهاد الخميس.
86	corpus-6-test-corpus-26-train	RAB	فين القهوة؟
87	corpus-6-test-corpus-26-train	RAB	بغيت تريكو ديال الدراري الصغار.
89	corpus-6-dev	RAB	شنو سميتك مرة خرا؟
90	corpus-6-train	RAB	واش كاين مستر براون؟
91	corpus-6-test-corpus-26-train	RAB	واخا. كايدير خمسة و تمانين دولار للبريد العادي و تلاتة دولار بالضبط زيادة للتوصيل الخاص.
92	corpus-6-train	RAB	نقدر نكري باطو لنهار؟
93	corpus-6-train	RAB	في إينا شرجم نقدر نحجز؟
94	corpus-6-train	RAB	شنو هوا هاذا؟
96	corpus-6-train	RAB	تقدر تقول ليا منين نمشي للأوبيرا؟
97	corpus-6-train	RAB	ماكنتيش شويا سكران لبارح، أحبيبي؟
98	corpus-6-train	RAB	عفاك تبع التعليمات ديال الطاقم ديالنا.
100	corpus-6-dev	RAB	واش كاين شي متجر شامل قريب من هنا؟
102	corpus-6-train	RAB	عمر، عافاك.
103	corpus-6-train	RAB	واش كاينا شي غرفة أرخص؟
104	corpus-6-train	RAB	كا نفضل سيارة اوطوماتيك.
105	corpus-6-train	RAB	غادي نبقا في السكن الداخلي ديال جامعة هارفرد.
106	corpus-6-train	RAB	شنو هوا المعدل ديال هاد النهار؟
108	corpus-6-train	RAB	كا نعاني من مرض الضيقة المزمنة.
109	corpus-6-train	RAB	عندي تقريباً تلاتة آلاف دولار.
111	corpus-6-train	RAB	واخا، أسيدي. كا يجي معا فريت أو الروز. إينا واحد تبغي؟
112	corpus-6-train	RAB	كيفاش نقدر نمشي لهاد لبلاصة؟
113	corpus-6-train	RAB	إينا نوع ديال القصة هذا؟
115	corpus-6-train	RAB	تلاتة ديال المرات.
116	corpus-6-train	RAB	إينا شرجم كاي بيع التنابر؟
117	corpus-6-train	RAB	من بعد ما هجم عليا، هرب في سيارة بيضا.
119	corpus-6-train	RAB	واخا. خلي عندك هاد البطاقة و قدمها منين تبغي تجي تديه.
120	corpus-6-test-corpus-26-test	RAB	كون كنت فبلاصتك كون شريتو.
122	corpus-6-train	RAB	ألفين دولار. فلوس ولا بطاقة بنكية؟
125	corpus-6-train	RAB	بشحال الركبة فداك الضاية؟
128	corpus-6-train	RAB	واش خصني نتجنب شي نوع ديال الماكلة فاش ناكل هاد الدوا؟
129	corpus-6-test-corpus-26-train	RAB	واش غادي نلقا شي صعوبة مع الديوانا؟
130	corpus-6-test-corpus-26-train	RAB	واش عندك صبابط رسمية واسعة عند الصبع؟
131	corpus-6-train	RAB	ممكن تعطيني شي مشروب؟
133	corpus-6-train	RAB	منين نوصلو للمتحف قولها ليا.
134	corpus-6-dev	RAB	واش هاد الطوبيس كايمشي لأوطيل الشيراطون؟
135	corpus-6-dev	RAB	شنو كاي عني داكشي؟
136	corpus-6-dev	RAB	كاين الصهد شوية. واش نقدر نحل الشرجم؟
138	corpus-6-train	RAB	غير الدوش ماشي مشكل.
139	corpus-6-dev	RAB	عيني حمرين بزاف.
140	corpus-6-test-corpus-26-train	RAB	لا. نقدر نقتارح ثنائية لواحد؟ عندنا وحدة.
142	corpus-6-dev	RAB	منقدرش نضمن هادشي، ولكن غادي نديرو جهدنا.
143	corpus-6-test-corpus-26-train	RAB	بيرمانونت مجهد، عافاك.
144	corpus-6-train	RAB	البحر كان كاي بان لتحت .
