Sentence_ID,sentence,label,Dialect
1,الله لاينهكم شركة STC ركبو لنا الياف في حي الملك عبدالله مقابل حي المستقبل وشكرا 🌚,Positive,Saudi Arabia
2,اشكرك 😊,Positive,Saudi Arabia
3,اعلان توعوي مميز من شركة STC,Positive,Qatar
4,الشيء الوحيد الذي فادتني فيه STC نسيت بطاقتي الجامعية ودخلت للجامعة بكرت شحن شكرا  STC,Positive,Saudi Arabia
5,تطبيق MySTC من   يتيح الدعم والمساعدة عن طريق المحادثة المباشرة مع أحد ممثلي خدمة العملاء شكرآ لكم,Positive,Modern Standard Arabic
6,يآ جماعه افضل نت STC,Positive,Saudi Arabia
7,شركات الاتصالات وخصوصاً STC   قاعدين يقومون بدور اجتماعي مميز جداً .. شكراً,Positive,Qatar
8,الحمد لله؛ تم توثيق أرقامي في كل STC بكل يسر وسهولة.  شكرًا لكم على إتاحة هذه الخدمة المتميّزة.,Positive,Oman
9,اشبك عليها و استمتع بانترنت مجاني 😍,Positive,Saudi Arabia
10,شركة #STC تنجح بالحصول على سرعات تفوق 70 جيجابت بالثانية من خلال تقنية #5G,Positive,Saudi Arabia
11,💚💚💚💚 💜💜💜💜 💚💚💚💚💚 إن شاء الله افوز معكم 💜💜https://t.co/UxCjiaHZJw,Positive,Qatar
12,كل ذلك تقدمها STCالسعودية الشبكة المتنقلة عالميا مبروك عام ٢٠١٧لها,Positive,Saudi Arabia
13,ابتسم انت مع STC,Positive,Iraq
14,شكرا,Positive,Libya
15,ويعطيك العافيه,Positive,Qatar
16,شكرا 🌹,Positive,Jordan
17,الله يفتحها عليك يااحمد,Positive,Saudi Arabia
18,شكراً لتجاوبكم,Positive,Oman
19,تم حل المشكلة من قبل الفني,Positive,Oman
20,لازلت اثق ان هناك قنوات مسؤلة في الشركة لاترضى بأي تجاوزات,Positive,Saudi Arabia
21,شكرا لكم على الخدمة,Positive,Yemen
22,يعطيك العافيه,Positive,Qatar
23,لدي عطل في الهاتف 0126553728والانترنت  ارجو من سعادتكم ارسال الفني لعملية الاصلاح ولكم مني كل التقدير والعرفان,Positive,Oman
24,شكرا لكم,Positive,Yemen
25,الله يرفع قدرك ..,Positive,Qatar
26,شكرا الله يعطيكم العافيه وبروح إلى احد فروعكم واشترك في باقة بيانات مفوتر ١٦٠ ريال شهريا,Positive,Oman
27,شكرا يالسمي ❤,Positive,Iraq
28,اهاا عرفته شكرا https://t.co/N4fzBFpCG7,Positive,Saudi Arabia
29,شكرا,Positive,Libya
30,اوكك شكرا اخوي محمد,Positive,Saudi Arabia
31,احبك,Positive,Yemen
32,مشكور ..,Positive,Qatar
33,١-ركبوا الياف 🚀 بصرية وبنشترك بحي المعيزيلة فالرياض ✌🏻حي صغير لكن عظيم✌🏻️,Positive,Qatar
34,اكيد STC الافضل دايماً  #ما_الافضل_STC_زين_STC,Positive,Iraq
35,#ما_الافضل_STC_زين_STCSTC FTTH للبلاستيشن خطييرة افخم الشعب بيتهم وجوالاتهم STC بس يبيلهم يسوون كم عرض مغري لانترنت الجوال .,Positive,Qatar
36,#ما_الافضل_STC_زين_STC💕💕 طبعا سوا,Positive,Iraq
37,ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه يزينك😭😂,Positive,Iraq
38,شكرا,Positive,Libya
39,خلاص اشتغل شكرا وترا اسمي مو سيف,Positive,Saudi Arabia
40,يابن الحلال الاتصالات افضل شي بدون مبالغة او مدح لها يكفي شبكة اتصال قوية بلا منافس .STC وزين كل وحدة اردى من الثانية,Positive,Saudi Arabia
41,في ذمتي واسأل عن كل حرفاني جربت الثلاث شركات ولقيت الاتصالات تخدمني في طريق سفر وبر ومدينهالبقيه !,Positive,Yemen
