sentID.BTEC	split	lang	sent
0	corpus-6-train	TUN	موجود في اخر الكولوار. و نجيبهولك توا. كان تستحق حاجة اخرى، قلي.
2	corpus-6-train	TUN	تعملوا تبديلات؟
4	corpus-6-train	TUN	نحبوا طاولة قريبة مالشباك.
5	corpus-6-test-corpus-26-train	TUN	اهوكا غادي، بالضبط قدام البيرو متاع الارشادات السياحية.
9	corpus-6-test-corpus-26-train	TUN	عمري ما سمعت بالادريسة هاذي هوني.
11	corpus-6-test-corpus-26-train	TUN	امشي طول طول حتى لين تشوف صيدلية.
12	corpus-6-train	TUN	شنوة اجد لون الفصل هذا؟
14	corpus-6-train	TUN	في الحالة متاعي انا، الكثرية للخدمة، و ساعات للتفرهيد.
15	corpus-6-train	TUN	بش نقعد نهارين.
16	corpus-6-train	TUN	نحب برمانونت قوي.
17	corpus-6-train	TUN	نحب نحجز زوز بيوت بزوز فروشات.
18	corpus-6-train	TUN	ما نحبوش يتجبد.
19	corpus-6-train	TUN	الكار هاذي تاقف في شارع ستونر؟
24	corpus-6-train	TUN	عيشك حل فمك بالقدا.
26	corpus-6-test-corpus-26-train	TUN	بقداش فطور الصباح؟
27	corpus-6-test-corpus-26-train	TUN	كيفاش انجم نعاونك؟
29	corpus-6-train	TUN	هيا نمشيو ناكلوا قدمة.
30	corpus-6-test-corpus-26-train	TUN	دور الدورة الثالثة عاليسار.
31	corpus-6-train	TUN	ميسالش تنضف الحوايج هاذوما؟
37	corpus-6-dev	TUN	نعطيك نومرو التاليفون و الادريسة هاذوما.
38	corpus-6-train	TUN	خلصت الماكلة و الوتيل بالمسبق.
40	corpus-6-train	TUN	نلوج في مشوى باهي و هادي. تنجم توريني وين عالخريطة هاذي؟
42	corpus-6-train	TUN	الي يكسر حاجة يشريها.
46	corpus-6-train	TUN	تو نقلها تكلمك دوب ما تروح.
50	corpus-6-test-corpus-26-train	TUN	تحب كريمة و سكر في قهوتك؟
51	corpus-6-train	TUN	جروحها خطيرة.
52	corpus-6-train	TUN	نحب بريكية.
53	corpus-6-train	TUN	الوتيل هذا فيه تجهيزات لكونفرونس؟
56	corpus-6-train	TUN	ميسالش نعملو تحريشة و برا؟
57	corpus-6-train	TUN	نكلم فيك مالمطار. نوصل لغادي مع الاربعة.
62	corpus-6-train	TUN	منين نحول لشيكاغو؟
63	corpus-6-train	TUN	بقداش جواب مصوقر لفرانسا؟
64	corpus-6-test-corpus-26-train	TUN	تنجم تصبلي ها الشاك بميتين دولار متاعي؟
68	corpus-6-train	TUN	فما فرق كبير كيف تسوق عاليمين.
69	corpus-6-train	TUN	الممثل هذا طيارة بالحق.
72	corpus-6-train	TUN	وينو الجزء متاع الكتب اللي ميش ادبية؟
74	corpus-6-test-corpus-26-train	TUN	لو لازم يضهر، كلمني عيشك.
78	corpus-6-dev	TUN	ممكن تبدللي بقعتي؟
79	corpus-6-train	TUN	فما قارانطي؟
83	corpus-6-train	TUN	سامحني، تو نتلهى بالكلب.
84	corpus-6-train	TUN	اعطيني زوز تساكر متاع قطاطس، للخميس هذا.
86	corpus-6-test-corpus-26-train	TUN	ويني القهوة؟
87	corpus-6-test-corpus-26-train	TUN	نحب مريول متاع صغار.
89	corpus-6-dev	TUN	تنجم تعاودلي اسمك؟
90	corpus-6-train	TUN	سي براون موجود؟
91	corpus-6-test-corpus-26-train	TUN	باهي. مراسلة عادية بخمسة و ثمانين سنت وزايدة تلاثة دولارات بالضبط للمراسلة اللي من النوع لبخاص.
92	corpus-6-train	TUN	انجم نكري بطو على نهار؟
93	corpus-6-train	TUN	في انا شباك انجم نعمل حجز؟
94	corpus-6-train	TUN	شنوة هاذاكا؟
96	corpus-6-train	TUN	تقلي كيفاش نمشي للاوبرا يعيشك؟
97	corpus-6-train	TUN	موش كاينك سكرت شوية البارح، يا عزيزي؟
98	corpus-6-train	TUN	عيشكم تبعو تعليمات الموضفين متاعنا.
100	corpus-6-dev	TUN	فما حانوت شامل قريب من هنا؟
102	corpus-6-train	TUN	عبيهولي للفم، عيشك.
103	corpus-6-train	TUN	فما بيت ارخص؟
104	corpus-6-train	TUN	نفضل كرهبة اوتوماتيك.
105	corpus-6-train	TUN	باش نقعد في مبيت جامعة هارفارد.
106	corpus-6-train	TUN	شنية القيمة اليوم؟
108	corpus-6-train	TUN	مريض بضيق النفس المزمن.
109	corpus-6-train	TUN	عندي تقريبا تلاثة لاف دولار.
111	corpus-6-train	TUN	باهي، يا سيدي. نحطلك معاه فريت ولا روز. شنوة تحب؟
112	corpus-6-train	TUN	كيفاش نمشي للبلاصة هاذي؟
113	corpus-6-train	TUN	شنية نوعها القصة هاذي؟
115	corpus-6-train	TUN	تلاثة مرات.
116	corpus-6-train	TUN	انا هو الشباك اللي يبيع التنابر؟
117	corpus-6-train	TUN	بعد ما هجم علي، هرب في كميونة بيضة.
119	corpus-6-train	TUN	باهي. خلي عندك التيكة هاذي و جيبها معاك كيف تجي بش تهزو.
120	corpus-6-test-corpus-26-test	TUN	انا في بلاصتك نشريه.
122	corpus-6-train	TUN	ميتين دولار. فلوس ولا كارطة؟
125	corpus-6-train	TUN	قداش يلزم وقت عبور هاذي البركة؟
128	corpus-6-train	TUN	فما ماكلة ما يلزمش ناكلها و انا نشرب في الدواء هذا؟
129	corpus-6-test-corpus-26-train	TUN	باش نلقى مشكلة مع الديوانة؟
130	corpus-6-test-corpus-26-train	TUN	تبيعو صبابط رسمية يكونو واسعين من شيرة الصوابع؟
131	corpus-6-train	TUN	من فضلك شوية شراب احمر؟
133	corpus-6-train	TUN	قلي كيف نوصلو للمتحف.
134	corpus-6-dev	TUN	الكار هاذي تمشي لوتيل الشيراتون؟
135	corpus-6-dev	TUN	قداش يطلعو؟
136	corpus-6-dev	TUN	الدنية سخونة شوية. ميسالش نحل الشباك؟
138	corpus-6-train	TUN	دوش يزي.
139	corpus-6-dev	TUN	عينيا حمر.
140	corpus-6-test-corpus-26-train	TUN	لا. تحب بيت فيها زوز فروشات نحسبوها لشخص برك؟ عنا وحدة.
142	corpus-6-dev	TUN	ما انجمش نضمنلك، اما تو نعملو اللي انجمو.
143	corpus-6-test-corpus-26-train	TUN	نحب برمانونت قوية، عيشك.
144	corpus-6-train	TUN	البحر كان يترا من بعيد تحتنا.
145	corpus-6-test-corpus-26-train	TUN	تحب كعبة بيرا.
146	corpus-6-train	TUN	يلزمك عملية.
147	corpus-6-train	TUN	زيدني عضم، عيشك.
148	corpus-6-train	TUN	ويني محطة الكيران اللي تهز لسونترال بارك؟
149	corpus-6-train	TUN	تكسيات؟
151	corpus-6-train	TUN	تفضل مفتاحك، سيدي. بيت ستة و خمسين اثناش.
153	corpus-6-train	TUN	محلاه مريولك.
154	corpus-6-train	TUN	تفضل.
155	corpus-6-train	TUN	وصلنا. هذا الوتيل متاعك.
156	corpus-6-dev	TUN	وقتاش يبدا طرح الباسكات؟
157	corpus-6-test-corpus-26-train	TUN	صباح الخير. لاباس؟
158	corpus-6-test-corpus-26-train	TUN	سامحني لازمني نشوف اوراقك.
159	corpus-6-train	TUN	شنوة كان انطباعك؟
160	corpus-6-train	TUN	بالطبيعة. تحب قهوتك مع العشاء ولا بعد؟
161	corpus-6-train	TUN	باش نسافر في الرحلة اثناش لطوكيو.
162	corpus-6-train	TUN	نحب نعمل تلفون للخارج، عيشك.
163	corpus-6-train	TUN	خمسة شهور.
168	corpus-6-train	TUN	انا نهار في الجمعة يصير؟
169	corpus-6-test-corpus-26-train	TUN	شنوة الصوص؟
170	corpus-6-test-corpus-26-train	TUN	هذا بارد شوية. بش تسخنو؟
172	corpus-6-train	TUN	نحب شوية جال متاع شعر.
173	corpus-6-test-corpus-26-test	TUN	سامحني، فما شكون في البلاصة هاذي.
174	corpus-6-train	TUN	انجم نشوف المينو؟
175	corpus-6-train	TUN	نلبس ستة.
176	corpus-6-test-corpus-26-train	TUN	انا لاباس. اما ميسالش تكلم صاحبي؟
177	corpus-6-test-corpus-26-test	TUN	شكرا، يزي.
178	corpus-6-train	TUN	ما تاقفلك تاكسي كان ما تمشي لمحطة التاكسييات.
179	corpus-6-train	TUN	عندي اقل من خمسين دولار في الليلة.
180	corpus-6-train	TUN	تاخذ معايا تصويرة؟
181	corpus-6-train	TUN	بقداش سوم الخدمة؟
182	corpus-6-train	TUN	معدل الربح في امريكا الشمالية زاد بأكثر من خمسة بالميا؟
184	corpus-6-test-corpus-26-train	TUN	شكون اعز صديق عندك؟
186	corpus-6-train	TUN	تعرف واحد من اهم ابطال السومو، اللي هو نوع مالمصارعة اليابانية التقليدية، امريكاني؟
187	corpus-6-test-corpus-26-train	TUN	يوم الصحة والرياضة عشرة أكتوبر هو يوم وطني الهدف منو تدعيم صحة العباد.
188	corpus-6-train	TUN	هذا يهز لوال ستريت؟
189	corpus-6-train	TUN	نحب نكريه من خمسة لعشرة ديسمبر.
191	corpus-6-train	TUN	باهي. وانت، يا للا؟
192	corpus-6-test-corpus-26-train	TUN	تحبني نشوف تحت الكبوت؟
195	corpus-6-train	TUN	سكر؟
196	corpus-6-train	TUN	انجم نخلص بالماستار كارد؟
198	corpus-6-train	TUN	من هوني نهزو باقاج الرحلة ان دبليو تسعة صفر سبعة؟
199	corpus-6-train	TUN	نحب الماركة هاذي.
204	corpus-6-train	TUN	انا فرحان الي نجمت نجي للبلاد هاذي.
205	corpus-6-train	TUN	اسمي و ادريستي موجودين عليه.
206	corpus-6-test-corpus-26-train	TUN	تعاوني بش نلقى فاليجتي؟
207	corpus-6-dev	TUN	شنوة نوعها الحجرة هاذي؟
208	corpus-6-train	TUN	نحب نذكر اللي حكومتنا ميش باهية هع اللي نسميوهم جماعة الفلايك. اليابان ياسر معبية حتي تزيد تستقبل الزوار الغير مرغوب فيهم. اما، من ناحية اخرى، برشة قطاعات في الصناعة متاعنا يلزمها يد عاملة.
209	corpus-6-train	TUN	مالجبل هاذاكا، تنجم تشوف المدينة الكل. في الفصل هذا، برشة انواع متاع نوار قاعدين يتفتحو. ياسر مزيانين.
213	corpus-6-train	TUN	تبعني.
217	corpus-6-train	TUN	من فضلك قلو الي يامادا تكلم.
221	corpus-6-test-corpus-26-train	TUN	من فضلك اعمل التحضيرات اللازمة بالمسبق؟
224	corpus-6-train	TUN	باهي. من فضلك عمر المطبوعة هاذي. ساك بركة؟
225	corpus-6-train	TUN	شنوة تحب، بقري ولا دجاج ولا حوت؟
227	corpus-6-train	TUN	ممكن ما نجيبوش من نفس الثنية في المرواح؟
228	corpus-6-train	TUN	فما سناك بار هوني؟
229	corpus-6-dev	TUN	سامحني، سيدي. نحب نحوس شوية في بوسطن.
232	corpus-6-train	TUN	عندكم مينو بالياباني؟
235	corpus-6-train	TUN	توا ماضي ساعة و درج.
238	corpus-6-test-corpus-26-train	TUN	فما شكون لاهي بيا. عيشك.
239	corpus-6-train	TUN	نحب دوا متاع وجيعة.
240	corpus-6-train	TUN	شكوني الممثلة المفضلة متاعك؟
241	corpus-6-train	TUN	نحب واحد اوفال.
242	corpus-6-train	TUN	شنية الموزيكا اللي يلعبوها غادي؟
243	corpus-6-train	TUN	اللون ما عجبنيش. وريني وحدة اخري، عيشك.
246	corpus-6-train	TUN	عيشك هزني للسوق.
248	corpus-6-train	TUN	الكادر متاع مرياتي تكسر.
250	corpus-6-train	TUN	من ماضي تلاثة.
252	corpus-6-train	TUN	جو. بقعتي بجنب الشباك. ااه، كان تحب نبدلو بالبلايص بعد، يا انسة.
255	corpus-6-train	TUN	لبارح عملت جو بالتحويسة في نويورك.
256	corpus-6-dev	TUN	نحب نشوف الساك الازرق الي في الشباك.
258	corpus-6-train	TUN	كان تلقى مشاكل كلم الملاك.
259	corpus-6-train	TUN	اعملي طلية و قدهولي كيما هو توا، يعيشك.
261	corpus-6-test-corpus-26-train	TUN	كيف توصل غادي، اسال شكون اخر، يعيشك.
263	corpus-6-train	TUN	عيشك اعطيني اسرع طريقة بش نمشي لسان فرانسيسكو.
267	corpus-6-train	TUN	انجم ناخذ مفتاح البيت ميتين و خمستاش؟
268	corpus-6-train	TUN	سامحني. تنجم تصورني؟
269	corpus-6-train	TUN	من فضلك اكتب نومرو بيتك و صحح هوني.
271	corpus-6-train	TUN	اللون باهي، اما القياس موش قدي. اتنجم تصلحهولي في ساعة؟
272	corpus-6-train	TUN	استنيناك نهارتها.
274	corpus-6-train	TUN	عنا ما يكفينا ايامات.
275	corpus-6-train	TUN	ما فهمتش.
277	corpus-6-train	TUN	كيفاش انجم نرجع لوين كنت نحب نمشي؟
278	corpus-6-train	TUN	ياخي هذا معفى مالاداء؟
279	corpus-6-train	TUN	بون، لازم يزيدو يلعبو وقت اضافي لين ينحيو التعادل.
280	corpus-6-test-corpus-26-train	TUN	حاشتي بالتمديد اربعة و عشرين، من فضلك.
281	corpus-6-train	TUN	ميسالش تمل عليا بالحرف؟
285	corpus-6-test-corpus-26-train	TUN	تفضل زوز دولارات. خلي الباقي عندك.
286	corpus-6-train	TUN	وقتاش العشاء؟
287	corpus-6-train	TUN	سامحني هذا برشة عليا.
288	corpus-6-train	TUN	وين نهبط بش نمشي ليونيون سكوير؟
290	corpus-6-train	TUN	تنجم تسال في الشباك متاع الكرا هاذاكا.
293	corpus-6-train	TUN	اهلا، جين. ميسالش تهزهم للغسالة؟
296	corpus-6-train	TUN	انا مصلع.
298	corpus-6-train	TUN	لا. ناوي نزور باريس و انا مروح.
299	corpus-6-dev	TUN	تهزو معاك ولا نبعثوهولك؟
301	corpus-6-train	TUN	لمدة لخرة كثرو برشة مشاريع التمخميخ، موش هكا؟
302	corpus-6-train	TUN	تعداو حكاية ستة سوايع توا.
303	corpus-6-train	TUN	الرحلة ميا و اثناش متاع خطوط دلتا. تاخير في الطلوع للطيارة.
304	corpus-6-train	TUN	تنجمش تعطيني بيت بزوز فروشات الليلة؟
305	corpus-6-train	TUN	تكتبلي كلمتين على السرقة لشركة التامين متاعي، يعيشك؟
306	corpus-6-train	TUN	مادامني ضعيف في التصوير، ضاهرلي اك المصورة الساهلة تساعدني خير.
307	corpus-6-train	TUN	هاذا الرصيف متاع نويورك؟
308	corpus-6-train	TUN	عطلة سعيدة.
312	corpus-6-train	TUN	بربي اعطيني شوية شاش.
313	corpus-6-train	TUN	من فضلك نحب باطاطا في الفور مع صالصة حامضة.
314	corpus-6-train	TUN	اي، كل عشرة دقايق.
315	corpus-6-test-corpus-26-train	TUN	اعطيني واحد برغر و واحد شيزبرغر، عيشك.
319	corpus-6-test-corpus-26-train	TUN	بقداش تحسب الاجراءات؟
320	corpus-6-test-corpus-26-train	TUN	كل واحد يحب يخلص وحدو.
322	corpus-6-train	TUN	بش نخرج غدوة الصباح.
323	corpus-6-train	TUN	انا زادا، ماشي غادي. تحب ناخذو تاكسي مع بعضنا؟
324	corpus-6-train	TUN	اقعد الدار دارك. تشرب حاجة؟ قهوة ولا تاي ولا قازوزة؟
325	corpus-6-train	TUN	باهي برشة انك تقول هذا.
326	corpus-6-test-corpus-26-train	TUN	كان موجود على كرسي في الاستقبال.
327	corpus-6-train	TUN	لحمة بقري في الكوشة، عيشك.
329	corpus-6-dev	TUN	وقتاش تفرغ طاولة؟
331	corpus-6-train	TUN	انجم نبدل اللي طلبتو؟ نحب السول في بلاصة المول متاع الحجر.
333	corpus-6-test-corpus-26-test	TUN	صرفلي هاليان لجنيه من فضلك.
336	corpus-6-train	TUN	شنية عملية المصرانة الزايدة؟
338	corpus-6-train	TUN	تعطيني توصيل فيه التفاصيل متاع العلاج؟
346	corpus-6-test-corpus-26-train	TUN	اعطيني قاموس الجيب، عيشك.
349	corpus-6-train	TUN	بون، مانعرفش.
350	corpus-6-train	TUN	مبروك، سمعت بيك ترقيت لنايب رئيس.
351	corpus-6-train	TUN	بعد غدوة في السهرة.
352	corpus-6-train	TUN	نعيش في جنوب اليابان.
353	corpus-6-train	TUN	تسكرة مشي و جي لشيكاغو، يعيشك.
355	corpus-6-train	TUN	تحب باكون ولا جمبون مع العضم؟
358	corpus-6-train	TUN	للقراية.
359	corpus-6-train	TUN	فيسع عيشك.
360	corpus-6-test-corpus-26-train	TUN	لزوز مالناس مع السبعة. الاسم واتانابي.
364	corpus-6-train	TUN	المكيف ما يخدمش.
365	corpus-6-train	TUN	كل نهار اثنين هكا.
366	corpus-6-train	TUN	من فضلك امشي لبهو الذهاب متاع الرحلات الدولية. رحلة سعيدة.
367	corpus-6-train	TUN	عندكم رحلات لباريز بالاوروستار؟
368	corpus-6-test-corpus-26-train	TUN	منقالتي. كانت من نوع سايكو الرقمية.
369	corpus-6-train	TUN	جبت شهادتي في الطب معايا ماليابان.
370	corpus-6-test-corpus-26-train	TUN	بش يسرنا انو نسربيوكم حاجة تشربوها من اختياركم، و بعد نسربيوكم العشاء. عندكم دليل مفصل عالمشروبات الي نسربيوها في الرحلة هاذي تلقاوه في جزء المعلومات في مجلتنا.
373	corpus-6-test-corpus-26-test	TUN	تسكن قريب من هوني؟
374	corpus-6-train	TUN	تنجم تبعثو لليابان؟
375	corpus-6-test-corpus-26-train	TUN	وينو حانوت الهدايا؟
379	corpus-6-train	TUN	انجم نجاوبك نهار الجمعة هذا؟
380	corpus-6-train	TUN	باهي، خليني نتفقد بيرو الحجات الضايعة. شنية نوعها المصورة؟
381	corpus-6-train	TUN	سامحني، هانا نحضرو في البيت اللي طلبتها.
383	corpus-6-train	TUN	اه، فيها محطات المترو و الكار. انجم نخليه عندي؟
384	corpus-6-train	TUN	اه، توحشت شيبازوكي.
386	corpus-6-test-corpus-26-test	TUN	انا موجود في الطريق السيارة واحد قريب لخليج مورو باي.
389	corpus-6-train	TUN	اي، عنا. سباق بشطر نهار و سباق نهار كامل.
390	corpus-6-train	TUN	نقترح عليك بلالط.
391	corpus-6-test-corpus-26-train	TUN	اعطيني فياقة، من فضلك.
392	corpus-6-train	TUN	نحب نلغي الي حجزتو، عيشك.
394	corpus-6-train	TUN	شنوا نظامكم متاع الترجيع؟
397	corpus-6-train	TUN	الضو ما يمشيش.
398	corpus-6-test-corpus-26-dev	TUN	على فكرة، اسمي هيروشي ايجيما.
400	corpus-6-train	TUN	قداش من ساعة فرق بين الوقت في طوكيو و هوني؟
401	corpus-6-test-corpus-26-dev	TUN	الترينو ياقف في غابة البحيرة، موش هكا؟
403	corpus-6-train	TUN	قداش الكل في الكل؟
404	corpus-6-train	TUN	شكرا، سيدي.
405	corpus-6-train	TUN	امشي طول طول و بعد دور الدورة الثالثة عاليمين.
407	corpus-6-train	TUN	عندي وجيعة في معدتي كايني سكينة.
408	corpus-6-test-corpus-26-train	TUN	اغلب اليابانيين ياكلو القرنيط و السوبية.
411	corpus-6-train	TUN	شفت؟
412	corpus-6-train	TUN	هذي هدية. تلفهالي؟
414	corpus-6-train	TUN	عسلامة، للا كنت. عنا برشا ما شفناكش.
416	corpus-6-test-corpus-26-train	TUN	انجم نقص زوز تساكر درجة ثانية لشيكاغو، يعيشك؟
417	corpus-6-train	TUN	انا هو الي تمتعت.
419	corpus-6-test-corpus-26-train	TUN	مشيت لنويورك.
422	corpus-6-train	TUN	نحب نبدل الحجز متاعي في الطيارة ميتين و خمسة لثنين اكتوبر.
423	corpus-6-test-corpus-26-train	TUN	شنوة نومرو الطيارة؟
426	corpus-6-train	TUN	ويني كونتوار التسجيل متاع دلتا؟
427	corpus-6-train	TUN	ناقص ملح الفطور هذا؟
429	corpus-6-train	TUN	هذا موش مسموح بيه.
431	corpus-6-train	TUN	يضهرلي انجمو. هاي التيكة متاعك.
432	corpus-6-train	TUN	شنوة تنحي اخر حاجة قبل ما تشد فرشك؟
437	corpus-6-train	TUN	لا، تو نشريه وانا غادي.
438	corpus-6-train	TUN	اللون هذا يبلاح؟
439	corpus-6-train	TUN	هاذا اختصاص في المعتمدية هاذي؟
440	corpus-6-train	TUN	نحب شوية بشكوتو.
442	corpus-6-test-corpus-26-test	TUN	بلاصة لنويورك، عيشك.
446	corpus-6-test-corpus-26-train	TUN	ايامات.
447	corpus-6-test-corpus-26-train	TUN	الدورة الثانية عاليسار.
448	corpus-6-train	TUN	صغار برشة.
452	corpus-6-train	TUN	صعاب الرحلات؟
454	corpus-6-dev	TUN	نحب بقعة بجنب الشباك، عيشك.
456	corpus-6-train	TUN	انجم نطلع بالتسكرة متاع اورايل؟
457	corpus-6-train	TUN	قداش يلزم وقت بش توصل لليابان؟
458	corpus-6-train	TUN	عندكم خرايط؟
459	corpus-6-train	TUN	اه، اي. اقرا عليه في الدليل.
461	corpus-6-train	TUN	طلبت تلاثة كيسان تاي. ياخي جابولنا كان زوز.
462	corpus-6-train	TUN	الالكترونيك رخيص، اما الماكلة و مصروف الدار ياسر غالين.
463	corpus-6-train	TUN	بش نهزو معايا.
465	corpus-6-train	TUN	في اليابان نلبس قياس ثنين و عشرين.
466	corpus-6-train	TUN	وينهم اوقات العمل متاع متحف الفنون؟
470	corpus-6-train	TUN	وين نخلص؟
471	corpus-6-test-corpus-26-dev	TUN	الكارطة هاذي، باهي؟
475	corpus-6-train	TUN	هاذي اول مرا تسافر لبرا؟
477	corpus-6-train	TUN	اناهوة الدرس متاع المبتدئين؟
479	corpus-6-train	TUN	في البلاد هاذي فما برشة انواع متاع غلة.
480	corpus-6-dev	TUN	نحب نوصق الفاليجة هاذي.
482	corpus-6-train	TUN	فما ماكلة في الاقامة متاع السكي الموجودة في الهبطة؟
483	corpus-6-train	TUN	سامحني، سكرت على روحي الباب. ميسالش تعطيني مفتاح اخر؟
485	corpus-6-train	TUN	صرفلي ها الدولارات باليان الياباني، من فضلك.
487	corpus-6-dev	TUN	الوداع صعيب.
488	corpus-6-test-corpus-26-train	TUN	معايا الاستقبال؟ فمة مصحة قريبة؟
489	corpus-6-train	TUN	سامحني. انجم نسألك الي تاكل فيه شسمو؟ ضاهر ياسر بنبن.
490	corpus-6-train	TUN	يقرصو.
492	corpus-6-train	TUN	وبعد نمشي لانا بوابة؟
493	corpus-6-test-corpus-26-train	TUN	عشرة دولارات يكفيو للتاكسي؟
495	corpus-6-train	TUN	التمثيل و القصة كانو ممتازين.
496	corpus-6-train	TUN	واو، بارك الله فيك.
497	corpus-6-train	TUN	ما عجبتنيش البيت. توريني وحدة اخرى؟
498	corpus-6-train	TUN	هذا اخر ستيل خرج صيف السنا.
499	corpus-6-train	TUN	هزني لوسط البلاد عيشك.
502	corpus-6-train	TUN	انجم نكري كرهبة؟
503	corpus-6-test-corpus-26-train	TUN	مطعمو غريب.
505	corpus-6-train	TUN	عيشك صلحو، ما دامني البرة.
507	corpus-6-train	TUN	عندك حاجة خفيفة تتاكل؟
508	corpus-6-train	TUN	عيشك تكلم بالشوية بالشوية.
509	corpus-6-train	TUN	بش نجي ساعة ممخر.
511	corpus-6-train	TUN	انا كان.
512	corpus-6-test-corpus-26-train	TUN	اي. ستنا تو نجيبلك وحدة.
513	corpus-6-train	TUN	معلم.
514	corpus-6-train	TUN	المطر قعدت تصب جمعة كاملة؟
516	corpus-6-test-corpus-26-train	TUN	شطر دبوزة، عيشك.
517	corpus-6-train	TUN	يعملو عروض عالمباشر؟
523	corpus-6-train	TUN	انجم نشوف الكرتابة؟
524	corpus-6-train	TUN	عندك حاجة اخرى؟
525	corpus-6-train	TUN	يلزمك ترتاح.
528	corpus-6-train	TUN	عيشك عمر بطاقة الوصول و بطاقة الديوانة هاذوما.
530	corpus-6-train	TUN	الكرهبة هاذي تمشي لسياتل؟
531	corpus-6-train	TUN	نخلص جزء توا؟
532	corpus-6-train	TUN	هذا حقيقي ولا اصطناعي؟
533	corpus-6-train	TUN	تستناني هوني؟
535	corpus-6-train	TUN	اه، عيشك. كنت نلوج فيه.
538	corpus-6-train	TUN	تخلص توا ولا نقيدلك؟
539	corpus-6-train	TUN	انا في البلاصة هاذي غريب جملة.
540	corpus-6-test-corpus-26-train	TUN	لا. حاجة ميش غالية و برا.
541	corpus-6-dev	TUN	انجم نغسلو في الدار باليد ولا بالماكينة؟
542	corpus-6-dev	TUN	نحب حكة اقواش، يعيشك.
543	corpus-6-train	TUN	سامحني. شنوة تحب؟
544	corpus-6-train	TUN	نحب نبدل التاريخ لتسعطاش ماي.
545	corpus-6-train	TUN	من فضلك صحح لهنا، و هذا التوصيل خليه عندك.
546	corpus-6-train	TUN	نحب كلاصت فوال.
547	corpus-6-train	TUN	نحب شوية علوش.
548	corpus-6-test-corpus-26-train	TUN	تلوج في حاجة؟
549	corpus-6-train	TUN	نحب ناخذ كار لمحطة بان. اناهي الكار اللي ناخذها؟
551	corpus-6-test-corpus-26-train	TUN	اربعة ليالي.
553	corpus-6-test-corpus-26-train	TUN	حاشتي بشوية كلاسط.
556	corpus-6-train	TUN	ما فيهش برشة حريرات. تلاثين اكاهو.
557	corpus-6-train	TUN	نحب نحجز بيت.
558	corpus-6-train	TUN	منين انت ماليابان؟
560	corpus-6-train	TUN	مع الاسف، يبدا لاهي برشة نهارتها.
561	corpus-6-dev	TUN	في الحالة هاذي، ننصحك بهذا.
563	corpus-6-train	TUN	خدمة البيوت.
564	corpus-6-train	TUN	انتباه، يعيشكم.
565	corpus-6-test-corpus-26-train	TUN	تنجم اطيح في سومو خاترو مبقع؟
567	corpus-6-train	TUN	عندكم تنابر تذكارية؟
568	corpus-6-train	TUN	هاذي بيت تلاثة ميا و سبعطاش. تزيدوني ملحفة اخرى؟
569	corpus-6-train	TUN	تنجم توصلني للمحطة في خمسطاشن دقيقة؟
570	corpus-6-train	TUN	يلزم تحط مبلغ ضمان عالكرهبة.
571	corpus-6-test-corpus-26-train	TUN	راجل طمبج فيا. بعد فقت اللي صتوشي ما فماش.
572	corpus-6-train	TUN	ما فماش بيوت متاع عبد واحد فارغة اما عنا بيت متاع زوز.
573	corpus-6-train	TUN	التسكرة هاذي صالحة كان النهار اذاكا؟
575	corpus-6-train	TUN	وقتاش يوصل لميلانو؟
576	corpus-6-train	TUN	عندكم شكون يحكي بالياباني؟
577	corpus-6-train	TUN	اناهي القنات الي تحط موزيكا شعبية؟
