Sentence_ID,sentence,label,Dialect
1,"""- قيل لـ #رجل عاقل : - ما نراك تعيب أحداً ! - فقال : - لستُ عن #نفسي راضياً.. حتى أتفرغ لـ ذم #الناس.  #العراق",3,Oman
2,"""ساحة الحبوبي الان : استعداد اهالي الناصرية الأبطال اليوم لمليونية الخضراء سيتم التوجه لبغداد عند الساعة 12:00 ..  #العراق  #نريد_وطن #الناصرية #العراق_ينتفض #الثورة_للشهداء #الحرية_للمعتقلين #مطالبنا_وين https://t.co/Y7F0ZJnYc7",3,Iraq
3,"""RT @alsuna2013: من هم #الشيعة ؟ يخبركم هذا المهرج الجديد #كرونا_في_الكويت #العراق #طالبان https://t.co/UVWfm4QjEz",0,Modern Standard Arabic
4,"""RT @Ruaida_Altern: ️الان .. فيديو وصلني خصيصا  طريق بغداد - بصرة  وصول الجراد وباعداد كبيرة  الله يحفظك اخوية ويسلمكم يا اهل الطيب اهل #ال…",3,Qatar
5,"""لــآ احد ابداً ينسى وطنه مهما كانت ذكرياته مره .. #العراق https://t.co/LpNeCMbo2X",3,Iraq
6,"""خسرنا نحن وربحوا هم...    قد نجا من لم يعد.      #هنيئاً #العراق",2,Modern Standard Arabic
7,"""عاااجل: #تركيا توقف جميع الرحلات البرية والجوية مع #العراق  #كورونا",1,Iraq
8,"""RT @abo_holeegah: """" هذا وزني بعد مضي اثنين و عشرين يوم من الاضراب 75:6 كجم أي بنقص 1400 جم عن وزني السابق و لم تستجب حتى الآن أيا من جمعيات…",2,Saudi Arabia
9,"""الله يستر بلكي يجيب وياه سايبا مو كورونا  شلون توقيت لا هلا ولا مرحبا",0,Syria
10,"""RT @abo_holeegah: """" الاعلامي محمد الرزيقي مقدم نشرة الأخبار في قناة اليمن اليوم الفضائية سابقا , و مدير اذاعة هو اليمن حاليا , نشر مقال عن…",1,Saudi Arabia
11,"""RT @abo_holeegah: """" الاخ احمد الكبسي اعلامي يمني مراسل قناة العهد الفضائية و مذيع بقناة اليمن اليوم نشر مقال عن اضرابي في صفحته في الفيسبوك…",1,Saudi Arabia
12,RT @EX_MOSLIM_IRAQI: ⛔️#عاجـــــــــــــــــــــــل :: كويتيه تطمئن مصابين #كورونا_الجديد : أنتو راجعين من مكان طاهر من قُم .. ليش خايفين,3,Yemen
13,صدگ يعني لو سادين الحدود من البداية مو احسن مييسدون الگهاوي هسة والناس تتضرر !  #العرا,2,Iraq
14,"""RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…",3,Saudi Arabia
15,#العراق المليشيات المدعومة ايرانيا توجه تهديدا لكل من يتعامل مع القوات الأجنبية في العراق. https://t.co/MFhOYnrQG,0,Modern Standard Arabic
16,"""RT @hu_dly: الدول الإقليمية أدركت أن في #العراق حكومة """"كيولية"""" عتاگة فاسدة وبرلمان من الساقطين حايرين بتشكيل الحكومة وتاركين البلد والعراقي…",0,Iraq
17,"""عندما تنتهي التحالفات تنتهي الأماني وتبدأ صفحة الإتهامات",1,Modern Standard Arabic
18,"""RT @eVj52FVyUnVDB0Q: إلى جميع الاحرار والحرائر الفزعه لدعم حساب الاخ حسين علاء الابيض احد جنود الإعلام في الحشد الشعبي العراقي فحسابه موقوف…",2,Iraq
19,"""RT @ma_m_86: #العراق  ❤️  انجرح بَــس ماانحني ، هيچ انـهَ اشبه موطني .   https://t.co/rmj5lhfpBz",3,Iraq
20,"""RT @abo_holeegah: """" الاعلامي محمد الرزيقي مقدم نشرة الأخبار في قناة اليمن اليوم الفضائية سابقا , و مدير اذاعة هو اليمن حاليا , نشر مقال عن…",1,Saudi Arabia
