sentID.BTEC,sent,sentiment
5,أوكي غادي، قدام مكتب الإرشادات السياحية بالضبط.,neutral
9,أنا منعرفش الادريسة هذه قريبة من هوني.,neutral
11,كمل القدام لين تارى الفارمسي.,neutral
26,بقداش فطور الصباح؟,neutral
27,كيفاش النجم نعاونك؟,neutral
30,دور على الليسار مع الزنقة الثالثة.,neutral
50,تحب الكريمة و السكر في قهوتك؟,neutral
64,تنجم تصبلي الميتين دولار من الشاك هذا؟,neutral
74,لو لازم يضهر، كلمني عيشك.,neutral
86,وين تجي القهوة؟,neutral
87,نحب مريول للأولاد.,neutral
91,باهي. خمسة و ثمانين ألف في جواب عادي، تزيد ثلاثة دولار بالظبط باش يوصلك فيسع.,neutral
120,انا نشريه لو كان كنت انت.,positive
129,باش نقابل مشاكل مع الديوانة؟,neutral
130,عندك صبابط رسمية يكونو واسعين من شيرة الصوابع؟,neutral
140,لا. تحب بيت بزوز فروشات لاستخدام شخص برك؟ عندنا وحدة حاضرة.,neutral
143,نحب كيرلي قوي، يعيشك.,neutral
145,تحب وحدة بيرة.,neutral
157,صباح الخير. شنحوالك؟,positive
158,سامحني لازمني نطلب منك بطاقة التعريف.,neutral
169,شنوة نوع الصوص؟,neutral
170,أهو بارد شوية. تنجم تسخنه؟,neutral
173,سامحني، لبلاصة واخذها شكون.,neutral
176,باهي، أما تنجم تكلملي صاحبي؟,neutral
177,يعيشك، هاذا كل شي.,positive
184,شكونو صاحبك بالباهي؟,neutral
187,يوم الصحة والرياضة نهار عشرة أوكتوبر، يوم وطني باش نشجع على حياة صحية.,positive
192,تحب نثبت تحت الكبوت؟,neutral
206,تنجم تعاوني باش نلقى الفليزة؟,neutral
221,تنجم تاخو كل الأمور من الأول؟,neutral
238,نتلها بروحي. يعيشك.,positive
261,وقت توصل الغادي، اطلب من واحد آخر، يعيشك.,neutral
280,البلاصة اربعة و عشرين، يعيشك.,neutral
285,اهم زوز دولار. حط الباقي عندك.,neutral
315,همبرغر وتشيز برجر، يعيشك.,positive
319,قداش تاخو للاجراءات؟,neutral
320,نحبو نخلصو كل واحد عشانا.,neutral
326,كانت على كرسي في الكلوار.,neutral
333,بلاهي بدل اليان بالجنيه.,neutral
346,نحب على قاموس يتحط في الجيب، يعيشك.,positive
360,لزوز من الناس في السبعة متاع العشية، باسم واتانابي.,neutral
368,منقالتي. ديجتال سايكو.,neutral
370,فرحانين برشا باش نعتيوك مشروب تختارو إنت، متاع بعد العشاء. تلقى ليستت المشروب المقترحة على الرحلة هذه. في دليل المعلومات متاع المغازة متاعنا.,positive
373,تسكن من هوني؟,neutral
375,وين موجود حانوت الكادوات؟,neutral
386,انا في الاوتوروت نومرو واحد، بحذا مورو باي.,neutral
391,نحب فياقة، يعيشك.,neutral
398,على فكرة، اسمي هيروشي إيجيما.,neutral
401,الترينو هذا ياقف في ليك فورست، موش هكا؟,neutral
408,اكثرية الجابونيين ياكلو القرنيط و الكلامار.,neutral
416,منين انجم ناخو تيكايات من الدرجة الثانية لشيكاغو، يعيشك؟,neutral
419,مشيت لنيويورك.,neutral
423,شنوة نومرو الرحلة؟,neutral
442,بلاصة لنيويورك، يعيشك.,positive
446,في شوية أيام.,neutral
447,الثاني على الليسار.,neutral
471,البطاقة هذه، باهي؟,neutral
488,الاستقبال؟ فماشي مصحة قريبة من هوني؟,neutral
493,عشرة دولار يكفيو لتكسي؟,neutral
503,مطعمه غريب.,negative
512,أيه. إستنى، أنا باش نجيبهولك.,neutral
516,شطر دبوسة، يعيشك.,neutral
540,موش الهاكة الكل. حويجات موش غاليين.,neutral
548,تلوج على حاجة معينة؟,neutral
551,أربعة ليلات.,neutral
553,حاجتي بقلاسة.,neutral
565,تنجم تعمللنا سوم حيتو مبقع؟,neutral
571,راجل دزني. بعد شلقت الي ستوشي ضاع.,negative
599,منيش عارف هزيتشي معايا دبش كافي لخرجة بثلاثة جمعات.,negative
612,هايل، نحبو نجربو الشراب الابيض.,positive
631,كان طلبني شكون، قلو الي انا في القهوة.,neutral
632,متأكد الي انا حتيتها في الجيب الدخلاني متاع الكبوت.,neutral
641,انجم نعرف اسم و نومرو متاع الشخص الي باش تكلمه؟,neutral
643,شركة الطيران باش تدفعلي شراء حوايجي الشخصية؟,neutral
650,نحب بيت فيها بانو.,neutral
652,حتى شيء مخرج من الماكينة؟,neutral
667,كان لازمك تاخو الرحلة ثمنمية و عشرين الي طلعت عندها ربع ساعة. باهي. تو نارالك رحلة اخرى.,neutral
673,فمى شكون حلي جوابي.,neutral
679,أوه. ،حتى شيء. مادامكم هوني.,neutral
