Sentence_ID,sentence,label,Dialect
1,الوزير جبران باسيل تاج راسك يا جربان ممنوع بعد اليوم المساس بمقدساتنا من ربنا والهنا يسوع المسيح,abusive,Syria
2,صديقي انت ابن جامعه اللعبه اكبر من داعش اللعبه سنيه شيعية واعادة توزيع ديموغرافي بسوريا,normal,Iraq
3,و مصلحة لبنان تبدأ باستخراج النفط و الغاز لوقف الشحادة و هذه نقطة ضعف لبنان ليبقى رهن سياسات اقليمية و,normal,Saudi Arabia
4,وليد جنبلاط كاتب الحكمة يا قذر,abusive,Jordan
5,شو بتلبقلك كلمة خنزير بتجي مفصله على قياسك وشكلك,abusive,Jordan
6,يا جبران باسيل يا معلم يا ريس يا استاذ بدك حضن سوريا روح لعندون مبروك علك سلفا هالحضن انما الحلم لعبتحلمو عدمنا مراح يصير,normal,Lebanon
7,ما سمعنا جعاركم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، نباح و عويل جيش ابو شحاطة وصل لقبرص,hate,Lebanon
8,نصيحة احكي مع الرئيس ميشال عون او هاجم جبران باسيل مليار دولار جابو من قطر شكرا قطر,normal,Lebanon
9,صافي يا بقر,abusive,Egypt
10,لا تعتب عليه هيدا اسمه ابو صرماي,abusive,Lebanon
11,لو الدولة تحترم نفسها كان انت يالبلطجي في السجن,abusive,Egypt
12,مش عم يناموا الليل ليقدمولنا حكومة,normal,Palestine
13,يا عيبو عليكي يا إيران عم تحوي إرهابيين تعلمي من السعودية درسيهم عندك وبعتيهم لبرا,hate,Syria
14,هل تعرف مامعنى أن تدفع دولة نص مليار دولار لدولة أخرى مترنحة إقتصادياً وكانت تستطيع أن تستثمرهم,normal,Oman
15,قنبلة ذزية يروحو فيها الاثنين معا افضل حل,abusive,Algeria
16,مش جايي لعندك و على دولة الخلّفك و فيك تفل إذا مش عاجبك,normal,Lebanon
17,لو فعلا في دولة حضرتك كنت بالحبس هلق بس للاسف,normal,Palestine
18,أووووووف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا أميركا بالعلن وبالسر خطاب آخر,normal,Syria
19,يستاهلوا,normal,Tunisia
20,لا شرطي روسي يا ابن الستين كلب,abusive,Tunisia
21,في مثل هذا اليوم وقبل ست سنوات قام تنظيم الدولة البراميلية بذبح الأطفال والنساء بالسكاكين وحرق بعضهم أحياء في بانياس لم,normal,Modern Standard Arabic
22,ليش بتنطرب وبتسكر لمن بتجيب سيرة الحذاء يا زلمي مع إن كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو,abusive,Syria
23,هيئتك يا ويئو اكل سمك ومتقل الليلة لهيك عم بتكوبس باللواء عثمان لهيك تغطا منيح بس تنام احسن ما تاخد برد,normal,Lebanon
24,فضح الفاسدين مسؤولية كل مواطن شريف,normal,Algeria
25,متظاهر افريقي في باريس يقول يعيش بشار الأسد شكور ربك مش عبتتظاهر بسوريا كان سفقك برميل جابك بافريقيا,normal,Egypt
26,الامير طلال حبيب قلبنا وبيمون عأكتر من هيك,normal,Syria
27,نص اللبنانيي من رأيي انتِ يا رمز الغبا ههههههه,abusive,Iraq
28,ما الغريب الا الشيطان معقول بتستخفوا بعقول مناصرينكن بانه شيخ عقل حطوا عقل الرحمن براسكن وما الكن ال,normal,Lebanon
29,هلق شو على مين انضغط منشان تشكيل الحكومة,normal,Lebanon
30,علاء الخواجة هوي الي شترى البلد و ضمير بعض سياسي البلد,normal,Lebanon
31,هيدا حساب فخامة الرئيس ميشال عون أم حساب فخامة جبران باسيل,normal,Lebanon
32,يا عيب لشوم عليك يا كركوز,abusive,Lebanon
33,لو دولة تحترم نفسها كنت انت ما عم تحكي ولا عم تزت سمك ولا عم تبعت رسايل لو ولة بتحترم نفسها كنت محبوس,normal,Jordan
34,سمج سميك زنخ كمخة,abusive,Tunisia
35,هيد الشعب مش بحاجة لاموالكم هيد شعب بحاجة لضمائركم الغائبة,normal,Lebanon
36,عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يا بوق الفتنة,abusive,Modern Standard Arabic
37,نتمنى من فخامة الرئيس متابعه هذه القضية ف عماد عثمان مجرم,abusive,Libya
38,يسعد صباحك معالي الوزير,normal,Oman
39,قليل بحقه الحذاء,abusive,Oman
40,كول هوا يا خنزير الخنازير الصهاينة نهايتهم للدعس تفه,abusive,Iraq
41,انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة,abusive,Lebanon
42,جبران باسيل رجل شرّير,abusive,Oman
43,عاهر بكلامو بس معلمك شو,abusive,Syria
44,أنا بس شوف نديم و أمثالو كيف بيحكو عن جبران باسيل بتأكّد أكتر انو جبران باسيل عم يشتغل صحّ,normal,Palestine
45,كان الله بعونك وبعون الي دافع عنك,normal,Tunisia
46,بظن من هلأ و رايح و من بعد ما سمعتو السيد شو حكي عن صدق جبران باسيل، كل واحد من يلي بيقولو عن حالن جمهور المقاومة،,normal,Lebanon
47,نحن نثق بال قضاء اللبناني,normal,Sudan
48,بدا ثورة على حطوا روبورتاج صغير عن جبران باسيل وانهوه بجملة ما تكون متل جبران,normal,Syria
49,عقبال يغرقوا التنين بالمجارير,abusive,Syria
50,درس فى التاريخ,normal,Egypt
51,انشالله يضلل حصرمة بعينك وعين غيرك جبران باسيل قرفت سما الله تبعنا انشالله بضلل مقهور وبضلل جبران با,abusive,Lebanon
52,بلبنان منخبر ومنقول الحقائق كما هي لا أعتقد أن عمليات الإغتيال قامت بها الدولة أو ج,normal,Oman
53,كول هوا ابو وجهك,abusive,Iraq
54,بربحك جميل من كيسك انو ناوي يعمل شغلو,normal,Lebanon
55,عم أحكي عن الجعفري يا بهيمة نظام الجعفري قتل نص مليون وهجّر نص الشعب حرفياً لأنه طلعوا مظاهرات ضده وبعدين بتقلي إني أنا يلي ما بفهم بآداب الحوار؟ بهيمة بتجيب المسبة لحالها شو بدنا نقول,abusive,Syria
56,آلوزير جبران باسيل وزير لبناني فقط لا غير,normal,Lebanon
57,بالرغم من صفاقة جبران باسيل وكلامه الثقيل الذي لا يمثل سياسة لبنان الرسمية ولا يمثل اكثرية الشعب اللبناني الا ان العتب,abusive,Saudi Arabia
58,وهاب بعد زيارته الغريب لقاء خلدة مهمته داخلية درزية وليس موجهاً ضد أحد لبنان,normal,Syria
59,كثروا المنافقين اصحاب المصالح هاذا اكبر كلب لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق,abusive,Algeria
60,اكل الهوى للواطي دواء الله يشفيك,abusive,Tunisia
61,لا كل الثواار كلاب متل النظام هيك جملة سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف؟,hate,Syria
62,اباقاش تسكت وله ، اسكت يا قرد العقاب لوهاب وهاب قاتل ابو دياب,abusive,Yemen
63,للاسف لدينا في الخليج بعض من الكتاب والدكاتره والمحللين كالبغال والجحاش ينهق ويهرف بما لايعرف,abusive,Oman
64,سوف تبقى سوريه وفية ومنتصره رغم كل الاوجاع وتبقى صامده في وجه الاعداء سوريا التي حاربت كل الدول العرب,normal,Oman
65,على الرحب يا جماعة السدس,normal,Jordan
66,مهما تستأجر أشخاص وملاحم ولحمه فاسده لا شرعيه لها ولا وجود ولا اعتبار رسمي الف تحيه لشيخ العقل للطائفه,normal,Yemen
67,وقت تشوفوا و تسمعوا جبران باسيل متل لما الشيطان يسمع كلام الإنجيل,abusive,Lebanon
68,كل الاجلال والاحترام الأوفياء بيتذكرو كرم اهل دمشق دمشق احتضنت اللبنانيين في محنتهم والعراقيين والفلسطينيي,normal,Egypt
69,أذا جبران باسيل يقودكم والجاهل شيخ الجاهلية يصفق للقرد اكيد بيكون ي,hate,Tunisia
70,أحقر جريدة بل الوجود,abusive,Tunisia
71,رزق الهبل عالمجانين آه يا هبيلة,abusive,Egypt
72,لما تعلق كل يوم بعجقات سير خانقة لازم تفرح وتتذكر إنك عايش ببلد منتج وقوي اقتصادياً ومالياً وقوي اجتماعياً ومعيشياً وكل شي فيه قوي، أجلّك,normal,Saudi Arabia
73,ما تفضلت به يا أخي هو منتشر منذ عقود ومنذ قررنا كلبنانيين أن,normal,Modern Standard Arabic
74,والله لو في دوله ما تركتك انت ورئيسك,normal,Oman
75,يجب محاربة الفساد,normal,Algeria
76,خلعتك ضربة ع وترك الحساس تا فعت هالفوعة؟؟؟ ههههه الله يشفيك يا حمار يا زبالة,abusive,Syria
77,متل نبيه بري,normal,Syria
78,اننا موحدون توحيديين إلى يوم الدين,normal,Libya
79,يرحمها ويصبر اهلها,normal,Saudi Arabia
80,ولك استحي بقى ما في عا لسانك الا سوريا,abusive,Sudan
81,يا محلا عذاب الغرب من عذاب ايران وما تفعله من عذاب وتنكيل وتجويع وانحطاط اخلاقي لاهل العراق الابي,normal,Iraq
82,وشو بتحب نقلك يا تافه,abusive,Palestine
83,وطن التعايش و الحرية ، وطن الصدق و المحبة هذا كل ما نحن بحاجة إليه لنحصل على هذا الوطن علينا ان نعد شعب واعي,normal,Saudi Arabia
84,ضيعان الفهم يا دكتور ؟؟,abusive,Egypt
85,طيب خلينا بالنص ايران كاميرون,normal,Syria
86,وليد جنبلاط يتحدث عن الشيطان الاكبر والشيطان الاصغرالظاهر نسي يذكر انو هو ابو الشياطين كلها,abusive,Iraq
87,بيكي أندرسون تسأل جبران باسيل المعظم في علم الاقتصاد حول مشاكل لبنان وهو يجيبها بردية زجل عن الشعب اللبناني العظيم,normal,Sudan
88,مين جاب سيرة عقدة أغلبية الشعب اللبناني جبران باسيل؟,normal,Syria
89,نصرالله كلام وزير الخارجية جبران باسيل عن ضرورة حل مسألة اخفاء الإمام الصدر كان مهماً,normal,Syria
90,قطر اختلفت مع كل المحيط العربي لأنو تحالفت مع حليفك الخامنئي ، حليف حليفك يعني حليفك كيف سياستكن يا شياطين ما بعرف,abusive,Palestine
91,يا بلا مخ يا حيوان في الاف بقطر عم يسترزقو مش كرمال يجي راحد متاك صرماية يعمل خلاف روح نقبر ضب زعرانك ع,abusive,Lebanon
92,كلمة جبران باسيل أخجلته وأخجلت كل الأمة العربية,normal,Jordan
93,فعلا زمن الرويبضة ومناسب جدا,normal,Saudi Arabia
94,يا عمي هيدا الزلمي جاهل,abusive,Lebanon
95,العاهر الكبير عون,abusive,Tunisia
96,صباح جميل كجمال قلوبكم,normal,Modern Standard Arabic
97,وانت وبيك شو حقك فرنك فرنسي يعني ولادولار,abusive,Syria
98,دبي رزقها الله ب محمد بن راشد عمل على تنميتها وإدارتها كأحسن ما تكون التنمية والإدارة زرتها قبل س,normal,Saudi Arabia
99,هذه عمامات سوداء طلبت بالابيض,normal,Yemen
100,صحافة أردوغان بلشت تخوّف أوروبا من موجة لاجئين جديدة شكله الحدود التركية رح تتسكر بوش يلي بده يحاول يطلع من إدلب,normal,Syria
101,مرحبا يا رجال قلعة الممانعة، بيسلم عليكن ابن رامي مخلوف من دبي وبيقلكن اصمدو وموتو كمان شوي جاي الصيفية وسفرت الكوت دازور مكل,normal,Syria
102,ما هوي لو بياكل سرماية بعيد عنا بقول يعدمني يا فكروا اذا بصرخوا صوتهن بيوصل,abusive,Lebanon
103,يحمار انت والحبتور كنتو مجتمعين في باريس قبل سنه في فندق الريتس ممكن تحكيلي كم دفعلك؟؟,abusive,Yemen
104,فهمتوا يا حقودين يا جماعة الحركة,hate,Egypt
105,انت صنفتو بخانة الخيانة وهيدا رد على ردك ومش كل الادوية فعالة وان شاء الله الكل بيفتخر بشهادة الحريري,abusive,Jordan
106,هذا ردي له نعم انا سعودي وكلي فخر راسي فوق أنتم ما قهركم وداعس على روس,abusive,Oman
107,ال ً مبلشين من الليلة بالحملة ع جبران باسيل ب منا وجر,normal,Syria
108,هي و صرمايتي سوى,abusive,Yemen
109,ربما يكون عماد عثمان بمثابة صندوق اسود للمشنوق,normal,Sudan
110,سليم عون لا يستطيعون التصويب على الرئيس ميشال عون فيصوبون على رئيس التيار جبران باسيل او علينا، لسنا مكسر عصا لأح,normal,Saudi Arabia
111,دائما انت على حق,normal,Saudi Arabia
112,خليك بي الجاهليه لانو ما الك الى الجهل تبعك قطر ام العرب وام لبنان وستبقى قطر والخليج اسيادك يا فار من العداله,hate,Iraq
113,ياريت شعبك بيسمع واذا سمع يوقف واذا وقف يحدث الفرق شعب لبنان تعبانة,normal,Jordan
114,ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك,hate,Iraq
115,الوزير جبران باسيل كان اول من طرح موضوع عودتهم الى بلدهم ليس انطلاقاً من موقف عنصري، معتبرا ان الجميع لاحقاً التقوا على ا,normal,Oman
116,دئما يلحق بك الدمااار,abusive,Morocco
117,كل الميليشيات تكتلت تتواجه جبران باسيل مش غريب ما حدا قدر يلاقي دليل يحارب جبران فيه؟؟ مياومو الإعلام,normal,Palestine
118,احييييي يا قضاء,normal,Lebanon
119,هل انت سياسي بالبلد او لأ ؟؟,normal,Sudan
120,وطننا يحتاج الى طبقة حاكمة غير فاسدة,normal,Yemen
121,لا صديقي مو عيب واحد قاتل وواحد اداة بيد قاتل,abusive,Iraq
122,احضر لي تصريح واحد تقول فيه اسرائيل سأحرق ايران و الايرانيين و لبنان و اللبنانيين او سوريا و السوريين,normal,Egypt
