sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	FES	راه تما، بالضبط قبالت مكتب المعلومات ديال السياحة.
9	corpus-6-test-corpus-26-train	FES	ماسبقليش سمعت بهاد العنوان هنا.
11	corpus-6-test-corpus-26-train	FES	سير نيشان حتا تلقى الصيدلية.
26	corpus-6-test-corpus-26-train	FES	شحال الثمن ديال الفطور؟
27	corpus-6-test-corpus-26-train	FES	كيفاش نقدر نساعدك؟
30	corpus-6-test-corpus-26-train	FES	سيرعلى ليسر في الزاوية الثالثة.
50	corpus-6-test-corpus-26-train	FES	واش تبغي كريم وسكر في القهوة ديالك؟
64	corpus-6-test-corpus-26-train	FES	واش ممكن تصرف الشيك ديالي ديال مئتي دولار؟
74	corpus-6-test-corpus-26-train	FES	الى خصه يبان، اتصل بيا عافاك.
86	corpus-6-test-corpus-26-train	FES	في كاين المقهى؟
87	corpus-6-test-corpus-26-train	FES	بغيت لبيسة ديال الدراري الصغار.
91	corpus-6-test-corpus-26-train	FES	واخا. غادي يكلف خمسة وثمانين سنت للبريد العادي وثلاثة بالضبط ديال الدولار اضافية للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	FES	كون كنت فبلاستك نشري هادا.
129	corpus-6-test-corpus-26-train	FES	واش غتكون عندي شي صعوبة مع الديوانة؟
130	corpus-6-test-corpus-26-train	FES	واش عندك أحذية رسمية واسعة من جيهت الصبعين؟
140	corpus-6-test-corpus-26-train	FES	لا. ممكن نقترح عليك عوض هادشي غرفة بجوج فراشات لشخص؟ عندي واحدة.
143	corpus-6-test-corpus-26-train	FES	بغيت برمانونت ضيق، عافاك.
145	corpus-6-test-corpus-26-train	FES	هي باغيا بيرة.
157	corpus-6-test-corpus-26-train	FES	صباح الخير. كيف داير؟
158	corpus-6-test-corpus-26-train	FES	متأسف غادي نشوف شي اثبات ديال الهوية.
169	corpus-6-test-corpus-26-train	FES	شمن نوع ديال الصوص؟
170	corpus-6-test-corpus-26-train	FES	هادا بارد شوية. ممكن تسخنو؟
173	corpus-6-test-corpus-26-test	FES	متأسف، هاد البلاصة موخوذة قبل.
176	corpus-6-test-corpus-26-train	FES	أنا بخير. لكن واش ممكن تتصل بصديقي؟
177	corpus-6-test-corpus-26-test	FES	شكرا، هادشي كافي.
184	corpus-6-test-corpus-26-train	FES	شكون أحسن صديق ديالك؟
187	corpus-6-test-corpus-26-train	FES	يوم الصحة والرياضة عشرة أكتوبر هو عطلة وطنية كتهدف لتعزيز الصحة ديال الشعب.
192	corpus-6-test-corpus-26-train	FES	واش تبغي نتحقق من تحت الغطى ديال الموطور؟
206	corpus-6-test-corpus-26-train	FES	واش ممكن تعاوني نلقي الشانطة ديال السفر ديالي؟
221	corpus-6-test-corpus-26-train	FES	واش تدير الترتيبات مسبقا؟
238	corpus-6-test-corpus-26-train	FES	شي حد كيساعدني. شكرا ليك.
261	corpus-6-test-corpus-26-train	FES	ملي توصل لتما، سول شي حد أخور، عافاك.
280	corpus-6-test-corpus-26-train	FES	بغيت التمديد أربعة وعشرين، عافاك.
285	corpus-6-test-corpus-26-train	FES	اتفضل جوج دولار. خلي عندك الباقي.
315	corpus-6-test-corpus-26-train	FES	واحد همبرغر وواحد تشيز برجر، عافاك.
319	corpus-6-test-corpus-26-train	FES	شحال التكلفة اللي كتحسب للعملية؟
320	corpus-6-test-corpus-26-train	FES	بغينا نخلصو الوجبات ديالنا.
326	corpus-6-test-corpus-26-train	FES	الموقع كان على كرسي فالبهو ديال الفندق.
333	corpus-6-test-corpus-26-test	FES	عافاك بدلي الين لجنيهات.
346	corpus-6-test-corpus-26-train	FES	بغيت قاموس حجم الجيب، عافاك.
360	corpus-6-test-corpus-26-train	FES	لجوج أشخاص في السبعة. الاسم هو واتانابي.
368	corpus-6-test-corpus-26-train	FES	ساعتي. كانت سايكو الرقمية.
370	corpus-6-test-corpus-26-train	FES	غايكون بكل فرح اننا نسربيولك الشراب اللي تختار، متبوع بالعشا. دليل كامل ديال المشروبات اللي كنقدمها فهاد الرحلة محلي في دليل المعلومات فمجلتنا.
373	corpus-6-test-corpus-26-test	FES	واش كتعيش قريب من هنا؟
375	corpus-6-test-corpus-26-train	FES	فين كاين محل كيبيع الهدايا؟
386	corpus-6-test-corpus-26-test	FES	أنا فالطريق السريع رقم واحد لقريب من خليج مورو.
391	corpus-6-test-corpus-26-train	FES	بغيت شي منبه، عافاك.
398	corpus-6-test-corpus-26-dev	FES	بالمناسبة، سميتي هيروشي إيجيما.
401	corpus-6-test-corpus-26-dev	FES	هاد الطران كيوقف فبحيرة فوريست، ياك؟
408	corpus-6-test-corpus-26-train	FES	أغلبية اليابانيين كياكلو الأخطبوط والحبار.
416	corpus-6-test-corpus-26-train	FES	ممكن تعطيني جوج تذكيرات درجة ثانية لشيكاغو، عافاك؟
419	corpus-6-test-corpus-26-train	FES	مشيت لنيويورك.
423	corpus-6-test-corpus-26-train	FES	شنو رقم الرحلة؟
442	corpus-6-test-corpus-26-test	FES	واحد لنيويورك، عافاك.
446	corpus-6-test-corpus-26-train	FES	لمدة شي أيام.
447	corpus-6-test-corpus-26-train	FES	الثاني على اليسار.
471	corpus-6-test-corpus-26-dev	FES	هاد البطاقة، صافي؟
488	corpus-6-test-corpus-26-train	FES	واش هادا مكتب الاستقبال؟ واش كاين شي عيادة قريبة؟
493	corpus-6-test-corpus-26-train	FES	واش عشرة دولارغتكون كافية بالطاكسي؟
503	corpus-6-test-corpus-26-train	FES	هاد الأذواق غريبة.
512	corpus-6-test-corpus-26-train	FES	نعم . انتظر، غادي نجيب واحد ليك.
516	corpus-6-test-corpus-26-train	FES	نص زجاجة، عافاك.
540	corpus-6-test-corpus-26-train	FES	ماشي صحيح. غي حاجة ماشي مكلفة.
548	corpus-6-test-corpus-26-train	FES	واش كتبحث على شي حاجة؟
551	corpus-6-test-corpus-26-train	FES	أربع ليالي.
553	corpus-6-test-corpus-26-train	FES	محتاج لشي تقاشر.
565	corpus-6-test-corpus-26-train	FES	ممكن تخليه أرخص حيت كاين فيه شي بقع؟
571	corpus-6-test-corpus-26-train	FES	شي رجل تصادم فيا. من بعد داكشي لاحظت مشاتلي محفظتي.
599	corpus-6-test-corpus-26-train	FES	أنا ماشي متأكد واش حزمت حوايج كافين لرحلة ديال ثلاثة أسابيع.
612	corpus-6-test-corpus-26-train	FES	فالواقيع، بغينا نجربو النبيذ الأبيض.
631	corpus-6-test-corpus-26-train	FES	الى سول فيا أي حد، قول ليهم غنكون فالمقهى.
632	corpus-6-test-corpus-26-train	FES	أنا متأكد بلي كان عندي فالجيب الداخلي ديال المعطف ديالي.
641	corpus-6-test-corpus-26-test	FES	ممكن تعطيني اسم ورقم الجهة لغادي تتاصل بيها؟
643	corpus-6-test-corpus-26-train	FES	واش تخلصلي شركة الطيران باش نشري شي ضروريات شخصية أساسية؟
650	corpus-6-test-corpus-26-train	FES	بغيت غرفة فيها حمام.
652	corpus-6-test-corpus-26-dev	FES	حتى حاجة مخرجات من الجهاز؟
