sentID.BTEC,sent,sentiment
5,هناك، بالضبط مقابل مكتب معلومات السياح.,neutral
9,ما قد سمعت بهذا العنوان هنا.,neutral
11,امش على طول لين تلقى صيدلية.,neutral
26,بكم الفطور؟,neutral
27,كيف اقدر اساعدك؟,neutral
30,لف يسار عند ثالث زاوية.,neutral
50,ودك بكريمة و سكر في قهوتك؟,neutral
64,تقدر تصرف لي شيك المئتين دولار حقتي؟,neutral
74,اذا كان يجب ان يظهر، الرجاء الاتصال بي.,neutral
86,وين المقهى؟,neutral
87,ابغى سترة للأطفال.,neutral
91,طيب. تكلف خمس و ثمانين سنت للبريد العادي و ثلاث دولارات بالضبط إضافية للتوصيل الخاص.,neutral
120,بشتري هذا اذا كنت بمكانك.,positive
129,هل بواجه أي صعوبة مع الجمارك؟,neutral
130,عندك احذية رسمية واسعة عند الأصابع؟,neutral
140,لا. اقدر اقترح عليك غرفة مزدوجة لاستخدام شخص واحد بدال هذا؟ متوفر عندنا.,neutral
143,ابغى بيرم ضيق، لو سمحت.,neutral
145,تبغى بيرة.,neutral
157,صباح الخير. كيف حالك؟,positive
158,اسف اني مضطر اشوف أي نوع من أنواع اثبات الهوية.,neutral
169,أي نوع من الصوص؟,neutral
170,هذا شوية بارد. تقدر تسخنه؟,neutral
173,اسف، هذا المكان محجوز مسبقا.,neutral
176,انا بخير. لكن هل تمانع بالاتصال بصديقي؟,neutral
177,شكرا، هذا كافي.,positive
184,من صديقك المفضل؟,neutral
187,يوم الصحة والرياضة في العاشر من أكتوبر هو يوم وطني وضع للتوعية بصحة الناس.,positive
192,تبغاني افحص تحت الكبوت؟,neutral
206,تقدر تساعدني بالعثور على بدلتي؟,neutral
221,بتسوي ترتيبات مبدئيا؟,neutral
238,فيه شخص يساعدني، شكرا لك.,positive
261,اذا وصلت، اسأل شخص اخر، لو سمحت.,neutral
280,ابغى ازيد اربع و عشرين، لو سمحت.,neutral
285,هذي دولارين. احتفظ بالباقي.,neutral
315,واحد همبرقر و واحد برغر بالجبن، لو سمحت.,positive
319,كم تاخذ للعملية؟,neutral
320,ودنا كل واحد يدفع ثمن وجبته.,neutral
326,الموقع كان على كرسي في الردهة.,neutral
333,لو سمحت حول الين هذا الى جنيهات.,neutral
346,ابغى قاموس بحجم اليد، لو سمحت.,positive
360,لشخصين عند السابعة. الاسم واتانابي.,neutral
368,ساعتي. كانت سيكو رقمية.,neutral
370,من دواعي سرورنا خدمتك بالشراب على حسب اختيارك، متبوع بالعشاء. دليل كامل بالمشروبات اللي نقدمها على هذه الرحلة موجو بدليل التعليمات في مجلتنا.,positive
373,تعيش هنا؟,neutral
375,وين متجر الهديا؟,neutral
386,انا على الطريف السريع واحد بالقرب من خليج باي.,neutral
391,ابغى ساعة تنبيه، لو سمحت.,neutral
398,بالمناسبة، اسمي هيروشي ايجيما.,neutral
401,هذا القطار يتوقف عند غابة البحيرات، اليس كذلك؟,neutral
408,معظم اليبانيين ياكلون الاخطبوط و الحبار.,neutral
416,اقدر احصل على تذكرتين درجة سياحية لشيكاغو، لو سمحت؟,neutral
419,رحت لنيويورك.,neutral
423,وش هو رقم الرحلة؟,neutral
442,واحد لنيويورك، لو سمحت.,positive
446,لبضعة أيام.,neutral
447,ثاني واحد على اليسار.,neutral
471,هذا الكرت، اوك؟,neutral
488,هذا مكتب الاستقبال؟ فيه عيادة قريبة؟,neutral
493,عشرة دولارات بتكون كافية للتاكسي؟,neutral
503,طعمه غريب.,negative
512,نعم. اصبر، بجيب لك واحد.,neutral
516,نص قارورة، لو سمحت.,neutral
540,غير صحيح. شيء غير غالي فقط.,neutral
548,تدور على شيء؟,neutral
551,اربع ليالي.,neutral
553,احتاج شرابات.,neutral
565,تقدر تخفضه لان فيه بعض البقع؟,neutral
571,رجال صدم فيني. بعدها لاحظت محفظتي اختفت.,negative
599,منيب متأكد اذا ضفيت ملابس كافية لرحلة مدتها ثلاث أسابيع.,negative
612,طيب، نبغى نجرب نبيذ ابيض.,positive
631,اذا سأل عني أي احد، علمهم اني بكون في المقهى.,neutral
632,متأكد انه كان معي في الجيب الداخلي في معطفي.,neutral
641,اقدر اخذ الاسم و الرقم للشخص اللي تدق عليه؟,neutral
