sentID.BTEC	split	lang	sent	sentiment
0	corpus-6-train	MSA	"It's in the back of the hall. I'll get you some of it now. If you want anything else, just let me know.
"	neutral
2	corpus-6-train	MSA	"Are you making any adjustments?
"	neutral
4	corpus-6-train	MSA	"We want a table by the window.
"	neutral
5	corpus-6-test-corpus-26-train	MSA	"Right there, right in front of the tourist data.
"	neutral
9	corpus-6-test-corpus-26-train	MSA	"I've never heard of this address near here.
"	neutral
11	corpus-6-test-corpus-26-train	MSA	"Keep walking this way until you find a pharmacy.
"	neutral
12	corpus-6-train	MSA	"What's the newest color this season?
"	neutral
14	corpus-6-train	MSA	"In my case, it's mostly for work and rarely for fun.
"	neutral
15	corpus-6-train	MSA	"I'll stay for two days.
"	neutral
16	corpus-6-train	MSA	"I want a close coronation of my hair.
"	neutral
17	corpus-6-train	MSA	"I want to reserve two double rooms.
"	neutral
18	corpus-6-train	MSA	"I don't want to take it off.
"	negative
19	corpus-6-train	MSA	"Does this bus stop on Astonor Street?
"	neutral
24	corpus-6-train	MSA	"Please open your mouth wide.
"	neutral
26	corpus-6-test-corpus-26-train	MSA	"How much is breakfast?
"	neutral
27	corpus-6-test-corpus-26-train	MSA	"How can I help you?
"	neutral
29	corpus-6-train	MSA	"Let's get a piece to eat.
"	neutral
30	corpus-6-test-corpus-26-train	MSA	"Turn left at the third exit.
"	neutral
31	corpus-6-train	MSA	"Can you clean these clothes?
"	neutral
37	corpus-6-dev	MSA	"I'll give you his phone number and address.
"	neutral
38	corpus-6-train	MSA	"I paid for the meals and the hotel fees in advance.
"	neutral
40	corpus-6-train	MSA	"I'm looking for a good restaurant, for brownies. Can you point those places to on the map?
"	neutral
42	corpus-6-train	MSA	"You're breaking it. You're the one who bought it.
"	negative
46	corpus-6-train	MSA	"I'll tell her to call you as soon as she gets here.
"	neutral
50	corpus-6-test-corpus-26-train	MSA	"Do you like to put cream and sugar in your coffee?
"	neutral
51	corpus-6-train	MSA	"I'm seriously injured.
"	negative
52	corpus-6-train	MSA	"I want a scarf.
"	neutral
53	corpus-6-train	MSA	"Does this hotel have conference facilities?
"	neutral
56	corpus-6-train	MSA	"Is it appropriate to have a snack?
"	neutral
57	corpus-6-train	MSA	"I'm calling from the airport. I'll be there at about four.
"	neutral
62	corpus-6-train	MSA	"Where I'm going to change to Chicago.
"	neutral
63	corpus-6-train	MSA	"How much does it cost to send a registered letter to France?
"	neutral
64	corpus-6-test-corpus-26-train	MSA	"Can you cash my two hundred-dollar check?
"	neutral
68	corpus-6-train	MSA	"Driving on the right side of the road is actually quite different.
"	neutral
69	corpus-6-train	MSA	"The actor was already great.
"	positive
72	corpus-6-train	MSA	"What's the unimaginable side of your character?
"	neutral
74	corpus-6-test-corpus-26-train	MSA	"If that happens, please call me.
"	neutral
78	corpus-6-dev	MSA	"Can you change my seat, please?
"	neutral
79	corpus-6-train	MSA	"Is there a guarantee?
"	neutral
83	corpus-6-train	MSA	"Excuse me, I'll take care of the dog.
"	neutral
84	corpus-6-train	MSA	"I want two cat tickets for Thursday.
"	neutral
86	corpus-6-test-corpus-26-train	MSA	"Where's the coffee shop?
"	neutral
87	corpus-6-test-corpus-26-train	MSA	"I want a jacket for the kids.
"	neutral
89	corpus-6-dev	MSA	"Your name again?
"	neutral
90	corpus-6-train	MSA	"Is Mr. Brown there?
"	neutral
91	corpus-6-test-corpus-26-train	MSA	"Well, it costs eighty-five dollars for regular mail and three dollars for private delivery.
"	neutral
92	corpus-6-train	MSA	"Can I rent a boat for a day?
"	neutral
93	corpus-6-train	MSA	"At what window can I make the reservation?
"	neutral
94	corpus-6-train	MSA	"What is that?
"	neutral
96	corpus-6-train	MSA	"Can you tell me how I can get to the opera?
"	neutral
97	corpus-6-train	MSA	"You weren't a little too drunk last night, honey?
"	neutral
98	corpus-6-train	MSA	"Please follow the instructions from our staff.
"	neutral
100	corpus-6-dev	MSA	"Is there a department store near here?
"	neutral
102	corpus-6-train	MSA	"Fill the tank, please.
"	neutral
103	corpus-6-train	MSA	"Is there a cheaper room?
"	neutral
104	corpus-6-train	MSA	"I prefer a car with a traffic jam system.
"	negative
105	corpus-6-train	MSA	"I'm staying at the Harvard student residence.
"	neutral
106	corpus-6-train	MSA	"What's the exchange rate today?
"	neutral
108	corpus-6-train	MSA	"I have chronic asthma.
"	negative
109	corpus-6-train	MSA	"I got about three thousand dollars.
"	neutral
111	corpus-6-train	MSA	"Okay, sir. I have two French fries or rice with spices and meat. Which do you like?
"	neutral
112	corpus-6-train	MSA	"How do I get there?
"	neutral
113	corpus-6-train	MSA	"What kind of stories are they?
"	neutral
115	corpus-6-train	MSA	"Three times.
"	neutral
116	corpus-6-train	MSA	"Which window sells stamps?
"	neutral
117	corpus-6-train	MSA	"After he attacked me, he ran off in a white truck.
"	negative
119	corpus-6-train	MSA	"Okay. Please keep this coupon and fill it out when you make the choice.
"	neutral
120	corpus-6-test-corpus-26-test	MSA	"I'd buy that if I were you.
"	positive
122	corpus-6-train	MSA	"Two hundred dollars. Immediate or credit card.
"	neutral
125	corpus-6-train	MSA	"How long does it take a ship to cross this ocean?
"	neutral
128	corpus-6-train	MSA	"Do I have to avoid certain foods while I'm taking this medicine?
"	neutral
129	corpus-6-test-corpus-26-train	MSA	"Do you have my shoes at your toes?
"	neutral
130	corpus-6-test-corpus-26-train	MSA	"Will I have any trouble with customs?
"	neutral
131	corpus-6-train	MSA	"Can I have some red wine?
"	neutral
133	corpus-6-train	MSA	"Tell me when we get to the museum.
"	neutral
134	corpus-6-dev	MSA	"Does this bus go to the Sheraton Hotel?
"	neutral
135	corpus-6-dev	MSA	"What's that got to do with it?
"	neutral
136	corpus-6-dev	MSA	"It's a little hot. Can I open the window?
"	neutral
138	corpus-6-train	MSA	"Just a shower is enough.
"	neutral
139	corpus-6-dev	MSA	"My eyes are a little red.
"	negative
140	corpus-6-test-corpus-26-train	MSA	"No, can I suggest a room with two beds for single use?
"	neutral
142	corpus-6-dev	MSA	"I can't say for sure, but we're gonna do our best.
"	positive
143	corpus-6-test-corpus-26-train	MSA	"I want a close coronation for my hair, please.
"	neutral
144	corpus-6-train	MSA	"The sea was down from far away.
"	neutral
145	corpus-6-test-corpus-26-train	MSA	"She wants a beer.
"	neutral
146	corpus-6-train	MSA	"You need an operation.
"	negative
147	corpus-6-train	MSA	"More eggs, please.
"	positive
148	corpus-6-train	MSA	"Where's the bus stop for Central Park?
"	neutral
149	corpus-6-train	MSA	"A cab?
"	neutral
151	corpus-6-train	MSA	"Here's your key, sir. Room six and fifty-two.
"	neutral
153	corpus-6-train	MSA	"I love your jacket.
"	positive
154	corpus-6-train	MSA	"Keep going.
"	positive
155	corpus-6-train	MSA	"Here we are. This is your hotel.
"	neutral
156	corpus-6-dev	MSA	"When did the basketball game start?
"	neutral
157	corpus-6-test-corpus-26-train	MSA	"Good morning. How are you?
"	positive
158	corpus-6-test-corpus-26-train	MSA	"Sorry I need to look at any ID.
"	neutral
159	corpus-6-train	MSA	"What was your impression?
"	neutral
160	corpus-6-train	MSA	"Sure. Would you like coffee with dinner or after?
"	neutral
161	corpus-6-train	MSA	"I'm taking flight twelve to Tokyo.
"	neutral
162	corpus-6-train	MSA	"I'd like to make an international call, please.
"	neutral
163	corpus-6-train	MSA	"Five months.
"	neutral
168	corpus-6-train	MSA	"What days of the week are they?
"	neutral
169	corpus-6-test-corpus-26-train	MSA	"What kind of clothes?
"	neutral
170	corpus-6-test-corpus-26-train	MSA	"It's kind of cold. Can you heat it up?
"	neutral
172	corpus-6-train	MSA	"I want some hair-dressing gel.
"	neutral
173	corpus-6-test-corpus-26-test	MSA	"Sorry, this place is already booked.
"	neutral
174	corpus-6-train	MSA	"Can we look at the list?
"	neutral
175	corpus-6-train	MSA	"My size is six.
"	neutral
176	corpus-6-test-corpus-26-train	MSA	"I'm serious, but would you mind calling a friend?
"	neutral
177	corpus-6-test-corpus-26-test	MSA	"Thank you. That's enough.
"	positive
178	corpus-6-train	MSA	"No cabs will stop unless you wait in the parking lot?
"	negative
179	corpus-6-train	MSA	"My budget is not more than fifty dollars a night.
"	neutral
180	corpus-6-train	MSA	"Shall we take a picture together?
"	neutral
181	corpus-6-train	MSA	"How much is this service?
"	neutral
182	corpus-6-train	MSA	"Did total sales in North America rise by more than five percent?
"	neutral
184	corpus-6-test-corpus-26-train	MSA	"Who's your best friend?
"	neutral
186	corpus-6-train	MSA	"Did you know that one of the biggest sumo wrestling events, a traditional Japanese wrestling event, is an American championship?
"	neutral
187	corpus-6-test-corpus-26-train	MSA	"Sports Health Day is on October 10th and is a national holiday aimed at improving the health of citizens.
"	positive
188	corpus-6-train	MSA	"Is this for Wall Street?
"	neutral
189	corpus-6-train	MSA	"I'd like to rent this one from December 5th through 10th.
"	neutral
191	corpus-6-train	MSA	"How are you, ma'am?
"	neutral
192	corpus-6-test-corpus-26-train	MSA	"You want me to check the engine?
"	neutral
195	corpus-6-train	MSA	"Sugar?
"	neutral
196	corpus-6-train	MSA	"Can I pay by Mastercard?
"	neutral
198	corpus-6-train	MSA	"Is this the place to collect luggage for flight NWN nine-zero seven?
"	neutral
199	corpus-6-train	MSA	"I'll take this one.
"	positive
204	corpus-6-train	MSA	"I'm so glad I could come to this country.
"	positive
205	corpus-6-train	MSA	"My name and address are on it.
"	neutral
206	corpus-6-test-corpus-26-train	MSA	"Can you help me get to my bag?
"	neutral
207	corpus-6-dev	MSA	"What kind of stones are these?
"	negative
208	corpus-6-train	MSA	"I would point out that our government is very strict with what they call boat people. I have realized that Japan already has a population increase that does not allow these uninvited guests to be hosted. But on the other hand, many of our industries need a working hand.
"	neutral
209	corpus-6-train	MSA	"From this mountain, you can see the whole city. During this season, many kinds of flowers bloom. They look so beautiful.
"	positive
213	corpus-6-train	MSA	"Follow me.
"	positive
217	corpus-6-train	MSA	"Please tell him you're Yama.
"	neutral
221	corpus-6-test-corpus-26-train	MSA	"Will you make the arrangements in advance?
"	neutral
224	corpus-6-train	MSA	"Okay, please put this data here. Was it one bag?
"	neutral
225	corpus-6-train	MSA	"Would you like beef, chicken, or fish?
"	neutral
227	corpus-6-train	MSA	"Can you take different ways to go and back?
"	neutral
228	corpus-6-train	MSA	"Is there a snack bar here?
"	neutral
229	corpus-6-dev	MSA	"Excuse me, sir. I'd like to explore some of the sights in Boston.
"	neutral
232	corpus-6-train	MSA	"Do you have a list in Japanese?
"	neutral
235	corpus-6-train	MSA	"It's one and five minutes.
"	neutral
238	corpus-6-test-corpus-26-train	MSA	"Give me a hand, thank you.
"	positive
239	corpus-6-train	MSA	"I want a pain reliever.
"	negative
240	corpus-6-train	MSA	"Who's your favorite actress?
"	positive
241	corpus-6-train	MSA	"I want one of those eggshells?
"	neutral
242	corpus-6-train	MSA	"What kind of music do they play there?
"	neutral
243	corpus-6-train	MSA	"I don't like this color. Please show me another color.
"	negative
246	corpus-6-train	MSA	"Please take me to the morning market.
"	positive
248	corpus-6-train	MSA	"My glass frame is broken.
"	negative
250	corpus-6-train	MSA	"From 3: 00.
"	neutral
252	corpus-6-train	MSA	"Great. I have a seat by the window. Uh, if you want to swap seats later, miss.
"	positive
255	corpus-6-train	MSA	"I enjoyed the tour of New York yesterday.
"	positive
256	corpus-6-dev	MSA	"I like the blue bag in the showcase.
"	positive
258	corpus-6-train	MSA	"Call the building owner if you have any problems.
"	neutral
259	corpus-6-train	MSA	"Wash it with shampoo and straighten it out, please.
"	neutral
261	corpus-6-test-corpus-26-train	MSA	"When you get there, ask someone else, please.
"	neutral
263	corpus-6-train	MSA	"Please tell me the quickest way to San Francisco.
"	neutral
267	corpus-6-train	MSA	"Can I have the key to room two fifteen?
"	neutral
268	corpus-6-train	MSA	"Excuse me, can you take pictures of me?
"	neutral
269	corpus-6-train	MSA	"Just type in the room number and sign here.
"	neutral
271	corpus-6-train	MSA	"Color acceptable, but size incorrect. Can you change it in an hour?
"	neutral
272	corpus-6-train	MSA	"We'll be waiting for you that day.
"	positive
274	corpus-6-train	MSA	"We have enough to last two days.
"	positive
275	corpus-6-train	MSA	"I can't understand that.
"	negative
277	corpus-6-train	MSA	"How can I get back to my destination?
"	neutral
278	corpus-6-train	MSA	"Is this tax-exempt?
"	neutral
279	corpus-6-train	MSA	"Well, they're gonna have to play extra roles until the tie is over.
"	neutral
280	corpus-6-test-corpus-26-train	MSA	"I want the extension twenty-four, please.
"	neutral
281	corpus-6-train	MSA	"Can you spell it?
"	neutral
285	corpus-6-test-corpus-26-train	MSA	"Here's two bucks. Keep the rest.
"	neutral
286	corpus-6-train	MSA	"When's lunch?
"	neutral
287	corpus-6-train	MSA	"Sorry, that's too much for me?
"	negative
288	corpus-6-train	MSA	"Where do I start to get to Yenyon Square?
"	neutral
290	corpus-6-train	MSA	"You can ask the rental office there.
"	neutral
293	corpus-6-train	MSA	"Hey, Jane, can you take all the stuff to the cleaners?
"	neutral
296	corpus-6-train	MSA	"I'm on vacation.
"	positive
298	corpus-6-train	MSA	"No, I plan on visiting Paris on my way home.
"	neutral
299	corpus-6-dev	MSA	"Are you taking her with you or should we send her?
"	neutral
301	corpus-6-train	MSA	"There's been a recent outbreak among food experts, hasn't there?
"	neutral
302	corpus-6-train	MSA	"It happened about six hours ago.
"	neutral
303	corpus-6-train	MSA	"Delta Airlines flight one one two.
"	neutral
304	corpus-6-train	MSA	"Can you give me two for the night?
"	neutral
305	corpus-6-train	MSA	"Can you write me a report about my insurance company being stolen, please?
"	neutral
306	corpus-6-train	MSA	"Since I'm not very good with the camera, I think a camera that's easy to use might be the best one for me.
"	positive
307	corpus-6-train	MSA	"Is this the right dock for New York?
"	neutral
308	corpus-6-train	MSA	"Enjoy your vacation.
"	positive
312	corpus-6-train	MSA	"Please give me some screen.
"	neutral
313	corpus-6-train	MSA	"I want fries with sour cream, please.
"	positive
314	corpus-6-train	MSA	"Yeah, every ten minutes.
"	neutral
315	corpus-6-test-corpus-26-train	MSA	"One hamburger and one cheeseburger, please.
"	positive
319	corpus-6-test-corpus-26-train	MSA	"How much do you charge to edit the film?
"	neutral
320	corpus-6-test-corpus-26-train	MSA	"We both want to be billed for our meal.
"	neutral
322	corpus-6-train	MSA	"I'll pay the bill tomorrow morning.
"	neutral
323	corpus-6-train	MSA	"I'm going there, too. How about we take a cab together?
"	neutral
324	corpus-6-train	MSA	"Would you like a chair and relax? Can I get you something to drink? Coffee, tea or soda?
"	neutral
325	corpus-6-train	MSA	"It's so nice of you to say that.
"	positive
326	corpus-6-test-corpus-26-train	MSA	"The place was on a chair in the hallway.
"	neutral
327	corpus-6-train	MSA	"Roast beef, please.
"	neutral
329	corpus-6-dev	MSA	"Will the table be ready?
"	neutral
331	corpus-6-train	MSA	"I'd rather have a moss than a rockfish.
"	negative
333	corpus-6-test-corpus-26-test	MSA	"Please change these yen to pounds.
"	neutral
336	corpus-6-train	MSA	"What a surgical removal of worms.
"	neutral
338	corpus-6-train	MSA	"Will you give me the medical bills?
"	neutral
346	corpus-6-test-corpus-26-train	MSA	"I want a pocket dictionary, please.
"	positive
349	corpus-6-train	MSA	"Well, I don't know.
"	neutral
350	corpus-6-train	MSA	"Congratulations, I knew you'd been promoted to vice president.
"	positive
351	corpus-6-train	MSA	"Tomorrow night after tomorrow.
"	neutral
352	corpus-6-train	MSA	"I live in southern Japan.
"	neutral
353	corpus-6-train	MSA	"A ticket back and forth to Chicago, please.
"	neutral
355	corpus-6-train	MSA	"Do you like to eat with eggs, salted pork or pork loin?
"	neutral
358	corpus-6-train	MSA	"To study.
"	neutral
359	corpus-6-train	MSA	"Please, hurry up.
"	positive
360	corpus-6-test-corpus-26-train	MSA	"For two people at seven, name and tanap.
"	neutral
364	corpus-6-train	MSA	"The air conditioning's not working.
"	negative
365	corpus-6-train	MSA	"It's like this every Monday.
"	neutral
366	corpus-6-train	MSA	"Please go to the International Departure Hall, I wish you a happy trip.
"	positive
367	corpus-6-train	MSA	"Do you have any flights to Paris by Eurostar?
"	neutral
368	corpus-6-test-corpus-26-train	MSA	"My watch. It was a digital psycho watch.
"	neutral
369	corpus-6-train	MSA	"I brought my doctor's medical certificate from Japan.
"	neutral
370	corpus-6-test-corpus-26-train	MSA	"We're happy to offer you the drink you want for lunch. A complete guide to the drinks we offer on our trip is in our magazine's information guide.
"	positive
373	corpus-6-test-corpus-26-test	MSA	"Do you live near here?
"	neutral
374	corpus-6-train	MSA	"Can you send it to Japan?
"	neutral
375	corpus-6-test-corpus-26-train	MSA	"Where's the gift shop?
"	neutral
379	corpus-6-train	MSA	"Can I get you back on Friday?
"	neutral
380	corpus-6-train	MSA	"Okay, let me check the missing and found. What kind of cameras are they?
"	neutral
381	corpus-6-train	MSA	"I'm so sorry, we're getting you the room you ordered.
"	negative
383	corpus-6-train	MSA	"Oh, it shows subway stations and bus stations. Can I keep it?
"	neutral
384	corpus-6-train	MSA	"Oh, I lost my glasses.
"	negative
386	corpus-6-test-corpus-26-test	MSA	"I'm on the main road by Morava Bay.
"	neutral
389	corpus-6-train	MSA	"Yeah, we have a half-day schedule, a full-day schedule.
"	neutral
390	corpus-6-train	MSA	"I like a throat.
"	positive
391	corpus-6-test-corpus-26-train	MSA	"I want a light, please.
"	neutral
392	corpus-6-train	MSA	"I want to cancel my booking, please.
"	negative
394	corpus-6-train	MSA	"What's the recovery system?
"	neutral
