sentID.BTEC	split	lang
0	corpus-6-train	FR
2	corpus-6-train	FR
4	corpus-6-train	FR
5	corpus-6-test-corpus-26-train	FR
9	corpus-6-test-corpus-26-train	FR
11	corpus-6-test-corpus-26-train	FR
12	corpus-6-train	FR
14	corpus-6-train	FR
15	corpus-6-train	FR
16	corpus-6-train	FR
17	corpus-6-train	FR
18	corpus-6-train	FR
19	corpus-6-train	FR
24	corpus-6-train	FR
26	corpus-6-test-corpus-26-train	FR
27	corpus-6-test-corpus-26-train	FR
29	corpus-6-train	FR
30	corpus-6-test-corpus-26-train	FR
31	corpus-6-train	FR
37	corpus-6-dev	FR
38	corpus-6-train	FR
40	corpus-6-train	FR
42	corpus-6-train	FR
46	corpus-6-train	FR
50	corpus-6-test-corpus-26-train	FR
51	corpus-6-train	FR
52	corpus-6-train	FR
53	corpus-6-train	FR
56	corpus-6-train	FR
57	corpus-6-train	FR
62	corpus-6-train	FR
63	corpus-6-train	FR
64	corpus-6-test-corpus-26-train	FR
68	corpus-6-train	FR
69	corpus-6-train	FR
72	corpus-6-train	FR
74	corpus-6-test-corpus-26-train	FR
78	corpus-6-dev	FR
79	corpus-6-train	FR
83	corpus-6-train	FR
84	corpus-6-train	FR
86	corpus-6-test-corpus-26-train	FR
87	corpus-6-test-corpus-26-train	FR
89	corpus-6-dev	FR
90	corpus-6-train	FR
91	corpus-6-test-corpus-26-train	FR
92	corpus-6-train	FR
93	corpus-6-train	FR
94	corpus-6-train	FR
96	corpus-6-train	FR
97	corpus-6-train	FR
98	corpus-6-train	FR
100	corpus-6-dev	FR
102	corpus-6-train	FR
103	corpus-6-train	FR
104	corpus-6-train	FR
105	corpus-6-train	FR
106	corpus-6-train	FR
108	corpus-6-train	FR
109	corpus-6-train	FR
111	corpus-6-train	FR
112	corpus-6-train	FR
113	corpus-6-train	FR
115	corpus-6-train	FR
116	corpus-6-train	FR
117	corpus-6-train	FR
119	corpus-6-train	FR
120	corpus-6-test-corpus-26-test	FR
122	corpus-6-train	FR
125	corpus-6-train	FR
128	corpus-6-train	FR
129	corpus-6-test-corpus-26-train	FR
130	corpus-6-test-corpus-26-train	FR
131	corpus-6-train	FR
133	corpus-6-train	FR
134	corpus-6-dev	FR
135	corpus-6-dev	FR
136	corpus-6-dev	FR
138	corpus-6-train	FR
139	corpus-6-dev	FR
140	corpus-6-test-corpus-26-train	FR
142	corpus-6-dev	FR
143	corpus-6-test-corpus-26-train	FR
144	corpus-6-train	FR
145	corpus-6-test-corpus-26-train	FR
146	corpus-6-train	FR
147	corpus-6-train	FR
148	corpus-6-train	FR
149	corpus-6-train	FR
151	corpus-6-train	FR
153	corpus-6-train	FR
154	corpus-6-train	FR
155	corpus-6-train	FR
156	corpus-6-dev	FR
157	corpus-6-test-corpus-26-train	FR
158	corpus-6-test-corpus-26-train	FR
159	corpus-6-train	FR
160	corpus-6-train	FR
161	corpus-6-train	FR
162	corpus-6-train	FR
163	corpus-6-train	FR
168	corpus-6-train	FR
169	corpus-6-test-corpus-26-train	FR
170	corpus-6-test-corpus-26-train	FR
172	corpus-6-train	FR
173	corpus-6-test-corpus-26-test	FR
174	corpus-6-train	FR
175	corpus-6-train	FR
176	corpus-6-test-corpus-26-train	FR
177	corpus-6-test-corpus-26-test	FR
178	corpus-6-train	FR
179	corpus-6-train	FR
180	corpus-6-train	FR
181	corpus-6-train	FR
182	corpus-6-train	FR
184	corpus-6-test-corpus-26-train	FR
186	corpus-6-train	FR
187	corpus-6-test-corpus-26-train	FR
188	corpus-6-train	FR
189	corpus-6-train	FR
191	corpus-6-train	FR
192	corpus-6-test-corpus-26-train	FR
195	corpus-6-train	FR
196	corpus-6-train	FR
198	corpus-6-train	FR
199	corpus-6-train	FR
204	corpus-6-train	FR
205	corpus-6-train	FR
206	corpus-6-test-corpus-26-train	FR
207	corpus-6-dev	FR
208	corpus-6-train	FR
209	corpus-6-train	FR
213	corpus-6-train	FR
217	corpus-6-train	FR
221	corpus-6-test-corpus-26-train	FR
224	corpus-6-train	FR
225	corpus-6-train	FR
227	corpus-6-train	FR
228	corpus-6-train	FR
229	corpus-6-dev	FR
232	corpus-6-train	FR
235	corpus-6-train	FR
238	corpus-6-test-corpus-26-train	FR
239	corpus-6-train	FR
240	corpus-6-train	FR
241	corpus-6-train	FR
242	corpus-6-train	FR
243	corpus-6-train	FR
246	corpus-6-train	FR
248	corpus-6-train	FR
250	corpus-6-train	FR
252	corpus-6-train	FR
255	corpus-6-train	FR
256	corpus-6-dev	FR
258	corpus-6-train	FR
259	corpus-6-train	FR
261	corpus-6-test-corpus-26-train	FR
263	corpus-6-train	FR
267	corpus-6-train	FR
268	corpus-6-train	FR
269	corpus-6-train	FR
271	corpus-6-train	FR
272	corpus-6-train	FR
274	corpus-6-train	FR
275	corpus-6-train	FR
277	corpus-6-train	FR
278	corpus-6-train	FR
279	corpus-6-train	FR
280	corpus-6-test-corpus-26-train	FR
281	corpus-6-train	FR
285	corpus-6-test-corpus-26-train	FR
286	corpus-6-train	FR
287	corpus-6-train	FR
288	corpus-6-train	FR
290	corpus-6-train	FR
293	corpus-6-train	FR
296	corpus-6-train	FR
298	corpus-6-train	FR
299	corpus-6-dev	FR
301	corpus-6-train	FR
302	corpus-6-train	FR
303	corpus-6-train	FR
304	corpus-6-train	FR
305	corpus-6-train	FR
306	corpus-6-train	FR
307	corpus-6-train	FR
308	corpus-6-train	FR
312	corpus-6-train	FR
313	corpus-6-train	FR
314	corpus-6-train	FR
315	corpus-6-test-corpus-26-train	FR
319	corpus-6-test-corpus-26-train	FR
320	corpus-6-test-corpus-26-train	FR
322	corpus-6-train	FR
323	corpus-6-train	FR
324	corpus-6-train	FR
325	corpus-6-train	FR
326	corpus-6-test-corpus-26-train	FR
327	corpus-6-train	FR
329	corpus-6-dev	FR
331	corpus-6-train	FR
333	corpus-6-test-corpus-26-test	FR
336	corpus-6-train	FR
338	corpus-6-train	FR
346	corpus-6-test-corpus-26-train	FR
349	corpus-6-train	FR
350	corpus-6-train	FR
351	corpus-6-train	FR
352	corpus-6-train	FR
353	corpus-6-train	FR
355	corpus-6-train	FR
358	corpus-6-train	FR
359	corpus-6-train	FR
360	corpus-6-test-corpus-26-train	FR
364	corpus-6-train	FR
365	corpus-6-train	FR
366	corpus-6-train	FR
367	corpus-6-train	FR
368	corpus-6-test-corpus-26-train	FR
369	corpus-6-train	FR
370	corpus-6-test-corpus-26-train	FR
373	corpus-6-test-corpus-26-test	FR
374	corpus-6-train	FR
375	corpus-6-test-corpus-26-train	FR
379	corpus-6-train	FR
380	corpus-6-train	FR
381	corpus-6-train	FR
383	corpus-6-train	FR
384	corpus-6-train	FR
386	corpus-6-test-corpus-26-test	FR
389	corpus-6-train	FR
390	corpus-6-train	FR
391	corpus-6-test-corpus-26-train	FR
392	corpus-6-train	FR
394	corpus-6-train	FR
397	corpus-6-train	FR
398	corpus-6-test-corpus-26-dev	FR
400	corpus-6-train	FR
401	corpus-6-test-corpus-26-dev	FR
403	corpus-6-train	FR
404	corpus-6-train	FR
405	corpus-6-train	FR
407	corpus-6-train	FR
408	corpus-6-test-corpus-26-train	FR
411	corpus-6-train	FR
412	corpus-6-train	FR
414	corpus-6-train	FR
416	corpus-6-test-corpus-26-train	FR
417	corpus-6-train	FR
419	corpus-6-test-corpus-26-train	FR
422	corpus-6-train	FR
423	corpus-6-test-corpus-26-train	FR
426	corpus-6-train	FR
427	corpus-6-train	FR
429	corpus-6-train	FR
431	corpus-6-train	FR
432	corpus-6-train	FR
437	corpus-6-train	FR
438	corpus-6-train	FR
439	corpus-6-train	FR
440	corpus-6-train	FR
442	corpus-6-test-corpus-26-test	FR
446	corpus-6-test-corpus-26-train	FR
447	corpus-6-test-corpus-26-train	FR
448	corpus-6-train	FR
452	corpus-6-train	FR
454	corpus-6-dev	FR
456	corpus-6-train	FR
457	corpus-6-train	FR
458	corpus-6-train	FR
459	corpus-6-train	FR
461	corpus-6-train	FR
462	corpus-6-train	FR
463	corpus-6-train	FR
465	corpus-6-train	FR
466	corpus-6-train	FR
470	corpus-6-train	FR
471	corpus-6-test-corpus-26-dev	FR
475	corpus-6-train	FR
477	corpus-6-train	FR
479	corpus-6-train	FR
480	corpus-6-dev	FR
482	corpus-6-train	FR
483	corpus-6-train	FR
485	corpus-6-train	FR
487	corpus-6-dev	FR
488	corpus-6-test-corpus-26-train	FR
489	corpus-6-train	FR
490	corpus-6-train	FR
492	corpus-6-train	FR
