sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	SFX	أوكي غادي، قدام مكتب الإرشادات السياحية بالضبط.
9	corpus-6-test-corpus-26-train	SFX	أنا منعرفش الادريسة هذه قريبة من هوني.
11	corpus-6-test-corpus-26-train	SFX	كمل القدام لين تارى الفارمسي.
26	corpus-6-test-corpus-26-train	SFX	بقداش فطور الصباح؟
27	corpus-6-test-corpus-26-train	SFX	كيفاش النجم نعاونك؟
30	corpus-6-test-corpus-26-train	SFX	دور على الليسار مع الزنقة الثالثة.
50	corpus-6-test-corpus-26-train	SFX	تحب الكريمة و السكر في قهوتك؟
64	corpus-6-test-corpus-26-train	SFX	تنجم تصبلي الميتين دولار من الشاك هذا؟
74	corpus-6-test-corpus-26-train	SFX	لو لازم يضهر، كلمني عيشك.
86	corpus-6-test-corpus-26-train	SFX	وين تجي القهوة؟
87	corpus-6-test-corpus-26-train	SFX	نحب مريول للأولاد.
91	corpus-6-test-corpus-26-train	SFX	باهي. خمسة و ثمانين ألف في جواب عادي، تزيد ثلاثة دولار بالظبط باش يوصلك فيسع.
120	corpus-6-test-corpus-26-test	SFX	انا نشريه لو كان كنت انت.
129	corpus-6-test-corpus-26-train	SFX	باش نقابل مشاكل مع الديوانة؟
130	corpus-6-test-corpus-26-train	SFX	عندك صبابط رسمية يكونو واسعين من شيرة الصوابع؟
140	corpus-6-test-corpus-26-train	SFX	لا. تحب بيت بزوز فروشات لاستخدام شخص برك؟ عندنا وحدة حاضرة.
143	corpus-6-test-corpus-26-train	SFX	نحب كيرلي قوي، يعيشك.
145	corpus-6-test-corpus-26-train	SFX	تحب وحدة بيرة.
157	corpus-6-test-corpus-26-train	SFX	صباح الخير. شنحوالك؟
158	corpus-6-test-corpus-26-train	SFX	سامحني لازمني نطلب منك بطاقة التعريف.
169	corpus-6-test-corpus-26-train	SFX	شنوة نوع الصوص؟
170	corpus-6-test-corpus-26-train	SFX	أهو بارد شوية. تنجم تسخنه؟
173	corpus-6-test-corpus-26-test	SFX	سامحني، لبلاصة واخذها شكون.
176	corpus-6-test-corpus-26-train	SFX	باهي، أما تنجم تكلملي صاحبي؟
177	corpus-6-test-corpus-26-test	SFX	يعيشك، هاذا كل شي.
184	corpus-6-test-corpus-26-train	SFX	شكونو صاحبك بالباهي؟
187	corpus-6-test-corpus-26-train	SFX	يوم الصحة والرياضة نهار عشرة أوكتوبر، يوم وطني باش نشجع على حياة صحية.
192	corpus-6-test-corpus-26-train	SFX	تحب نثبت تحت الكبوت؟
206	corpus-6-test-corpus-26-train	SFX	تنجم تعاوني باش نلقى الفليزة؟
221	corpus-6-test-corpus-26-train	SFX	تنجم تاخو كل الأمور من الأول؟
238	corpus-6-test-corpus-26-train	SFX	نتلها بروحي. يعيشك.
261	corpus-6-test-corpus-26-train	SFX	وقت توصل الغادي، اطلب من واحد آخر، يعيشك.
280	corpus-6-test-corpus-26-train	SFX	البلاصة اربعة و عشرين، يعيشك.
285	corpus-6-test-corpus-26-train	SFX	اهم زوز دولار. حط الباقي عندك.
315	corpus-6-test-corpus-26-train	SFX	همبرغر وتشيز برجر، يعيشك.
319	corpus-6-test-corpus-26-train	SFX	قداش تاخو للاجراءات؟
320	corpus-6-test-corpus-26-train	SFX	نحبو نخلصو كل واحد عشانا.
326	corpus-6-test-corpus-26-train	SFX	كانت على كرسي في الكلوار.
333	corpus-6-test-corpus-26-test	SFX	بلاهي بدل اليان بالجنيه.
346	corpus-6-test-corpus-26-train	SFX	نحب على قاموس يتحط في الجيب، يعيشك.
360	corpus-6-test-corpus-26-train	SFX	لزوز من الناس في السبعة متاع العشية، باسم واتانابي.
368	corpus-6-test-corpus-26-train	SFX	منقالتي. ديجتال سايكو.
370	corpus-6-test-corpus-26-train	SFX	فرحانين برشا باش نعتيوك مشروب تختارو إنت، متاع بعد العشاء. تلقى ليستت المشروب المقترحة على الرحلة هذه. في دليل المعلومات متاع المغازة متاعنا.
373	corpus-6-test-corpus-26-test	SFX	تسكن من هوني؟
375	corpus-6-test-corpus-26-train	SFX	وين موجود حانوت الكادوات؟
386	corpus-6-test-corpus-26-test	SFX	انا في الاوتوروت نومرو واحد، بحذا مورو باي.
391	corpus-6-test-corpus-26-train	SFX	نحب فياقة، يعيشك.
