sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	RIY	هناك، بالضبط مقابل مكتب معلومات السياح.
9	corpus-6-test-corpus-26-train	RIY	ما قد سمعت بهذا العنوان هنا.
11	corpus-6-test-corpus-26-train	RIY	امش على طول لين تلقى صيدلية.
26	corpus-6-test-corpus-26-train	RIY	بكم الفطور؟
27	corpus-6-test-corpus-26-train	RIY	كيف اقدر اساعدك؟
30	corpus-6-test-corpus-26-train	RIY	لف يسار عند ثالث زاوية.
50	corpus-6-test-corpus-26-train	RIY	ودك بكريمة و سكر في قهوتك؟
64	corpus-6-test-corpus-26-train	RIY	تقدر تصرف لي شيك المئتين دولار حقتي؟
74	corpus-6-test-corpus-26-train	RIY	اذا كان يجب ان يظهر، الرجاء الاتصال بي.
86	corpus-6-test-corpus-26-train	RIY	وين المقهى؟
87	corpus-6-test-corpus-26-train	RIY	ابغى سترة للأطفال.
91	corpus-6-test-corpus-26-train	RIY	طيب. تكلف خمس و ثمانين سنت للبريد العادي و ثلاث دولارات بالضبط إضافية للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	RIY	بشتري هذا اذا كنت بمكانك.
129	corpus-6-test-corpus-26-train	RIY	هل بواجه أي صعوبة مع الجمارك؟
130	corpus-6-test-corpus-26-train	RIY	عندك احذية رسمية واسعة عند الأصابع؟
140	corpus-6-test-corpus-26-train	RIY	لا. اقدر اقترح عليك غرفة مزدوجة لاستخدام شخص واحد بدال هذا؟ متوفر عندنا.
143	corpus-6-test-corpus-26-train	RIY	ابغى بيرم ضيق، لو سمحت.
145	corpus-6-test-corpus-26-train	RIY	تبغى بيرة.
157	corpus-6-test-corpus-26-train	RIY	صباح الخير. كيف حالك؟
158	corpus-6-test-corpus-26-train	RIY	اسف اني مضطر اشوف أي نوع من أنواع اثبات الهوية.
169	corpus-6-test-corpus-26-train	RIY	أي نوع من الصوص؟
170	corpus-6-test-corpus-26-train	RIY	هذا شوية بارد. تقدر تسخنه؟
173	corpus-6-test-corpus-26-test	RIY	اسف، هذا المكان محجوز مسبقا.
176	corpus-6-test-corpus-26-train	RIY	انا بخير. لكن هل تمانع بالاتصال بصديقي؟
177	corpus-6-test-corpus-26-test	RIY	شكرا، هذا كافي.
184	corpus-6-test-corpus-26-train	RIY	من صديقك المفضل؟
