Sentence_ID,sentence,label,Dialect
1,Tafeh 3ale5er,0,Tunisia
2,Merig bsaraha,0,Tunisia
3,Mala kalb !!!,0,Lebanon
4,Rak Mast hhhhhhhhhh rak Last hhhhh,0,Lebanon
5,ماهيش متربية  و مادام تشجع في لواط هذي موش تونسية و الإسلام متشرفوش وحدة عاهرة,0,Tunisia
6,HHHH chay idha7ek etalfsa walet mahzla vraiment,0,Morocco
7,Maset barcha,0,Morocco
8,Rak masettttttttttt tfouh,0,Iraq
9,بصراحه معادش يعجبني برنامجوا ولا من امسط البرامج,0,Tunisia
10,ملا فصالة,0,Tunisia
11,a3ez 7aja ki hantalha walid ou 3arfha 9derha mela mridha,0,Tunisia
12,راك توجع القلب ولله :'(,0,Algeria
13,ثعلب و ثعلوبة :),0,Libya
14,Massa5,0,Lebanon
15,راك ماصط و راك لصط و غناية حوماني طتاع عليك برشا,0,Tunisia
16,الطحان اللحاس كلب التجمع,0,Tunisia
17,تفوه عليك يا حيوان,0,Tunisia
18,Maset,0,Tunisia
19,Mala ri9 mte3 mhabla w hiya tsi7 .. yeesser vulgaire,0,Syria
20,mamsitha hal mandhir hethi,0,Yemen
21,مسط برشا,0,Tunisia
22,سذاجة,0,Iraq
23,9adech met5alfa chbiha welet haka hedhi,0,Morocco
24,Khayb,0,Lebanon
25,ﻣﺎﺳﻂ..,0,Oman
26,Ti maset :3,0,Algeria
27,الشيب والعيب,0,Yemen
28,maseeeeeeeeeeeet w damou rziiiiiiiiiiiiiiiiiiiiiine pfffff brabi raj3ou nawfel,0,Morocco
29,زبالة حشاكم  !!,0,Qatar
30,Masset,0,Lebanon
31,والله الكلب  حاشاكم  افظل  وأشرف من هالوقح  الرهط المدعو  الجويني,0,Qatar
32,يا حمار آخر مرة قريت الفاتحة وقتاش,0,Algeria
33,Monafe9 w la7ass,0,Lebanon
34,مغرور و ما يعجبنيش تفدليكو و الدنيا ادواق,0,Tunisia
35,مسلسل دعارة وإنحلال أخلاقي,0,Egypt
36,Effffffff masit bliiiiid,0,Egypt
37,ماسط لاسط و قليل تربية,0,Tunisia
38,تعجبني يا تحيفة,0,Tunisia
39,والله عهر و هرج و مرج و ديوث و قلة تربيه و قلة حياء وانصياع و ميوع للثقافة و المجتمع و انحراف,0,Libya
40,من أمسط ما ريت من أمير سلام مسيوو.,0,Tunisia
41,khamej barcha,0,Tunisia
42,قناة الكلام الزائد. موش قناة الحوار التونسي,0,Tunisia
43,tfoouuuuhh 3lik w 3la amthelek mahelkou lebled ken chleyek eli kifek chib wel 3ib,0,Tunisia
44,"مااااااااااااااااااااااسطه""",0,Yemen
45,"moustewe moun7at hiya wghneyetha pffffffffffffffffffffffffff""",0,Syria
46,Mala mas5a 5amja hathi,0,Morocco
47,bkol bassata mast last,0,Lebanon
48,ماسط وقليل تربية.. ومدافع عن النهضة وفترة الترويكة.. تفيييييييييييييييييييييه,0,Tunisia
49,مسكينة تونس,0,Tunisia
50,عيشة  نحسها تتفينس برشا  و ضربتوا    فيروحها برشا و تحسها تزوي برشا كي تبدى تحكي,0,Tunisia
51,بففففففففف ما هذا الكائن الفضائي ???,0,Saudi Arabia
52,ممسط غنايتو,0,Morocco
53,مخيب رسك,0,Oman
54,ماسطة,0,Tunisia
55,Mamsatha,0,Morocco
56,_masset lasset,0,Yemen
57,جهلوت وثقفوت مكانه في السجن فعلا ليتعلم معاني الرجولة واحترام الرجال,0,Saudi Arabia
58,Pfff maja chey lmosalsell,0,Syria
59,توا هده مسلسل في شهر رمضان شهر كريم,0,Libya
60,E7tarem rouhek chwaya rana mosilmiiiiiiiin ya bhima,0,Morocco
61,3amlt l3ar  hhhh :p,0,Tunisia
62,تافه الحق في الجابو متخلف وحسود,0,Tunisia
63,ماسط,0,Tunisia
64,Mastaaaaa,0,Morocco
65,شكيب كلب نهضاوي و كلب غير وفي ناقم ع الامنينين و نداء لكل أمني باش يرد بالو من ها الكلب المكلوب.,0,Iraq
66,mala sél3a zbéla,0,Morocco
67,Ma5yabha,0,Morocco
68,MASTA,0,Lebanon
69,تافه وحتى المخرجين الي اتعامل معاهم يعرفوه هاك علاش ما يعطيوه كان دور قوااد والا عساس والا لحاس,0,Tunisia
70,ساقط وما يحشمش الله يهلكو هو واللي جابو,0,Libya
71,ماااااااااسط حتى بالقارص ميتهضمش,0,Morocco
72,ki bih ki blech,0,Iraq
73,أصل ماعندوش منطق و ما يعرفش يحكي..,0,Tunisia
74,Moch metrobi,0,Morocco
75,Ti mak miboun,0,Tunisia
76,3amltoo el 3ar wlh,0,Morocco
77,تفوووووووووووووووووووووووووه على اشكال هذا النزق,0,Yemen
78,نحسها تافه وعيشه دورها,0,Libya
79,madhroub fi rou7ou barcha,0,Tunisia
80,masta elila,0,Morocco
81,Chbih kalb,0,Lebanon
82,rak mmmmast ya fechel ya semi tardou rahouu fffffechl,0,Tunisia
83,مخيب راسو يهدوو,0,Tunisia
84,bal3out kbir w mounafek ma yedchadech,0,Morocco
85,بربي علاش تجيبو فيه هالبوكيمون خلونا توانسة صافيين,0,Syria
86,Mamessto Hal bacharr,0,Lebanon
87,Yeser remezzzz,0,Lebanon
88,ياكلب ياكاراكوز تفوە عليك وعلي امثالك كان تجي راجل انتي و نوفل راكم عملتو لعار لتونس زايد رخيص ولكلب يقعد كان اكاك تفوەە,0,Tunisia
89,أفففف يا جبالي,0,Morocco
90,hedhi kelba bhima leima 0.0,0,Syria
91,Amset menou maritech,0,Morocco
92,ken mchit mot a7senlek mala 3zouza hhh,0,Tunisia
93,حسيتها متكبرا ملخر !!!!!!,0,Syria
94,Far5,0,Lebanon
95,Marznou,0,Morocco
96,Mabldek w mabled dhyoufek..,0,Lebanon
97,Pffff baktni,0,Syria
98,Jabri,0,Lebanon
99,Mar5sik makich ragel  tfih 3alik,0,Iraq
100,عندنا رجال في الامن اشرف مم ها الكلب,0,Saudi Arabia
101,مسط مقداد,0,Tunisia
102,Masit,0,Sudan
103,Tfih 3alimarik kifik ki 5ouk lemsa5 tawa a3rfit kifécj etbdil bohoum min jrayir hath3alib -_-,0,Tunisia
104,maaaaaaaaaaaaaaaaaaasit wou massakh wou mridh wou bhim wéssir,0,Morocco
105,اكيد باش تقرى الكومنتارات بعد البرنامج ، نقلها راك نكرة و تافهة و دخلت دخلة غالطة طحت قبل ما تقوم,0,Tunisia
106,Mamsatha,0,Morocco
107,Maset lasset w mon7at,0,Morocco
108,Barcha 9elet tarbia n3a Tallah 3lik ya fesed ya masa5 ya tahan yali makch rajel tfouuuuuuuuuuuuuuh alik,0,Tunisia
109,"يا غبي يا غبي""",0,Palestine
110,ماسط,0,Tunisia
111,tefhaaaaaaa,0,Morocco
112,ﺑﺮﺷﺎ ﺧﻤﺞ ﻭ ﻗﻠﺔ ﺣﻴﺎء. ﻭﺍﺣد_x000D_,0,Jordan
113,Ka3eba le,0,Tunisia
114,مضروبة في روحهاا و عاجبتها روحها و تحكي ببرشا إستعلاء,0,Tunisia
115,كبير و ميبون ههه,0,Tunisia
116,الحقارة والنذالة والسفالة لها عنوان واحد توفيق الغربي,0,Yemen
117,ماصط,0,Lebanon
118,Meek taa7aaan,0,Lebanon
119,Mastin wallahi,0,Tunisia
120,3ib  rana  moselmin,0,Tunisia
121,كلب ماسوني كبير ملا هم الشيب و العيب,0,Tunisia
122,Masset lasset,0,Morocco
123,قداش وليت ماسط يا كريم و سخيف أنت و العربي !!,0,Tunisia
124,ما عجبتنیش شخصیتها حتی طررررررف,0,Lebanon
125,تونس تعبان بالشلايك كيفها سامحني شنية هذي المثلية الجنسية في الجزائر كورو بيهم و في تونس عندهم جمعية بفففففففف ينعل بن المخير فيكم,0,Tunisia
126,خزوق على حناكم الكل👣,0,Tunisia
127,هذا عقاب للمتفرجين 👎🏻,0,Iraq
128,"قل أعوذ برب الفلق من شر ما خلق""",0,Modern Standard Arabic
129,"وزير تربية موش متربي""",0,Tunisia
130,Makhyeb dhohktouu,0,Tunisia
131,كركوز كركوز,0,Iraq
132,Pffffff skenti fi elhiwar tounsi,0,Iraq
133,Mamssatha lotf :(,0,Syria
134,ملا عقرب ابي حني,0,Iraq
135,Mal manther pfffff,0,Egypt
136,Manhebhech 😕,0,Oman
137,Taw hadha klam yetgal fi moselsel yet3ada fi ramdhan,0,Saudi Arabia
138,tfih 3alikom,0,Tunisia
139,fdhaya7 fi romdhan mala 7ala tfiiiiih 3likom,0,Tunisia
140,كذاب ومنافق,0,Syria
141,معندوش ثقافة قبول الرأي الأخر,0,Algeria
142,ماعجبتنبش في الدور هذا الحق,0,Tunisia
143,غريبة...تفرج التلحيس لبنات على رهوط ماتسواش كان لحكايات الفارغة....عباد اليوم تموت والاعلام مكبش في تفاهات والشعب اتفه منو....تفووووووه وحشا لميستاهل_x000D_,0,Tunisia
144,يا لطفي انت فين والفكاهة فين,0,Egypt
145,Hatta Hetha echo men remez,0,Tunisia
146,tahane,0,Qatar
147,5alla rou7ou dho7ka yestehel ....,0,Morocco
148,عري روحك و ولي فنانة و ممثلة و نجمة ستاااااار  بروا يعطيكم عاااار فوق عاااار  انشاء الله .   :(,0,Tunisia
149,راك ماسط راك  لاسط,0,Algeria
150,قلة حيا وقلة تربيه ووقاحه وفساد,0,Yemen
151,Botia tetsoumim :p,0,Morocco
152,Maset barrrrrrrcha😁,0,Morocco
153,شريك الاٍرهاب,0,Saudi Arabia
154,Masetttt,0,Sudan
155,chbiha wallet 5ayba,0,Morocco
156,ماسطه لحقيقه,0,Tunisia
157,والله نيكهم يا بهيم ههههههه,0,Iraq
158,maset laset kane chaf 5edmao5ra 5ire,0,Morocco
159,تافه تافه تافه,0,Palestine
160,Tefah,0,Algeria
161,azlam yo93dou toul a3marhom ta77ana,0,Iraq
162,يا سامي الفهري و نوفل الورتاني يعطيكم فضيحة من عند ربي تبقى اجيال تتحاكى بيكم  قلنا سهرية سبت سهرية تفرهيد و فدلكة و ضحك موش عراء و قلة حياء,0,Tunisia
163,Masssssssit mafehimtich 3lech yathe7ko,0,Lebanon
164,Masssittt,0,Lebanon
165,Mela sel3a 3zouza 5arfa tfouuu 3la hal mandher,0,Tunisia
166,Waaaaaaaaak mamestou w akther wehed 9lil torbiya  pffffffffff,0,Lebanon
167,ههههههه ما أتفهك.....!!!!!!!,0,Palestine
168,Brabi la 3ad tjibouh hal ham ywater,0,Lebanon
169,Ya ta7an,0,Yemen
170,يكب سعدو و تفوه عليه كان يجي راجل كيفاش يعمل في بنت الناس هكا في عوض تهز ولادها و تهرب علاء يقلها اكتب الصداق,0,Tunisia
171,متعرفش تحكي...,0,Egypt
172,Chalkou rwe7hom 3ala zouz sourdi.... Eji3an ji3an,0,Tunisia
173,اكبر لحاس وطحان اعوذ بالله من منظرو,0,Tunisia
174,بربي مقداد قداش من مرة تجيبوه افهمونا راهو ماسط و الشعب ما يحبوش,0,Tunisia
175,Lkolkom la7asa,0,Lebanon
176,ملا مستويات منحطة !!!!,0,Tunisia
177,allah le treb7ekkkkkk ma5eybekkkkkkkk,0,Lebanon
178,Hetha baz jeybinou 5atrou ken akbar la7as f 2015,0,Tunisia
179,ما سط,0,Oman
180,Tfouhhhhhh 3likom ye5omej,0,Oman
181,tfih 3la halmanther lemgaleb,0,Lebanon
182,ya mo9ded belahi ma3adech dmed wajhek fi tlf rak maset,0,Egypt
183,mamstouuuuuu w même pas ydha7ik 😖😖😖,0,Tunisia
184,"قناة منافقة وتخدم في الشر""",0,Tunisia
185,Raja3touh el Masset hedha,0,Morocco
186,Maset,0,Tunisia
187,yeser manfou5a walett bozaa,0,Tunisia
188,الفاسق الداعر 😀,0,Saudi Arabia
189,برشا.....تفوه,0,Tunisia
190,برا مخيب وجهك جاية تحكي على المرأة التونسية وانتي أكبر وسمت عار لها برافو لوليد  التونسي كي عطاك درسك,0,Algeria
191,Mal mereg ahaj toulllllll,0,Lebanon
192,هذا الشخص هو مفسد هذا الجيل من الأطفال بإمتياز.. أطفال في الروضة و يغنون مزاطيل!!! هل هذا معقول!!! المفروض يكون رقابة لبعض الأغاني التي لا تليق و لا قيمة لها سوی إفساد الذوق العام..مستوي هابط,0,Yemen
193,leeeeeeeeeeeeeeeee khayb ala hiit :p :p l,0,Syria
194,انسان تافه ماسط لاسط مقرففففففف,0,Tunisia
195,مسلسل فضايح,0,Lebanon
196,التافه يائتي الئ بتفها -_-,0,Iraq
197,mahezla :/ ba9atlou 8ousa fi 9albou #lotfi :v,0,Tunisia
198,أمسط واحد فدنيا,0,Tunisia
199,Makhyeb rasseha 😑,0,Syria
200,Massssssettttttt,0,Iraq
201,قداش رجل مونافق,0,Tunisia
202,حثالة سليم الرياحي,0,Tunisia
203,ena metchamta fiha testahel w el 7agar ymout dhlil ma5yebha wel 3ib mouch fiha fi rajelha eli ba3etha ldlilek mlak,0,Tunisia
204,pffffffffffffffffffffffffffffffffffffffffffffffffffffff,0,Egypt
205,بنديرمان مقعار من قعر الخابية,0,Lebanon
206,برى مخيب هل المنظر وع........ ليك والساحل و محاسن,0,Sudan
207,أمسط من ملايكتو ما راتش عيني ;;; يا ناس راو غلّب عليا ::: تمنيت لو كان جات عندي قدرة نّحيلو الجنسية التونسية و نطيش والديه في زيمبابوي خلّيهم يستغلّوا هاك الراس و يعملوه دربوكة  مأخيب منضروا و م أمسط ملايكتو,0,Tunisia
208,عائشة  ياسر مصطنعة وما تتصرفش على طبيعتها تضحك تقول روبو,0,Tunisia
209,pfffffffff mll fada,0,Syria
210,brjlya a5yb wa7d fi blto,0,Syria
211,سؤال بليد,0,Iraq
212,rak masta,0,Iraq
213,Chbeha walet haka ma5yebha,0,Lebanon
214,سنبل آغا ارجل منك والله ههههههههههههههههههههه مااااااسط و موش متربي و قعر,0,Tunisia
215,Zebla . Zebla. Kaka . Kaka,0,Lebanon
216,mounefi9in gabi gaaabi,0,Tunisia
217,ENA lé me3ejbetnich,0,Morocco
218,اكبري اكبري مالا فضايح كان جيت تعرف راك متحجبة,0,Tunisia
219,"Masta wa kahwa mourra""",0,Morocco
220,Kolhoum mounaf9in,0,Tunisia
221,barcha 9elt torbiya .ili iheb ifased isyemou yetfarej fi hal mouslsel 9elt lahye wetorbiya,0,Iraq
222,ادهنوه بكعبة حلوة ... فماش مايولي حلو... قداشو ماسط,0,Tunisia
223,انسان تافه و مهرج ﻻ عﻻقة له ﻻ بالفن و ﻻ الاخﻻق...متخلف و كغى,0,Saudi Arabia
224,إنسان لا يعرف معنى الحوار و بربي سيب النهضة راك عملت العااار !!!!!!!,0,Tunisia
225,"كتزيد في العلم وتتفلسف وتتعلط .وتتلاعب بابحديات لغة الظاد _x000D_
mala 7ala
كان حكيت على أسباب الفقر و الأرهاب ولقيتول الحل خير",0,Morocco
226,الي  كريم الغربي        كوميديا ماذا ايها الابله شوف نصبة و اخدم علي روحك خير,0,Yemen
227,الكلب الارعن لعنه الله,0,Saudi Arabia
228,لا حول الله لا خير لا فيك و لا في خوك كل انسان اندو حق الرد اما بالطريقة هذي  سامحني فيك قلة تربية,0,Tunisia
229,الله يعتيكم كارثة يا قناة الفساد و العار,0,Algeria
230,لعنت الله عليك احترمنا شويا,0,Tunisia
