sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	JED	شوفه هناك، قدام مكتب المعلومات السياحية بالضبط.
9	corpus-6-test-corpus-26-train	JED	ماقد سمعت بدا العنوان هنا.
11	corpus-6-test-corpus-26-train	JED	امشي سيدا لين ما تلاقي الصيدلية.
26	corpus-6-test-corpus-26-train	JED	بكم الفطور؟
27	corpus-6-test-corpus-26-train	JED	كيف أقدر اساعدك؟
30	corpus-6-test-corpus-26-train	JED	روح يسار عند الزواية الثالثة.
50	corpus-6-test-corpus-26-train	JED	تبا كريم وسكر في قهوتك؟
64	corpus-6-test-corpus-26-train	JED	ممكن تعطيني كاش للشيك دا الميتين دولار؟
74	corpus-6-test-corpus-26-train	JED	اذا لازم يظهر، اتصل عليا لو سمحت.
86	corpus-6-test-corpus-26-train	JED	فين المقهى؟
87	corpus-6-test-corpus-26-train	JED	أبا سترة اطفال.
91	corpus-6-test-corpus-26-train	JED	اوك. يكلف خمسة وتمانين سنت للأيميل العادي وزيادة تلاتة دولار بالضبط للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	JED	لو أنا مكانك حشتريه.
129	corpus-6-test-corpus-26-train	JED	ممكن اواجه صعوبات في الجمارك؟
130	corpus-6-test-corpus-26-train	JED	عندك جزم رسمية واسعة عند الأصابع؟
140	corpus-6-test-corpus-26-train	JED	لا. اقترحلك غرفة بسريرين لاستخدام شخص واحد بدال كدة؟ عندنا وحدة.
143	corpus-6-test-corpus-26-train	JED	أبا شعري مجعد كثير، لو سمحت.
145	corpus-6-test-corpus-26-train	JED	هيا تبا بيرة.
157	corpus-6-test-corpus-26-train	JED	صباح الخير، كيفك؟
158	corpus-6-test-corpus-26-train	JED	معليش لازم اشوف اثبات هوية.
169	corpus-6-test-corpus-26-train	JED	اية نوع من الصوص؟
170	corpus-6-test-corpus-26-train	JED	دا شوية بارد. ممكن تدفيه؟
173	corpus-6-test-corpus-26-test	JED	معليش، دا المكان مأخود اصلا.
176	corpus-6-test-corpus-26-train	JED	انا كويس، بس ممكن تدق على صاحبي؟
177	corpus-6-test-corpus-26-test	JED	شكراً كدا كفأية.
184	corpus-6-test-corpus-26-train	JED	مين أعز أصحابك؟
187	corpus-6-test-corpus-26-train	JED	يوم الرياضة والصحة في عشرة أكتوبر هو أجازة وطنية عشان يثقفو الناس عن الصحة.
192	corpus-6-test-corpus-26-train	JED	تباني اشيك تحت الكبوت؟
206	corpus-6-test-corpus-26-train	JED	يمديك تدور معاية على شنطتي؟
221	corpus-6-test-corpus-26-train	JED	حتسوي الترتيبات قبل؟
238	corpus-6-test-corpus-26-train	JED	فيه واحد قاعد يساعدني، شكراً.
261	corpus-6-test-corpus-26-train	JED	اذا وصلت هناك، باللهي اسأل شخص ثاني.
280	corpus-6-test-corpus-26-train	JED	بالله ابغا امدد اربعة وعشرين.
285	corpus-6-test-corpus-26-train	JED	دول دولارين، و خلي الباقي معاك.
315	corpus-6-test-corpus-26-train	JED	بالله واحد برقر و واحد برقر جبن.
319	corpus-6-test-corpus-26-train	JED	كم تطلب عشان العملية؟
320	corpus-6-test-corpus-26-train	JED	نحن نبغا ندفع حساب اكلنا.
326	corpus-6-test-corpus-26-train	JED	الموقع كان على الكرسي في اللوبي.
333	corpus-6-test-corpus-26-test	JED	بالله غير الين الى جنيهات.
346	corpus-6-test-corpus-26-train	JED	بالله ابغا قاموس قد الجيب.
360	corpus-6-test-corpus-26-train	JED	شخصين ساعة سبعة، بإسم واتانابي.
368	corpus-6-test-corpus-26-train	JED	ساعتي. كانت سأيكو رقمية.
370	corpus-6-test-corpus-26-train	JED	من سعأدتنا انه نخدمك بالمشروبات من اختيارك، معاها عشاء. كل التوجيهات عن المشروبات اللي نقدمها موجودة في المجلة.
373	corpus-6-test-corpus-26-test	JED	انتا عأيش هنا؟
375	corpus-6-test-corpus-26-train	JED	فين محل الهدايا؟
386	corpus-6-test-corpus-26-test	JED	انا في الطريق السريع قريب من خليج مورو.
391	corpus-6-test-corpus-26-train	JED	أبا ساعة منبه، لو سمحت.
398	corpus-6-test-corpus-26-dev	JED	بالمناسبة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	JED	هادا القطار يوقف عند بحيرة فوريست، صح؟
408	corpus-6-test-corpus-26-train	JED	اغلب اليابانين ياكلو الاخطبوط و الحبار.
416	corpus-6-test-corpus-26-train	JED	بالله مداني اخذ تذكرتين في الدرجة الثانية على شيكاغو؟
419	corpus-6-test-corpus-26-train	JED	رحت نيو يورك.
423	corpus-6-test-corpus-26-train	JED	كم رقم الرحلة؟
442	corpus-6-test-corpus-26-test	JED	بالله واحد لنيو يورك.
