sentID.BTEC,sent,sentiment
5,موجود هناك، بالضبط كدام مكتب معلومات السياح.,neutral
9,ما سامع بهذا العنوان هنا ابد.,neutral
11,اطلع كبل لحد ما تشوف صيدلية.,neutral
26,ابيش الريوك؟,neutral
27,شلون اكدر اساعدك؟,neutral
30,اخذ يسرة يم ثالث ركن.,neutral
50,تريد كريمة وشكر بكهوتك؟,neutral
64,تكدر تصرف صك الميتين دولار مالتي؟,neutral
74,اذا لازم يبين، خابرني بلا زحمة.,neutral
86,وين الكهوة؟,neutral
87,اريد سترة جهال.,neutral
91,اوكي. البريد العادي يكلف خمسة وثمانين سنت و بس تلث دولارات إضافية زيادة للتوصيل الخاص.,neutral
120,لو بمكانك جان اشتريت هذا.,positive
129,راح اشوف صعوبة ويه الكمارك؟,neutral
130,عندك احذية رسمية عريضة من منطقة الأصابع؟,neutral
140,لا. انا اقترح غرفة مزدوجة لاستخدام واحد افضل؟ عدنا وحدة.,neutral
143,اريد كيرلي ضيق، بلا زحمة.,neutral
145,هي تريد بيرة.,neutral
157,صباح الخير. شلونك؟,positive
158,اسف راح احتاج اشوف هوية.,neutral
169,شنو نوع الصوص؟,neutral
170,هذا شوي بارد. ما تحميه؟,neutral
173,آسف، هذا المكان محجوز.,neutral
176,انا زين. بس تكدر تخابر صديقي؟,neutral
177,اشكرك، هذا هواي.,positive
184,منو احسن صديق عندك؟,neutral
187,يوم الصحة والرياضة العاشر من تشرين الأول عطلة وطنية حتى تتحسن صحة الناس.,positive
192,تريدني أجيك جوه البنيد مالت السيارة؟,neutral
206,تكدر اتساعدني حتى الكى جنطتي؟,neutral
221,تكدر تسوي ترتيبات مقدماً؟,neutral
238,اكو حد يساعدني. اشكرك.,positive
261,من توصل هناك، اسأل واحد ثاني، بلا زحمة.,neutral
280,اريد ملحق أربعة وعشرين، بلا زحمة.,neutral
285,هاي دولارين. اخذ الباقي.,neutral
315,واحد همبركر و واحد جيزبركر، بلا زحمة.,positive
319,شكد تاخذ للعملية؟,neutral
320,كل واحد منا يريد يدفع لوجباتنا.,neutral
326,الموقع جان على كرسي بالردهة.,neutral
333,بلا زحمة صرف هذا الين لجنيهات.,neutral
346,اريد جيب بكد القاموس، بلا زحمة.,positive
360,لشخصين بالسبعة. الاسم واتانايب.,neutral
368,ساعتي. جانت سيكو ديجتال.,neutral
370,يكون من دواعي سرورنا نقدملك المشروب من اختيارك، بعده العشه. دليل كامل من المشروبات نقدمها على هاي الرحلة موجود بدليل المعلومات من مجلتنا.,positive
373,عايش قريب منا؟,neutral
375,وين محل الهدايا؟,neutral
386,انا عالطريق السريع واحد يم مورو بأي.,neutral
391,اريد ساعة ام الجرس، بلا زحمة.,neutral
398,بالمناسبة، اسمي هيروشي ايجيما.,neutral
401,هذا القطار يوكف بليك فورست، مو؟,neutral
408,اغلب اليابانيين ياكلون الاخطبوط والحبار.,neutral
416,اكدر احصل تكتات ثنين الدرجة الثانية لشيكاغو، بلا زحمة؟,neutral
419,انا رايح لنيو يورك.,neutral
423,شنو رقم الرحلة؟,neutral
442,واحد لنيو يورك، بلا زحمة.,positive
446,لشكم يوم بس.,neutral
447,الثاني لليسار.,neutral
471,هذا الكرت، اوكي؟,neutral
488,هو هذا مكتب الاستقبال؟ اكو هناك عيادة قريبة؟,neutral
493,العشر دولارات كافية للتكسي؟,neutral
503,هذا طعمه ما ادري شلونه.,negative
512,أي. انتظر، راح اجيب واحد الك.,neutral
516,نص بطل، بلا زحمة.,neutral
540,مو بالضبط. بس شي مو غالي.,neutral
548,ادور على شي؟,neutral
551,اربع ليالي.,neutral
553,احتاج جواريب.,neutral
565,تكدر ترخصه بعد لان اكو بكع؟,neutral
571,رجال دعمني. وراها شفت جوزداني اختفى.,negative
599,ما متأكد اذا انا مخلي هدوم كافيه لسفرة تلث أسابيع.,negative
612,زين، احنا انريد نجرب خمر ابيض.,positive
631,اذا واحد سأل عني، كل الهم انا رايح للكهوة.,neutral
632,انا متأكد مخليه بالجيب الداخلي مال كوتي.,neutral
641,اكدر احصل الاسم والرقم للطرف الي راح تخابره؟,neutral
643,راح تدفع لي شركة الطيران حتى اشتري شوي ضروريات شخصية أساسية؟,neutral
650,اريد غرفة بيها حمام.,neutral
652,ماكو شي طلع من المكينة؟,neutral
667,جان المفروض تروح بالرحلة ثمانية اثنين صفر، ألي طارت قبل خمصطعش دقيقة. ميخالف. اكدر ارتبلك رحلة ثانية.,neutral
673,واحد فاتح الطرد مالتي.,neutral
679,اوو، ماكو شي. انت هنا، على كل حال.,neutral
680,الخطوط الجوية اليابانية، رحلة رقم واحد اثنين تلاثة.,neutral
681,احتاج اشتري شامبو.,neutral
683,تكدر تكلي يمتى راح نوصل لسيفيك سنتر؟,neutral
688,وين الكصاب الاقرب؟,neutral
703,احنا نريد نبقى لاربع ليالي من اول آب.,neutral
708,شنو اسم ذيج الزهرة؟,neutral
719,خمصطعش أيلول هو يوم احترام الشياب.,neutral
723,ماكو صابون بغرفتي.,negative
741,ماكو شي اكدر آخذه لهذا الطفح الجلدي؟,neutral
742,تكدر تغير الصياغة لبس شنو كلت توك؟,neutral
761,شكد راح يطول للطلب؟,neutral
773,تكدر تحجي شوي اعلى، بلا زحمة؟,neutral
777,شكد المدة راح يطول قبل لا يطلع؟,neutral
786,وين المعلومات الرياضية؟,neutral
787,هذا القياس هنا، ألي تسمي قياس عادي، راح تسوي.,neutral
793,وين راح تخلص الجولة، ويمتى؟,neutral
848,وين لازم اغير القطارات حتى أوصل لادنبرة؟,neutral
855,اريد اخلي هذا بصندوك تأمين آمن.,neutral
859,وين اكدر اصرف فلوسي؟,neutral
897,نكدر نترك اشياءنا، بس ألي الها قيمة، بالباص؟,neutral
902,انا متعجب على شنو هاي الفلوس الزايدة بالفاتورة.,negative
917,راح ادفع خمسين دولار.,neutral
941,هسه انا اعرف شنو جان الخطأ.,neutral
957,انا إيكيدا يحجي. عندي حجز على طاولة الساعة ستة ونص المغرب. بس متأسف راح أوصل نص ساعة متأخر.,negative
1003,جم اوكية ريحه اكدر احصل بدون كمرك؟,neutral
1007,بس سياحة.,neutral
1010,زين، بلا زحمة وقعهم. شلون تحبه؟,positive
1023,بعدك عندك مقاعد لمسرحية الليلة؟,neutral
1036,اريد واحد جبير.,positive
1037,نمت ويه منبه الستة ونص.,neutral
1038,انا مصور لحسابي الخاص.,neutral
1047,ألي يوزع الورق يكدر يبدل دولاراتك ابقشيش الكازينو. انروح؟,neutral
1056,عدنا تقريباً تلاثين نوع من دهون الحمام.,neutral
1062,راح اطلب ايدج الأسبوع الجاي.,neutral
1074,اشكرك، ابيش هذي الجفوف؟,positive
1098,لازم اروح. اخابرك بعدين.,neutral
1100,اريد حفاضات دسبوزبل.,neutral
1122,وين هذا سمج الفراشة يصير؟,neutral
1124,اتغيرهم لدولارات، بلا زحمة؟,neutral
1139,احنا كلش امبختين. همه عدهم واحد بقياس أربعة بمحل علاء موانا.,positive
1146,اكو ليموزين؟,neutral
1163,ممكن احصل مخابرة تكعدني بالخمسة ونص باجر الصبح؟,neutral
1165,افضل غرفة هادئة.,neutral
1167,اريد مزيل وارنيش الاظافر.,neutral
1183,اريد باتري.,neutral
1193,اكو فرقة لايف لو دي جيه؟,neutral
1194,اكدر أجر عدة الغوص؟,neutral
1199,اريد احجز غرفة لاربع ليالي من اثنين وعشرين كانون الأول.,neutral
1212,هاي الجنطة مثالية لكل الأجواء؟,neutral
1213,اريد دونات، بلا زحمة.,positive
1218,اريد أأجر سيارة اوتاماتيك ليومين.,neutral
1224,فاتتني رحلة عشرين لسان فرانسيسكو.,neutral
1234,ابيش للمطار؟,neutral
1235,زين. يمتى هو؟,positive
1276,شكد عمر بنتك؟,neutral
1312,راح تكلي على فنادق رخيصة ونظيفة؟,neutral
1321,نكدر نحجزلك غرفة مريحة بقلعة قديمة يم نادي الكولف المشهور.,positive
1329,انصح بهذا لان مصنوع مية بالمية من مكونات طبيعية.,positive
1361,القطار يوكف ببرايتون؟,neutral
