sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	ALE	هو هنيك، قدام معلومات السياح بالضبط.
9	corpus-6-test-corpus-26-train	ALE	مالي سمعان من قبل بهالعنوان هون.
11	corpus-6-test-corpus-26-train	ALE	روح ساوي لبين ما تشوف صيدلية.
26	corpus-6-test-corpus-26-train	ALE	بشقد الفطور؟
27	corpus-6-test-corpus-26-train	ALE	شلون بقدر أساعدك؟
30	corpus-6-test-corpus-26-train	ALE	روح عاليسار عند تالت مفرق.
50	corpus-6-test-corpus-26-train	ALE	بتريد كريمة وسكر بقهوتك؟
64	corpus-6-test-corpus-26-train	ALE	خرج تصرفلي شيك الميتين دولار تبعي؟
74	corpus-6-test-corpus-26-train	ALE	إذا لازم يبين، اتصل فيني إذا سمحت.
86	corpus-6-test-corpus-26-train	ALE	وين الكافيه؟
87	corpus-6-test-corpus-26-train	ALE	بدي كنزة اطفال.
91	corpus-6-test-corpus-26-train	ALE	ماشي. بكلف خمسة وتمانين سنت بالبريد العادي وتلات دولارات بالضبط إضافية للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	ALE	كنت بشتري هاد لو كنت محلك.
129	corpus-6-test-corpus-26-train	ALE	رح ألاقي شي صعوبة بالجمارك؟
130	corpus-6-test-corpus-26-train	ALE	عندك حذاء رسمي عريض؟
140	corpus-6-test-corpus-26-train	ALE	لا. ممكن أقترح وحدة مزدوجة للاستعمال المفرد بدالها؟ في عنا وحدة.
143	corpus-6-test-corpus-26-train	ALE	بدي كيرلي قوي، إذا ممكن.
145	corpus-6-test-corpus-26-train	ALE	بدها بيرة.
157	corpus-6-test-corpus-26-train	ALE	صباح الخير. شلونك؟
158	corpus-6-test-corpus-26-train	ALE	للأسف لازم أشوف إثبات هوية.
169	corpus-6-test-corpus-26-train	ALE	إينا نوع من الصوص؟
170	corpus-6-test-corpus-26-train	ALE	هاد بارد شوي. بدك تسخنو؟
173	corpus-6-test-corpus-26-test	ALE	آسف، هاد المحل محجوز.
176	corpus-6-test-corpus-26-train	ALE	ماشي حالي. بس خرج تدق لرفيقي؟
177	corpus-6-test-corpus-26-test	ALE	شكراً، حاج هيك.
184	corpus-6-test-corpus-26-train	ALE	مين صديقك المفضل؟
187	corpus-6-test-corpus-26-train	ALE	يوم الصحة والرياضة بعشرة تشرين الأول هو عطلة وطنية مصممة للتوعية بصحة الناس.
192	corpus-6-test-corpus-26-train	ALE	بتريدني أطلع تحت الطبون؟
206	corpus-6-test-corpus-26-train	ALE	خرج تساعدني ألاقي شنتايتي؟
221	corpus-6-test-corpus-26-train	ALE	بتعمل ترتيبات سلفاً؟
238	corpus-6-test-corpus-26-train	ALE	عم أتساعد. شكراً إلك.
261	corpus-6-test-corpus-26-train	ALE	بس تصير هنيك، سآل غير حدا، إذا ممكن.
280	corpus-6-test-corpus-26-train	ALE	بدي التحويلة أربعة وعشرين، إذا سمحت.
285	corpus-6-test-corpus-26-train	ALE	هي دولارين. عيف الباقي.
315	corpus-6-test-corpus-26-train	ALE	واحد هبمرغر وواحد تشيز برغر، إذا سمحت.
319	corpus-6-test-corpus-26-train	ALE	شقد بتاخد عالعملية؟
320	corpus-6-test-corpus-26-train	ALE	بدنا ندفع كل واحد لحال مشان وجباتنا.
326	corpus-6-test-corpus-26-train	ALE	الموقع كان على كرسي بالصالة.
333	corpus-6-test-corpus-26-test	ALE	إذا سمحت صروف هي الينات لجنيهات.
346	corpus-6-test-corpus-26-train	ALE	بدي قاموس جيب، إذا سمحت.
360	corpus-6-test-corpus-26-train	ALE	لشخصين عالساعة سبعة. الاسم واتانابي.
368	corpus-6-test-corpus-26-train	ALE	ساعتي. كانت سيكو رقمية.
370	corpus-6-test-corpus-26-train	ALE	رح يكون من دواعي سرورنا أنو نقدملك المشروب يلي بتختاروا، وبعدو العشا. في دليل كامل عن المشروبات يلي منقدمها بهالطيارة بدليل المعلومات تبع مجلتنا.
373	corpus-6-test-corpus-26-test	ALE	ساكن بهالمنطقة؟
375	corpus-6-test-corpus-26-train	ALE	وين محل الهدايا؟
386	corpus-6-test-corpus-26-test	ALE	أنا عالأوتوستراد الأول جنب مورو باي.
391	corpus-6-test-corpus-26-train	ALE	بدي ساعة منبه، إذا سمحت.
398	corpus-6-test-corpus-26-dev	ALE	بالمناسبة، اسمي هيروشي إيجيما.
401	corpus-6-test-corpus-26-dev	ALE	هاد القطار بوقف عند ليك فوريست، ما؟
408	corpus-6-test-corpus-26-train	ALE	معظم اليابانيين بياكلوا أخطبوط وحبار.
416	corpus-6-test-corpus-26-train	ALE	ممكن بطاقتين درجة تانية ع شيكاغو، إذا سمحت؟
419	corpus-6-test-corpus-26-train	ALE	رحت ع نيويورك.
423	corpus-6-test-corpus-26-train	ALE	شقد رقم الرحلة؟
442	corpus-6-test-corpus-26-test	ALE	واحد لنيويورك، إذا سمحت.
446	corpus-6-test-corpus-26-train	ALE	حوالي كم يوم.
447	corpus-6-test-corpus-26-train	ALE	التاني عاليسار.
471	corpus-6-test-corpus-26-dev	ALE	هي البطاقة، تمام؟
488	corpus-6-test-corpus-26-train	ALE	هون مكتب الاستقبال؟ في شي عيادة قريبة؟
493	corpus-6-test-corpus-26-train	ALE	بكفوا عشر دولارات بالتكسي؟
503	corpus-6-test-corpus-26-train	ALE	طعمة هاد غريبة.
512	corpus-6-test-corpus-26-train	ALE	إي. استنا، رح أجبلك واحد.
516	corpus-6-test-corpus-26-train	ALE	نص قنينة، إذا سمحت.
540	corpus-6-test-corpus-26-train	ALE	لأ. شغلة بس مو غالية.
548	corpus-6-test-corpus-26-train	ALE	عم تدور على شي؟
551	corpus-6-test-corpus-26-train	ALE	أربع ليالي.
553	corpus-6-test-corpus-26-train	ALE	بدي جرابات.
565	corpus-6-test-corpus-26-train	ALE	خرج تحسبو أقل لأنو في شوية وسخ؟
571	corpus-6-test-corpus-26-train	ALE	في واحد ضرب فيني. بعدين انتبهت أنو جزداني اختفى.
599	corpus-6-test-corpus-26-train	ALE	مالي متأكد إذا أخدت لبس بكفي لرحلة تلات أسابيع.
612	corpus-6-test-corpus-26-train	ALE	أيوا، بدنا نجرب نبيذ أبيض.
631	corpus-6-test-corpus-26-train	ALE	إذا حدا سأل عني، قلون أني بكون بالكافيه.
632	corpus-6-test-corpus-26-train	ALE	متأكد أنو كان معي بالجيب الجواني للمانطو تبعي.
641	corpus-6-test-corpus-26-test	ALE	فيني آخد اسم ورقم الجهة يلي عم تتصل فيها؟
643	corpus-6-test-corpus-26-train	ALE	رح تدفعلي الخطوط الجوية مشان أشتري غراض شخصية ضرورية؟
650	corpus-6-test-corpus-26-train	ALE	بدي غرفة مع حمام.
652	corpus-6-test-corpus-26-dev	ALE	ما طلع شي من الماكينة؟
667	corpus-6-test-corpus-26-test	ALE	كان لازم تطلع بالرحلة تمانة تنين صفر، يلي طارت من خمسطعش دقيقة. طيب. بقدر زبطلك طيارة تانية.
673	corpus-6-test-corpus-26-train	ALE	في حدا فتحلي طردي.
679	corpus-6-test-corpus-26-test	ALE	آه، هاد ولا شي. أنت هون، عكل حال.
680	corpus-6-test-corpus-26-train	ALE	الخطوط الجوية اليابانية، رحلة رقم واحد تنين تلاتة.
681	corpus-6-test-corpus-26-train	ALE	بدي أشتري شامبو.
683	corpus-6-test-corpus-26-train	ALE	معلش تقلي بس نوصل عالمركز المدني؟
688	corpus-6-test-corpus-26-train	ALE	وين أقرب قصاب؟
703	corpus-6-test-corpus-26-train	ALE	بدنا نضل أربع أيام من أول آب.
708	corpus-6-test-corpus-26-train	ALE	اش اسم هديك الوردة؟
719	corpus-6-test-corpus-26-train	ALE	خمسطعش أيلول هو يوم احترام كبار السن.
723	corpus-6-test-corpus-26-train	ALE	مافي صابون بغرفتي.
741	corpus-6-test-corpus-26-dev	ALE	في شي خرج آخدو مشان هالطفح؟
742	corpus-6-test-corpus-26-train	ALE	معلش تغير الصياغة للي قلتو هلئ؟
761	corpus-6-test-corpus-26-test	ALE	شقد رح يطول ليطلب؟
773	corpus-6-test-corpus-26-train	ALE	خرج تعلي صوتك شوي، إذا سمحت؟
777	corpus-6-test-corpus-26-train	ALE	شقد رح يطول قبل ما يطلع؟
786	corpus-6-test-corpus-26-train	ALE	وين المعلومات الرياضية؟
787	corpus-6-test-corpus-26-train	ALE	هاد القياس، يلي بتقول عليه قياس عادي، بيمشي.
793	corpus-6-test-corpus-26-test	ALE	وين رح تنتهي الجولة، وإيمت؟
848	corpus-6-test-corpus-26-train	ALE	وين لازم غير القطار لحتى أوصل ع إدينبيره؟
855	corpus-6-test-corpus-26-train	ALE	بدي أحط هاد بصندوق ودائع.
859	corpus-6-test-corpus-26-train	ALE	وين بقدر أصرف مصراتي؟
897	corpus-6-test-corpus-26-train	ALE	منقدر نترك غراضنا، ما عدا الغالية، بالباص؟
902	corpus-6-test-corpus-26-train	ALE	ما عرفان هاد المبلغ ع فاتورتي مشان إيش.
917	corpus-6-test-corpus-26-train	ALE	بدفع خمسين دولار.
941	corpus-6-test-corpus-26-train	ALE	هلئ عرفت اش المشكلة.
957	corpus-6-test-corpus-26-dev	ALE	آيكيدا معك. عندي حجز طاولة عالستة ونص المسا. بس بعتذر بدي أتأخر نص ساعة.
1003	corpus-6-test-corpus-26-train	ALE	كم أونصة عطر فيني آخد بدون رسوم جمركية؟
1007	corpus-6-test-corpus-26-train	ALE	بس سياحة.
1010	corpus-6-test-corpus-26-train	ALE	تمام، وقع عليهون إذا سمحت. شلون بتريدو؟
1023	corpus-6-test-corpus-26-test	ALE	عندك مقاعد لسا مشان عرض الليلة؟
1036	corpus-6-test-corpus-26-train	ALE	بدي واحد كبير.
1037	corpus-6-test-corpus-26-dev	ALE	نمت لبعد منبه الستة ونص.
1038	corpus-6-test-corpus-26-train	ALE	أنا مصور مستقل.
1047	corpus-6-test-corpus-26-train	ALE	موزعين الورق بيحسنوا يصرفولك دولاراتك فيش كازينو. نروح؟
1056	corpus-6-test-corpus-26-dev	ALE	عنا حوالي تلاتين نوع زيوت حمام.
1062	corpus-6-test-corpus-26-train	ALE	رح يكون عندي اقتراح إلك الأسبوع الجاي.
1074	corpus-6-test-corpus-26-train	ALE	شكراً. شقد سعر هالكفوف؟
1098	corpus-6-test-corpus-26-train	ALE	لازم أروح. بدقلك بعدين.
1100	corpus-6-test-corpus-26-train	ALE	بدي فوط استعمال مرة واحدة.
1122	corpus-6-test-corpus-26-train	ALE	منين أصلون سمكات الفراشة هدول؟
1124	corpus-6-test-corpus-26-train	ALE	بتصرفون لدولارات، إذا سمحت؟
1139	corpus-6-test-corpus-26-train	ALE	حظنا كتير حلو. في عندون واحد قياس أربعة بمحل آلا موانا.
1146	corpus-6-test-corpus-26-train	ALE	في شي ليموزين؟
1163	corpus-6-test-corpus-26-dev	ALE	خرج حدا يدق يفيقني عالخمسة ونص بكرة الصبح؟
1165	corpus-6-test-corpus-26-train	ALE	بفضل غرفة هادية.
1167	corpus-6-test-corpus-26-train	ALE	بدي شوية مزيل مناكير.
1183	corpus-6-test-corpus-26-train	ALE	بدي بطارية.
1193	corpus-6-test-corpus-26-test	ALE	في فرقة موسيقية لايف ولا دي جيه؟
1194	corpus-6-test-corpus-26-train	ALE	خرج أستأجر معدات غطس؟
1199	corpus-6-test-corpus-26-dev	ALE	بدي أحجز غرفة لأربع أيام من تنين وعشرين كانون الأول.
1212	corpus-6-test-corpus-26-train	ALE	مناسبة هالشنتاية لكل حالات الجو؟
1213	corpus-6-test-corpus-26-train	ALE	بدي دونات، إذا ممكن.
1218	corpus-6-test-corpus-26-train	ALE	بدي أستأجر سيارة أوتوماتيك يومين.
1224	corpus-6-test-corpus-26-train	ALE	روحت الرحلة عشرين لسان فرانسيسكو.
1234	corpus-6-test-corpus-26-train	ALE	بشقد عالمطار؟
1235	corpus-6-test-corpus-26-train	ALE	تمام. إيمت هو؟
1276	corpus-6-test-corpus-26-train	ALE	شقد عمر بنتك؟
1312	corpus-6-test-corpus-26-train	ALE	خرج تعطيني فكرة عن فنادق رخيصة ونضيفة؟
1321	corpus-6-test-corpus-26-train	ALE	منقدر نحجزلك غرفة مريحة بقلعة قديمة قريبة عنادي غولف مشهور.
1329	corpus-6-test-corpus-26-train	ALE	أنا بنصح بهاد لأنو مصنوع من مكونات طبيعية مية بالمية.
1361	corpus-6-test-corpus-26-dev	ALE	بوقف القطار ببرايتون؟
1369	corpus-6-test-corpus-26-train	ALE	خرج تقلي وين بقدر ألأقي تكسي؟
1375	corpus-6-test-corpus-26-train	ALE	بطاقتين درجة تانية، إذا سمحت.
1384	corpus-6-test-corpus-26-train	ALE	بدي أبعت فاكس.
1394	corpus-6-test-corpus-26-train	ALE	بدي مكواية سفرية.
1396	corpus-6-test-corpus-26-train	ALE	بقدر أعرض عليك شي؟
1404	corpus-6-test-corpus-26-train	ALE	يومي؟ خوفان أسأل، بس اش قصدك؟
1418	corpus-6-test-corpus-26-train	ALE	بدي واحد بيسع مستندات قياس ورق رسائل عادي بدون ما أضطر أطويون.
1433	corpus-6-test-corpus-26-test	ALE	اي، بس مو كتير قوي.
1434	corpus-6-test-corpus-26-train	ALE	بتحسس من القطط.
1436	corpus-6-test-corpus-26-train	ALE	اي، لازم يكون عندك شهادة سواقة و، اه، لازم يكون عندك شهادة من لجنة التكسي والليموزين.
1462	corpus-6-test-corpus-26-train	ALE	تفضل، أستاذ.
1465	corpus-6-test-corpus-26-test	ALE	ما عم بطلعلي مي سخنة.
1474	corpus-6-test-corpus-26-train	ALE	بدي أحجز عرفة هالليلة.
1492	corpus-6-test-corpus-26-train	ALE	لا، عدا الضريبة وكلفة الخدمة.
1506	corpus-6-test-corpus-26-train	ALE	بتحب تروح تتسوق معي المسا؟
1508	corpus-6-test-corpus-26-test	ALE	مرحبا، فستانك حلو كتير.
1519	corpus-6-test-corpus-26-train	ALE	هلئ، مكالمتك اتقبلت. تفضل إذا سمحت.
1525	corpus-6-test-corpus-26-train	ALE	شقد رقم البوابة؟
1539	corpus-6-test-corpus-26-train	ALE	اش هية الهدية التذكارية المعتادة من هاواي؟
1556	corpus-6-test-corpus-26-train	ALE	بقدر أروح لهنيك بقطار الأنفاق؟
1560	corpus-6-test-corpus-26-train	ALE	بدي سيشوار.
1562	corpus-6-test-corpus-26-train	ALE	رح نوصل لنتيجة إذا ضلينا عم نحكي هيك؟
1585	corpus-6-test-corpus-26-train	ALE	أنا من النرويج.
1603	corpus-6-test-corpus-26-dev	ALE	من العشرة للطنعش إذا سمحت.
1619	corpus-6-test-corpus-26-train	ALE	أكيد. خليني شوفو. أذاك مرجان، هيك بتوقع.
1620	corpus-6-test-corpus-26-train	ALE	من باب الاحتياط، خليني آخذ رقم الزلمة المسؤول.
1622	corpus-6-test-corpus-26-train	ALE	هاد أوتوستراد؟
1630	corpus-6-test-corpus-26-train	ALE	ليش ما أجا عالحفلة امبارحة؟
1637	corpus-6-test-corpus-26-train	ALE	كان في حادث سير.
1650	corpus-6-test-corpus-26-train	ALE	عفواً، دقيت رقم غلط.
1653	corpus-6-test-corpus-26-test	ALE	حط رقمك السري إذا سمحت.
1663	corpus-6-test-corpus-26-dev	ALE	ما بقدر أعدل الصورة.
1668	corpus-6-test-corpus-26-train	ALE	واحد تشيز برغر وعصير برتقان، إذا سمحت.
1670	corpus-6-test-corpus-26-test	ALE	هي جوازي السفر.
1682	corpus-6-test-corpus-26-test	ALE	ليش، شكراً كتير إلك. آه، فيني أطلع لفوق الشي؟
1702	corpus-6-test-corpus-26-train	ALE	ممكن بطاقتين للمسرحية الموسيقية يوم الجمعة الجاي؟
1718	corpus-6-test-corpus-26-train	ALE	في مسافر تاني هنيك قال بيقدر يبدل محلات معك.
1754	corpus-6-test-corpus-26-train	ALE	فيني أمدد إقامتي؟
1766	corpus-6-test-corpus-26-train	ALE	قول، بتعرف شي بيستاهل ينشاف هون؟
1768	corpus-6-test-corpus-26-dev	ALE	لا، بدي أستأجر نص مجموعة مضارب وحذاء.
1782	corpus-6-test-corpus-26-train	ALE	خرج تعطيني خبر بس تلتقى الشنتاية الضايعة؟
1788	corpus-6-test-corpus-26-train	ALE	اش اسم هالحديقة الوطنية؟
1791	corpus-6-test-corpus-26-train	ALE	انقحطت.
1792	corpus-6-test-corpus-26-dev	ALE	وين في محل منيح للسياحة؟
1800	corpus-6-test-corpus-26-train	ALE	ممكن آخد شوية فواكه؟
1834	corpus-6-test-corpus-26-train	ALE	خرج أجيب غدا هلئ؟
1837	corpus-6-test-corpus-26-train	ALE	بدي أصرف هدول الدولارات.
1867	corpus-6-test-corpus-26-train	ALE	بدي تكسي. أنا بساوث ماين وليبرتي.
