,Sentence_id,sentence,Tokens,POS_Tags,Dialect
0,1,صفحة يما بديش أتجوز,"['صفحة', 'يما', 'بديش', 'أتجوز']","['اسم', 'اسم', 'فعل+مضارع', 'فعل+مضارع']",Syria
1,2,ما هو حال النت عندكن ? ? ? ?,"['ما', 'هو', 'حال', 'النت', 'عندكن', '?', '?', '?', '?']","['أداة+استفهام', 'ضمير', 'اسم', 'اسم+علم', 'ظرف', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم']",Syria
2,3,للازكياء فقط ما هو الجواب ? ? ? ?,"['للازكياء', 'فقط', 'ما', 'هو', 'الجواب', '?', '?', '?', '?']","['صفة', 'ظرف', 'أداة+استفهام', 'ضمير', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم']",Saudi Arabia
3,4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,"['اي', 'اكتر', 'شي', 'بتستخدموا', 'لتروحوا', 'على', 'المدرسة']","['أداة+استفهام', 'صفة+مقارنة', 'اسم', 'فعل+مضارع', 'فعل+مضارع', 'حرف+جر', 'اسم']",Jordan
4,5,او الجامعة ? ? ? ? ?,"['او', 'الجامعة', '?', '?', '?', '?', '?']","['عطف', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم']",Qatar
5,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,"['شو', 'اسم', 'هاد', 'السلاح', 'عندكن', '?', '?', '?', '?', '?', '?']","['أداة+استفهام', 'اسم', 'ضمير+اشارة', 'اسم', 'ظرف', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم', 'علامة+ترقيم']",Syria
6,7,في اربع رجال فتحوا سوبر ماركت وحطوا كل دور فيه كاشير دخل زبون بدو جاج رد عليه الرجل قال : حي ولا ميت قال الزبون ميت فقله الرجل روح الدور الثاني راح الدور التاني قال : بدي دجاج ميت فقال الرجل مبرد ولا مثلج رد الزبون مبرد فقال الرجل له روح الدور الثالث فراح الدور الثالث قال بدي دجاج ميت و مبرد فقال الرجل بكياس ولا بدون كياس قال : لزبون بكيا قلوا روح الدور الرابع راح على الدور الرابع وقال : بدي جاج ميت مبرد بكياس فقاله الرجل اصلا ما عندنا دجاج قلوا بس شلون النظام,"['في', 'اربع', 'رجال', 'فتحوا', 'سوبر', 'ماركت', 'وحطوا', 'كل', 'دور', 'فيه', 'كاشير', 'دخل', 'زبون', 'بدو', 'جاج', 'رد', 'عليه', 'الرجل', 'قال', ':', 'حي', 'ولا', 'ميت', 'قال', 'الزبون', 'ميت', 'فقله', 'الرجل', 'روح', 'الدور', 'الثاني', 'راح', 'الدور', 'التاني', 'قال', ':', 'بدي', 'دجاج', 'ميت', 'فقال', 'الرجل', 'مبرد', 'ولا', 'مثلج', 'رد', 'الزبون', 'مبرد', 'فقال', 'الرجل', 'له', 'روح', 'الدور', 'الثالث', 'فراح', 'الدور', 'الثالث', 'قال', 'بدي', 'دجاج', 'ميت', 'و', 'مبرد', 'فقال', 'الرجل', 'بكياس', 'ولا', 'بدون', 'كياس', 'قال', ':', 'لزبون', 'بكيا', 'قلوا', 'روح', 'الدور', 'الرابع', 'راح', 'على', 'الدور', 'الرابع', 'وقال', ':', 'بدي', 'جاج', 'ميت', 'مبرد', 'بكياس', 'فقاله', 'الرجل', 'اصلا', 'ما', 'عندنا', 'دجاج', 'قلوا', 'بس', 'شلون', 'النظام']","['حرف+جر', 'اسم+عدد', 'اسم', 'فعل+ماضي', 'صفة', 'اسم', 'فعل+ماضي', 'اسم+كم', 'اسم', 'حرف+جر', 'اسم', 'فعل+ماضي', 'اسم', 'فعل+مضارع', 'اسم', 'فعل+ماضي', 'حرف+جر', 'اسم', 'فعل+ماضي', 'علامة+ترقيم', 'صفة', 'عطف', 'صفة', 'فعل+ماضي', 'اسم', 'صفة', 'فعل+ماضي', 'اسم', 'فعل+أمر', 'اسم', 'صفة+عدد', 'فعل+ماضي', 'اسم', 'صفة+عدد', 'فعل+ماضي', 'علامة+ترقيم', 'فعل+مضارع', 'اسم', 'صفة', 'فعل+ماضي', 'اسم', 'صفة', 'عطف', 'صفة', 'فعل+ماضي', 'اسم', 'صفة', 'فعل+ماضي', 'اسم', 'حرف+جر', 'فعل+أمر', 'اسم', 'صفة+عدد', 'فعل+ماضي', 'اسم', 'صفة+عدد', 'فعل+ماضي', 'فعل+مضارع', 'اسم', 'صفة', 'عطف', 'صفة', 'فعل+ماضي', 'اسم', 'اسم', 'عطف', 'ظرف', 'اسم', 'فعل+ماضي', 'علامة+ترقيم', 'اسم', 'اسم', 'فعل+ماضي', 'فعل+أمر', 'اسم', 'صفة+عدد', 'فعل+ماضي', 'حرف+جر', 'اسم', 'صفة+عدد', 'فعل+ماضي', 'علامة+ترقيم', 'فعل+مضارع', 'اسم', 'صفة', 'صفة', 'اسم', 'فعل+ماضي', 'اسم', 'اسم', 'أداة+نفي', 'ظرف', 'اسم', 'فعل+ماضي', 'عطف', 'أداة+استفهام', 'اسم']",Syria
7,8,هههههههههههههه,['هههههههههههههه'],['اسم+فعل/جامد'],Yemen
8,9,غبي صدمته سيارة وحصل ع تعويض 50 الف . راح قدام القطار . . وهو بيضحك قال اخبط يابو الملايين اخبط,"['غبي', 'صدمته', 'سيارة', 'وحصل', 'ع', 'تعويض', '50', 'الف', '.', 'راح', 'قدام', 'القطار', '.', '.', 'وهو', 'بيضحك', 'قال', 'اخبط', 'يابو', 'الملايين', 'اخبط']","['صفة', 'فعل+ماضي', 'اسم', 'فعل+ماضي', 'حرف+جر', 'اسم', 'عدد', 'اسم+عدد', 'علامة+ترقيم', 'فعل+ماضي', 'ظرف', 'اسم', 'علامة+ترقيم', 'علامة+ترقيم', 'ضمير', 'فعل+مضارع', 'فعل+ماضي', 'فعل+أمر', 'اسم', 'اسم+عدد', 'فعل+أمر']",Iraq
9,10,الاستاز بيحكي لطلاب : الحاسس حالوا غبي يواف فواف ولد,"['الاستاز', 'بيحكي', 'لطلاب', ':', 'الحاسس', 'حالوا', 'غبي', 'يواف', 'فواف', 'ولد']","['اسم', 'فعل+مضارع', 'اسم', 'علامة+ترقيم', 'صفة', 'اسم', 'صفة', 'فعل+مضارع', 'فعل+ماضي', 'اسم']",Lebanon
