Sentence_ID,sentence,Tokens,NER_Tags,Dialect
1,بين الوعي والّلاوعي عم شوف حلم وانا عا مخدتي مقلّق حسيت اني راكض وملهوف ومن حول منك صار قلبي يطوف وعا غصون عمرك صار يتسلق وصاروا عيونك كل ساعه لون اسود عا اخضر متل كل الكون احيان شوف البدر قاعد هون وأحيان بين عيونك معلق عا غصون عمرك راح يتسلق .,"['بين', 'الوعي', 'والّلاوعي', 'عم', 'شوف', 'حلم', 'وانا', 'عا', 'مخدتي', 'مقلّق', 'حسيت', 'اني', 'راكض', 'وملهوف', 'ومن', 'حول', 'منك', 'صار', 'قلبي', 'يطوف', 'وعا', 'غصون', 'عمرك', 'صار', 'يتسلق', 'وصاروا', 'عيونك', 'كل', 'ساعه', 'لون', 'اسود', 'عا', 'اخضر', 'متل', 'كل', 'الكون', 'احيان', 'شوف', 'البدر', 'قاعد', 'هون', 'وأحيان', 'بين', 'عيونك', 'معلق', 'عا', 'غصون', 'عمرك', 'راح', 'يتسلق', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
2,لا تفزعي صوب النهر روحي هونيك قلبي ونزفة جروحي رح ضل شوفك وين ما كنتي وكلما ما التفتت بتطلعي انتي يمكن لأني ملبّسك روحي .,"['لا', 'تفزعي', 'صوب', 'النهر', 'روحي', 'هونيك', 'قلبي', 'ونزفة', 'جروحي', 'رح', 'ضل', 'شوفك', 'وين', 'ما', 'كنتي', 'وكلما', 'ما', 'التفتت', 'بتطلعي', 'انتي', 'يمكن', 'لأني', 'ملبّسك', 'روحي', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
3,عنقود الكرم تحلا بكرمه خالقها الله وشو حلوه لما الدبور بين حبوبو يتسلا .,"['عنقود', 'الكرم', 'تحلا', 'بكرمه', 'خالقها', 'الله', 'وشو', 'حلوه', 'لما', 'الدبور', 'بين', 'حبوبو', 'يتسلا', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Yemen
4,لو حطو الدنيا حدي وكل الورد علا خدي ما بدي الدنيا ولا الورد غير عيونك ما بدي .,"['لو', 'حطو', 'الدنيا', 'حدي', 'وكل', 'الورد', 'علا', 'خدي', 'ما', 'بدي', 'الدنيا', 'ولا', 'الورد', 'غير', 'عيونك', 'ما', 'بدي', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
5,غافلت روحي ورحت شم الورد المزروع بين النهر وعيونك حسيت حالي مدنّق من البرد ما دفيت إلا بخيمة جفونك .,"['غافلت', 'روحي', 'ورحت', 'شم', 'الورد', 'المزروع', 'بين', 'النهر', 'وعيونك', 'حسيت', 'حالي', 'مدنّق', 'من', 'البرد', 'ما', 'دفيت', 'إلا', 'بخيمة', 'جفونك', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
6,ايدك كأنها زنبقه عالخد وشلوشها بالقلب مزروعه عا غصونها كلما الندي يشتد مع كل دمعه مهجتي بتوعى .,"['ايدك', 'كأنها', 'زنبقه', 'عالخد', 'وشلوشها', 'بالقلب', 'مزروعه', 'عا', 'غصونها', 'كلما', 'الندي', 'يشتد', 'مع', 'كل', 'دمعه', 'مهجتي', 'بتوعى', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
7,انتي حياتي وشو بيمنعني فيكي حنين الحب يجمعني تا شوف عينيكي ولو مشوار وتا اكتبك عالصدر ليل نهار وبحروف اسمك كلّف الحفار حتى ما قلبي يعود يوجعني .,"['انتي', 'حياتي', 'وشو', 'بيمنعني', 'فيكي', 'حنين', 'الحب', 'يجمعني', 'تا', 'شوف', 'عينيكي', 'ولو', 'مشوار', 'وتا', 'اكتبك', 'عالصدر', 'ليل', 'نهار', 'وبحروف', 'اسمك', 'كلّف', 'الحفار', 'حتى', 'ما', 'قلبي', 'يعود', 'يوجعني', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
8,بدي اذا شفتي عيوني تكون صابيع ديكي لاقطه كمك تا حس وهج عيونك المخزون ينزل من عيونك على تمك تعمشق نظر عيني عليكي وصار يراقب عيونك كل سهريه حسيت نظراتك زهر نوار عم يمرقو عالتلج متل النار ويذوّبو شهد العمر فيّي .,"['بدي', 'اذا', 'شفتي', 'عيوني', 'تكون', 'صابيع', 'ديكي', 'لاقطه', 'كمك', 'تا', 'حس', 'وهج', 'عيونك', 'المخزون', 'ينزل', 'من', 'عيونك', 'على', 'تمك', 'تعمشق', 'نظر', 'عيني', 'عليكي', 'وصار', 'يراقب', 'عيونك', 'كل', 'سهريه', 'حسيت', 'نظراتك', 'زهر', 'نوار', 'عم', 'يمرقو', 'عالتلج', 'متل', 'النار', 'ويذوّبو', 'شهد', 'العمر', 'فيّي', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
9,تطلعت بعيونك لقيت الكون كلو كأنو متل مرجوحه وعا خدود عمرك الف لون ولون وتمّك صدى نايات مبحوحه .,"['تطلعت', 'بعيونك', 'لقيت', 'الكون', 'كلو', 'كأنو', 'متل', 'مرجوحه', 'وعا', 'خدود', 'عمرك', 'الف', 'لون', 'ولون', 'وتمّك', 'صدى', 'نايات', 'مبحوحه', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
10,مرّه رحت تاشوف وجهك وين ومنين هالعطر الزكي بيفوح لقيت الزهر مرتاح بين وبين التمّ الحنون ونظرة العينين وبالبيت تاركني عا آخر روح .,"['مرّه', 'رحت', 'تاشوف', 'وجهك', 'وين', 'ومنين', 'هالعطر', 'الزكي', 'بيفوح', 'لقيت', 'الزهر', 'مرتاح', 'بين', 'وبين', 'التمّ', 'الحنون', 'ونظرة', 'العينين', 'وبالبيت', 'تاركني', 'عا', 'آخر', 'روح', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
