sentID.BTEC	split	lang	sent
0	corpus-6-train	BEI	هوي بأخر الصالة . رح جبلك شوي هلأ. إذا بدك شي تاني، بس عطيني خبر.
2	corpus-6-train	BEI	بتعمل تعديلات؟
4	corpus-6-train	BEI	بدنا طاولة حد الشباك .
5	corpus-6-test-corpus-26-train	BEI	صار هونيك، بالظبط قدام مكتب استعلامات السياح.
9	corpus-6-test-corpus-26-train	BEI	بعمري ما سمعت بهالعنوان هون .
11	corpus-6-test-corpus-26-train	BEI	روح دغري لحتى تشوف صيدلية.
12	corpus-6-train	BEI	شو هوي أجد لون لهالموسم؟
14	corpus-6-train	BEI	بحالتي، عادة بيكون شغل، وقليل ليكون كرمال الترفيه.
15	corpus-6-train	BEI	رح إبقى يومين.
16	corpus-6-train	BEI	بدي كيرلي ضيق.
17	corpus-6-train	BEI	حابب إحجز أوضتين بتختين.
18	corpus-6-train	BEI	ما بدي ياه منزوع.
19	corpus-6-train	BEI	هيدا الباص بيوقف بشارع ستونر؟
24	corpus-6-train	BEI	عمول معروف فتاح تمك عالواسع.
26	corpus-6-test-corpus-26-train	BEI	أدي حق الترويقة؟
27	corpus-6-test-corpus-26-train	BEI	كيف فيني ساعدك؟
29	corpus-6-train	BEI	تعوا ناكل لقمة.
30	corpus-6-test-corpus-26-train	BEI	روح شمال عالزاوية التالتة.
31	corpus-6-train	BEI	بتنضف هالتياب؟
37	corpus-6-dev	BEI	أنا بعطيك رقم تلفونو و عنوانو.
38	corpus-6-train	BEI	أنا دفعت وجبات الأكل و مصاريف الأوتيل من قبل.
40	corpus-6-train	BEI	عمفتش على مطعم رايق و حلو للشوي . بتحط عليهن إشارة عهالخريطة؟
42	corpus-6-train	BEI	إذا كسرته، تشتريه.
46	corpus-6-train	BEI	رح قلا تدقلك شي إنو ترجع.
50	corpus-6-test-corpus-26-train	BEI	عبالك كريمة و سكر بقهوتك؟
51	corpus-6-train	BEI	هيي عنجد منصابة.
52	corpus-6-train	BEI	بدي قداحة.
53	corpus-6-train	BEI	هالأوتيل عندو تجهيزات لمؤتمر؟
56	corpus-6-train	BEI	معليش إذا أخدنا وجبة خفيفة؟
57	corpus-6-train	BEI	عمبتصل من المطار . رح كون هونيك حوالي الأربعة.
62	corpus-6-train	BEI	وين بنقل على شيكاغو؟
63	corpus-6-train	BEI	أدي حق رسالة مسجلة لتنبعت على فرنسا؟
64	corpus-6-test-corpus-26-train	BEI	فيك تصرفلي الشيك تبعي تبع المتين دولار؟
68	corpus-6-train	BEI	عنجد كتيرمختلفة السواقة عالميلة اليمين من الشارع.
69	corpus-6-train	BEI	الممثل عنجد بيعقد.
72	corpus-6-train	BEI	وين القسم تبعك اللي مش خيالي؟
74	corpus-6-test-corpus-26-train	BEI	إذا لازم يبين، عمل معروف دقلي.
78	corpus-6-dev	BEI	فيك تغيرلي مقعدي؟
79	corpus-6-train	BEI	في كقالة؟
83	corpus-6-train	BEI	بعتذر، رح إهتم بالكلب.
84	corpus-6-train	BEI	"بدي بطاقتين لل ""بسينات""، لهالخميس."
86	corpus-6-test-corpus-26-train	BEI	وين القهوة؟
87	corpus-6-test-corpus-26-train	BEI	بدي كنزة للولاد.
89	corpus-6-dev	BEI	إسمك مرة تاني؟
90	corpus-6-train	BEI	إستاذ براون هون؟
91	corpus-6-test-corpus-26-train	BEI	أوك، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.
92	corpus-6-train	BEI	فيني إستأجر يخت ليوم واحد؟
93	corpus-6-train	BEI	عأي شباك فيني إحجز؟
94	corpus-6-train	BEI	شو هيدا؟
96	corpus-6-train	BEI	فيك تقلي كيف بوصل عالأوبيرا؟
97	corpus-6-train	BEI	ما كنت مبارح سكران شوي، حبيبي؟
98	corpus-6-train	BEI	اذا بتريد لحاق التعليمات من فريقنا .
100	corpus-6-dev	BEI	في محل شامل قريب من هون؟
102	corpus-6-train	BEI	فولا، إذا بتريد.
103	corpus-6-train	BEI	في أوضة أرخص؟
104	corpus-6-train	BEI	بفضل سيارة أوتوماتيك.
105	corpus-6-train	BEI	رح إبقى بالفوا ييه تبع جامعة هارفرد.
106	corpus-6-train	BEI	شو هوي المعدل تبع اليوم؟
108	corpus-6-train	BEI	عندي ربو مزمن.
109	corpus-6-train	BEI	معي حوالي تلات تلاف دولار.
111	corpus-6-train	BEI	ماشي، إستاذ. بيجي معو بطاطا مقلية أو رز بالبيلاف. أياهن بتحب؟
112	corpus-6-train	BEI	كيف بوصل لهالمطرح؟
113	corpus-6-train	BEI	شو نوع القصة؟
115	corpus-6-train	BEI	تلات مرات.
116	corpus-6-train	BEI	أي شباك ببيع طوابع؟
117	corpus-6-train	BEI	من بعد ما هاجمني، ساق لبعيد بفان أبيض.
119	corpus-6-train	BEI	تمام. عمول معروف خلي هالعلامة و قدما بس بدك تجي تاخدا.
120	corpus-6-test-corpus-26-test	BEI	كنت بشتري هيدا إذا أنا كنت محلك.
122	corpus-6-train	BEI	متين دولار . نقدي أو بالبطاقة؟
125	corpus-6-train	BEI	أدي طول الحمولة فوق هيدي البركة؟
128	corpus-6-train	BEI	لازم إتجنب أي نوع من الأكل أنا و عمباخد هالدوا؟
129	corpus-6-test-corpus-26-train	BEI	رح يكون في شي صعوبات مع الجمارك؟
130	corpus-6-test-corpus-26-train	BEI	عندك صبابط رسمي تبع الأصابيع العراض؟
131	corpus-6-train	BEI	فيي أخد شوية نبيد أحمر؟
