sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	SAL	هيو هناك، بالزبط قدام مكتب معلومات السياح .
9	corpus-6-test-corpus-26-train	SAL	ما عمري سمعت عن هالعنوان هون.
11	corpus-6-test-corpus-26-train	SAL	روح دغري حتى تشوف الصيدلية.
26	corpus-6-test-corpus-26-train	SAL	قديش حق هالفطور؟
27	corpus-6-test-corpus-26-train	SAL	كيف بقدر اساعدك؟
30	corpus-6-test-corpus-26-train	SAL	روح شمال عند الزاوية الثالثة.
50	corpus-6-test-corpus-26-train	SAL	بتحب كريما و سكر بقهوتك؟
64	corpus-6-test-corpus-26-train	SAL	بتقدر تصرف هاد الشيك تبعي بميتين دولار؟
74	corpus-6-test-corpus-26-train	SAL	اذا لازم يظهر، لو سمحت احكي معي.
86	corpus-6-test-corpus-26-train	SAL	وين الكوفي شوب؟
87	corpus-6-test-corpus-26-train	SAL	بدي بلوفر للأطفال .
91	corpus-6-test-corpus-26-train	SAL	ماشي، رح يكلف خمس و ثمانين سينت للبريد العادي، و ثلاثة دولار بالزبط اضافية للتوصيل الخاص.
120	corpus-6-test-corpus-26-test	SAL	لو انا مكانك كنت اشتريته.
129	corpus-6-test-corpus-26-train	SAL	رح يكون عندي مشاكل مع الجمارك؟
130	corpus-6-test-corpus-26-train	SAL	عندك احذية رسمية واسعة عند الاصابع؟
140	corpus-6-test-corpus-26-train	SAL	لا . بقدر اقترح بدالها استخدام غرفة مزدوجة لاستعمال فرد؟ عنا واحدة.
143	corpus-6-test-corpus-26-train	SAL	بدي كيرلي قوي، لو سمحت.
145	corpus-6-test-corpus-26-train	SAL	بدي بيرم رفيع، لو سمحت .
157	corpus-6-test-corpus-26-train	SAL	بدها بيرة؟
158	corpus-6-test-corpus-26-train	SAL	اسف اني بحاجة أشوف اثبات هوية .
169	corpus-6-test-corpus-26-train	SAL	اي نوع من الصوص؟
170	corpus-6-test-corpus-26-train	SAL	هاد بارد شوي. ممكن تسخنو؟
173	corpus-6-test-corpus-26-test	SAL	اسف، هاذ المكان محجوز أصلاً .
176	corpus-6-test-corpus-26-train	SAL	انا تمام، بس ممكن تحكي مع صاحبي؟
177	corpus-6-test-corpus-26-test	SAL	شكرا، بكفي .
184	corpus-6-test-corpus-26-train	SAL	مين أحسن صاحب الك؟
187	corpus-6-test-corpus-26-train	SAL	يوم الصحة والرياضة ب عشرة عشرة هوه عطلة رسمية بهدف تعزيز صحة الشعب .
192	corpus-6-test-corpus-26-train	SAL	بدك إياني أفحص تحت غطا المحرك؟
206	corpus-6-test-corpus-26-train	SAL	بتقدر تساعدني الاقي شنتتي؟
221	corpus-6-test-corpus-26-train	SAL	بتقدر تعمل الترتيبات مسبقا؟
238	corpus-6-test-corpus-26-train	SAL	فيه حدا عم يساعدني. شكرا الك .
261	corpus-6-test-corpus-26-train	SAL	بس توصل هناك، اسأل حدا ثاني لو سمحت.
280	corpus-6-test-corpus-26-train	SAL	بدي أمدد اربعة و عشرين لو سمحت .
285	corpus-6-test-corpus-26-train	SAL	هي ثنين دولار، و خليلك الباقي .
315	corpus-6-test-corpus-26-train	SAL	واحد هامبرغر و واحد برغر مع جبنة لو سمحت .
319	corpus-6-test-corpus-26-train	SAL	قديش تاخد في العملية؟
320	corpus-6-test-corpus-26-train	SAL	احنا حابين ندفع حق وجباتنا .
326	corpus-6-test-corpus-26-train	SAL	المكان كان على الكرسي باللوبي.
333	corpus-6-test-corpus-26-test	SAL	لو سمحت حول هاد الين ل جنيهات.
346	corpus-6-test-corpus-26-train	SAL	بدي قاموس جيب، لو سمحت.
360	corpus-6-test-corpus-26-train	SAL	لشخصين على الساعة سبعة. الاسم هوه واتناب .
368	corpus-6-test-corpus-26-train	SAL	ساعتي . كانت سيكو رقمية .
370	corpus-6-test-corpus-26-train	SAL	رح يسعدنا انو نخدمكو و نضيفكو عصير من اختياركو، و بعده عشا. دليل كامل من المشروبات اللي بنقدمها على هاي الرحلة رح يكون موجود بدليل المعلومات في مجلتنا.
373	corpus-6-test-corpus-26-test	SAL	انت ساكن قريب من هون؟
375	corpus-6-test-corpus-26-train	SAL	وين محل الهدايا؟
386	corpus-6-test-corpus-26-test	SAL	انا على الطريق السريع قريب من خليج مورو .
391	corpus-6-test-corpus-26-train	SAL	بدي ساعة منبه لو سمحت .
398	corpus-6-test-corpus-26-dev	SAL	على فكرة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	SAL	القطار وقف عند بحيرة فورست، صح؟
408	corpus-6-test-corpus-26-train	SAL	معظم اليابانيين بيوكلو اخطبوط و الحبار .
416	corpus-6-test-corpus-26-train	SAL	بقدر اخذ تذكرتين الدرجة الثانية ل شيكاجو، لو سمحت؟
419	corpus-6-test-corpus-26-train	SAL	رحت على نيويورك .
423	corpus-6-test-corpus-26-train	SAL	شو رقم الرحلة؟
442	corpus-6-test-corpus-26-test	SAL	تذكرة ل نيويورك، لو سمحت .
446	corpus-6-test-corpus-26-train	SAL	كم يوم بس .
447	corpus-6-test-corpus-26-train	SAL	الثاني للشمال .
