sentID.BTEC,sent,sentiment
5,قاعد غادي، بالضبط قدام مكتب المعلومات السياحية .,neutral
9,ماعمريش سمعت بالعنوان هضا هنا .,neutral
11,أمشي طول لعند ما تشوف الصيدلية.,neutral
26,بكم الفطور؟,neutral
27,كيف نقدر نساعدك؟,neutral
30,أمشي يسار للشوكة الثالثة.,neutral
50,تبي كريمة و سكر في قهوتك؟,neutral
64,تقدر تصرفلي شيك ميتين دولار بتاعي؟,neutral
74,لو المفروض يبان، كلمني لو سمحت.,neutral
86,وين الكافي؟,neutral
87,نبي مالية بتاع أطفال.,neutral
91,اوكي. يكلف خمسة وثمانين سنت للبريد العادي و ثلاثة دولار بالضبط زيادة للتوصيل الخاص.,neutral
120,كنت حنشريه لو كنت مكانك.,positive
129,هل حيكون عندي أي صعوبه مع الجمرك؟,neutral
130,عندك كندرة قفطان مفتوحة عند الصوابع؟,neutral
140,لا. بس نقدر نقترح دار مزدوجة لاستعمال واحد بدالها؟ عندنا واحدة.,neutral
143,نبي كيرلي مشدود، لو سمحت.,neutral
145,هي تبي بيرة .,neutral
157,صباح الخير . كيف حالك؟,positive
158,اسف اني حنضطر نشوف أي نموذج كشف الهوية.,neutral
169,شن نوع الصوص؟,neutral
170,هضا شوية مسقع . ممكن تسخنه؟,neutral
173,أسف، المكان هضا محجوز .,neutral
176,أنا تمام . بس ممكن تكلم صاحبي؟,neutral
177,شكرا، هكي ساد .,positive
184,من صاحبك راس؟,neutral
187,يوم الصحة والرياضة يوم عشرة عشرة هو عيد وطني مصمم عشان يشجع صحة الناس.,positive
192,تبيني نشوف تحت الكوفينو؟,neutral
206,تقدر تساعدني نلقى شنطتي؟,neutral
221,تدير الترتيبات قبل؟,neutral
238,في حد يساعد فيا . شكرا.,positive
261,لما توصل غادي، اسأل حد ثاني، لو سمحت.,neutral
280,نبي وصلة أربعة وعشرين، لو سمحت.,neutral
285,هاك دولارين. و خلي الباقي عندك.,neutral
315,واحد هامبورغر و واحد تشيزبرغر، لو سمحت.,positive
319,كم تأخذ على الخدمة؟,neutral
320,كل واحد فينا يبي يدفع لوجبته.,neutral
326,الموقع كان قاعد على الكرسي في الممر .,neutral
333,لو سمحت غير الين هضينا لجنيهات.,neutral
346,نبي قاموس بحجم الجيب، لو سمحت.,positive
360,لشخصين على السبعة. الاسم هو واتانابي.,neutral
368,ساعتي. كانت سياكو ديجيتال.,neutral
370,حيكون من دواعي سرورنا ان نقدمولك مشروب من اختيارك، يتبعه عشاء. دليل كامل للمشروبات الي نقدمو فيهن على الرحلة هضي قاعد في دليل المعلومات في مجلتنا.,positive
373,أنت تسكن قريب من هنا؟,neutral
375,وين محل الهدايا؟,neutral
386,أنا في الطريق السريع قريب من مورو باي.,neutral
391,نبي ساعة منبه، لو سمحت.,neutral
398,على فكرة، أسمي هيروشي ايجيما.,neutral
401,القطار هضا يوقف في ليك فورست، صح؟,neutral
408,أغلب اليابانين ياكلو في اخطبوط و حبار.,neutral
416,نقدر ناخذ تذاكر سكند كلاس لشيكاغو، لو سمحت؟,neutral
419,مشيت لنيويورك.,neutral
423,شن رقم الرحلة؟,neutral
442,وحدة لنيويورك، لو سمحت.,positive
446,لحوالي كم يوم هكي .,neutral
447,الثاني على اليسار.,neutral
471,البطاقة هضي، أوكي؟,neutral
488,هضا هو مكتب الاستقبال؟ في عيادة قريبة؟,neutral
493,هل عشرة دولار حيسدن للتاكسي؟,neutral
503,هضا طعمته غريبة.,negative
512,اها. راجي، حنجيبلك واحد.,neutral
516,نص شيشة، لو سمحت.,neutral
540,مش بالضبط. بس حاجة مش غالية.,neutral
548,أنت تدور في حاجة؟,neutral
551,أربع ليلات.,neutral
553,نبي شوية شخاشير.,neutral
565,تقدر ترخصه عشان فيه لطاعي؟,neutral
571,راجل خبطني . بعدها فطنت أن جزداني راح .,negative
599,مش متأكد لو وتيت دبش يسد لرحلة بتاع ثلاث أسابيع.,negative
612,تمام، نحن نبو نجربو نبيذ أبيض.,positive
631,لو في حد سأل عليا، قوللهم حنقعد في الكافي.,neutral
632,أنا متأكد أنه كان في الجيب الجواني لكبوطي.,neutral
