Sentence_id,sentence
1,"الأب عشقان و الأم غيرانه و البنت بالبيت حيرانه"
2,"انبحتِت متل الأباوة"
3,"ما حدا أبدى من حدا"
4,"الإبرة اللي فيها خيطين ما بتخيَط"
5,"ما بعد الصبر إلا المجرفة و القبر"
6,"أبوك لما كان عايش ما لبس جبه منلو بعد ما مات القبة"
7,"خود من عبد الله و اتكل على الله"
8,"اجا البراني يقلع الجواني"
9,"إجا أجلو"
10,"أجر و عافيه"
11,"بس صارت ورقة التين قد إجر البطة نام ولا تتغطَى"
12,"يللي بيتو من أجاز ما بيرمي الناس بالحجار"
13,"اقتيل ابنك و احسين أدبو ما بيموت ليجي أجلو"
14,"عجِّل و لا تؤجّل"
15,"احترمو بتنحرمو"
16,"كونوا أخوة و تقاسموا بالحق"
17,"القلب و ما يختار"
18,"اللي آخد عقلك يتهنى"
19,"أد القد و زود الزود"
20,"أدِّب ابنك صغير بتفرح منو كبير"
21,"الحذر ما بيمنع القدر"
22,"ما بتاخدها إزا بتأدّن"
23,"كل واحد يحكي على أدو"
24,"إجا مكتوب للكلاب بدك مين يقرا و مين يسمع"
25,"أرايبك لا تقربو بيقرصك عقربو"
26,"الضرب عالأساس"
27,"اللي استحوا ماتوا"
28,"يا مسترخص اللحمة عند المرقه تندم"
29,"يا مستعجل وقف لقلّك"
30,"استوطى حيطو"
31,"إستفتي قلبك"
32,"مين استفقدني بعضمه كنت عندو عظيم"
33,"استكبرها و لو كانت مرّة"
34,"السر ازا تعدى التنين شاع"
35,"كل مين أشاطو تحت باطو"
36,"أشكره خَبَر"
37,"اللي بينشرى ما بينشهى"
38,"أصابعك مو متل بعضهن"
39,"خود الأصيلة و لو كانت عالحصيرة"
40,"أضا و مضى من عقلو"
41,"يَعَلى أطاطك"
42,"متل الأطرش بالزفّه"
43,"عم يعرج قدام مكرسح"
44,"أعلو براسو بيعرف خلاصو"
45,"جيل الأفجع بتحاكيه ما بيسمع بتبعتو عالغرض ما بيرجع"
46,"كبرت البيتنجانه و تدندلت جراصا و نسيت قفة الزبل اللي كانت فوق راسا"
47,"أءرع و دءنو طويلة شي بيغطي شي"
48,"أقسى من الحجر"
49,"أكتر من الهم عالقلب"
50,"كرمال الورد منصقي العليق"
51,"ألبي على ولدي و قلب ولدي عالحجر"
52,"أكلّو أكلاتو و ضحك على أعلاتو"
53,"إلها تم ياكل مالها تم يحكي"
