sentID.BTEC,sent,sentiment
5,شوفه هناك، قدام مكتب المعلومات السياحية بالضبط.,neutral
9,ماقد سمعت بدا العنوان هنا.,neutral
11,امشي سيدا لين ما تلاقي الصيدلية.,neutral
26,بكم الفطور؟,neutral
27,كيف أقدر اساعدك؟,neutral
30,روح يسار عند الزواية الثالثة.,neutral
50,تبا كريم وسكر في قهوتك؟,neutral
64,ممكن تعطيني كاش للشيك دا الميتين دولار؟,neutral
74,اذا لازم يظهر، اتصل عليا لو سمحت.,neutral
86,فين المقهى؟,neutral
87,أبا سترة اطفال.,neutral
91,اوك. يكلف خمسة وتمانين سنت للأيميل العادي وزيادة تلاتة دولار بالضبط للتوصيل الخاص.,neutral
120,لو أنا مكانك حشتريه.,positive
129,ممكن اواجه صعوبات في الجمارك؟,neutral
130,عندك جزم رسمية واسعة عند الأصابع؟,neutral
140,لا. اقترحلك غرفة بسريرين لاستخدام شخص واحد بدال كدة؟ عندنا وحدة.,neutral
143,أبا شعري مجعد كثير، لو سمحت.,neutral
145,هيا تبا بيرة.,neutral
157,صباح الخير، كيفك؟,positive
158,معليش لازم اشوف اثبات هوية.,neutral
169,اية نوع من الصوص؟,neutral
170,دا شوية بارد. ممكن تدفيه؟,neutral
173,معليش، دا المكان مأخود اصلا.,neutral
176,انا كويس، بس ممكن تدق على صاحبي؟,neutral
177,شكراً كدا كفأية.,positive
184,مين أعز أصحابك؟,neutral
187,يوم الرياضة والصحة في عشرة أكتوبر هو أجازة وطنية عشان يثقفو الناس عن الصحة.,positive
192,تباني اشيك تحت الكبوت؟,neutral
206,يمديك تدور معاية على شنطتي؟,neutral
221,حتسوي الترتيبات قبل؟,neutral
238,فيه واحد قاعد يساعدني، شكراً.,positive
261,اذا وصلت هناك، باللهي اسأل شخص ثاني.,neutral
280,بالله ابغا امدد اربعة وعشرين.,neutral
285,دول دولارين، و خلي الباقي معاك.,neutral
315,بالله واحد برقر و واحد برقر جبن.,positive
319,كم تطلب عشان العملية؟,neutral
320,نحن نبغا ندفع حساب اكلنا.,neutral
326,الموقع كان على الكرسي في اللوبي.,neutral
333,بالله غير الين الى جنيهات.,neutral
346,بالله ابغا قاموس قد الجيب.,positive
360,شخصين ساعة سبعة، بإسم واتانابي.,neutral
368,ساعتي. كانت سأيكو رقمية.,neutral
370,من سعأدتنا انه نخدمك بالمشروبات من اختيارك، معاها عشاء. كل التوجيهات عن المشروبات اللي نقدمها موجودة في المجلة.,positive
373,انتا عأيش هنا؟,neutral
375,فين محل الهدايا؟,neutral
386,انا في الطريق السريع قريب من خليج مورو.,neutral
391,أبا ساعة منبه، لو سمحت.,neutral
398,بالمناسبة، اسمي هيروشي ايجيما.,neutral
401,هادا القطار يوقف عند بحيرة فوريست، صح؟,neutral
408,اغلب اليابانين ياكلو الاخطبوط و الحبار.,neutral
416,بالله مداني اخذ تذكرتين في الدرجة الثانية على شيكاغو؟,neutral
419,رحت نيو يورك.,neutral
423,كم رقم الرحلة؟,neutral
442,بالله واحد لنيو يورك.,positive
446,تقريبا كم يوم.,neutral
447,الثاني على اليسار.,neutral
471,هادي البطاقة، تمام؟,neutral
488,هادا مكتب الاستقبال؟ في عيادة قريبة؟,neutral
493,عشرة دولارات تكفي التاكسي؟,neutral
503,طعمو غريب.,negative
512,استنى، بجيب واحد لك.,neutral
516,بالله نص علبة.,neutral
540,غلط. شيء مو غالي.,neutral
548,تدور على شيء؟,neutral
551,اربعة ايام.,neutral
553,ابغا شراريب.,neutral
565,يمديك تراعيني عشان فيه بقع؟,neutral
571,فيه رجال صدمني، وبعدها محفظتي اختفت.,negative
599,مدري اذا حطيت ملابس كفأية لرحلة أبو تلاتة أسابيع.,negative
612,نفسي اجرب النبيذ الابيض.,positive
631,اي واحد يسال عني، قلهم حكون في المقهى.,neutral
632,متاكد انه كان بالجيب الداخلي في معطفي.,neutral
641,ممكن اسم ورقم الشخص اللي انت داق عليه؟,neutral
643,حتدفعلي الخطوط الجوية عشان اشتري حاجاتي الشخصية؟,neutral
650,نفسي في غرفة مع حمام.,neutral
652,مافي شيء خرج من الجهاز؟,neutral
667,كان المفروض انك في رحلة تمانية اتنين صفر، اللي أقلعت قبل ربع ساعة. على كلٍ اقدر ارتبك رحلة جديدة.,neutral
673,فيه واحد فتح محفظتي.,neutral
679,اوه، ولا شيء. انت هنا، على كل حال.,neutral
680,الخطوط الجوية اليابانية، رحلة رقم واحد اثنين ثلاثة.,neutral
681,يبالي اشتري شامبو.,neutral
683,يمديك تقولي لمن نوصل المركز المدني؟,neutral
688,فين اقرب جزار؟,neutral
703,نفسنا نجلس اربعة ايام من بداية اغسطس.,neutral
708,اش اسم ديك الزهرة؟,neutral
719,الخامس عشر سيبتمبر هو يوم الاحترام للشيخوخة.,neutral
723,مافي صابون في غرفتي.,negative
741,في اي شيء اسويه عشان الطفح الجلدي؟,neutral
742,ممكن تغير للصياغة اللي قلتها قبل شوية؟,neutral
761,كم يبالنا عشان نقدر نطلب؟,neutral
773,يمديك ترفع صوتك شوية، لو سمحت؟,neutral
777,كم باقي لين يخرج؟,neutral
786,فين المعلومات الرياضية؟,neutral
787,دا المقاس هنا، اللي تقول عنه مقاس عادي، حيناسب.,neutral
793,فين نهاية الجولة، ومتى؟,neutral
848,فين لازم اغير القطارات عشان اوصل ادنبره؟,neutral
855,ابغا احط هذا في صندوق امانات.,neutral
859,فين يمديني اغير فلوسي؟,neutral
897,يمدينا نخلي اغراضنا هنا، مو الغالية، ف الباص؟,neutral
902,محتار الرسوم دي حقت أيش.,negative
917,حدفع خمسين دولار.,neutral
941,دحين عرفت أيش اللي كان غلط.,neutral
957,انا أيكيدا. عندي حجز لطاولة الساعة ستة ونص. بس معليش حوصل متأخر بنص ساعة.,negative
1003,كم اونصة من العطر اقدر اخذ بدون ضريبة؟,neutral
1007,بس سياحة.,neutral
1010,كدا كويس، وقعهم لو سمحت. كيف تباها؟,positive
1023,باقي فيه أماكن للعرض حق اليوم؟,neutral
1036,ابغا وحدة كبيرة.,positive
1037,كملت نوم وسحبت على المنبه حق ستة ونص.,neutral
1038,انا مصور حر.,neutral
1047,اللي يوزع الورق يقدر يبدل دولاراتك ببقشيش للكازينو. نمشي؟,neutral
1056,عندنا ثلاثين نوع من حمامات الزيت.,neutral
1062,حوريك العرض الأسبوع الجأي.,neutral
1074,شكراً، بكم دا القفاز؟,positive
1098,لازم اروح دحين، اتصل عليك بعدين.,neutral
1100,أبا حفاضات تتبدل.,neutral
1122,من فين منشأ سمكات الفراشة دي؟,neutral
1124,ممكن تحولهم الى دولارات، لو سمحت؟,neutral
1139,احنا مرة محظوظين. عندهم دا بمقاس أربعة في متجر آلا موانا.,positive
1146,فيه أي ليموزين هنا؟,neutral
