Sentence_id,sentence,,,,,,,
1,صفحة يما بديش أتجوز,,,,,,,
2,ما هو حال النت عندكن ? ? ? ?,,,,,,,
3,"للازكياء فقط ما هو الجواب ? ? ? ?",,,,,,,
4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,,,,,,,
5,او الجامعة ? ? ? ? ?,,,,,,,
6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,,,,,,,
7,في اربع رجال فتحوا سوبر ماركت وحطوا كل دور فيه كاشير دخل زبون بدو جاج رد عليه الرجل قال : حي ولا ميت قال الزبون ميت فقله الرجل روح الدور الثاني راح الدور التاني قال : بدي دجاج ميت فقال الرجل مبرد ولا مثلج رد الزبون مبرد فقال الرجل له روح الدور الثالث فراح الدور الثالث قال بدي دجاج ميت و مبرد فقال الرجل بكياس ولا بدون كياس قال : لزبون بكيا قلوا روح الدور الرابع راح على الدور الرابع وقال : بدي جاج ميت مبرد بكياس فقاله الرجل اصلا ما عندنا دجاج قلوا بس شلون النظام,,,,,,,
8,هههههههههههههه,,,,,,,
9,غبي صدمته سيارة وحصل ع تعويض 50 الف . راح قدام القطار . . وهو بيضحك قال اخبط يابو الملايين اخبط,,,,,,,
10,الاستاز بيحكي لطلاب : الحاسس حالوا غبي يواف فواف ولد,,,,,,,
11,الاستاز : ليش حاسس حالك غبي الطالب : اشفقت عليك اضل واقف لحالك,,,,,,,
12,ههههههه,,,,,,,
13,وحده ضاعت شنطتها راحت تبلغ الشرطه قالولها ولا يهمك روحي البيت وحنا بنطلع الشنطة من تحت الارض وهي رايحه شافت بالشارع عمال البلديه يحفرون قالت لهم شدوا حيلكم ترى لون الشنطة بني,,,,,,,
14,ههههههههه,,,,,,,
15,قال غبي لاغبى منه : لو عرفت ايش داخل الكيس اعطيك منه سمكه قال الاغبى منه : بحر,,,,,,,
16,ههههههه,,,,,,,
17,خدمة مين ياللي تنشك في بطنك,,,,,,,
18,البنت لما تروح على محل الكنادر بتخلي صاحب المحل يفرجيها كل انواع الكنادر,,,,,,,
19,انا بحب افرقع هاد الكيس وانتوا,,,,,,,
20,هاد العزابي بتكاسل يكب لزبالة,,,,,,,
21,نحن شعب اذا كتبنا رساله نقول اسمع و اذا تكلمنا في التلفون نقول شوفحشيش باكستاني ههههههههههههههه,,,,,,,
22,لما اعصب,,,,,,,
23,يطلع مني صوت انا نفسي,,,,,,,
24,بنصدم منه,,,,,,,
25,90 % من العرب الي معهم ايفون مستحيل يغيرو الرنة تبعت الجهاز,,,,,,,
26,قال يعني معي ايفون اكشعيني يا بنت هههههههههههههههه,,,,,,,
27,90 % من العرب الي معهم ايفون مستحيل يغيرو الرنة تبعت الجهاز,,,,,,,
28,قال يعني معي ايفون اكشعيني يا بنت هههههههههههههههه,,,,,,,
29,زهقان . . . . . طفشان . . . . عايف حالك,,,,,,,
30,ملقاش الا صفحه يما بديش اتجوز,,,,,,,
31,ليس الوحيد لكنه الافضل,,,,,,,
32,هل تعلم : مالك نادي موناكو ديميتري ريبولوفيف أهدى هدية لإبنته بمناسبة,,,,,,,
33,يوم ميلادها ال 22 وهي عبارة عن جزيرة يونانية بقيمة 117 مليون يورو !,,,,,,,
34,يا زم زي أهلي بالضبط بس اهلي جابولي مع هاي الجزيره صندوق,,,,,,,
35,ببسي قزايز مشان أمزمز ببسي و انا بتشقلب عالشط,,,,,,,
36,ههههههههههههههههههههههههههههههههههههههههههههههههههه,,,,,,,
37,محشش يقول :,,,,,,,
38,كنا قاعدين بالصالون وقلت : عطشااان !,,,,,,,
39,نط أخوي الصغير وجبلي مي !,,,,,,,
40,استغربت وقلتله : ليه صاير محترم ?,,,,,,,
41,قال : اخذنا اليوم درس في المدرسة .,,,,,,,
42,واحد دخل الجنة . . لأنه شرب كلب .,,,,,,,
43,ههههههههه حرقو حرق ههههههه,,,,,,,
44,محشش دخل الصيدلية,,,,,,,
45,قال للصيدلاني : عندك شريط بندول ? !,,,,,,,
46,قال الصيدلاني : اي عندي,,,,,,,
47,قال المحشش : طب حطو خلينا نسمع,,,,,,,
48,طبعاا الصيدلي صرلو اسبوع قاعد مع حالو بلعب بالمكعبات,,,,,,,
49,هههههههههههههه,,,,,,,
50,جهاز ENGLISHTEXT تقدر تقلب الصفحات بحركة العين . .,,,,,,,
51,رد فعل الناس :,,,,,,,
52,الامريكى : وياترى كيف وصلوا للتقنية . . . هاي وكيف ممكن اعدلها ?,,,,,,,
53,الفرنسى : هل تناسب هذة التقنية تطلعاتنا ?,,,,,,,
54,العربي : طب لو واحد أحول كيف بدو يستخدمها ! ?,,,,,,,
55,شعب مش معقول بحسبها من جميع,,,,,,,
56,النواحي هههههههههههههه,,,,,,,
57,"من علامات ذكاء الشعب الفرنسي",,,,,,,
58,يقلب المخده إذا كان الجو نااار,,,,,,,
59,فيحصل على مخدة أبرد,,,,,,,
60,ابرد من هيك شعب ما شفت ههههههههههههههه,,,,,,,
61,أنا حاسس انو بيوم عرسي,,,,,,,
62,أمي راح تقلي خد الزبالة معك وانت طالع,,,,,,,
63,ههههههههههههههههه,,,,,,,
