Sentence_ID,sentence,Tokens,NER_Tags,Dialect
1,صفحة يما بديش أتجوز,"['صفحة', 'يما', 'بديش', 'أتجوز']","['O', 'O', 'O', 'O']",Syria
2,ما هو حال النت عندكن ? ? ? ?,"['ما', 'هو', 'حال', 'النت', 'عندكن', '?', '?', '?', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
3,للازكياء فقط ما هو الجواب ? ? ? ?,"['للازكياء', 'فقط', 'ما', 'هو', 'الجواب', '?', '?', '?', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Saudi Arabia
4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,"['اي', 'اكتر', 'شي', 'بتستخدموا', 'لتروحوا', 'على', 'المدرسة']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Jordan
5,او الجامعة ? ? ? ? ?,"['او', 'الجامعة', '?', '?', '?', '?', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Qatar
6,هههههههههههههه,['هههههههههههههه'],['O'],Yemen
7,الاستاز بيحكي لطلاب : الحاسس حالوا غبي يواف فواف ولد,"['الاستاز', 'بيحكي', 'لطلاب', ':', 'الحاسس', 'حالوا', 'غبي', 'يواف', 'فواف', 'ولد']","['B-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Lebanon
8,الاستاز : ليش حاسس حالك غبي الطالب : اشفقت عليك اضل واقف لحالك,"['الاستاز', ':', 'ليش', 'حاسس', 'حالك', 'غبي', 'الطالب', ':', 'اشفقت', 'عليك', 'اضل', 'واقف', 'لحالك']","['B-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Jordan
9,ههههههه,['ههههههه'],['O'],Saudi Arabia
10,قال غبي لاغبى منه : لو عرفت ايش داخل الكيس اعطيك منه سمكه قال الاغبى منه : بحر,"['قال', 'غبي', 'لاغبى', 'منه', ':', 'لو', 'عرفت', 'ايش', 'داخل', 'الكيس', 'اعطيك', 'منه', 'سمكه', 'قال', 'الاغبى', 'منه', ':', 'بحر']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Yemen
11,ههههههه,['ههههههه'],['O'],Saudi Arabia
12,خدمة مين ياللي تنشك في بطنك,"['خدمة', 'مين', 'ياللي', 'تنشك', 'في', 'بطنك']","['O', 'O', 'O', 'O', 'O', 'O']",Tunisia
13,البنت لما تروح على محل الكنادر بتخلي صاحب المحل يفرجيها كل انواع الكنادر,"['البنت', 'لما', 'تروح', 'على', 'محل', 'الكنادر', 'بتخلي', 'صاحب', 'المحل', 'يفرجيها', 'كل', 'انواع', 'الكنادر']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Jordan
14,انا بحب افرقع هاد الكيس وانتوا,"['انا', 'بحب', 'افرقع', 'هاد', 'الكيس', 'وانتوا']","['O', 'O', 'O', 'O', 'O', 'O']",Jordan
15,هاد العزابي بتكاسل يكب لزبالة,"['هاد', 'العزابي', 'بتكاسل', 'يكب', 'لزبالة']","['O', 'O', 'O', 'O', 'O']",Syria
16,نحن شعب اذا كتبنا رساله نقول اسمع و اذا تكلمنا في التلفون نقول باكستاني ههههههههههههههه,"['نحن', 'شعب', 'اذا', 'كتبنا', 'رساله', 'نقول', 'اسمع', 'و', 'اذا', 'تكلمنا', 'في', 'التلفون', 'نقول', 'باكستاني', 'ههههههههههههههه']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O']",Libya
17,لما اعصب,"['لما', 'اعصب']","['O', 'O']",Qatar
18,يطلع مني صوت انا نفسي,"['يطلع', 'مني', 'صوت', 'انا', 'نفسي']","['O', 'O', 'O', 'O', 'O']",Saudi Arabia
19,بنصدم منه,"['بنصدم', 'منه']","['O', 'O']",Saudi Arabia
20,% من العرب الي معهم ايفون مستحيل يغيرو الرنة تبعت الجهاز,"['%', 'من', 'العرب', 'الي', 'معهم', 'ايفون', 'مستحيل', 'يغيرو', 'الرنة', 'تبعت', 'الجهاز']","['O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Libya
21,قال يعني معي ايفون اكشعيني يا بنت,"['قال', 'يعني', 'معي', 'ايفون', 'اكشعيني', 'يا', 'بنت']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
22,% من العرب الي معهم ايفون مستحيل يغيرو الرنة تبعت الجهاز,"['%', 'من', 'العرب', 'الي', 'معهم', 'ايفون', 'مستحيل', 'يغيرو', 'الرنة', 'تبعت', 'الجهاز']","['O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Libya
23,زهقان . . . . . طفشان . . . . عايف حالك,"['زهقان', '.', '.', '.', '.', '.', 'طفشان', '.', '.', '.', '.', 'عايف', 'حالك']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
24,ملقاش الا صفحه يما بديش اتجوز,"['ملقاش', 'الا', 'صفحه', 'يما', 'بديش', 'اتجوز']","['O', 'O', 'O', 'O', 'O', 'O']",Lebanon
25,ليس الوحيد لكنه الافضل,"['ليس', 'الوحيد', 'لكنه', 'الافضل']","['O', 'O', 'O', 'O']",Saudi Arabia
26,هل تعلم : مالك نادي موناكو ديميتري ريبولوفيف أهدى هدية لإبنته بمناسبة,"['هل', 'تعلم', ':', 'مالك', 'نادي', 'موناكو', 'ديميتري', 'ريبولوفيف', 'أهدى', 'هدية', 'لإبنته', 'بمناسبة']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O']",Sudan
27,يوم ميلادها ال وهي عبارة عن جزيرة يونانية بقيمة مليون يورو !,"['يوم', 'ميلادها', 'ال', 'وهي', 'عبارة', 'عن', 'جزيرة', 'يونانية', 'بقيمة', 'مليون', 'يورو', '!']","['B-DATE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'B-MONEY', 'I-MONEY', 'O']",Oman
28,يا زم زي أهلي بالضبط بس اهلي جابولي مع هاي الجزيره صندوق,"['يا', 'زم', 'زي', 'أهلي', 'بالضبط', 'بس', 'اهلي', 'جابولي', 'مع', 'هاي', 'الجزيره', 'صندوق']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Libya
29,محشش يقول :,"['محشش', 'يقول', ':']","['O', 'O', 'O']",Yemen
30,كنا قاعدين بالصالون وقلت : عطشااان !,"['كنا', 'قاعدين', 'بالصالون', 'وقلت', ':', 'عطشااان', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Syria
31,واحد دخل الجنة . . لأنه شرب كلب .,"['واحد', 'دخل', 'الجنة', '.', '.', 'لأنه', 'شرب', 'كلب', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Jordan
32,ههههههههه حرقو حرق ههههههه,"['ههههههههه', 'حرقو', 'حرق', 'ههههههه']","['O', 'O', 'O', 'O']",Egypt
33,محشش دخل الصيدلية,"['محشش', 'دخل', 'الصيدلية']","['O', 'O', 'O']",Saudi Arabia
34,قال المحشش : طب حطو خلينا نسمع,"['قال', 'المحشش', ':', 'طب', 'حطو', 'خلينا', 'نسمع']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",Palestine
35,طبعاا الصيدلي صرلو اسبوع قاعد مع حالو بلعب بالمكعبات,"['طبعاا', 'الصيدلي', 'صرلو', 'اسبوع', 'قاعد', 'مع', 'حالو', 'بلعب', 'بالمكعبات']","['O', 'B-OCC', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O']",Syria
36,رد فعل الناس :,"['رد', 'فعل', 'الناس', ':']","['O', 'O', 'O', 'O']",Libya
