,Sentence_ID,sentence,Tokens,POS_Tags,Dialect
0,1,سرعه وموبايل وانعدام المسؤوليه هيدي السواقه بلبنان والموت ببلاش,"['سرعه', 'وموبايل', 'وانعدام', 'المسؤوليه', 'هيدي', 'السواقه', 'بلبنان', 'والموت', 'ببلاش']","['NOUN', 'CONJ+NOUN', 'CONJ+NOUN', 'PART_DET+NOUN', 'PRON_DEM', 'PART_DET+NOUN', 'PREP+NOUN_PROP', 'CONJ+PART_DET+NOUN', 'PREP+NOUN']",Lebanon
1,2,"قلن ما يعلوا الصوت وما يقربوا الكاميرا , اللي رح تشوفوا الليله ما شفتوا متله من قبل","['قلن', 'ما', 'يعلوا', 'الصوت', 'وما', 'يقربوا', 'الكاميرا', ',', 'اللي', 'رح', 'تشوفوا', 'الليله', 'ما', 'شفتوا', 'متله', 'من', 'قبل']","['VERB+PRON', 'PART_NEG', 'VERB', 'PART_DET+NOUN', 'CONJ+PART_NEG', 'VERB', 'PART_DET+NOUN', 'PUNC', 'PRON_DEM', 'PART_FUT', 'VERB+PRON', 'PART_DET+NOUN', 'PART_NEG', 'VERB', 'NOUN+PRON', 'PREP', 'ADV']",Lebanon
2,3,حابب تترك وتمشي,"['حابب', 'تترك', 'وتمشي']","['NOUN', 'VERB', 'CONJ+VERB']",Syria
3,4,"حتى بالدين يعني صار لازم نفصل افلام دينيه مشان تنبسط , الدين واقع ما بيتغير اذا غيرنا معناتو عم نغير الدين مع احترامي لكل الأديان","['حتى', 'بالدين', 'يعني', 'صار', 'لازم', 'نفصل', 'افلام', 'دينيه', 'مشان', 'تنبسط', ',', 'الدين', 'واقع', 'ما', 'بيتغير', 'اذا', 'غيرنا', 'معناتو', 'عم', 'نغير', 'الدين', 'مع', 'احترامي', 'لكل', 'الأديان']","['ADV', 'PREP+PART_DET+NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'CONJ_SUB', 'VERB', 'PUNC', 'PART_DET+NOUN', 'NOUN', 'PRON_REL', 'PREP+VERB', 'CONJ_SUB', 'VERB', 'NOUN+PRON', 'PART_PROG', 'VERB', 'PART_DET+NOUN', 'PREP', 'NOUN+PRON', 'PREP+NOUN_QUANT', 'PART_DET+NOUN']",Syria
4,5,نحنا اللبنانيين اه علقانين بحيرات المجارير او بالثلج او بشي جوره عالطريق او على مطب نفايات او علقانين بلبنان مافينا نطلع منو,"['نحنا', 'اللبنانيين', 'اه', 'علقانين', 'بحيرات', 'المجارير', 'او', 'بالثلج', 'او', 'بشي', 'جوره', 'عالطريق', 'او', 'على', 'مطب', 'نفايات', 'او', 'علقانين', 'بلبنان', 'مافينا', 'نطلع', 'منو']","['PRON', 'PART_DET+ADJ', 'INTERJ', 'NOUN', 'NOUN', 'PART_DET+NOUN', 'CONJ', 'PREP+PART_DET+NOUN', 'CONJ', 'PREP+NOUN', 'NOUN', 'PREP+PART_DET+NOUN', 'CONJ', 'PREP', 'NOUN', 'NOUN', 'CONJ', 'NOUN', 'PREP+NOUN_PROP', 'PART_NEG+VERB_PSEUDO', 'VERB', 'PREP+PRON']",Lebanon
5,6,خليك دايما مش بالمسؤوليه تجاه كل شي عم يصير يمكن يلحقك الدور,"['خليك', 'دايما', 'مش', 'بالمسؤوليه', 'تجاه', 'كل', 'شي', 'عم', 'يصير', 'يمكن', 'يلحقك', 'الدور']","['VERB', 'ADV', 'PART_NEG', 'PREP+PART_DET+NOUN', 'NOUN', 'NOUN_QUANT', 'NOUN', 'PART_PROG', 'VERB', 'ADV', 'VERB+PRON', 'PART_DET+NOUN']",Syria
6,7,لازم تعرف يا عميل انت مين وحركه امل مين,"['لازم', 'تعرف', 'يا', 'عميل', 'انت', 'مين', 'وحركه', 'امل', 'مين']","['NOUN', 'VERB', 'PART_VOC', 'NOUN_PROP', 'PRON', 'PRON_INTERROG', 'CONJ+NOUN', 'NOUN', 'PRON_INTERROG']",Egypt
7,8,ولك علقانين ببلد ما فيه منو امل علقانين ببلد حكامه زعران علقانين ببلد يمكن نفوت على الجنه لأن عايشين فيه على الأرض,"['ولك', 'علقانين', 'ببلد', 'ما', 'فيه', 'منو', 'امل', 'علقانين', 'ببلد', 'حكامه', 'زعران', 'علقانين', 'ببلد', 'يمكن', 'نفوت', 'على', 'الجنه', 'لأن', 'عايشين', 'فيه', 'على', 'الأرض']","['INTERJ', 'NOUN', 'PREP+NOUN', 'PART_NEG', 'PREP+PRON', 'PREP+PRON', 'NOUN', 'NOUN', 'PREP+NOUN', 'NOUN+PRON', 'NOUN', 'NOUN', 'PREP+NOUN', 'ADV', 'VERB', 'PREP', 'PART_DET+NOUN', 'VERB_PSEUDO', 'NOUN', 'PREP+PRON', 'PREP', 'PART_DET+NOUN']",Syria
8,9,لأنو عادل كرم ابن هالمصلحه وبيعرف حدود الأخلاق مش متلك يا هشام حداد متعدى عالمصلحه,"['لأنو', 'عادل', 'كرم', 'ابن', 'هالمصلحه', 'وبيعرف', 'حدود', 'الأخلاق', 'مش', 'متلك', 'يا', 'هشام', 'حداد', 'متعدى', 'عالمصلحه']","['INTERJ', 'NOUN_PROP', 'NOUN_PROP', 'NOUN', 'PRON_DEM+PART_DET+NOUN', 'CONJ+PART+VERB', 'NOUN', 'PART_DET+NOUN', 'PART_NEG', 'NOUN+PRON', 'PART_VOC', 'NOUN_PROP', 'NOUN_PROP', 'VERB', 'PREP+PART_DET+NOUN']",Lebanon
9,10,اذا المشكل مع الوزير خلينا نتظاهر قدام مكتبو ونسمعوا شو بدنا بلا ما نحاصر الناس ونمنعهن يوصلوا على اشغالهن مش ظابطه,"['اذا', 'المشكل', 'مع', 'الوزير', 'خلينا', 'نتظاهر', 'قدام', 'مكتبو', 'ونسمعوا', 'شو', 'بدنا', 'بلا', 'ما', 'نحاصر', 'الناس', 'ونمنعهن', 'يوصلوا', 'على', 'اشغالهن', 'مش', 'ظابطه']","['CONJ_SUB', 'PART_DET+NOUN', 'PREP', 'PART_DET+NOUN', 'VERB+PRON', 'VERB', 'ADV', 'NOUN+PRON', 'CONJ+VERB+PRON', 'PRON_INTERROG', 'VERB', 'ADV', 'PRON_REL', 'VERB', 'PART_DET+NOUN', 'CONJ+VERB+PRON', 'VERB', 'PREP', 'NOUN+PRON', 'PART_NEG', 'NOUN']",Syria
