sentID.BTEC	split	lang	sent
5	corpus-6-test-corpus-26-train	KHA	هو هناك، بالظبط أمام مكتب معلومات السياح.
9	corpus-6-test-corpus-26-train	KHA	ما حصل سمعت بالعنوان دا هنا.
11	corpus-6-test-corpus-26-train	KHA	أمشي دغري لغاية تشوف صيدلية.
26	corpus-6-test-corpus-26-train	KHA	بي كم الفطور؟
27	corpus-6-test-corpus-26-train	KHA	كيف ممكن اساعدك؟
30	corpus-6-test-corpus-26-train	KHA	أمشي شمال عند الكورنة التالتة.
50	corpus-6-test-corpus-26-train	KHA	داير كريمة و سكر في قهوتك؟
64	corpus-6-test-corpus-26-train	KHA	هل يمكنك تصرف شيكي البي متين دولار؟
74	corpus-6-test-corpus-26-train	KHA	اذا مفروض يظهر، من فضلك اتصل على.
86	corpus-6-test-corpus-26-train	KHA	وين المقهى؟
87	corpus-6-test-corpus-26-train	KHA	داير بلوفر أطفال.
91	corpus-6-test-corpus-26-train	KHA	اوكي. هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص.
120	corpus-6-test-corpus-26-test	KHA	كنت ح اشتري دا لو انا كنت مكانك.
129	corpus-6-test-corpus-26-train	KHA	ح أواجه أي صعوبات مع الجمارك؟
130	corpus-6-test-corpus-26-train	KHA	هل عندك جزمة رسمي عريضة عند اصابع القدم؟
140	corpus-6-test-corpus-26-train	KHA	لا. ممكن اقترح غرفة مزدوجة لاستعمال شخص؟ عندنا واحدة.
143	corpus-6-test-corpus-26-train	KHA	داير تجعيدة ضيقة، من فضلك.
145	corpus-6-test-corpus-26-train	KHA	دايرة بيرة.
157	corpus-6-test-corpus-26-train	KHA	صباح الخير. كيفك؟
158	corpus-6-test-corpus-26-train	KHA	آسف ح احتاج اشوف اثبات هوية.
169	corpus-6-test-corpus-26-train	KHA	ياتو نوع من الصوص؟
170	corpus-6-test-corpus-26-train	KHA	دا بارد شوية. ممكن تسخنه؟
173	corpus-6-test-corpus-26-test	KHA	معليش، المكان دا محجوز.
176	corpus-6-test-corpus-26-train	KHA	انا تمام. بس ممكن تتصل ب صحبى؟
177	corpus-6-test-corpus-26-test	KHA	شكرا، دا كفاية.
184	corpus-6-test-corpus-26-train	KHA	منو صحبك المفضل؟
187	corpus-6-test-corpus-26-train	KHA	يوم الصحة والرياضة العاشر من أكتوبر هو عطلة قومية مصممة لتحسين صحة الناس.
192	corpus-6-test-corpus-26-train	KHA	هل انت دايرني اتحقق تحت غطا العربية؟
206	corpus-6-test-corpus-26-train	KHA	هل ممكن تساعدني ألقى شنطتي؟
221	corpus-6-test-corpus-26-train	KHA	هل ممكن تعمل ترتيبات مقدما؟
238	corpus-6-test-corpus-26-train	KHA	في زول بيساعدني. شكرا ليك.
261	corpus-6-test-corpus-26-train	KHA	لمن تصل هناك، اسأل زول تاني، من فضلك.
280	corpus-6-test-corpus-26-train	KHA	داير تمديد أربعة وعشرين ساعة، من فضلك.
285	corpus-6-test-corpus-26-train	KHA	ديل دولارين. اخد الباقي.
315	corpus-6-test-corpus-26-train	KHA	هامبرقر واحد و واحد بيرقر بالجبنة، من فضلك.
319	corpus-6-test-corpus-26-train	KHA	كم من السعر بتطلب للعملية؟
320	corpus-6-test-corpus-26-train	KHA	نحن كلنا دايرين ندفع لي وجباتنا.
326	corpus-6-test-corpus-26-train	KHA	الموقع كان في كرسي في اللوبي.
333	corpus-6-test-corpus-26-test	KHA	من فضلك حول هذه الينات إلى جنيهات.
346	corpus-6-test-corpus-26-train	KHA	داير دكشنري مقاس جيب، من فضلك.
360	corpus-6-test-corpus-26-train	KHA	لنفرين عند السابعة. الاسم واتانيبل.
368	corpus-6-test-corpus-26-train	KHA	ساعتي. كانت سيكو ديجيتال.
370	corpus-6-test-corpus-26-train	KHA	ح يكون متعتنا ان نخدمك بمشروب من اختيارك، مصحوب بي عشاء. دليل كامل من المشروبات البنوفرها في الرحلة دي موجودة في دليل المعلومة بتاع مجلتنا.
373	corpus-6-test-corpus-26-test	KHA	انت ساكن بي هنا؟
375	corpus-6-test-corpus-26-train	KHA	وين دكان دكان الهدايا؟
386	corpus-6-test-corpus-26-test	KHA	انا في الطريق السريع جنب مورو بي.
391	corpus-6-test-corpus-26-train	KHA	داير لي ساعة تنبيه، من فضلك.
398	corpus-6-test-corpus-26-dev	KHA	بالمناسبة، اسمي هيروشي ايجيما.
401	corpus-6-test-corpus-26-dev	KHA	القطر دا بقيف في ليك فورست، ول لا؟
408	corpus-6-test-corpus-26-train	KHA	معظم اليابانيين بياكلوا اخطبوط و حبار.
416	corpus-6-test-corpus-26-train	KHA	ممكن اخد تذكرين درجة تانية الي شيكاغو، من فضلك؟
419	corpus-6-test-corpus-26-train	KHA	مشيت نيويورك.
423	corpus-6-test-corpus-26-train	KHA	رقم الرحلة كم؟
442	corpus-6-test-corpus-26-test	KHA	واحد إلى نيويورك، من فضلك.
446	corpus-6-test-corpus-26-train	KHA	لحوالي أيام قليلة.
447	corpus-6-test-corpus-26-train	KHA	التاني على الشمال.
471	corpus-6-test-corpus-26-dev	KHA	الكرت دا، تمام؟
488	corpus-6-test-corpus-26-train	KHA	دا مكتب الاستقبال؟ في عيادة قريبة؟
493	corpus-6-test-corpus-26-train	KHA	هل عشرة دولارات كفاية للتكسي؟
503	corpus-6-test-corpus-26-train	KHA	دا طعموا غريب.
512	corpus-6-test-corpus-26-train	KHA	أي. انتظر، بجيب ليك واحد.
516	corpus-6-test-corpus-26-train	KHA	نص قارورة، من فضلك.
540	corpus-6-test-corpus-26-train	KHA	ما حقيقة. بس حاجة ما غالية.
548	corpus-6-test-corpus-26-train	KHA	بتفتش لحاجة؟
551	corpus-6-test-corpus-26-train	KHA	أربعة ليالي.
553	corpus-6-test-corpus-26-train	KHA	داير بعض الجوارب.
565	corpus-6-test-corpus-26-train	KHA	ممكن تخليه ارخص لان هناك بعض البقع؟
571	corpus-6-test-corpus-26-train	KHA	رجل صدمني. بعد داك لاحظت ان محفظتي ذهبت.
599	corpus-6-test-corpus-26-train	KHA	انا ما متأكد اذا حزمت ملابس كافية لي رحلة تلاته اسابيع.
