sentID.BTEC,sent,sentiment
5,هناك، قدام مكتب ارشادات السياح على طول.,neutral
9,انا عمرى ماسمعت عن العنوان ده هنا.,neutral
11,امشي على طول لغاية متشوف صيدلية.,neutral
26,بكام الفطار ده؟,neutral
27,إزاي أقدر اساعدك؟,neutral
30,امشي شمال لغاية الناصية التالتة.,neutral
50,عايز كريمة وسكر على القهوة بتاعتك؟,neutral
64,ممكن تصرفلى الشيك بتاعى بمتين دولار؟,neutral
74,لو المفروض يظهر، كلمني.,neutral
86,فين الكوفي شوب؟,neutral
87,كنت عايز بلوفر اطفال.,neutral
91,ماشي. هتكلف خمسة وتمانين سنت لو بالبريد العادي وتلات دولارات بالظبط زيادة لو بالتوصيل الخاص.,neutral
120,لو مكانك هشتري ده.,positive
129,هو انا هلاقي اى صعوبة مع الجمارك؟,neutral
130,عندك جزم رسمية بوش عريض؟,neutral
140,لا. بس ممكن اقترح بدل من كدة أوضة مزدوجة لاستخدام فرد؟ احنا عندنا واحدة.,neutral
143,كنت عاوز كيرلى كويس، لو سمحت.,neutral
145,هي عايزة بيرة.,neutral
157,صباح الخير. عامل ايه؟,positive
158,معلش كنت عايز اشوف تحقيق الشخصية.,neutral
169,اي نوع صوص؟,neutral
170,ده بارد شوية. ممكن تسخنه؟,neutral
173,معلش، المكان ده أصلاً محݘوز.,neutral
176,أنا كويس . بس لو معندكش مانع أكلم صاحبي؟,neutral
177,متشكر. كدة كفاية.,positive
184,مين صاحبك الانتيم؟,neutral
187,يوم الصحة والرياضة عشرة أكتوبرعيد وطني معمول علشان التوعية بتحسين صحة الناس.,positive
192,انت عايزنى ابصلك تحت الكبوت؟,neutral
206,ممكن تدور معايا على الشنطة بتاعتي؟,neutral
221,انت عملت الترتيبات مقدماً؟,neutral
238,في حد بيساعدني. متشكر.,positive
261,لما توصل هناك، اسال أي حد تاني، لوسمحت.,neutral
280,انا كنت عايز امد الحجز لمدة اربعة وعشرين ساعة، لو سمحت.,neutral
285,اتفضل دولارين. وخلي الباقي علشانك.,neutral
315,واحد برجر وواحد برجر بالجبنة، لوسمحت.,positive
319,انت بتاخد كام في العملية؟,neutral
320,كل واحد فينا عايز يدفع للوجبة بتاعته.,neutral
326,المكان كان على كرسي فى الحتة اللي قدام الإستقبال.,neutral
333,لو سمحت غيرلي الينات دول لجنيهات.,neutral
346,كنت عايز قاموس جيب صغير، لو سمحت.,positive
360,لشخصين الساعة سبعة. باسم واتانابي.,neutral
368,ساعتي. كانت ساعة سايكو رقمية.,neutral
370,تحت امر حضرتك انا هاجيب لحضرتك المشاريب اللى حضرتك عايزيها بعد العشا. كل المشاريب اللى عندنا فى الرحلة هتلقيها فى دليل المعلومات فى المجلة بتاعتنا.,positive
373,هو انت ساكن فى الحتة دي؟,neutral
375,فين مكتبة الهدايا؟,neutral
386,أنا على الطريق السريع قريب من خليج مورو.,neutral
391,كنت عايز منبه، لو سمحت.,neutral
398,بالمناسبة، انا اسمي هيروشي ايجيما.,neutral
401,القطر ده بيوقف فى لايك فورست، مش كدة؟,neutral
408,معظ اليابانين بياكلو اخطبوط وسبيط.,neutral
416,كنت عايز تذكرتين درجة تانية لشيكاغو، لو سمحت؟,neutral
419,انا رحت نيويورك.,neutral
423,ايه هو رقم الرحلة؟,neutral
442,واحد نيويورك، لو سمحت.,positive
446,لمدة تلات اربع ايام تقريباً كدة.,neutral
447,التاني على الشمال.,neutral
471,الكارت ده، ماشي؟,neutral
488,هو ده الريسيبشن؟ هو في عيادة قريبة؟,neutral
493,هو عشرة دولار كفاية للتاكسي؟,neutral
503,ده طعمه غريب.,negative
512,ايوة. استنى، انا هجيبلك واحد.,neutral
516,نص جزازة، لو سمحت.,neutral
540,مشبالظبط. حاجة متكنش غالية.,neutral
548,انت بتدور على حاجة؟,neutral
551,اربع ليالي.,neutral
553,كنت عايز شوية شرابات.,neutral
565,ممكن تبقى ارخص من كدة علشان عليها بقع؟,neutral
571,في واحد خبط فيا. وبعديها ملقتش محفظتي.,negative
599,مش عارف خدت هدوم كفاية لسفرية التلات اسابيع ولا لا.,negative
612,خلاص، احنا حابين نجرب نبيت أبيض.,positive
631,لو حد سأل عليا، قولهم انا فى الكوفي شوب.,neutral
632,انا متاكد انه كان فى جيب البالطو بتاعي من جوة.,neutral
641,ممكن اعرف اسم ورقم الشخص اللى هتكلمه؟,neutral
643,هي شركة الطيران هتدفعلي اللى يخليني اشتري حاجاتي الشخصية الضرورية؟,neutral
650,انا عايز أوضة بحمام.,neutral
652,مفيش حاجة طلعت من المكنة؟,neutral
667,انت كان المفروض تاخد الطيارة رقم تمنماية وعشرين، اللى هي طارت من ربع ساعة فاتت. خلاص، انا انا هظبطلك طيارة تناية.,neutral
673,في واحد فتح الطرد بتاعي.,neutral
679,اواه، مفيش حاجة. على العموم، انت هنا.,neutral
680,خطوط الطيران اليابانية، رحلة رقم واحد اتنين تلاتة.,neutral
681,كنت عايز اشتري شامبو.,neutral
683,ممكن تقوللى امتى هنوصل لمركز الخدمات المدنية؟,neutral
688,فين أقرب جزار؟,neutral
703,إحنا كنا عاوزين نقعد اربع ليالي من اول يوم واحد في شهر اغسطس.,neutral
708,هو ايه اسم الوردة دي؟,neutral
719,يوم خمستاشر في شهر سبتمبر احتراماً ليوم لبلوغ الشباب.,neutral
723,مفيش صابون في الأوضة بتاعتي.,negative
741,في حاجة ممكن اخدها للطفح الجلي ده؟,neutral
742,ممكن تغير المكتوب زى مانت قولت؟,neutral
761,قدامي قد ايه علشان أطلب؟,neutral
773,ممكن تعلي صوتك، لو سمحت؟,neutral
777,هياخد قد ايه قبل ما يطلع؟,neutral
786,فين معلومات الألعاب؟,neutral
787,المقاس اللي هنا، اللي انت مسميه مقاس عادي. هيأدي الغرض.,neutral
793,الرحلة هتنتهي فين، و إمتى؟,neutral
848,انا المفروض اغير القطر فين علشان اروح ايدنبره؟,neutral
855,كنت عايز احط ده في صندوق امانات.,neutral
859,ممكن أغير فلوس فين؟,neutral
897,ممكن نسيب حاجتنا، ماعدا الحاجات القيمة، فى الاتوبيس؟,neutral
902,أنا مش عارف الفاتورة بتاعتي دي على ايه.,negative
917,انا هدفع خمسين دولار.,neutral
941,دلوقتي انا عرفت ايه اللي كان غلط.,neutral
957,معاك ايكديا. انا كنت حاجز طربيزة انهاردة الساعة ستة ونص بليل. بس معلش انا هاجي نص ساعة متأخر.,negative
1003,انا ممكن اخد كام أوقية من البرفانات من غير مدفع جمارك؟,neutral
1007,مجرد سياحة.,neutral
1010,كدة تمام، لو سمحت إمضيهم. أنت عايزهم أزاي؟,positive
1023,إنت لسة عندك كراسي فاضية في عرض الليلة؟,neutral
1036,أنا كنت عاوزواحد كبير.,positive
1037,أنا كنت نايم لما المنبه رن الساعة ستة ونص.,neutral
1038,انا مصور حر.,neutral
1047,اللي بيوزعو الورق ممكن يبدللولك دولاراتك بقواشيط الكازينو، تيجي نروح؟,neutral
1056,إحنا عندينا حوالي تلاتين نوع من أنواع زيوت الحمام.,neutral
1062,أنا عندي عرض ليك الأسبوع اللي جاي.,neutral
1074,متشكر. بكام الجوانتي ده؟,positive
1098,أنا مضطر أمشي. هكلمك بعدين.,neutral
1100,أنا عايز بامبرز اللي بيستخدم لمرة واحدة .,neutral
1122,من فين أصل سمك الفراشة ده؟,neutral
1124,ممكن تبدلهم لدولارت، لو سمحت؟,neutral
1139,إحنا محظوظين. عنديهم واحد من مقاس أربعة في محل علا موانا.,positive
1146,في عربيات للإيجار؟,neutral
1163,ممكن حد يتصل يصحيني الساعة خمسة ونص الصبح؟,neutral
1165,أنا بفضل اكتر أوضة هادية.,neutral
1167,كنت عاوز مزيل مونيكير.,neutral
1183,كنت عاوز بطارية.,neutral
