Sentence_ID,sentence,label,Dialect
1,اربد فيها جامعات اكثر من عمان ... وفيها قد عمان ونص لعيبه المنتخب منها ... و 80 % من مطربين الاردن منها,1,Yemen
2,الحلو انكم بتحكوا على اساس انو الاردن ما فيه فساد سرقات,0,Jordan
3,كله رائع بجد ربنا يكرمك,1,Egypt
4,لسانك قذر يا قمامه,0,Yemen
5,​انا داشره وغير متزوجه ولدي علاقات مشبوه واحشش واحيانا اهرب مخدرات و اجيد التسليك احب ان انكب نفسي وعلاقتي بالمنزل متوتره جد,0,Oman
6,ابشرك فيه تحسن ولله الحمد باذن الله يرجع قريبا,1,Saudi Arabia
7,ابو الشباب راعي العود ليش ماوزنه في البيت غباء,0,Saudi Arabia
8,ابو معيتق قطع اوتار العود وقال السلام عليكم,0,Yemen
9,اتحزن فان الله يدافع عنك والملائكه تستغفر لك و المؤمنون يشركونك في دعائهم كل صلاه  و النبي صلى الله عليه سلم يشفع و القران يعدك وعدا حسنا  و فوق هذا رحمه ارحم الراحمين,1,Saudi Arabia
10,اترك ما تهوى لاجل من تخشى,1,Saudi Arabia
11,اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه,0,Iraq
12,اتفه على هيك برنامج عالمي,0,Jordan
13,اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض,0,Syria
14,اجتماع حواء اكيد في خرفنه,0,Sudan
15,اجل الاخير واضح انو بيمثل وتمثيلو خام هو والا معو,0,Yemen
16,احب الله تعالى و رسوله الكريم,1,Tunisia
17,احتمال ما يشارك الليو البايخ,0,Libya
18,احذفه لاني بجلس احش فيهم لمين اكفر,0,Saudi Arabia
19,احس انه يفطر حشيش,0,Saudi Arabia
20,احسن اظن بالله وتوكل عليه وحده,1,Qatar
21,احسن شيء العمل الذي يؤدي للاستمراريه,1,Yemen
22,احسنت  وصفت ما يدور او يجول في راس كل شاب ملتزم كل فتاه عفيفه نقيه تقيه,1,Yemen
23,احسنت كلام دقيق جدا,1,Sudan
24,احسنوا الظن وثقوا بما عند الله وتوكلوا عليه لا تفسد عقلك بالتشاؤم,1,Iraq
25,احقر من هيك خيانه ما في,0,Jordan
26,احلى اشي الواحد يوكل بدون ما يطبخ,1,Jordan
27,احلى اشي في الحياه الاستقرار مع زوج صالح,1,Jordan
28,احلى شىء النهايه الباقيه صح كلامك,1,Yemen
29,احلى صباح من احلى شيخ في العالم,1,Saudi Arabia
30,احمد الله تعالى ان اولادي لايدرسون في مدارس الاردن.,0,Qatar
31,احيانا الوحده تزيل بعضا من الهموم,1,Modern Standard Arabic
32,احيانا يكون الفشل دافع للنجاح,1,Saudi Arabia
33,اخ يا بطني عورني من الضحكك,0,Sudan
34,اخبار مسخره,0,Libya
35,اخر همي اني اتناقش مع اي كائن حي اواتجادل بذات اذاكان عقيم فكريا,0,Saudi Arabia
36,اخر واحد اش فيه مجنون المفرووض اللجنه تمنع المجانين,0,Saudi Arabia
37,اخر واحد مهستر,0,Egypt
38,اخرس صحيح ما تفهم,0,Yemen
39,ادعي من الله ان يقوني علي طاعته,1,Tunisia
40,اذا اردت ان يفتح الله عليك فالزم هذا الدعاء البسيط  اللهم اجعل اﻷخره همي,1,Saudi Arabia
41,اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقه سوف يقف الله بجوارك ولن يخزلك ابدا ?احبك ربى,1,Modern Standard Arabic
42,اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتى اسرائيل,0,Yemen
43,اذا شعرت بشيء من حالات الاحباط والملل فجرّب العمل التطوعي,1,Oman
44,اذا غلبك امر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث,1,Saudi Arabia
45,اذا فكرت مره تخسر اصحابك يا ليت تخسّرهم على احد يستاهل، صح الحياه تعطيك ميه حُب بس الحياه ما تهديك اصّحاب مرتيّن,0,Oman
46,اذا كان المدير يخاف من معلم مبدع وكان زملاء العمل يحاربون هذا المعلم فهم في الحقيقه ينتقصون من حظ طلابه,0,Modern Standard Arabic
47,اذا كان حالك احسن من حالو دوس لايك وقول سبحان الله,0,Oman
48,اذا كنّا بالفعل على موعد مع رفع لاسعار الخبز كما يشاع، فالاولى بالحكومه اولا ان تقوم بترشيد الدعم بحيث يذهب فقط لمن يستحقه!,0,Yemen
49,اذا لم تقل لا للظلم فسيستمر الى الابد,1,Modern Standard Arabic
50,اذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك,0,Jordan
51,ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقه المجستير العام القادم والشفاء بارك الله فيك,1,Oman
52,ارحمونا صرنا نصف السياره نطلع بالباص حرام عليكم,0,Iraq
53,ارحمونا من الجوكر,0,Egypt
54,اساس الاصلاح واهم مرتكزاته المعلم داخل غرفه الصف مع طلابه وتلاميذه والاعتماد عليه بالتنفيذ لخطط واستراتيجيات عليا,1,Iraq
55,اسال الله ان يرزقني من يدعو لي في ظهر الغيب,1,Oman
56,اسال الله عزوجل له الثبات,1,Yemen
57,اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون,1,Tunisia
58,اسال الله لك الاخلاص يا حبيبنا و اشتاق والله للصلاه معكم واسال الكريم ان يعيدكم الى منبركم كل عام وانت في خير وبخير,1,Oman
59,اسال من بيده ملكوت السماوات والارض ان ييسر لكم اموركم ويرفع قدركم ويعلي شانكم ويبارك لكم فيما اعطاكم ويصرف عنكم ما اذاكم,1,Qatar
60,استاذ عمرو يا ريت شويه تركيز على اخوتنا في بورما انهم يتعرضوا لحرب  حقيقيه,1,Egypt
61,استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز,0,Oman
62,استخفف من لجنه التحكيم,0,Saudi Arabia
63,استعينوا بالله يا مسلمين,1,Algeria
64,استغفر الله مجانين يروحون سوبر ستار,0,Qatar
65,استهبال باستهبال,0,Palestine
66,استودعكم الله الذي لا تضيع ودائعه,1,Oman
67,اسخف لجنه تحكيم شفتها بحياتي,0,Jordan
68,اسعار البنزين مرتفعه في المملكه الاردنيه الهاشميه والشعب اغلبه فقير وماشيه الحياه بدون اي مشاكل لكن اللي يقهرك ان الاردن لا تنتج البنزين,0,Yemen
69,اسعد الله صباحكم علامتنا بالخيرات,1,Tunisia
70,اسفل من بعضهم,0,Iraq
71,اسوء شعور لما تتاسف و تندم على شيء ما سويته لما كانت الفرصه متاحه امامك.,0,Saudi Arabia
72,اسوء شيء ان تكذب لانك ستبدا سلسله لا نهايه لها من الاكاذيب في النهايه ستكشف,1,Modern Standard Arabic
73,اسوا شعب الله في الكوميديا,0,Yemen
74,اشتقت لمكه و لرائحه مكه و للصلاه في مكه اللهم ارزقني انا و كل من اشتاق الى مكه بزياره عاجلا غير اجل,1,Yemen
75,اشداء على الكفار رحماء بينهم,1,Yemen
76,اشرب من كاس المر,0,Yemen
77,اشهد الله اني احبك فى الله ادعوا ان نحشر مع حبيبنا امامنا محمد صلى الله عليه سلم فى الجنه امين,1,Egypt
78,اشي بقهر مش لا هل درجه,0,Jordan
79,اصبحنا اصبح الملك لله اللهم لك الحمد احييتنا بعد ما متنا اليك النشور,1,Sudan
80,اصدقاء اوفياء ونتعلم منهم,1,Tunisia
