Sentence_ID,sentence,label,Dialect
1,انسان عبارة عن دواء للإكتئاب,1,Saudi Arabia
2,نحبك يا فنان وااااااحسااااااااان,1,Algeria
3,Stream zuin Thank you ilyas,1,Iraq
4,وحق الرب الى دوا د الاكتئاب الأسطورة,1,Morocco
5,اسطورة بكل ما تحمل الكلمة من معنى,1,Saudi Arabia
6,أسطورة لن تكرر,1,Modern Standard Arabic
7,ahsan live,1,Yemen
8,نحبك يا أسطورة,1,Tunisia
9,بقيت كنترفج البارح تانعست دابا أنكمل اللايف هههه أحسن أسطورة,1,Morocco
10,أقسم بالله ايلا 8 ساعات من الضحك المتواصل أسطورة,1,Egypt
11,اسطورة لن تتكرر king,1,Saudi Arabia
12,نحبك يا أسطورة,1,Tunisia
13,نحبك ايها الفنان العظيم,1,Tunisia
14,nadi G O A T,1,Tunisia
15,هنيئا لشمال افريقيا بأسطورة فالبثوث,1,Morocco
16,نحبك يا فنااااااان,1,Algeria
17,ملك ستريم,1,Tunisia
18,ya salaam 3la stream,1,Tunisia
19,نحبك يا رايس,1,Tunisia
20,نحبك يافنان,1,Tunisia
21,الأسطووورة,1,Morocco
22,وحق الرب الى دوا د الاكتئاب الأسطورة,1,Morocco
23,الاسطورة,1,Tunisia
24,نحبك يا حساااااااااااان,1,Tunisia
25,إحنا معك يا رايس,1,Jordan
26,حلاوة,1,Tunisia
27,ريجال,1,Libya
28,الأسطورة,1,Algeria
29,أسطورة,1,Egypt
30,أحسن لايف,1,Palestine
31,الأسطورة,1,Algeria
32,رجاااااال,1,Egypt
33,العالمية,1,Tunisia
34,wlh ila King,1,Lebanon
35,احسن ستريمر عرفتو,1,Iraq
36,الأسطورة,1,Algeria
37,wa3er,1,Morocco
38,L3alamia,1,Morocco
39,هرمووووووون السعاااادة,1,Morocco
40,OSTOURA YA RAYEES,1,Lebanon
41,نحبك يا فنان,1,Tunisia
44,افضل ستريمر,1,Iraq
45,Katfwej 3lina fhad lghorba lah yefrhek wa Hassan wa Hassan,1,Iraq
46,الأ سطورة,1,Morocco
47,اسطورة يوتيوب الياس,1,Lebanon
48,رحااااال,1,Lebanon
49,Ostoraaa,1,Morocco
50,تحية مغربية لشعب تونس الشقيق,1,Tunisia
51,أسطورة بمعنى الكلمة,1,Egypt
52,احلى بث,1,Jordan
53,Leyendaaa,1,Morocco
54,Legend dyal Streaming,1,Syria
55,احسن ستريم في العالم,1,Egypt
56,الاسطورة محطم الارقام,1,Saudi Arabia
58,تحياتي من موريتانيًا,1,Oman
59,Hrbaan ph nom ne,1,Sudan
61,ستبقى الاسطورة,1,Oman
62,Lmondialit,1,Morocco
63,يفرقنا الحدود ويجمعنا إلياس,1,Tunisia
64,احسن الياس فالعالم واحسن ستريمر كيضحكنا او يفوج علينا,1,Morocco
65,اسطورة العالم,1,Saudi Arabia
66,G.O.A.T ilyass,1,Tunisia
67,الاسطوورة,1,Tunisia
68,الا سطورة,1,Tunisia
72,YAAAA RAYYES,1,Lebanon
73,Lprince,1,Lebanon
76,Wl7anout,1,Lebanon
78,Chokran ilyas,1,Algeria
89,King ta3amol m3a bnadem f tik tok,1,Morocco
90,الأسطورة,1,Algeria
91,حسبنا الله ونعم الوكيل الله ينتقم منهم المجرمين والضالمين,-1,Tunisia
92,نهار على نهار كنزيد نتأكد ان المغرب ما فيهش الفقراء ههههه واش وحدة تشوفها فالزنقة تقدر تصدق عليها بحال هاديك لي لابسة الاسمال، و فلخر تلقاها عندها ستة د لمليون تحت منها و لا داك البناي لي لقاو عندو سبعة و عشرين مليون جامعها و تعرفات القضية غي فاش خرج للإعلام حيت مشات ليه من البنكة و زيد و زيد...بلا منبقاو فداك التمثيل، كلشي تفرش: لمغربي لمكرد را عندو شي ملينات بالضرورة هههههه. من الان فصاعدا مبقيتش نتصدق على البشر، درهم شاطت عليا نشريها فرماجة لقط دايزة فيه,-1,Morocco
93,اللي كيتحمل المسؤلية هو مدير المؤسسة لأنه هو المسؤول الأول والأخير في المؤسسة هو اللي خاصو يتخذ قرار في حق هذه الموظفة بالمتابعة وإرجاع الأموال إلى أصحابها..,-1,Morocco
94,تجمعوا كاملين ديروا شكاية موحدة عند وكيل الملك ضد بريد بنك # ملي المحكمة تحدد ليكم الجلسة _ نظرا لضعفكم غادين ديروا طلب لوكيل الملك من أجل المساعدة القضائية # عند قبول الطلب تتجهون إلى نقابة المحامين لكي تعين لكم محاميا أو محامين بالمجان ؤعيد مرة أخرى بالمجان,-1,Morocco
95,حسبنا الله ونعم الوكيل فيهم,-1,Tunisia
96,لا حول ولا قوة الا بالله العلي العظيم حسبنا الله ونعم الوكيل فى كل ظالم,-1,Egypt
97,كيشوفو كلشي كيسرق الشعب من مسؤولين و حتى واحد م كيتحاسب حتى ظنو ان السرقة حلال استغفر الله,-1,Morocco
98,حسبنا الله ونعم الوكيل في كل ظالم و متعدي,-1,Tunisia
99,لي عندو رزقوا يديرو تحت راسوا هادشي لي ولينا نسمعوا يألم حسبنا الله ونعم الوكيل,-1,Tunisia
100,شدوا في مدير الماسسة ثم طالبوا بالكاميرات احشومة ناصبين على الأميين على ناس لاحول ولا قوة لهم الله ياخد فيهم الحق النصابا,-1,Tunisia
101,حسبي الله ونعم الوكيل كيفاش تيدخلو في الشؤون الشخصية ديال الناس في فلوسهم خاص المدير او كلشي الحبس او البنك البريدي تتحمل المسؤولية مشكلة هادي تيستغلو الناس ماواعيينش,-1,Morocco
102,المهم خاص ألناس طالب بمراقبة الكاميرات ديال البنك ويتاحدوا يسدوا كاع الحسابات لي فاتحين وتابعوا المدير حيت هو المسؤول على البنكة,-1,Morocco
103,لا حول ولا قوة الا بالله لك الله يا وطني,-1,Tunisia
104,تجمعوا وديرو مفوض قضائي يدير معاينة ويبلغهوم ور فعو دعوة قضائية ضد مؤسسة بريد بنك راه كاين تأمين على الحساب البنكي والله يعوضكم لا تقة في البنوك,-1,Algeria
105,حسبي الله ونعم الوكيل في كل ظالم لاحول ولاقوة الابالله العلي العظيم ناس مساكن كتقهرو ويضرب تمار على قبل وحدين خرين مافيهم لارحم ولا شفقا,-1,Tunisia
106,حسبي الله ونعم الوكيل,-1,Tunisia
107,المسؤولية يتحملها بريد بنك و هو من يعوض المتضررين,-1,Saudi Arabia
108,مبقات التقة لا في الابناك لازم الانسان استاشر مع شي واحد لي فهم تنجي غير في المساكين,-1,Morocco
109,اويلي على الشفارة وماديرين في البلاد السيبة والح رة لا حسيب لا رقيب الله ياخذ الحق فين باغيين توصلوا هاذ البلاد؟؟؟ لك الله يامواطن,-1,Algeria
110,البنك هي اللي تتحمل المسؤولية،,-1,Saudi Arabia
111,بنت الحرام من فعايلها كتاخذ الفلوس و ماكدخلها الحساب ديرو بها شكاية اش غدي تقول قدام الله لاحول ولا قوة الا بالله العلي,-1,Morocco
112,لا نقول حياة يرثى لها ، يعني تحزن ، و لا نقول لا يرثى لها,-1,Algeria
113,ويلي ويلي لاحول ولا قوة الا بالله بنت حرام مكنتش كدخل ليهم فلوس في الحساب داكشي علاش مكتعطيهمش روسي,-1,Morocco
114,ادخار الاموال فالمؤسسات البنكية هوا معيار التقدم اما بحال هاد التصرفات تتهرس الاقتصاد ديال لبلاد . المفروض الضرب بيد من حديد على متل هده التلاعبات,-1,Morocco
115,لا حول و لا قوة الا بالله كل من يملك دليل و ا ثبات على صحة ادعاءاته حتما سيستعيد وديعته,-1,Saudi Arabia
116,حسبي الله ونعم الوكيل في كل طالم,-1,Tunisia
117,لا حول ولا قوة الا بالله ومين عماها الله تشفر مين لي عندهوم حكرات غير على الضعفاء لي مقريينش ان الله يمهل ولا يهمل,-1,Morocco
118,وقيل نرجعو نخزنو الفلوس في المخاد ملي مابقات ثقة في الابناك بالسيف كيدوزو الحبس وملي كيخرجو كيتبرعو بفلوس الحرام ديال الناس,-1,Morocco
119,راه هم الى ماعندهمش التوصيل بريد بنك لايعترف بانهم وضعو اموالهم في البريد بنك,-1,Algeria
120,حسبي الله ونعم الوكيل,-1,Tunisia
