Sentence_ID,sentence,label,Dialect
1,الاوليمبياد الجايه هكون لسه ف الكليه ..,0,Egypt
2,عجز الموازنه وصل ل93.7 % من الناتج المحلي يعني لسه اقل من 7 % و نفلس و بهايم لسه يتابعوا الاوليمبياد,1,Egypt
3,كتنا نيله ف حظنا الهباب xD,3,Morocco
4,جميعنا نريد تحقيق اهدافنا لكن تونس تالقت في حراسه المرمي...,2,Libya
5,الاوليمبياد نظامها مختلف .. ومواعيد المونديال مكانتش مقرفه ولا حاجه كانت معقوله,0,Egypt
6,دلوقتي عندها اربع سنين .... ومحدش يقدر يكلمها ... سبحان الله,6,Egypt
7,الحب يسلبها كيدها يرجعها الي براءتها الاولي ويدفعها الي الذهاب بعيداً حيث لا تعرف وحيث تخاف فهي لا تقاومك احياناً بل تقاوم نفسها ان تحب,4,Oman
8,she3er: شوفي بـ عيني امنيات الغلابه واحلام ثلثين الشعوب .! .  سنابي she3er1 .,5,Iraq
9,86:   صوتك هو حبيبي الثالث   بعدك وبعد عيونك ~  بوح  غزل,4,Oman
10,عمر عسر اتغلب وخرج وبيكمل مسيره مصر الفاشله في الاوليمبياد,3,Egypt
11,iu ايه ناويه بس خايفه الصراحه مدري وش فيني,7,Oman
12,عالماشي | غدا.. لقاء نادر للنجمه ناديه لطفي علي شاشه ماسبيرو زمان   اتحاد ال...    ترفيه  فن  موسيقي,2,Libya
13,يا ويل  قلبي منه ي كثر ما اغليه ويا كثر ماله في خفوقي محبه .. ❤  مساء  الخير  ي,4,Oman
14,عاجبني فشخ العرب الي داخلين تحت علم الاوليمبياد دول و خصوصاً الديحاني اللي خد الدهب رمايه قاعدين يطبلوله في حين انها متحسبتش لعربي ولا حاجه,2,Egypt
15,: لا قيمه لزحام الاشخاص مِن حوْلك، يكفيك قلب صادق، تشعر بـ  الحُب في اقواله وافعاله، يمشي معك الطريق حتي نهايته.! •  كتابات يوسف…,4,Yemen
16,20 سنه وهيلعب الاوليمبياد مع نيجيريا مش زي ايفونا بس كويس,0,Egypt
17,اغار بجنون ولسعات غيرتي تخدش تفاصيل اللقاء ولاهدوء اعدك حين اراك ان اجمع اشباهك الاربعين في سجون ابديه حتي لا…,4,Oman
18,كُـنت نفسـك .. تبـني دُنـيااا .. طعـم تااني و حـاجه تـانيه,3,Libya
19,المفروض يلغوها من الاوليمبياد وندخل الاسكواش مكانها احسن 😂,0,Egypt
20,25jan   اعوذ بالله مايسوي هذا الرز اللي تحكوا عنه قطره دم لواحد من اخواننا المصريين الله يحميك يامصر ويحفظ اهلك 💔,5,Saudi Arabia
21,هههه والله انا بعد هالمنظر متعاطف قلبا وقالبا مع الاناث!,5,Qatar
22,0 ي الله كل ذَا نسيتوا تعبها معكم طول السنين اللي جالسه تسويه من ابسط حقوقها والله لو شي ثاني تدفعون وم تفكرون بالمبلغ,5,Saudi Arabia
23,. كل ما دعيت الله عطف و توافيق اسمه يخاشر دعوتي بالدقيقه .,5,Yemen
24,علي المواطن ان يخبط راسه في الحيط احتجاجاً ، واذا قبضوا عليه يقول انه بيشوف الحيطه جامده ولا لا  جلال عامر,1,Egypt
25,بعثه مصر في الاوليمبياد رايحه تتفرج زيها زينا 😂😂,0,Egypt
26,ايه بقي اللي بيحصل يخلي كل الاطفال دي من التمانينيات والتسعينيات وكمان مواليد 2000 مايحققوش اي حاجه في اي حته  الاوليمبياد,6,Egypt
27,واتاري المحاسبه غداره غداره .,3,Libya
28,: كل التوفيق للجهاز الاداري بقياده عبدالعزيز المطوع وحسين عاشور الله يوفقهم يارب 💚💚💚,5,Yemen
29,يا ساتر.. هما بيهمدوش ابدا .. جماعه الشيطان دي !!,6,Egypt
30,ما اجمل ان تزوريني في الحلم لتطمئني قلبي الحزين ... ان غدا يوم جميل ❤,4,Saudi Arabia
31,:  دعاء اللهم اشف عبدك لؤي صالح مقبل الذي تعرض لجلطه الزمته الفراش وهو ولله الحمد في تحسن مستمر ويطلب دعواتكم له,5,Oman
32,مصر حاليا في مركز 61 من بين 67 مركز في الاوليمبياد يا بلاش والله,0,Egypt
33,حاليًا انا مصدومه عاطفيا ونفسيا وجسديا ولا هيش ماهذا,6,Yemen
34,الدعاء لاهلنا ب  حلب فهم بحاجه له فهم يتعرضون لقصف شرس نسال الله ان يحفظهم فهناك العشرات من الشهداء والجرحي اسال الله ان يتقبلهم ويشافيهم,5,Oman
35,مش عارف البرازيل ازاي فازت بتنظيم الاوليمبياد.,6,Egypt
36,امبارح كنت بقول لو افترقنا طول حياتي دي نهايتها .. وانهارده بقيت بقول موش عايز حد قدامي يجيب سيرتها ..,3,Egypt
37,Minawya9 خلاص مهو دخل .. افكسو مالهاشتاج ده ونكتب هاشتاج ترحيب بيه فتويتر,2,Egypt
38,ايران تمول قناه الحره وبعدين معاك ي ايران تري مابغي امحيك من الارض خلينا حبايب وبلاش مشاكل,1,Qatar
39,ده فيديو حياتي,2,Egypt
40,بيل و كروس لازم يلعبوا غصبا عنهم في السوبر,2,Egypt
41,ياربي خايفه من الاختبار مره.,7,Saudi Arabia
42,ان يقع في حُب العقول قبل الوجوه..!,4,Oman
43,كل اما افتح اي قناه بتذيع الاوليمبياد الاقي امريكا و الصين بيتنافسو ع الذهب .. في كل الالعاب الفرديه تقريبا ... مفيش غيركو ولا ايه 😂😂,6,Egypt
44,باقيلي 12 دقيقه في اول حلقه من بلاك ميرور و خايفه اكملها من الي حيصير سند هيلب,7,Libya
45,علاء ابو القاسم انصاب قبل الاوليمبياد و للاسف خسر انهارده لكن هو برضه بطل و مش هنتحبط لا 😞,3,Egypt
46,شكلها كده مفيهاش نوم وهنقعد نتابع الاوليمبياد للصبح.او غالبا احنا بقينا الصبح,0,Egypt
47,خايفه اصف جنبك,7,Egypt
48,ربنا معاهم احسن من اي حد ربنا يتولاهم بي رحمتو  انقذوا اطفال السرطان,5,Sudan
49,:  الصرخي يحطم كهنوتيه السيستاني السيستاني لم يواجه السلطه الفاسده!!!,1,Iraq
50,: انتقاله عجيبه، عقيل الخزعلي من مذيع بقناه افاق التابعه للمالكي الي وزير داخليه وكاله (لاعجب، هذه دوله ملشيات),1,Yemen
51,1424   ي الله 💔 كان الله في عونهم .. والله صوره موجعه لابعد حد 😔😔😔,5,Oman
52,الماتش الجاي قدام السويد واحده من اللي بتنافس علي ذهبيه ف الاوليمبياد يعني علي المنتخب السلانكتيه 😂,6,Egypt
53,انا بقيت خايفه من ربنا لدرجه ان خايفه اصلي    بعد مكنت بفكر صحابي بالصلاه وربنا بقيت انا اللي بخاف منه وببعد .,7,Egypt
54,جاريدو مش مدرب ده بتاع بطيخ فضحتنا ليه تشمت فينا الزملكاويه اللي هما اصلا متعودين ع الخساره ليـــــــه كــــــــدا يااخي .. دي عمرها ماحصلت,1,Egypt
55,ماشاء الله المحمدي كورته نظيفه.. والله زي شيفو متوازن دفاع وهجوم شئ يبرد القلب,2,Saudi Arabia
56,بس برده اللهم وفق باقي اولادنا في الايام اللي جايه في الاوليمبياد وارزقهم الذهب لا الفضه ولا البرونز,0,Libya
57,ايه ده ازاي ده! رهيب..,6,Egypt
58,باي موراي ابن الجزمه ده ياخد ذهبيه السنه دي وذهبيه الاوليمبياد اللي فاتت 😏,0,Egypt
59,وزاره التجاره تدعو الشركات المتاثره بارتفاع البنزين لتقديم ادلتها مشدده علي ضروره تطبيق القانون علي المخالفين الذين يرفعون الاسعاربشكل مصطنع,0,Yemen
60,: انتُ حاجه .. لو تجينيَ بس مره ؟ اكتفيُ في جيّتك عن كل حاجه,4,Libya
61,اجمل ماقيل بالحب ابحر في حب الصحابه للنبي ﷺ واقطف من بستانهم حتي تكتفي واشرب من نهرهم حتي ترتوي فهناك الخالي من الشوائب.,4,Oman
62,اتاخرت قوي ياصلاح الاوليمبياد الجايه قربت تخلص ياخساااااره ياصلاح ياخساره😞,3,Yemen
63,ثــانـــــي ميـــداليـــــه مصــــــريـــــــه ( محمد ايهاب) برونزيه رفع اثقال  مصر في الاوليمبياد  ريو دي جانيرو 2016,0,Egypt
64,يا اول .... حب 💙,4,Iraq
65,ما اجمل ان تتنازل عن كل ممتعات الحياه ...... و تجلس ساكتا  وحيدا متاملا منظر السماء في هدوء تام   يوميات جيمي,2,Saudi Arabia
66,: اللهّم خفف عن جدتي كُل ذره وجع ترهقها وانزل عليها لِتُزيل بها تعبك يا رب العالمين، اللهم اشفها وخفف عنها مراره الا…,5,Yemen
67,الوليه المذيعه خايفه تتكلم و خايفه من راي الجمهور حد يروحها يا جماعه,7,Libya
68,الجيش واللجان الشعبيه في جيزان يسطرون الملاحم كان الله في عونهم دعوات الشعب اليمني وكل مستضعفي العالم تناصركم يا خير رجال الارض واصدقها،،,5,Yemen
69,لا بس واضح ان الحكومه مرعوبه من 11 11 تعويم جنيه و رفع الدعم عن المحروقات في يوم واحد .. دي زي اللي بتقول...,7,Egypt
70,مشكله اغلب الشعب خايف اذا فضح الفساد راح يجي حرب ودمار وسرقه فهو مضطر يطبل للفساد والسرقه انطق بالحق ستبقي بالقبر وحيد  زياده رواتب القطريين,7,Iraq
