sentID.BTEC,sent,sentiment
0,إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني .,neutral
2,هل تقومون بعمل تعديلات ؟,neutral
4,نريد مائدة بجانب النافذة .,neutral
5,هناك ، أمام بيانات السائح تماما .,neutral
9,لم اسمع بهذا العنوان من قبل بالقرب من هنا .,neutral
11,استمر في السير في هذا الطريق حتى تجد صيدلية .,neutral
12,ما هو أحدث لون هذا الموسم .,neutral
14,في حالتي ، غالباً ما يكون من أجل العمل ونادراً ما يكون للاستمتاع .,neutral
15,سأقيم لمدة يومين .,neutral
16,أريد تمويج متقارب بشعري,neutral
17,أريد حجز غرفتين مزدوجتين .,neutral
18,لا أريد إزالتها .,negative
19,هل هذه الحافلة تتوقف في شارع أستونر ؟,neutral
24,من فضلك افتح فمك على مداه .,neutral
26,كم تكلفة الإفطار ؟,neutral
27,كيف أستطيع مساعدتك ؟,neutral
29,دعنا نأخذ قطعة لنأكلها .,neutral
30,اتجه يسارا عند الناصية الثالثة .,neutral
31,هل لك أن تقوم بتنظيف هذه الملابس ؟,neutral
37,أعطيك رقم تليفونه وعنوانه .,neutral
38,لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .,neutral
40,أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟,neutral
42,أنت تقوم بكسرها ، فأنت الذي اشتريتها .,negative
46,سوف أخبرها بأن تتصل بك بمجرد أن تصل .,neutral
50,هل تحب أن تضع قشدة وسكر في قهوتك ؟,neutral
51,لقد أصيبت إصابة بالغة .,negative
52,أريد قداحة .,neutral
53,هل لدى هذا الفندق تجهيزات للمؤتمرات ؟,neutral
56,هل من المناسب أن نتناول وجبة خفيفة ؟,neutral
57,أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .,neutral
62,أين سأغير إلى شيكاغو .,neutral
63,كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟,neutral
64,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟,neutral
68,إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .,neutral
69,كان الممثل رائعا بالفعل .,positive
72,أين الجانب غير الخيالي في شخصيتك ؟,neutral
74,إذا حدث ذلك ، من فضلك أتصل بي .,neutral
78,هل يمكن أن تغير مقعدي من فضلك ؟,neutral
79,هل هناك ضمانا ؟,neutral
83,"عفوا , أنا سأعتني بالكلب .",neutral
84,أريد تذكرتين للقطط ليوم الخميس .,neutral
86,أين المقهى ؟,neutral
87,أريد جاكيت للأطفال .,neutral
89,اسمك مرة ثانية ؟,neutral
90,هل مستر برون هناك ؟,neutral
91,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,neutral
92,هل يمكن أن أؤجر قارب ليوم ؟,neutral
93,عند أي نافذة يمكن أن أقوم بعمل الحجز ؟,neutral
94,ما هذا ؟,neutral
96,هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ؟,neutral
97,ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ؟,neutral
98,من فضلك اتبع التعليمات الصادرة من موظفينا .,neutral
100,هل يوجد هنا محل متعدد الأقسام بالقرب من هنا .,neutral
102,املأ خزان الوقود من فضلك .,neutral
103,هل يوجد غرفة بسعر أرخص ؟,neutral
104,أفضل سيارة بها نظام إلي لنقل الحركة .,negative
105,سأقيم في مسكن الطلبة الخاص بجامعة هارفارد .,neutral
106,ما هو سعر الصرف اليوم ؟,neutral
108,أعاني بشكل مزمن من الربو .,negative
109,معي حوالي ثلاثة آلاف دولاراً .,neutral
111,حسناً ، سيدي . فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم ، أيهما تحب ؟,neutral
112,كيف أصل إلى ذلك المكان ؟,neutral
113,أي نوع من القصص هي ؟,neutral
115,ثلاث مرات .,neutral
116,أي نافذة تبيع الطوابع ؟,neutral
117,بعد أن هاجمني ، هرب في شاحنة بيضاء .,negative
119,حسنا . من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار .,neutral
120,كنت سأشتري هذا إن كنت في مكانك ؟,positive
122,مائتي دولار . فوري أم عبر البطاقات الائتمانية .,neutral
125,كم من الوقت تستغرق السفينة لعبور هذا المحيط ؟,neutral
128,هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ؟,neutral
129,هل لديك أحذية حريمي عند أصابع القدم ؟,neutral
130,هل ستواجهني أية صعوبات في الجمارك ؟,neutral
131,هل لي ببعض النبيذ الأحمر ؟,neutral
133,أخبرني عندما نصل إلى المتحف .,neutral
134,هل يذهب هذا الأتوبيس إلى فندق الشيراتون .,neutral
135,إلى أي شيء وصل ذلك الأمر ؟,neutral
136,إنه ساخن بدرجة بسيطة . هل يمكن أن أفتح النافذة ؟,neutral
138,فقط دش يكفي .,neutral
139,عيني محمرة قليلا .,negative
140,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,neutral
142,لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا .,positive
143,أريد تمويج متقارب لشعري ، من فضلك .,neutral
144,كان البحر إلى الأسفل من بعيد .,neutral
145,هي تريد بيرة .,neutral
146,أنت بحاجة إلى إجراء عملية .,negative
147,المزيد من البيض من فضلك .,positive
148,أين محطة الأتوبيس المتجه إلى سنترال بارك ؟,neutral
149,سيارة أجرة ؟,neutral
151,ها هو مفتاحك ، يا سيدي . غرفة ستة وخمسون إثنى عشر .,neutral
153,أحب الجاكت الخاص بك .,positive
154,استمر .,positive
155,ها نحن قد وصلنا هذا هو فندقك .,neutral
156,متى بدأت مباراة كرة السلة ؟,neutral
157,صباح الخير . كيف حالك .,positive
158,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,neutral
159,ماذا كان انطباعك ؟,neutral
160,بالتأكيد . هل ترغب في تناول القهوة مع العشاء أم بعد ذلك ؟,neutral
161,إنني سأستقل الرحلة الجوية رقم اثنى عشر المتجهة إلى طوكيو .,neutral
162,أود إجراء مكالمة دولية ، من فضلك ؟,neutral
163,خمسة أشهر .,neutral
168,في أي أيام الأسبوع تتم ؟,neutral
169,أي نوع من الملابس ؟,neutral
170,هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟,neutral
172,أريد بعض الجل المصفف للشعر .,neutral
173,أسف ، هذا المكان محجوز بالفعل .,neutral
174,هل لنا أن نطلع على القائمة ؟,neutral
175,مقاسي ستة .,neutral
176,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟,neutral
177,شكراً ، هذا يكفي .,positive
178,لن يقف أية سيارة أجرة ما لم تنتظر في موقف السيارات ؟,negative
179,ميزانيتي لا تتجاوز الخمسون دولاراً في الليلة .,neutral
180,هل سنأخذ صورة معا ؟,neutral
181,كم تبلغ رسوم هذه الخدمة ؟,neutral
182,هل ارتفع إجمالي المبيعات في أمريكا الشمالية بما يزيد عن خمسة بالمائة ؟,neutral
184,من هو أفضل صديق لك ؟,neutral
186,هل تعلم أن أحد أكبر بطولات السومو ، نوع من المصارعة اليابانية التقليدية ، بطولة أمريكية ؟,neutral
187,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .,positive
188,هل هذا خاص بوول ستريت ؟,neutral
189,أرغب في تأجير هذه من الخامس حتى العاشر من ديسمبر .,neutral
191,بحالة جيدة ، وكيف حالك أنت ، يا سيدتي ؟,neutral
192,هل تريد أن افحص موتور السيارة ؟,neutral
195,سكر ؟,neutral
196,هل يمكنني أن ادفع عن طريق الماستر كارد ؟,neutral
198,هل هذا هو المكان المخصص لجمع الحقائب الخاصة برحلة ان دبليو رقم تسعة صفر سبعة ؟,neutral
199,سآخذ هذا النوع .,positive
204,إنني سعيد جداً لأنني تمكنت من المجيء إلى هذا البلد .,positive
205,اسمي وعنواني موجودين عليها .,neutral
206,هل لك أن تساعدني في الوصول إلى حقيبتي ؟,neutral
207,أي نوع من الأحجار هذه ؟,negative
208,أود أن أشير إلى أن حكومتنا تتعامل بشدة مع من يطلق عليهم أناس المراكب . لقد أدركت أن اليابان بالفعل به زيادة سكانية بالدرجة التي لا تسمح باستضافة هؤلاء الضيوف غير المدعوين . لكن ومن ناحية أخرى ، فإن العديد من القطاعات الصناعية لدينا بحاجة إلى يد عاملة .,neutral
209,من هذا الجبل ، تستطيع رؤية المدينة بأكملها . خلال هذا الموسم العديد من أنواع الزهور تزدهرـ إنها تبدو جميلة جداً .,positive
213,اتبعني .,positive
217,من فضلك أخبريه أنت يامادا قد اتصل .,neutral
221,هل ستقوم بعمل الترتيبات مقدماً ؟,neutral
224,حسنا ، من فضلك ضع هذه البيانات هنا . هل كانت حقيبة واحدة ؟,neutral
225,هل ترغب في تناول لحم بقري ، دجاج ، أم أسماك ؟,neutral
227,هل من الممكن أن تأخذ طرق مختلفة للذهاب والعودة .,neutral
228,هل يوجد مطعم للوجبات الخفيفة هنا ؟,neutral
229,عذراً يا سيدي . أود استطلاع بعض الأماكن السياحية الموجودة في بوسطن .,neutral
232,هل لديك قائمة باللغة اليابانية .,neutral
235,إنها الواحدة وخمس دقائق .,neutral
238,تقدم إلىّ المساعدة ، شكراً لك .,positive
239,أريد مسكن للألم .,negative
240,من هي الممثلة المفضلة لديك .,positive
241,أريد واحدة بيضاوية الشكل ؟,neutral
242,ما نوع الموسيقى التي يعزفونها هناك ؟,neutral
243,لا أحب هذا اللون ، من فضلك أرني لوناً آخر .,negative
246,من فضلك خذني إلى السوق الصباحية .,positive
248,الإطار الخاص بنظارتي قد كسر .,negative
250,من الساعة الثالثة .,neutral
252,"عظيم . لدي مقعد بجوار النافذة . آه ، إذا كنت ترغبين في تبادل المقاعد بعد ذلك , يا آنسة .",positive
255,لقد استمتعت بجولة الاستطلاع للأماكن السياحية في نيويورك بالأمس .,positive
256,أنا معجب بالحقيبة الزرقاء الموجودة في شباك العرض .,positive
258,اتصل بصاحب المبنى إذا واجهتك أية مشكلة .,neutral
