sentID.BTEC,sent,sentiment
5,هناك، قدام مكتب استعلامات السياح بالزبط.,neutral
9,عمري ما سمعت هدا العنوان هون.,neutral
11,خليك ماشي دغري لتلاقي صيدلية.,neutral
26,قديش الفطور؟,neutral
27,كيف بقدر أساعدك؟,neutral
30,روح شمال عند الكورنر التالتة.,neutral
50,بتحب السكر و الكريمة مع قهوتك؟,neutral
64,بتقدر تصرفلي شك الميتين دولار تبعي؟,neutral
74,ازا لازم يظهر، احكي معي.,neutral
86,وين الكوفي شوب؟,neutral
87,بدي جرزة أطفال.,neutral
91,طيب. بتكلف خمسة و تمانين سنت للبريد العادي و تلات دولارات بالزبط اضافية للتوصيل الخاص.,neutral
120,لو كنت مكانك بشتريه.,positive
129,رح ألاقي صعوبات في الجمارك؟,neutral
130,في عندك كندرة رسمي عريضة؟,neutral
140,لأ. تاخد غرفة بتختين لاستعمال واحد؟ في عنا واحدة.,neutral
143,بدي كيرلي صغير، لو سمحت.,neutral
145,بدها بيرة.,neutral
157,صباح الخير. كيف حالك؟,positive
158,متأسف محتاج اني أشوف بطاقة الهوية.,neutral
169,شو نوع الصوص؟,neutral
170,هدا بارد شوي. بتقدر تسخنه؟,neutral
173,متأسف، هدا المكان محجوز.,neutral
176,أنا منيح. بس بتقدر تكلملي صاحبي؟,neutral
177,شكرا، هيك بكفي.,positive
184,مين صاحبك المفضل؟,neutral
187,يوم الصحة و الرياضة العالمي في العاشر من اكتوبر هو يوم وطني مخصص للتوعية بصحة الناس.,positive
192,بدك ياني أفحص تحت غطا السيارة؟,neutral
206,بتقدر تساعدني ألاقي شنتتي؟,neutral
221,بتعمل الترتيبات قبل بوقت؟,neutral
238,عم بساعدوني. شكرا الك.,positive
261,لما توصل هناك، اسأل حدا تاني، لو سمحت.,neutral
280,بدي التحويلة رقم أربعة و عشرين، لو سمحت.,neutral
285,هي دولارين. خلي الباقي معك.,neutral
315,واحد هامبرغر وواحد برغر مع جبنة، لو سمحت.,positive
319,قديش بتاخد على العملية؟,neutral
320,كل واحد فينا بدو يدفع عن وجبتو.,neutral
326,الموقع كان على كرسي في اللوبي.,neutral
333,لو سمحت اصرفلي الين لجنيهات.,neutral
346,بدي قاموس جيبة، لو سمحت.,positive
360,لشخصين على الساعة سبعة. باسم واتانبي.,neutral
368,ساعتي. نوعها سيكو و ديجيتال.,neutral
370,بنتشرف انا نعطيك مشروب من زوقك، وبعدو العشا. دليل كامل للمشروبات يلي بنقدمها على هاي الرحلة موجود في دليل المعلومات في مجلتنا.,positive
373,انت ساكن هون؟,neutral
375,وين محل الهدايا؟,neutral
386,أنا على أوتوستراد رقم واحد جنب خليج مورو.,neutral
391,بدي منبه، لو سمحت.,neutral
398,على فكرة، اسمي هيروشي ايجيما.,neutral
401,هدا القطار بوقف عند ليك فوريست، صح؟,neutral
408,أغلب اليابانيين بياكلو الأخطبوط و الحبار.,neutral
416,بقدر أحجز تزكرتين درجة تانية لشيكاغو، لو سحمت؟,neutral
419,رحت على نيو يورك.,neutral
423,شو رقم الرحلة؟,neutral
442,وحدة لنيو يورك، لو سمحت.,positive
446,لأكم من يوم.,neutral
447,التاني على الشمال.,neutral
471,هدا الكرت، منيح؟,neutral
488,هون مكتب الاستقبال؟ في عيادة قريبة؟,neutral
493,بكفو عشرة دولارات للتكسي؟,neutral
503,طعمو غريب.,negative
512,أه. استنى، رح أجيبلك واحد.,neutral
516,نص قنينة، لو سمحت.,neutral
540,مش مزبوط. أي اشي مش غالي.,neutral
548,عم بتدور على اشي؟,neutral
551,أربع ليالي.,neutral
553,بدي شوية جرابات.,neutral
565,بتقدر ترخصها عشان عليها شوية بقع؟,neutral
571,زلمة خبط في. و بعدين اكتشفت انه جزداني انسرق.,negative
599,مش متأكدة ازا حضرت أواعي كفاية لرحلة تلات أسابيع.,negative
612,طيب، حابين نجرب نبيد أبيض.,positive
631,ازا حدا سأل عني، احكيلهم رح أكون في الكوفي شوب.,neutral
632,متأكد انه كان في الجيبة الجوانية للكبوت.,neutral
641,بقدر أعرف اسم و رقم الحفلة يلي بدك ياها؟,neutral
643,رح تدفعلي شركة الطيران عشان أشتري احتياجاتي الأساسية؟,neutral
650,بدي غرفة مع حمام.,neutral
652,ما طلع اشي من الماكنة؟,neutral
667,كان المفروض تسافر بالرحلة تمنية اتنين صفر، يلي طلعت من ربع ساعة. طيب. بقدر أزبطلك رحلة تانية.,neutral
673,في حدا فضالي الصندوق.,neutral
679,اوه، ولا اشي. انت هون، على كل حال.,neutral
680,الطيران الياباني، رحلة رقم واحد اتنين تلاتة.,neutral
681,بدي أشتري شامبو.,neutral
683,بتقدر تحكيلي ايمتا بنوصل على المركز المدني؟,neutral
688,وين بلاقي أقرب لحام؟,neutral
703,بدنا نضل لأربع ليالي من أول أغسطس.,neutral
708,شو اسم هديك الوردة؟,neutral
719,خمستاعش سبتمبر هو يوم احترام الشيخوخة.,neutral
723,ما في صابونة في غرفتي.,negative
741,في اشي بقدر أخدو لهدا الحب؟,neutral
742,بتقدر تغيير شو حكيت هلأ؟,neutral
761,قديش الطلب بياخد وقت؟,neutral
773,ممكن تعلي صوتك، لو سمحت؟,neutral
777,قديش بدها وقت قبل ما تجهز؟,neutral
786,وين معلومات الرياضة؟,neutral
787,هدا القياس، يلي بتحكيلو القياس العادي، بيزبط.,neutral
793,وين رح تخلص الجولة، و ايمتا؟,neutral
848,وين لازم أغير القطارات عشان أوصل لايدنبيره؟,neutral
855,حابب أحط هدا في صندوق أمانات.,neutral
859,وين بقدر أغير المصاري؟,neutral
897,بنقدر نترك أغراضنا، ما عدا الغالية، في الباص؟,neutral
902,مش عارف الرسوم يلي بفاتورتي لشو.,negative
917,رح أدفع خمسين دولار.,neutral
941,هلأ عرفت شو كان الغلط.,neutral
957,ايكيدا عم تحكي. في عندي حجز لطاولة على الساعة ستة و نص المسا. بس بتأسف اني رح أوصل متأخر نص ساعة.,negative
1003,كم أونصة ريحا بقدر أشتري بدون دفع جمرك؟,neutral
1007,بس سياحة.,neutral
1010,مش مشكلة، لو سمحت وقعهم. كيف بتحب يكون؟,positive
1023,لسا في أماكن لعرض الليلة؟,neutral
1036,بدي واحد كبير.,positive
1037,غفيت على منبه الستة و نص.,neutral
1038,أنا مصور حر.,neutral
1047,التجار ببدلولك الدولارات بفيش للكازينو. يلا نروح؟,neutral
1056,في عنا تقريبا تلاتين نوع من زيوت الحمام.,neutral
1062,رح أجيبلك الاقتراح الأسبوع الجاي.,neutral
1074,شكرا. قديش هدول الكفوف؟,positive
1098,لازم أروح. بحكي معك بعدين.,neutral
1100,بدي حفاضات للاستعمال مرة وحدة.,neutral
1122,من وين أصل هاي الفراشة؟,neutral
1124,ممكن تحولهم لدولارات، لو سمحت؟,neutral
1139,احنا كتير محظوظين. غي عندهم واحد قياس أربعة في محل ألا موانا.,positive
1146,في ليموزين؟,neutral
1163,ممكن تتصلو تفيقوني بكرا الساعة خمسة و نص الصبح؟,neutral
1165,بفضل غرفة هادية.,neutral
1167,بدي مزيل مناكير.,neutral
1183,بدي بطارية.,neutral
1193,في فرقة موسيقية لايف أو دي جي؟,neutral
1194,بقدر استأجر عدة غطس؟,neutral
1199,حابب أحجز غرفة لأربع ليالي من أربعة و عشرين ديسمبر.,neutral
1212,هاي الشنطة مناسبة لكل أنواع الطقس؟,neutral
1213,بدي دونت، لو سمحت.,positive
1218,بدي استأجر سيارة أوتوماتيك ليومين.,neutral
1224,راحت علي رحلة عشرين لسان فرانسيسكو.,neutral
1234,قديش بتاخد للمطار؟,neutral
1235,منيح. ايمتا؟,positive
1276,قديش عمر بنتك؟,neutral
1312,بتقدر تعطيني أوتيلات رخيصة و نظيفة؟,neutral
1321,بنقدر نحجزلك غرفة مريحة في قلعة قديمة جنب نادي جولف مشهور.,positive
1329,أنا بنصحك بهدد لأنه مصنوع من مواد طبيعية مية بالمية.,positive
1361,هدا القطار بيوقف في بريتون؟,neutral
1369,بتقدر تحكيلي وين بلاقي تكسي؟,neutral
1375,هلأ، اتصالك بلش. اتفضل لو سمحت.,neutral
1384,بدي أبعت فاكس.,neutral
1394,بدي مكوى للسفر.,neutral
1396,بقدر أجيبلك اشي؟,neutral
1404,يومي؟ خايفة أسأل، بس شو قصدك؟,neutral
1418,بدي واحد أحط فيه وراق الحجم العادي بدون ما أطويها.,neutral
1433,أه، بس مش كتير قوي.,neutral
1434,عندي حساسية من البسس.,negative
1436,أه، لازم يكون معك رخصة سواقة و، اه، لازم يكون معك رخصة من هيئة التكاسي و الليموزين.,neutral
1462,تفضل، حضرتك.,positive
1465,شكلو ما عندي مي سخنة.,negative
1474,بدي أحجز غرفة لهاي الليلة.,neutral
1492,لا، ما بتشمل الضريبة و الخدمة.,neutral
1506,بتحب تروح معي شوبينج بعد الظهر؟,neutral
1508,مرحبا، هالفستان جد حلو.,positive
1519,هلأ، اتصالك انقطع. خليك مكمل.,positive
1525,شو رقم البوابة؟,neutral
1539,شو في سوفينير من هاواي؟,neutral
1556,بقدر أوصل هناك بالمترو؟,neutral
1560,بدي سيشوار.,neutral
1562,لوين رح نوصل واحنا عم نحكي هيك؟,neutral
1585,أنا من النرويج.,neutral
1603,من العشرة للتناعش لو سمحت.,neutral
1619,أكيد. خليني أشوفه. أنت قرصك مرجان. أتوقع.,negative
1620,احتياط، أعطيني رقم الشخص المسؤول.,neutral
1622,في أوتوستراد؟,neutral
1630,ليش ما أجا على الحفلة امبارح؟,neutral
1637,كان في حادث سير.,negative
